* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -25.8 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:27:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements 8cm to the rleft 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0095 ms (-3.3 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.7 ppm
* Measurement: L 120.b.s-L+8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	69.853	-165.8304
16.479492	70.392	-169.6705
16.845703	70.651	-171.9161
17.211914	71.559	-177.2888
17.578125	71.789	174.1235
17.944336	71.473	174.2607
18.310547	72.310	177.7197
18.676758	73.262	174.8695
19.042969	74.001	169.9990
19.409179	74.702	162.8035
19.775390	74.908	156.8413
20.141601	75.298	154.9550
20.507812	75.989	150.2888
20.874023	76.212	144.0436
21.240234	76.561	139.9404
21.606445	77.144	134.1886
21.972656	77.281	128.6606
22.338867	77.426	125.5166
22.705078	77.697	120.6177
23.071288	77.797	115.6538
23.437499	78.251	111.5080
23.803710	78.699	104.9692
24.169921	78.627	99.7965
24.536132	78.773	96.9241
24.902343	79.128	90.7805
25.268554	79.191	83.5367
25.634765	79.467	77.6437
26.000976	79.903	69.8556
26.367187	79.868	61.2519
26.733398	79.538	53.9111
27.099608	79.173	45.0750
27.465819	78.502	33.3823
27.832030	77.467	20.8458
28.198241	76.125	8.4631
28.564452	74.210	-4.3374
28.930663	71.188	-19.2880
29.296874	65.951	-41.3779
29.663085	55.916	-107.3585
30.029296	62.413	148.7591
30.395507	67.887	124.3440
30.761718	70.935	112.6515
31.127928	72.869	105.5500
31.494139	74.056	99.8392
31.860350	74.825	94.1615
32.226561	75.512	87.5630
32.592772	76.082	80.5369
32.958983	76.481	75.4485
33.325194	76.906	71.6467
33.691405	77.197	66.6762
34.057616	77.342	61.8405
34.423827	77.794	56.9343
34.790038	78.276	49.7840
35.156248	78.329	42.3051
35.522459	78.167	35.2751
35.888670	77.835	26.7662
36.254881	77.162	18.4504
36.621092	76.355	12.3628
36.987303	75.310	7.4331
37.353514	73.844	4.8926
37.719725	72.553	4.6688
38.085936	71.547	3.9315
38.452147	70.655	5.5225
38.818358	70.032	9.7143
39.184568	69.479	16.2889
39.550779	69.658	22.2169
39.916990	69.880	21.3120
40.283201	69.507	22.1312
