* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.4 dBFS, measurement signal peak level -15.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:25:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements 8cm to the right 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0096 ms (-3.3 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.7 ppm
* Measurement: L 120.b.s-R+8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.618	-165.4317
16.479492	71.632	-169.5259
16.845703	71.907	-174.2518
17.211914	71.998	-177.8666
17.578125	72.118	179.4771
17.944336	72.259	178.2475
18.310547	72.575	178.1041
18.676758	73.412	175.8857
19.042969	74.415	168.0717
19.409179	74.914	159.0833
19.775390	75.196	155.0086
20.141601	75.823	153.1331
20.507812	76.369	149.2169
20.874023	76.673	144.1763
21.240234	76.927	137.9214
21.606445	77.060	131.5968
21.972656	77.273	126.5868
22.338867	77.516	120.9787
22.705078	77.434	116.2028
23.071288	77.541	114.2939
23.437499	78.086	110.6605
23.803710	78.378	104.8427
24.169921	78.512	100.4530
24.536132	78.869	95.9481
24.902343	79.116	89.8991
25.268554	79.157	84.2192
25.634765	79.270	78.4064
26.000976	79.418	70.6837
26.367187	79.443	61.7404
26.733398	79.358	52.9517
27.099608	79.128	44.0887
27.465819	78.514	34.5394
27.832030	77.478	25.1192
28.198241	76.358	15.0621
28.564452	74.855	1.4331
28.930663	71.869	-13.5013
29.296874	66.710	-22.8150
29.663085	57.601	-29.0020
30.029296	56.591	142.3314
30.395507	66.290	121.4421
30.761718	69.621	107.0502
31.127928	71.728	100.6953
31.494139	73.325	94.2686
31.860350	73.854	88.8397
32.226561	74.339	86.4509
32.592772	75.129	80.6297
32.958983	75.508	74.0652
33.325194	75.951	70.9193
33.691405	76.564	66.9002
34.057616	76.883	62.0938
34.423827	77.309	57.3411
34.790038	77.810	50.3788
35.156248	78.048	42.9692
35.522459	78.118	35.6323
35.888670	77.834	27.1736
36.254881	77.197	19.5188
36.621092	76.575	12.3549
36.987303	75.579	4.9766
37.353514	74.123	2.1125
37.719725	73.094	2.4286
38.085936	72.029	1.0236
38.452147	70.722	3.9632
38.818358	70.133	9.6849
39.184568	69.599	13.5945
39.550779	69.114	17.6561
39.916990	68.808	18.6703
40.283201	68.461	19.3822
40.649412	68.347	22.4946
41.015623	68.533	29.5638
41.381834	69.473	34.3729
41.748045	69.643	31.9131
42.114256	69.141	34.4708
42.480467	70.128	36.7676
42.846678	70.743	31.0293
43.212888	70.637	28.3713
43.579099	70.731	22.4467
43.945310	69.328	15.5106
44.311521	68.720	28.9907
44.677732	70.925	31.9056
45.043943	70.483	27.2288
45.410154	69.180	33.1514
45.776365	67.874	24.6332
46.142576	62.126	14.4182
46.508787	61.668	68.3420
46.874997	66.656	85.2904
47.241208	72.196	102.7943
47.607419	76.104	95.1482
47.973630	76.404	85.5223
48.339841	77.599	80.2367
48.706052	80.532	57.7491
49.072263	81.665	33.8986
49.438474	80.649	32.0133
49.804685	81.771	44.1862
50.170896	82.782	38.7447
50.537107	82.012	30.4781
50.903317	81.995	24.1144
51.269528	82.674	13.0991
51.635739	82.814	5.1346
52.001950	82.986	0.9303
52.368161	82.882	-6.7773
52.734372	82.240	-14.8325
53.100583	81.964	-21.4113
53.466794	81.784	-28.7303
53.833005	81.305	-33.4235
54.199216	81.041	-37.5933
54.565427	80.584	-44.6330
54.931637	79.917	-49.5843
55.297848	79.644	-52.6273
55.664059	79.248	-56.1659
56.030270	78.718	-58.3193
56.396481	78.388	-62.3342
56.762692	77.887	-67.3258
57.128903	77.615	-69.6665
57.495114	77.510	-72.4432
57.861325	77.083	-73.9502
58.227536	77.074	-74.9012
58.593747	77.192	-80.5414
58.959957	76.962	-85.7216
59.326168	77.046	-88.9038
59.692379	77.101	-94.1835
60.058590	76.914	-98.4242
60.424801	77.288	-102.6990
60.791012	77.828	-110.5668
61.157223	78.123	-118.5674
61.523434	78.521	-126.8929
61.889645	78.882	-138.1456
62.255856	79.087	-150.6028
62.622067	79.275	-163.0380
62.988277	79.220	-175.7307
63.354488	78.754	171.9954
63.720699	78.113	160.0889
64.086910	77.497	148.4318
64.453121	77.026	138.3900
64.819332	76.724	129.7968
65.185543	76.367	121.6027
65.551754	75.966	113.8461
65.917965	75.715	105.7165
66.284176	75.553	97.0342
66.650387	75.399	88.4932
67.016597	75.132	79.9606
67.382808	74.676	72.1330
67.749019	74.173	65.2107
