* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.4 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:22:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0095 ms (-3.2 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.8 ppm
* Measurement: L 120.blue.screens.repetition.2
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.721	-164.9611
16.479492	71.616	-167.4428
16.845703	72.064	-172.7109
17.211914	72.085	-179.4110
17.578125	72.119	176.7501
17.944336	72.345	175.0225
18.310547	72.424	175.0226
18.676758	73.102	175.9721
19.042969	74.495	169.7776
19.409179	75.230	159.0327
19.775390	75.098	154.1201
20.141601	75.444	155.1640
20.507812	76.204	150.6905
20.874023	76.342	142.5886
21.240234	76.474	137.9601
21.606445	77.174	134.0276
21.972656	77.584	128.1028
22.338867	77.513	123.1440
22.705078	77.549	118.7302
23.071288	77.803	114.3079
23.437499	78.371	110.9196
23.803710	78.940	105.7144
24.169921	78.839	99.9048
24.536132	78.717	96.7611
24.902343	79.242	91.1702
25.268554	79.512	82.9340
25.634765	79.548	78.1942
26.000976	79.928	72.6205
26.367187	79.821	62.0902
26.733398	79.118	52.5779
27.099608	78.814	44.9561
27.465819	78.486	34.5247
27.832030	77.418	24.2397
28.198241	76.216	13.7110
28.564452	74.571	-3.7008
28.930663	71.037	-24.0264
29.296874	64.242	-34.6532
29.663085	46.258	28.7159
30.029296	63.207	117.0151
30.395507	68.206	110.9751
30.761718	70.343	108.8234
31.127928	72.444	105.8852
31.494139	73.763	98.2011
31.860350	74.370	93.0345
32.226561	75.231	87.7219
32.592772	75.783	79.2263
32.958983	75.986	73.4615
33.325194	76.517	69.6183
33.691405	76.885	64.5720
34.057616	77.049	60.9805
34.423827	77.555	56.6992
34.790038	78.042	49.7611
35.156248	78.272	42.5193
35.522459	78.226	34.8159
35.888670	77.758	26.5447
36.254881	77.114	18.4532
36.621092	76.400	10.0814
36.987303	75.305	3.7920
37.353514	73.938	2.1927
37.719725	72.562	3.9036
38.085936	71.609	6.3140
38.452147	70.914	3.8224
38.818358	69.340	3.6821
39.184568	68.898	16.6529
39.550779	69.978	20.4484
39.916990	69.657	21.0749
40.283201	69.789	27.1523
40.649412	70.072	26.9308
41.015623	69.454	31.7172
41.381834	69.963	37.1084
41.748045	69.615	32.6738
42.114256	68.895	35.3195
42.480467	70.489	34.7318
42.846678	71.278	27.7310
43.212888	71.068	31.5488
