* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.0 dBFS, measurement signal peak level -14.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:21:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0093 ms (-3.2 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.8 ppm
* Measurement: L 120.blue.screens.repetition
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.201	-163.7170
16.479492	70.559	-166.8498
16.845703	71.364	-174.1259
17.211914	71.531	177.1657
17.578125	71.250	175.3457
17.944336	71.645	177.0330
18.310547	72.340	176.0437
18.676758	73.339	174.2117
19.042969	74.624	168.3326
19.409179	75.119	159.8675
19.775390	74.923	155.7939
20.141601	75.272	154.3830
20.507812	75.953	149.1642
20.874023	76.392	143.3716
21.240234	76.831	138.9871
21.606445	77.151	134.0736
21.972656	77.209	128.9398
22.338867	77.208	123.9747
22.705078	77.283	120.1397
23.071288	77.733	117.3907
23.437499	78.323	112.1581
23.803710	78.475	105.6562
24.169921	78.591	101.0083
24.536132	79.035	95.6809
24.902343	79.238	89.3641
25.268554	79.207	85.0492
25.634765	79.393	80.2613
26.000976	79.580	72.0543
26.367187	79.587	62.3618
26.733398	79.431	52.9991
27.099608	79.003	44.2395
27.465819	78.294	35.2379
27.832030	77.337	24.3319
28.198241	76.026	11.8851
28.564452	74.103	-0.4097
28.930663	70.827	-12.6034
29.296874	64.534	-28.6688
29.663085	53.437	-122.9563
30.029296	64.362	160.3907
30.395507	68.731	131.6985
30.761718	70.558	110.0957
31.127928	71.822	101.4438
31.494139	73.510	97.8212
31.860350	74.603	91.8704
32.226561	75.011	86.9161
32.592772	75.540	82.1602
32.958983	76.086	75.9601
33.325194	76.478	70.6758
33.691405	76.863	66.5109
34.057616	77.316	62.5828
34.423827	77.921	57.7079
34.790038	78.402	50.8367
35.156248	78.510	43.0882
35.522459	78.321	34.5309
35.888670	77.824	25.3762
36.254881	77.207	18.1556
36.621092	76.659	12.1176
36.987303	75.510	6.1226
37.353514	73.662	4.2578
37.719725	72.284	4.7019
38.085936	71.299	2.6646
38.452147	70.548	4.7708
38.818358	70.474	10.2645
39.184568	70.343	14.7427
39.550779	69.874	16.2834
39.916990	68.805	16.1204
40.283201	68.531	22.0960
40.649412	69.594	24.7173
41.015623	69.613	28.4494
41.381834	70.040	38.2894
41.748045	70.384	36.7730
42.114256	69.502	35.1484
42.480467	70.504	36.2240
42.846678	71.510	27.4053
43.212888	70.574	27.6564
43.579099	70.870	36.5313
43.945310	70.887	31.5477
44.311521	69.718	30.6686
44.677732	70.450	32.1578
45.043943	70.408	25.4320
45.410154	68.687	26.9707
45.776365	66.998	27.0229
46.142576	62.155	25.0975
46.508787	60.507	79.6451
46.874997	67.201	103.5280
47.241208	73.294	107.1314
47.607419	76.515	95.1121
47.973630	76.613	84.7211
48.339841	77.684	78.4942
48.706052	80.344	56.0460
49.072263	81.128	32.7427
49.438474	79.798	34.4191
49.804685	81.590	49.1017
50.170896	82.985	41.4949
50.537107	82.263	31.0345
50.903317	82.069	23.6484
51.269528	82.645	12.5005
51.635739	82.769	3.9639
52.001950	82.944	-0.6978
52.368161	82.935	-8.2936
52.734372	82.422	-16.2800
53.100583	82.094	-23.0164
53.466794	81.735	-30.0883
53.833005	81.201	-34.6387
54.199216	80.973	-39.6030
54.565427	80.475	-47.0248
54.931637	79.782	-50.9879
55.297848	79.549	-53.3092
55.664059	79.088	-56.9127
56.030270	78.476	-58.9297
56.396481	78.134	-62.8422
56.762692	77.560	-67.6367
57.128903	77.182	-69.3389
57.495114	77.095	-71.8812
57.861325	76.831	-74.6478
58.227536	76.855	-77.7272
58.593747	76.849	-83.1854
58.959957	76.653	-86.5928
59.326168	76.757	-89.6987
59.692379	76.630	-95.2391
60.058590	76.491	-99.4417
60.424801	76.949	-104.8992
60.791012	77.336	-112.2990
61.157223	77.682	-118.6473
61.523434	78.191	-127.7257
61.889645	78.420	-139.9106
62.255856	78.590	-151.7388
62.622067	78.812	-164.2822
62.988277	78.560	-177.5889
63.354488	77.989	170.3842
63.720699	77.591	158.0208
64.086910	77.124	145.4680
64.453121	76.529	136.2798
64.819332	76.058	128.9802
65.185543	75.579	121.0806
65.551754	75.317	112.8684
65.917965	75.292	103.6155
66.284176	75.123	95.5933
66.650387	75.021	88.7119
67.016597	74.709	78.9589
67.382808	73.877	69.8308
67.749019	73.392	64.1956
68.115230	73.097	57.2402
68.481441	72.142	52.7985
68.847652	71.666	52.9437
69.213863	71.760	48.1713
69.580074	71.453	42.1260
69.946285	71.305	38.8418
70.312496	71.148	34.5175
70.678706	70.675	30.6030
71.044917	70.328	25.1899
71.411128	69.659	17.4423
71.777339	68.865	12.6892
72.143550	68.395	7.7061
72.509761	67.385	2.2384
72.875972	66.504	1.6997
73.242183	66.277	-1.9819
73.608394	65.398	-9.0194
73.974605	64.397	-17.5145
74.340816	63.429	-36.5873
74.707026	62.400	-61.7369
75.073237	62.409	-84.3789
75.439448	62.584	-111.4313
75.805659	61.882	-140.9208
76.171870	62.885	-157.8093
76.538081	66.309	-172.2155
76.904292	68.248	171.5278
77.270503	68.717	164.8916
77.636714	70.067	161.8590
78.002925	71.384	153.2352
78.369136	72.165	148.4993
78.735346	73.279	146.8035
79.101557	74.053	144.0781
79.467768	74.666	144.2690
79.833979	75.877	143.9658
