* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -25.8 dBFS, measurement signal peak level -14.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:17:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB entrance door open Delay 0.0006 ms (0.22 mm, 0.01 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.4 ppm
* Measurement: L 120.blue.screens
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.133	-161.2435
16.479492	70.988	-168.5490
16.845703	71.611	-173.2620
17.211914	72.335	-179.4193
17.578125	71.934	174.3735
17.944336	71.400	176.5195
18.310547	72.198	176.9468
18.676758	73.045	172.2944
19.042969	74.041	167.0184
19.409179	74.736	158.4392
19.775390	74.519	153.5844
20.141601	75.125	155.3756
20.507812	76.444	150.1246
20.874023	76.704	142.0680
21.240234	76.680	138.9398
21.606445	77.123	134.1586
21.972656	77.151	126.7537
22.338867	77.085	122.7792
22.705078	77.504	119.7181
23.071288	77.860	115.6989
23.437499	78.148	111.9766
23.803710	78.442	106.6107
24.169921	78.575	100.6353
24.536132	78.790	95.4002
24.902343	78.981	89.8772
25.268554	78.998	85.1869
25.634765	79.198	80.1821
26.000976	79.455	71.8399
26.367187	79.468	61.8278
26.733398	79.297	52.3546
27.099608	78.892	43.7979
27.465819	78.311	36.2193
27.832030	77.709	26.4594
28.198241	76.549	11.7229
28.564452	74.246	-4.7101
28.930663	70.852	-18.9495
29.296874	65.739	-36.1409
29.663085	52.268	-113.1931
30.029296	64.358	133.3054
30.395507	68.684	113.2547
30.761718	70.334	107.6591
31.127928	72.258	105.8151
31.494139	73.924	98.4675
31.860350	74.704	90.7099
32.226561	75.265	85.5696
32.592772	75.813	79.9211
32.958983	76.075	74.5591
33.325194	76.483	70.6085
33.691405	77.039	65.3913
34.057616	77.378	60.5399
34.423827	77.827	56.6234
34.790038	78.231	49.9653
35.156248	78.186	42.0330
35.522459	78.089	34.7218
35.888670	77.956	25.9870
36.254881	77.282	17.7457
36.621092	76.340	12.6252
36.987303	75.373	7.5909
37.353514	74.050	2.9581
37.719725	72.749	1.7106
38.085936	71.620	2.7292
38.452147	70.684	7.3555
38.818358	70.199	10.2360
39.184568	69.002	12.0144
39.550779	68.461	21.6854
39.916990	69.270	24.4011
40.283201	69.012	24.4265
40.649412	68.902	30.7166
41.015623	69.187	32.7331
41.381834	69.232	35.2916
41.748045	70.097	36.2509
42.114256	70.418	34.0132
42.480467	70.653	37.0379
42.846678	71.396	33.6962
43.212888	70.844	25.3591
43.579099	70.238	25.1864
43.945310	70.691	24.5225
44.311521	70.140	25.9158
44.677732	70.007	33.7379
45.043943	69.517	29.7238
45.410154	67.227	25.5273
45.776365	66.554	24.8311
46.142576	64.448	17.0793
46.508787	60.878	79.7055
46.874997	68.858	103.9155
47.241208	72.407	106.3263
47.607419	75.634	97.9764
47.973630	77.359	78.9191
48.339841	78.212	72.6011
48.706052	81.199	73.6762
49.072263	83.428	61.2844
49.438474	82.783	48.7707
49.804685	81.482	48.5065
50.170896	82.203	43.6366
50.537107	82.683	28.8362
50.903317	82.616	19.4664
51.269528	83.024	13.9650
51.635739	83.157	5.5037
52.001950	82.832	-2.2866
52.368161	82.735	-9.7314
52.734372	82.490	-17.5132
53.100583	82.074	-22.2811
53.466794	81.854	-27.4012
53.833005	81.356	-34.8633
54.199216	80.762	-40.5959
54.565427	80.497	-45.2598
54.931637	80.108	-49.5233
55.297848	79.620	-52.5982
55.664059	79.028	-57.5250
56.030270	78.108	-62.1569
56.396481	77.599	-64.1165
56.762692	77.457	-67.5863
57.128903	77.046	-70.4052
57.495114	76.915	-71.7848
57.861325	76.954	-75.7473
58.227536	76.829	-79.4611
58.593747	76.875	-82.5938
58.959957	76.713	-87.1401
59.326168	76.347	-90.2355
59.692379	76.480	-93.4586
60.058590	76.817	-99.6072
60.424801	77.025	-105.9883
60.791012	77.264	-112.1489
61.157223	77.572	-119.4968
61.523434	78.012	-128.5638
61.889645	78.470	-139.4650
62.255856	78.715	-151.1282
62.622067	78.729	-163.5890
62.988277	78.485	-177.5802
63.354488	78.079	168.7824
63.720699	77.825	157.0436
64.086910	77.542	145.9479
64.453121	76.831	136.2494
64.819332	76.084	129.0040
65.185543	75.748	121.2534
65.551754	75.576	112.3809
65.917965	75.457	103.8189
66.284176	75.218	94.8167
66.650387	74.729	86.2450
67.016597	74.336	78.3796
67.382808	73.951	69.7885
67.749019	73.284	62.8723
68.115230	72.722	58.4855
68.481441	72.227	53.7712
68.847652	71.646	50.8395
69.213863	71.547	49.2803
69.580074	71.614	45.0068
69.946285	71.470	39.6983
70.312496	71.283	33.2883
70.678706	70.683	26.6295
71.044917	69.900	24.2488
71.411128	69.563	21.9783
71.777339	68.859	15.8264
72.143550	67.762	11.1570
72.509761	67.194	7.3858
72.875972	66.719	1.8179
73.242183	66.050	-3.0137
73.608394	65.402	-9.8795
73.974605	64.648	-20.9681
74.340816	64.058	-36.8481
74.707026	63.252	-60.8349
75.073237	62.064	-92.9293
75.439448	62.577	-126.0698
75.805659	65.044	-151.8317
76.171870	66.806	-171.7375
76.538081	67.203	175.6860
76.904292	67.730	169.5638
77.270503	68.851	162.9827
77.636714	69.946	158.0820
78.002925	71.276	155.2915
78.369136	72.515	150.2520
78.735346	73.335	144.8278
79.101557	74.085	141.2439
79.467768	74.851	140.1025
79.833979	75.866	142.2753
80.200190	77.512	143.4873
80.566401	79.414	139.3691
80.932612	81.174	130.5538
81.298823	82.589	119.2974
81.665034	83.543	107.9124
82.031245	84.096	97.3269
82.397456	84.326	87.1921
82.763666	84.309	77.8184
83.129877	84.210	69.7314
83.496088	84.056	62.6611
83.862299	83.787	56.8788
84.228510	83.562	52.1987
84.594721	83.416	47.3662
84.960932	83.247	42.9988
85.327143	83.151	39.7151
85.693354	83.085	36.6038
86.059565	83.046	33.7881
86.425776	83.246	29.8693
86.791986	83.406	23.5912
87.158197	83.300	17.6514
87.524408	83.167	12.6299
87.890619	82.794	6.5088
88.256830	81.951	1.8737
88.623041	81.366	0.7019
88.989252	81.264	-1.6812
89.355463	80.896	-4.9910
89.721674	80.397	-5.9905
90.087885	80.117	-7.1578
90.454096	79.867	-9.5406
90.820306	79.809	-11.9976
91.186517	79.878	-15.7354
91.552728	79.670	-20.0175
