* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.0 dBFS, measurement signal peak level -10.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:19:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB entrance door open Delay -0.0660 ms (-23 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -49.4 ppm
* Measurement: L+R 120.blue.screens
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	76.012	-167.8382
16.479492	76.595	-170.5828
16.845703	77.481	-175.8425
17.211914	77.853	178.1681
17.578125	77.930	174.4550
17.944336	78.068	172.2933
18.310547	78.494	171.5135
18.676758	79.416	169.4200
19.042969	80.232	163.4348
19.409179	80.456	156.8191
19.775390	80.503	153.0463
20.141601	80.957	150.2509
20.507812	81.552	145.2219
20.874023	81.837	139.6247
21.240234	82.056	135.7568
21.606445	82.493	131.5789
21.972656	82.794	126.0200
22.338867	82.878	121.6251
22.705078	83.072	118.4697
23.071288	83.373	115.0773
23.437499	83.782	111.3529
23.803710	84.242	106.0530
24.169921	84.419	100.0761
24.536132	84.503	95.6967
24.902343	84.782	91.2224
25.268554	85.023	86.0285
25.634765	85.385	81.2449
26.000976	85.881	74.1340
26.367187	85.914	64.8861
26.733398	85.570	57.3116
27.099608	85.432	50.4973
27.465819	85.296	41.8068
27.832030	84.869	32.9196
28.198241	84.199	24.1525
28.564452	82.971	15.0766
28.930663	81.085	8.9249
29.296874	79.169	6.7628
29.663085	77.247	6.4155
30.029296	75.301	11.7982
30.395507	74.184	21.8174
30.761718	73.628	33.5373
31.127928	74.205	45.6591
31.494139	75.240	50.0407
31.860350	75.885	51.4339
32.226561	76.593	51.6903
32.592772	77.181	50.6639
32.958983	77.816	50.5272
33.325194	78.535	48.6266
33.691405	78.848	46.0927
34.057616	79.247	45.1839
34.423827	79.985	41.8127
34.790038	80.508	35.9901
35.156248	80.823	30.2234
35.522459	80.934	23.6376
35.888670	80.617	16.5101
36.254881	80.014	10.1208
36.621092	79.308	4.4567
36.987303	78.491	0.3643
37.353514	77.621	-1.5284
37.719725	76.747	-1.3423
38.085936	76.154	-0.3268
38.452147	75.703	-1.1516
38.818358	75.160	-0.5957
39.184568	75.162	1.0280
39.550779	75.072	-1.7408
39.916990	74.291	-3.9287
40.283201	73.813	-4.3643
40.649412	73.219	-6.6050
41.015623	72.268	-1.7944
41.381834	72.372	4.4225
41.748045	71.504	2.0865
42.114256	68.973	6.3635
42.480467	68.311	19.5491
42.846678	69.172	26.7065
43.212888	70.785	36.8256
43.579099	73.055	42.0727
43.945310	74.279	40.5464
44.311521	74.452	37.1752
44.677732	74.641	33.7066
45.043943	75.387	28.5686
45.410154	75.831	23.5887
45.776365	75.884	23.0399
46.142576	76.196	19.4724
46.508787	76.003	8.4782
46.874997	75.746	0.7605
47.241208	76.251	-4.0009
47.607419	74.993	-8.4794
47.973630	71.988	8.6413
48.339841	72.069	13.9076
48.706052	68.163	-34.0493
49.072263	63.473	-143.0558
49.438474	67.270	86.1709
49.804685	73.298	33.9969
50.170896	74.036	24.6964
50.537107	74.921	34.5192
50.903317	75.790	32.8764
51.269528	75.888	28.9932
51.635739	76.959	24.0581
52.001950	77.826	16.5987
52.368161	77.965	12.9437
52.734372	78.039	9.0555
53.100583	77.848	1.3218
53.466794	77.776	-5.3870
53.833005	78.240	-10.1584
54.199216	78.689	-15.1058
54.565427	78.707	-22.4559
54.931637	78.056	-32.8683
55.297848	77.124	-41.1912
55.664059	76.816	-45.7678
56.030270	76.513	-50.7953
56.396481	75.540	-53.6951
56.762692	74.796	-56.2490
57.128903	74.282	-63.2150
57.495114	73.978	-67.9135
57.861325	74.377	-70.8777
58.227536	74.429	-76.7972
58.593747	73.990	-83.2631
58.959957	73.808	-92.8168
59.326168	73.562	-102.9783
59.692379	73.773	-106.2121
60.058590	74.918	-111.2090
60.424801	75.566	-121.7100
60.791012	75.993	-130.2588
61.157223	77.246	-138.4122
61.523434	78.668	-149.8174
61.889645	79.815	-161.8923
62.255856	80.985	-174.6787
62.622067	82.095	170.7158
62.988277	82.861	155.6216
63.354488	83.165	141.4084
63.720699	83.079	128.9857
64.086910	82.899	118.9453
64.453121	82.840	110.5236
64.819332	82.788	103.1621
65.185543	82.733	96.6863
65.551754	82.701	89.8113
65.917965	82.613	82.6437
66.284176	82.555	76.2261
66.650387	82.491	70.0652
67.016597	82.213	64.2256
67.382808	81.801	59.1377
67.749019	81.378	54.4331
68.115230	80.995	50.9176
68.481441	80.778	48.6375
68.847652	80.594	46.3048
69.213863	80.377	43.9148
69.580074	80.281	40.4111
69.946285	80.139	35.4225
70.312496	79.839	30.8550
70.678706	79.375	26.9521
71.044917	78.618	23.6216
71.411128	77.775	20.9697
71.777339	76.942	17.5682
72.143550	75.940	15.6436
72.509761	75.163	16.9487
72.875972	74.441	17.4347
73.242183	73.178	18.3273
73.608394	71.842	20.1503
73.974605	70.093	19.4711
74.340816	67.181	24.2068
74.707026	64.002	47.2007
75.073237	64.603	94.6260
75.439448	70.039	116.5872
75.805659	73.917	117.4668
76.171870	76.497	114.5084
76.538081	78.399	109.5688
76.904292	79.686	104.1699
77.270503	80.700	99.6997
77.636714	81.620	95.1985
78.002925	82.412	91.1506
78.369136	83.269	87.5999
78.735346	84.147	83.1405
79.101557	84.941	77.9875
79.467768	85.721	71.6907
79.833979	86.278	63.7002
80.200190	86.441	55.7584
80.566401	86.348	49.0760
80.932612	86.077	43.5031
81.298823	85.709	39.6508
81.665034	85.472	37.2084
82.031245	85.341	35.0645
82.397456	85.269	33.3580
82.763666	85.287	31.1879
83.129877	85.219	28.4368
83.496088	85.155	26.3652
83.862299	85.203	24.0808
84.228510	85.125	21.5516
84.594721	84.982	19.9052
84.960932	84.895	18.0826
85.327143	84.782	16.2520
85.693354	84.839	15.1222
86.059565	85.061	13.3115
86.425776	85.202	11.1249
86.791986	85.329	8.7280
87.158197	85.382	4.8855
87.524408	85.240	0.2953
87.890619	84.992	-4.3173
88.256830	84.596	-8.9580
88.623041	84.057	-12.9578
88.989252	83.479	-17.2020
89.355463	82.635	-21.8054
89.721674	81.569	-23.6493
90.087885	80.744	-22.5708
90.454096	80.049	-20.6570
90.820306	79.482	-17.3568
91.186517	79.240	-15.4313
91.552728	78.881	-15.8938
91.918939	78.380	-15.6700
92.285150	77.943	-14.1777
92.651361	77.545	-10.9316
93.017572	77.386	-6.3572
93.383783	77.380	-2.2650
93.749994	77.495	1.6819
94.116205	77.768	4.1322
94.482415	77.909	5.3842
94.848626	78.053	6.8291
95.214837	78.282	7.3558
95.581048	78.495	7.4976
95.947259	78.776	7.0132
96.313470	78.841	5.6194
96.679681	78.739	5.4875
97.045892	78.808	4.9415
97.412103	78.723	2.9791
97.778314	78.572	2.5724
98.144525	78.580	2.2482
98.510735	78.231	2.5892
98.876946	77.925	6.7147
99.243157	77.973	9.3297
99.609368	77.652	11.0546
99.975579	77.698	15.1646
100.341790	78.178	14.9268
100.708001	78.043	13.5944
101.074212	78.011	16.6748
101.440423	78.420	18.2009
101.806634	78.445	19.2225
102.172845	78.658	22.9503
102.539055	79.190	24.5577
102.905266	79.502	25.7238
103.271477	80.098	28.1234
103.637688	80.922	28.0426
104.003899	81.505	26.7467
104.370110	82.077	25.4861
104.736321	82.654	22.1115
105.102532	82.912	16.9410
105.468743	82.860	12.1953
105.834954	82.681	8.5236
106.201165	82.330	5.6115
106.567375	81.721	4.8055
106.933586	81.209	7.1180
107.299797	81.022	9.9406
107.666008	80.881	12.8486
108.032219	81.006	16.9407
108.398430	81.437	19.4297
108.764641	81.772	21.0332
109.130852	82.291	23.3119
109.497063	83.006	23.8444
109.863274	83.535	23.7656
110.229485	84.139	24.5038
110.595695	84.885	23.5018
110.961906	85.427	20.7810
111.328117	85.835	18.0850
111.694328	86.261	15.1812
112.060539	86.626	11.8174
112.426750	86.863	8.4159
112.792961	86.961	5.5779
113.159172	87.042	3.7980
113.525383	87.200	2.1720
113.891594	87.289	0.3936
114.257805	87.389	-0.4606
114.624015	87.756	-1.6340
114.990226	88.191	-4.6245
115.356437	88.513	-7.9098
115.722648	88.869	-10.8792
116.088859	89.189	-14.9308
116.455070	89.243	-19.8019
116.821281	89.134	-24.1954
117.187492	89.077	-28.4872
117.553703	88.959	-33.0548
117.919914	88.679	-36.4005
118.286124	88.454	-38.2710
118.652335	88.309	-40.8452
119.018546	88.004	-44.3430
119.384757	87.616	-47.0236
119.750968	87.376	-48.9882
120.117179	87.176	-51.2472
120.483390	86.838	-53.2096
120.849601	86.475	-54.2164
121.215812	86.266	-55.2139
121.582023	86.111	-57.2943
121.948234	85.810	-59.5763
122.314444	85.433	-60.7551
122.680655	85.127	-61.5806
123.046866	84.794	-62.9575
123.413077	84.359	-64.0948
123.779288	83.915	-64.1588
124.145499	83.585	-63.3154
124.511710	83.352	-62.8646
124.877921	82.982	-62.9224
125.244132	82.565	-61.5005
125.610343	82.488	-59.3801
125.976554	82.547	-58.6134
126.342764	82.493	-57.8109
126.708975	82.484	-56.5814
127.075186	82.520	-55.7469
127.441397	82.642	-55.2263
127.807608	82.834	-55.7437
128.173819	82.907	-56.4148
128.540030	83.041	-56.2439
128.906241	83.285	-57.2957
129.272452	83.317	-59.6401
129.638663	83.201	-61.4552
130.004874	83.137	-63.0737
130.371084	83.068	-64.9075
130.737295	82.971	-66.9215
131.103506	82.717	-69.3583
131.469717	82.233	-70.7572
131.835928	81.830	-70.6023
132.202139	81.568	-70.9081
132.568350	81.199	-71.2583
132.934561	80.858	-69.9860
133.300772	80.755	-67.9952
133.666983	80.785	-66.6180
134.033194	80.811	-66.0486
134.399404	80.801	-66.0865
134.765615	80.791	-66.5349
135.131826	80.789	-67.2693
135.498037	80.752	-68.1379
135.864248	80.583	-69.1648
136.230459	80.187	-69.8690
136.596670	79.675	-69.5342
136.962881	79.238	-68.4082
137.329092	78.936	-66.6881
137.695303	78.772	-64.4767
138.061514	78.615	-61.7928
138.427724	78.503	-57.7638
138.793935	78.680	-53.7926
139.160146	78.952	-51.6891
139.526357	79.153	-49.9584
139.892568	79.436	-47.8457
140.258779	79.788	-45.8898
140.624990	80.199	-44.0640
140.991201	80.719	-43.1188
141.357412	81.240	-43.4886
141.723623	81.684	-44.3325
142.089833	82.109	-44.8770
142.456044	82.613	-45.4847
142.822255	83.136	-47.2800
143.188466	83.500	-50.0848
143.554677	83.721	-52.7292
