* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.5 dBFS, measurement signal peak level -15.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:41:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements mic moved 10cm to the back -> 3.76m from the speakers 4.66m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay 0.2150 ms (74 mm, 2.9 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -38.4 ppm
* Measurement: R 120.b.s-B+10
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.811	-159.7120
16.479492	71.900	-165.1050
16.845703	72.800	-169.8258
17.211914	73.249	-176.9478
17.578125	73.174	176.4012
17.944336	73.356	170.7645
18.310547	73.539	165.4170
18.676758	73.939	164.8403
19.042969	75.163	161.4857
19.409179	75.752	151.6510
19.775390	75.499	144.8557
20.141601	75.762	142.3275
20.507812	76.275	137.1591
20.874023	76.344	132.2998
21.240234	76.516	129.0566
21.606445	76.823	124.7463
21.972656	77.142	120.3017
22.338867	77.446	114.7307
22.705078	77.269	108.9860
23.071288	76.992	107.1194
23.437499	77.367	105.9264
23.803710	77.811	102.7090
24.169921	78.169	101.2790
24.536132	78.877	99.4089
24.902343	79.434	93.5621
25.268554	79.509	87.0827
25.634765	79.677	82.9983
26.000976	80.308	78.6418
26.367187	80.899	71.9159
26.733398	81.161	64.4509
27.099608	81.297	56.9131
27.465819	81.385	49.2576
27.832030	81.484	42.2301
28.198241	81.544	34.1077
28.564452	81.003	24.0336
28.930663	79.859	16.3599
29.296874	79.338	11.7568
29.663085	79.418	3.2668
30.029296	78.769	-5.8192
30.395507	77.549	-8.2616
30.761718	76.602	-8.0015
31.127928	75.519	-9.5319
31.494139	74.667	-10.5386
31.860350	74.368	-14.2722
32.226561	73.687	-17.9724
32.592772	72.923	-15.5802
32.958983	72.660	-13.0554
33.325194	72.104	-13.6706
33.691405	71.431	-12.3865
34.057616	71.525	-9.7999
34.423827	72.001	-9.8986
34.790038	72.131	-10.8594
35.156248	72.190	-11.4373
35.522459	72.322	-15.4458
35.888670	72.142	-21.4032
36.254881	72.032	-25.5295
36.621092	71.900	-30.8900
36.987303	70.808	-35.4091
37.353514	69.480	-33.5583
37.719725	68.876	-31.9696
38.085936	68.393	-30.2045
38.452147	68.736	-27.1774
38.818358	68.773	-28.5935
39.184568	68.124	-25.3105
39.550779	68.478	-23.7668
39.916990	68.379	-28.4999
40.283201	68.809	-24.9705
40.649412	70.868	-27.4707
41.015623	71.472	-36.6404
41.381834	71.130	-39.7815
41.748045	71.369	-46.6778
42.114256	70.543	-61.6108
42.480467	68.491	-70.2874
42.846678	66.916	-71.4686
43.212888	64.951	-71.1553
43.579099	63.694	-60.8213
43.945310	63.816	-55.2959
44.311521	64.598	-41.4949
44.677732	67.553	-38.3945
45.043943	67.812	-44.4555
45.410154	67.572	-34.0604
45.776365	69.908	-36.7274
46.142576	70.679	-49.6163
46.508787	71.635	-50.7208
46.874997	73.622	-57.9545
47.241208	73.811	-70.5502
47.607419	74.126	-78.4410
47.973630	75.872	-95.4284
48.339841	76.137	-112.3867
48.706052	75.870	-105.4371
49.072263	78.320	-102.9923
49.438474	78.434	-120.4105
49.804685	75.724	-137.2631
50.170896	74.613	-145.9023
50.537107	76.003	-163.1571
50.903317	76.312	-178.1004
51.269528	76.273	176.9763
51.635739	76.602	167.7409
52.001950	76.196	154.9898
52.368161	76.046	146.8586
52.734372	76.276	137.0700
53.100583	75.548	126.4528
53.466794	74.669	118.5679
53.833005	74.234	106.7702
54.199216	73.264	95.6516
54.565427	72.342	92.7151
54.931637	71.530	88.3291
55.297848	69.468	83.7323
55.664059	67.876	84.9678
56.030270	67.181	81.4414
56.396481	65.838	84.8133
56.762692	65.840	95.5953
57.128903	65.318	98.4609
57.495114	64.110	105.4664
57.861325	63.961	106.3945
58.227536	63.201	107.1638
58.593747	64.177	118.7427
58.959957	65.708	121.0735
59.326168	65.950	125.5623
59.692379	66.746	129.3601
60.058590	66.866	126.4288
60.424801	66.772	129.7618
60.791012	67.816	132.2567
61.157223	68.062	133.8228
61.523434	68.816	145.8262
61.889645	71.309	151.7921
62.255856	73.470	149.3232
