* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.2 dBFS, measurement signal peak level -14.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:31:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements mic moved 10cm to the front -> 3.36m from the speakers 4.23m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0048 ms (-1.6 mm, -0.06 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.7 ppm
* Measurement: R 120.b.s-F+10
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	69.903	-168.1321
16.479492	70.527	-173.9334
16.845703	71.350	-176.6535
17.211914	72.086	177.7075
17.578125	71.907	170.6203
17.944336	71.355	167.9219
18.310547	71.369	167.5660
18.676758	71.934	166.5755
19.042969	73.002	162.6438
19.409179	73.732	155.0837
19.775390	73.818	150.9321
20.141601	74.356	150.3851
20.507812	74.999	145.2507
20.874023	74.949	139.5995
21.240234	75.195	137.0490
21.606445	75.829	131.7078
21.972656	75.903	126.6078
22.338867	76.081	126.0308
22.705078	76.745	123.2835
23.071288	77.097	117.8452
23.437499	77.396	113.5521
23.803710	77.863	108.4509
24.169921	78.081	103.0760
24.536132	78.285	99.1459
24.902343	78.596	94.1497
25.268554	78.681	88.7320
25.634765	78.816	84.8676
26.000976	79.191	80.0251
26.367187	79.454	73.5380
26.733398	79.640	67.1114
27.099608	79.892	60.4128
27.465819	80.065	53.0482
27.832030	80.032	44.9389
28.198241	79.606	35.9551
28.564452	78.741	27.9752
28.930663	77.885	22.3200
29.296874	77.249	16.4890
29.663085	76.389	10.2388
30.029296	75.392	6.5416
30.395507	74.741	3.7083
30.761718	74.002	-0.6329
31.127928	72.818	-1.8714
31.494139	72.016	1.7232
31.860350	71.692	2.6367
32.226561	70.911	0.9160
32.592772	70.003	1.9075
32.958983	69.627	4.5442
33.325194	69.580	7.5861
33.691405	69.819	9.9452
34.057616	69.900	9.4349
34.423827	69.816	8.9128
34.790038	70.163	6.8616
35.156248	70.309	1.8987
35.522459	69.990	-0.4703
35.888670	69.756	-1.9817
36.254881	69.004	-5.8829
36.621092	67.932	-5.7368
36.987303	67.806	-4.1790
37.353514	67.557	-4.6288
37.719725	67.169	0.4878
38.085936	67.441	3.5814
38.452147	67.316	2.1394
38.818358	67.632	1.0126
39.184568	68.508	-4.5798
39.550779	68.768	-10.0402
39.916990	68.728	-13.2300
40.283201	68.030	-20.8043
40.649412	66.250	-28.4333
41.015623	65.302	-31.6508
41.381834	65.038	-38.7539
41.748045	63.198	-42.6860
42.114256	59.985	-40.4211
42.480467	50.542	-55.8608
42.846678	55.207	123.4708
43.212888	62.361	92.0280
43.579099	65.853	64.6934
43.945310	68.416	46.9606
44.311521	70.014	39.4745
44.677732	71.048	36.1663
45.043943	71.403	31.9738
45.410154	71.954	31.6804
45.776365	74.172	28.4516
46.142576	76.173	17.4786
46.508787	77.354	6.5372
46.874997	78.711	-8.0914
47.241208	79.810	-30.5974
47.607419	80.059	-50.5942
47.973630	80.203	-60.9692
48.339841	80.340	-74.0723
48.706052	78.317	-95.8439
49.072263	73.879	-111.7532
49.438474	73.736	-108.6971
49.804685	77.194	-125.1506
50.170896	78.382	-143.1964
50.537107	78.345	-152.3989
50.903317	78.523	-163.2717
51.269528	78.240	-178.6818
51.635739	77.896	169.8747
52.001950	78.076	159.6109
52.368161	77.846	147.0475
52.734372	77.334	135.4876
53.100583	77.130	122.6622
53.466794	76.460	109.1952
53.833005	75.215	100.8789
54.199216	74.057	93.7561
54.565427	72.407	84.2513
54.931637	70.808	80.0637
55.297848	70.287	77.2918
55.664059	69.137	75.3655
56.030270	68.092	82.4399
56.396481	67.781	83.6963
56.762692	66.532	84.2051
57.128903	66.688	90.2499
57.495114	67.289	87.0439
57.861325	66.616	86.6823
58.227536	66.415	89.6443
58.593747	65.759	87.6478
58.959957	64.953	94.2468
59.326168	65.922	100.0364
59.692379	65.988	100.6982
60.058590	65.407	109.7478
60.424801	65.620	119.9590
60.791012	66.107	128.4381
61.157223	67.354	135.1989
61.523434	68.936	139.7942
61.889645	71.008	143.4974
62.255856	73.265	142.0680
62.622067	75.237	136.3530
62.988277	76.886	127.0574
63.354488	77.864	115.7853
63.720699	78.185	106.2558
64.086910	78.323	98.3719
64.453121	78.288	89.8623
64.819332	78.041	82.6738
65.185543	77.993	77.6022
65.551754	77.988	72.7871
65.917965	77.817	69.2770
66.284176	77.747	65.7513
66.650387	77.507	60.3779
67.016597	77.012	56.2415
67.382808	76.637	53.6567
67.749019	76.123	51.4277
68.115230	75.547	52.0494
68.481441	75.468	53.0983
68.847652	75.497	52.0818
69.213863	75.513	51.3278
69.580074	75.585	49.6108
69.946285	75.363	46.6152
70.312496	74.954	43.6153
70.678706	74.463	39.9756
71.044917	73.771	37.6962
71.411128	73.206	38.3055
71.777339	72.759	39.4228
72.143550	72.183	41.4644
72.509761	71.695	44.6677
72.875972	71.231	48.6547
73.242183	70.943	54.9321
73.608394	70.938	60.7911
73.974605	70.757	66.7084
74.340816	70.971	75.0920
74.707026	71.876	81.2325
75.073237	72.816	86.3517
75.439448	74.231	93.2908
75.805659	76.201	95.8409
76.171870	77.760	92.8742
76.538081	78.837	88.8177
76.904292	79.904	84.5692
77.270503	80.890	79.4130
77.636714	81.656	75.0612
78.002925	82.429	71.4089
78.369136	83.158	66.6159
78.735346	83.785	61.7050
79.101557	84.639	56.8877
79.467768	85.657	49.9929
79.833979	86.477	41.1078
80.200190	87.047	31.0512
80.566401	87.354	19.4933
80.932612	87.261	7.1100
81.298823	86.782	-4.4805
81.665034	86.034	-14.7106
82.031245	85.039	-23.5591
82.397456	83.874	-30.4526
82.763666	82.711	-35.4751
83.129877	81.574	-39.0853
83.496088	80.504	-41.1831
83.862299	79.570	-42.6381
84.228510	78.675	-43.7186
84.594721	77.928	-43.9247
84.960932	77.334	-44.8024
