* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.9 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:25:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements 8cm to the right 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.2446 ms (-84 mm, -3.3 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.3 ppm
* Measurement: R 120.b.s-R+8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.610	-165.8311
16.479492	70.541	-172.0490
16.845703	71.043	-177.3826
17.211914	71.590	175.4461
17.578125	71.757	171.9378
17.944336	72.141	170.9998
18.310547	72.425	168.2740
18.676758	72.714	165.8036
19.042969	73.471	161.0086
19.409179	73.960	153.7246
19.775390	74.053	149.5776
20.141601	74.458	147.5381
20.507812	75.026	142.9624
20.874023	75.421	137.2651
21.240234	75.772	132.5476
21.606445	76.111	128.7607
21.972656	76.348	124.9844
22.338867	76.379	120.5597
22.705078	76.256	116.4423
23.071288	76.294	113.6231
23.437499	76.682	111.1407
23.803710	77.213	107.3609
24.169921	77.575	102.6406
24.536132	77.885	98.4461
24.902343	78.345	93.6826
25.268554	78.626	88.1232
25.634765	78.786	84.4328
26.000976	79.294	80.2932
26.367187	79.669	72.4794
26.733398	79.564	65.1106
27.099608	79.651	60.1272
27.465819	80.019	52.6649
27.832030	79.985	42.5160
28.198241	79.527	33.2168
28.564452	78.906	25.7180
28.930663	78.124	20.1813
29.296874	77.365	15.9108
29.663085	76.608	9.4720
30.029296	75.490	1.5952
30.395507	74.315	-2.3835
30.761718	73.763	-2.5691
31.127928	73.288	-3.7477
31.494139	72.097	-3.9847
31.860350	70.908	-0.4523
32.226561	70.491	0.6541
32.592772	70.072	-0.6536
32.958983	69.845	2.2059
33.325194	69.971	4.3384
33.691405	69.468	5.8369
34.057616	69.328	9.6862
34.423827	69.803	7.4312
34.790038	69.764	4.2412
35.156248	70.003	4.8521
35.522459	70.228	0.5660
35.888670	69.441	-6.0298
36.254881	68.623	-10.8439
36.621092	67.907	-16.0350
36.987303	66.832	-13.2922
37.353514	66.815	-5.3751
37.719725	66.576	-3.3768
