* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.3 dBFS, measurement signal peak level -14.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:23:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0394 ms (-13 mm, -0.53 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.8 ppm
* Measurement: R 120.blue.screens.repetition.2
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.282	-163.7294
16.479492	70.425	-171.0233
16.845703	71.176	-176.3848
17.211914	71.979	177.1682
17.578125	71.972	171.3942
17.944336	71.540	168.9102
18.310547	71.541	168.1970
18.676758	72.349	166.7517
19.042969	73.576	161.7982
19.409179	74.219	154.2288
19.775390	74.180	149.7032
20.141601	74.590	148.2758
20.507812	75.350	143.1330
20.874023	75.479	137.4193
21.240234	75.518	136.1482
21.606445	76.075	133.0572
21.972656	76.283	125.3024
22.338867	76.037	119.2642
22.705078	76.160	116.9614
23.071288	76.708	114.5063
23.437499	77.241	110.9308
23.803710	77.637	106.4295
24.169921	77.869	102.3185
24.536132	78.291	99.3955
24.902343	78.866	94.3866
25.268554	78.952	87.9894
25.634765	78.886	84.3740
26.000976	79.420	80.1152
26.367187	79.882	71.9334
26.733398	79.911	65.0834
27.099608	80.240	60.0146
27.465819	80.664	51.1636
27.832030	80.473	40.5946
28.198241	79.988	32.3135
28.564452	79.484	24.6311
28.930663	78.544	18.1223
29.296874	77.642	15.6068
29.663085	77.208	10.8982
30.029296	76.184	2.8074
30.395507	74.754	-0.8361
30.761718	74.060	-2.8767
31.127928	73.201	-7.0236
31.494139	72.269	-5.1820
31.860350	72.331	-3.8306
32.226561	71.793	-7.1700
32.592772	70.723	-4.9939
32.958983	70.508	-1.6351
33.325194	70.141	-0.8558
33.691405	69.847	3.7463
34.057616	70.032	6.4042
34.423827	69.891	6.8976
34.790038	70.013	6.4144
35.156248	70.323	1.0482
35.522459	70.311	-5.0099
35.888670	70.141	-8.7531
36.254881	69.680	-11.0024
36.621092	69.071	-12.1287
36.987303	68.398	-14.8187
37.353514	67.429	-14.5494
37.719725	67.356	-8.2724
38.085936	67.773	-5.7745
38.452147	67.582	-3.3384
38.818358	67.859	-2.3907
39.184568	68.069	-8.8557
39.550779	68.021	-13.8364
39.916990	68.654	-17.3143
40.283201	68.803	-25.2405
40.649412	67.625	-30.9922
41.015623	66.564	-30.5055
41.381834	66.426	-33.9954
41.748045	65.598	-46.2899
42.114256	62.637	-63.3926
42.480467	57.574	-81.5777
42.846678	52.504	-123.9515
43.212888	55.867	122.8174
43.579099	64.473	63.2025
43.945310	67.358	33.6429
44.311521	66.646	33.2834
44.677732	68.326	42.6658
45.043943	69.063	30.1561
45.410154	68.812	24.9987
45.776365	71.913	23.2005
46.142576	74.499	10.8274
46.508787	75.574	2.5227
46.874997	77.086	-9.6213
47.241208	78.210	-32.8690
47.607419	78.472	-51.7938
47.973630	79.101	-60.9933
48.339841	79.241	-77.1268
