* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -25.8 dBFS, measurement signal peak level -14.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:21:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0584 ms (-20 mm, -0.79 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.4 ppm
* Measurement: R 120.blue.screens.repetition
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.470	-165.2177
16.479492	70.458	-168.8770
16.845703	71.232	-171.5926
17.211914	72.142	179.8026
17.578125	72.301	172.9472
17.944336	72.390	169.8994
18.310547	72.279	166.2629
18.676758	72.246	165.6003
19.042969	73.399	163.1349
19.409179	74.411	154.6176
19.775390	74.514	148.5012
20.141601	74.697	147.0746
20.507812	75.256	143.7387
20.874023	75.660	138.4233
21.240234	75.956	133.7082
21.606445	76.160	129.3547
21.972656	76.243	124.9638
22.338867	76.331	120.2325
22.705078	76.510	116.1219
23.071288	76.927	113.8443
23.437499	77.509	111.4946
23.803710	77.804	107.5089
24.169921	77.773	103.5779
24.536132	78.051	100.0935
24.902343	78.681	94.2887
25.268554	78.960	87.9569
25.634765	79.083	84.7049
26.000976	79.602	79.9336
26.367187	79.872	70.8099
26.733398	79.769	63.9392
27.099608	80.188	60.1094
27.465819	80.714	52.6086
27.832030	80.510	42.8985
28.198241	79.992	33.7391
28.564452	79.395	24.2249
28.930663	78.433	17.8300
29.296874	77.747	16.4121
29.663085	77.348	11.6299
30.029296	76.253	3.6541
30.395507	75.016	-1.1177
30.761718	74.262	-3.7489
31.127928	73.465	-3.7596
31.494139	72.892	-2.5768
31.860350	71.891	-6.0924
32.226561	70.280	-5.6173
32.592772	70.344	-0.2719
32.958983	70.802	-1.7294
33.325194	70.060	0.7033
33.691405	69.711	8.3945
34.057616	69.757	9.6687
34.423827	69.884	7.1073
34.790038	70.524	2.5413
35.156248	70.973	-2.6720
35.522459	70.815	-6.5292
35.888670	70.047	-9.7533
36.254881	69.057	-10.8612
36.621092	68.624	-10.6027
36.987303	68.268	-10.5618
37.353514	67.635	-7.1755
37.719725	67.200	-2.7975
38.085936	67.075	-0.8246
38.452147	67.572	-2.2653
38.818358	68.133	-6.1693
39.184568	68.448	-7.8674
39.550779	68.788	-11.3517
39.916990	68.579	-19.7255
40.283201	68.149	-27.2391
40.649412	68.171	-33.0239
41.015623	67.840	-38.0522
41.381834	67.008	-41.8432
41.748045	65.682	-52.0697
42.114256	62.920	-68.7897
42.480467	58.471	-84.5610
42.846678	48.865	-139.1069
43.212888	58.322	104.3495
43.579099	63.413	79.2730
43.945310	64.955	62.9498
44.311521	66.498	42.2925
44.677732	67.634	23.7357
45.043943	68.479	26.3366
45.410154	71.053	30.9731
45.776365	72.386	23.8738
46.142576	73.430	17.2291
46.508787	75.937	3.8064
46.874997	77.708	-14.6522
47.241208	78.150	-28.5620
47.607419	78.514	-44.1047
47.973630	78.721	-68.3486
48.339841	78.723	-84.7238
48.706052	80.371	-86.8453
49.072263	82.148	-99.2924
49.438474	80.873	-119.9817
49.804685	77.104	-133.8713
50.170896	76.244	-138.0188
50.537107	77.920	-154.9391
50.903317	78.141	-168.6437
51.269528	77.955	-174.3229
51.635739	77.878	173.2543
52.001950	77.245	157.2241
52.368161	77.172	146.9047
52.734372	77.404	136.4949
53.100583	76.546	126.1332
53.466794	75.633	117.2504
53.833005	75.227	101.5819
54.199216	73.978	86.2955
54.565427	72.442	84.9955
54.931637	71.964	84.9105
55.297848	70.420	79.0484
55.664059	68.633	80.0859
56.030270	68.187	80.2193
56.396481	67.123	81.7598
56.762692	66.772	91.3527
57.128903	66.815	91.8069
57.495114	65.845	91.3142
57.861325	65.819	94.9629
58.227536	66.118	95.5574
58.593747	65.780	100.1569
58.959957	65.612	106.4240
59.326168	65.261	109.2003
59.692379	65.129	111.9543
60.058590	65.810	114.5292
60.424801	66.602	117.0793
60.791012	66.898	123.4716
61.157223	67.612	135.1648
61.523434	69.277	142.2254
61.889645	71.023	144.1779
62.255856	73.174	143.6645
62.622067	75.296	137.6484
62.988277	76.703	128.7139
63.354488	77.640	119.1400
63.720699	78.230	108.3747
64.086910	78.322	99.0394
64.453121	78.337	93.5488
64.819332	78.505	88.3337
65.185543	78.379	82.3978
65.551754	78.187	78.1587
65.917965	78.254	73.7428
66.284176	78.193	68.6771
66.650387	78.012	64.6941
67.016597	77.812	60.3136
67.382808	77.393	55.9649
67.749019	76.997	53.5100
68.115230	76.787	51.7430
68.481441	76.634	50.3972
68.847652	76.658	48.3670
69.213863	76.597	44.1425
69.580074	76.289	40.3157
69.946285	76.042	37.7139
70.312496	75.724	34.3881
70.678706	75.062	31.0153
71.044917	74.212	28.7143
71.411128	73.418	27.6024
71.777339	72.792	26.9824
72.143550	72.033	26.3411
72.509761	70.989	28.0140
72.875972	70.023	32.0604
73.242183	69.102	37.9375
73.608394	68.573	46.7302
73.974605	68.164	54.8155
74.340816	67.449	68.6807
74.707026	68.283	85.7358
75.073237	69.767	95.1728
75.439448	71.743	102.6362
75.805659	74.290	103.5340
76.171870	76.214	100.4946
76.538081	77.704	98.3565
76.904292	79.052	94.7759
77.270503	80.031	89.4051
77.636714	80.851	84.0961
78.002925	81.674	78.6467
78.369136	82.423	73.7486
78.735346	83.273	69.5009
79.101557	84.233	64.0319
79.467768	85.155	57.2482
79.833979	86.069	49.1759
80.200190	86.809	38.8696
80.566401	87.118	26.9142
80.932612	87.004	14.6642
81.298823	86.583	2.9059
81.665034	85.897	-7.5087
82.031245	84.995	-15.8787
82.397456	83.920	-22.4193
82.763666	82.741	-27.4534
83.129877	81.629	-31.5020
83.496088	80.609	-34.8127
83.862299	79.714	-36.3287
84.228510	79.012	-36.9671
84.594721	78.200	-37.6599
84.960932	77.391	-37.1376
85.327143	76.882	-37.9089
85.693354	76.224	-39.9893
86.059565	75.646	-39.1121
86.425776	75.542	-38.4593
86.791986	75.180	-39.3226
87.158197	74.768	-38.0180
87.524408	74.782	-38.4323
87.890619	74.659	-41.5527
88.256830	74.592	-44.5967
88.623041	74.597	-50.1635
88.989252	74.009	-56.5135
89.355463	73.146	-60.4168
89.721674	72.132	-67.9222
90.087885	69.637	-82.1041
90.454096	65.044	-97.9593
90.820306	59.891	-116.8427
91.186517	56.749	-161.8779
91.552728	58.608	135.0579
91.918939	63.076	98.3025
92.285150	67.192	81.5054
92.651361	70.208	69.7963
93.017572	71.759	60.4048
93.383783	72.555	54.2668
93.749994	73.374	47.7827
94.116205	73.955	39.5665
94.482415	74.146	34.1219
94.848626	74.416	32.3021
95.214837	74.695	29.8828
95.581048	74.629	26.7970
95.947259	74.627	24.0812
96.313470	74.874	19.6196
96.679681	74.930	14.7030
97.045892	74.831	12.7540
97.412103	74.908	11.8512
97.778314	74.810	8.9291
98.144525	74.319	6.2939
98.510735	73.977	5.5490
98.876946	73.865	3.5433
99.243157	73.217	0.8817
99.609368	72.055	3.0865
99.975579	71.546	9.0103
100.341790	71.644	10.4371
100.708001	71.515	9.4288
101.074212	71.363	11.1276
101.440423	71.421	14.7880
101.806634	71.385	19.3462
102.172845	71.328	25.2816
102.539055	71.558	30.7765
102.905266	72.075	34.6934
103.271477	72.913	37.7579
103.637688	74.004	39.1239
104.003899	74.912	38.2131
104.370110	75.444	36.6855
