* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.7 dBFS, measurement signal peak level -14.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:18:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic 3,45 from L and R 4.33m from front wall 2 screen panels prolongation - new setup DAC level -28dB entrance door open Delay -0.0403 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -16.8 ppm
* Measurement: R 120.blue.screens
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	69.970	-168.4139
16.479492	70.436	-173.4864
16.845703	71.575	-176.8861
17.211914	72.340	175.5396
17.578125	71.941	169.1628
17.944336	71.389	169.0213
18.310547	71.874	170.7881
18.676758	73.069	168.7803
19.042969	73.960	162.4945
19.409179	73.955	156.1920
19.775390	73.828	153.6900
20.141601	74.487	149.7315
20.507812	75.146	142.0038
20.874023	75.399	136.5280
21.240234	75.728	133.9697
21.606445	76.067	130.2060
21.972656	76.178	125.5303
22.338867	76.311	121.3238
22.705078	76.548	117.7128
23.071288	76.890	115.1167
23.437499	77.381	112.0854
23.803710	77.753	107.5947
24.169921	77.956	103.7489
24.536132	78.385	100.4204
24.902343	78.883	94.3651
25.268554	78.937	87.1500
25.634765	78.940	82.9812
26.000976	79.558	79.0836
26.367187	80.110	71.6724
26.733398	80.039	64.4873
27.099608	79.939	59.2733
27.465819	80.107	52.0752
27.832030	80.163	42.8514
28.198241	80.040	33.7455
28.564452	79.470	24.7351
28.930663	78.219	18.9153
29.296874	77.354	17.4043
29.663085	77.163	10.7732
30.029296	76.272	0.6045
30.395507	74.987	-2.9417
30.761718	74.459	-3.7302
31.127928	73.603	-6.4156
31.494139	72.587	-3.5466
31.860350	72.383	-2.2977
32.226561	71.419	-4.8376
32.592772	70.185	-0.8084
32.958983	70.044	2.0483
33.325194	69.697	1.4312
33.691405	69.628	4.5331
34.057616	70.089	5.6631
34.423827	70.287	5.5332
34.790038	70.563	3.9954
35.156248	70.517	-0.8145
35.522459	70.166	-3.8378
35.888670	70.063	-6.3986
36.254881	69.581	-10.5535
36.621092	68.756	-13.0460
36.987303	67.873	-15.1509
37.353514	66.821	-11.4050
37.719725	67.246	-3.2192
38.085936	67.644	-3.7500
38.452147	66.960	-0.9614
38.818358	67.715	2.0862
39.184568	68.603	-6.8228
39.550779	68.588	-14.4302
39.916990	68.728	-18.2722
40.283201	68.408	-25.1760
40.649412	67.551	-30.4655
41.015623	67.464	-36.7595
41.381834	66.950	-46.2950
41.748045	65.259	-49.5992
42.114256	63.033	-53.6200
42.480467	58.331	-76.3278
42.846678	51.667	-142.4885
43.212888	54.831	117.8577
43.579099	62.852	61.3778
43.945310	66.828	34.6426
44.311521	67.047	32.6234
44.677732	68.425	42.2690
45.043943	69.429	32.4248
45.410154	69.400	24.2161
45.776365	71.982	21.3542
46.142576	74.429	9.9887
46.508787	75.385	1.7351
46.874997	77.001	-9.5712
47.241208	78.515	-32.4684
47.607419	78.830	-51.4774
47.973630	79.005	-59.5684
48.339841	78.870	-75.9324
48.706052	75.898	-106.9060
49.072263	71.034	-126.5233
49.438474	74.613	-114.7358
49.804685	79.045	-132.6622
50.170896	79.192	-149.3395
50.537107	77.915	-153.3414
50.903317	78.013	-162.2386
51.269528	77.914	179.8577
51.635739	77.622	168.6066
52.001950	77.791	160.4836
52.368161	77.362	149.2797
52.734372	76.755	138.5321
53.100583	76.777	124.9523
53.466794	76.271	110.4100
53.833005	75.140	102.4614
54.199216	74.305	95.4423
54.565427	72.922	85.2360
54.931637	71.333	82.0650
55.297848	70.684	81.4384
55.664059	69.204	80.3731
56.030270	67.892	86.7452
56.396481	67.539	83.5780
56.762692	66.066	79.1999
57.128903	66.065	88.0726
57.495114	67.173	88.8010
57.861325	66.719	89.2964
58.227536	66.161	92.9881
58.593747	65.238	95.0388
58.959957	65.165	104.7018
59.326168	66.522	106.6768
59.692379	66.416	106.5467
60.058590	66.360	114.9954
60.424801	66.759	118.1761
60.791012	66.418	123.9158
61.157223	67.527	134.0010
61.523434	69.086	137.7549
61.889645	70.682	143.0814
62.255856	73.120	144.1074
62.622067	75.311	137.4871
62.988277	76.887	127.7983
63.354488	77.866	117.2145
63.720699	78.241	107.4774
64.086910	78.275	99.6102
64.453121	78.223	92.9509
64.819332	78.177	87.3390
65.185543	78.211	82.3652
65.551754	78.188	77.5643
65.917965	78.130	73.5101
66.284176	78.148	68.9818
66.650387	77.975	63.8167
67.016597	77.649	60.2092
