* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -19.9 dBFS, measurement signal peak level -14.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025, 2:31:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 120.blue legacy measurements.  Method: inversion; LEFT+RIGHT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0425 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.9 ppm
* Measurement: L+R.120.Blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 52.381 -19.3214
5.493164 45.384 -88.1381
5.859375 49.557 94.2444
6.225586 51.132 -2.1938
6.591797 54.967 -101.3564
6.958008 53.338 -157.4229
7.324219 42.052 -62.8739
7.690429 54.858 -71.8329
8.056640 55.602 -64.5188
8.422851 60.805 -53.4896
8.789062 62.711 -80.0173
9.155273 60.150 -115.9549
9.521484 57.928 -128.7296
9.887695 61.593 -128.5901
10.253906 61.828 -137.9565
10.620117 59.808 -110.4450
10.986328 60.984 -104.0462
11.352539 54.099 -125.7579
11.718749 51.902 -79.1663
12.084960 63.769 -124.1212
12.451171 68.115 -155.0379
12.817382 66.976 -159.2135
13.183593 68.017 -136.1039
13.549804 69.884 -142.3308
13.916015 68.394 -151.7158
14.282226 68.253 -143.1960
14.648437 70.709 -148.2290
15.014648 71.528 -158.1911
15.380859 71.969 -159.0445
15.747069 73.152 -161.4751
16.113280 73.857 -167.5278
16.479491 74.405 -173.2530
16.845702 74.756 178.6071
17.211913 74.560 173.2547
17.578124 75.187 172.9287
17.944335 76.393 167.3911
18.310546 76.745 160.9826
18.676757 77.129 159.2687
19.042968 77.980 154.1406
19.409179 78.235 146.3739
19.775389 78.413 142.0280
20.141600 78.968 136.0809
20.507811 78.833 128.4586
20.874022 78.434 126.8320
21.240233 79.113 125.6862
21.606444 79.782 118.7710
21.972655 79.845 113.0416
22.338866 80.018 109.9459
22.705077 80.251 105.5274
23.071288 80.376 100.8989
23.437499 80.756 95.7428
23.803709 81.114 88.5451
24.169920 81.067 81.9138
24.536131 80.809 78.0690
24.902342 80.779 76.3144
25.268553 81.301 73.0589
25.634764 81.940 64.6448
26.000975 81.939 53.0632
26.367186 81.124 42.7209
26.733397 79.775 35.8961
27.099608 78.288 33.6284
27.465818 77.433 35.6444
27.832029 77.515 36.0560
28.198240 77.710 32.9102
28.564451 77.707 28.1812
28.930662 77.274 20.9346
29.296873 75.857 13.4113
29.663084 73.704 12.6412
30.029295 72.258 20.1929
30.395506 71.923 28.3587
30.761717 72.131 34.9286
31.127928 72.569 39.2069
31.494138 72.882 42.2129
31.860349 73.207 45.4699
32.226560 73.770 47.7091
32.592771 74.529 47.4399
32.958982 75.324 44.6175
33.325193 76.002 40.5466
33.691404 76.485 36.9103
34.057615 76.893 34.5344
34.423826 77.462 31.2765
34.790037 77.967 23.6063
35.156248 77.903 12.2152
35.522458 77.130 1.5900
35.888669 76.021 -4.1808
36.254880 75.180 -5.9766
36.621091 74.532 -8.9906
36.987302 73.415 -13.6639
37.353513 71.899 -15.1113
37.719724 70.808 -12.2797
38.085935 70.149 -8.7307
38.452146 69.590 -4.3961
38.818357 69.051 0.3619
39.184568 68.712 9.0133
39.550778 69.938 17.7773
39.916989 71.526 16.1121
40.283200 71.934 10.0952
40.649411 71.397 5.4519
41.015622 70.545 2.4045
41.381833 70.123 -0.1154
41.748044 70.256 -5.8940
42.114255 69.708 -12.0364
42.480466 68.535 -8.4135
42.846677 68.334 -0.2529
43.212888 68.147 3.1802
43.579098 68.009 6.6594
43.945309 68.135 5.7239
44.311520 67.478 5.0205
44.677731 67.075 8.5122
45.043942 66.728 6.3059
45.410153 65.751 5.5262
45.776364 66.019 7.2664
46.142575 66.078 5.6334
46.508786 65.767 15.6428
46.874997 66.847 21.2561
47.241208 65.911 18.8225
47.607418 65.135 30.5588
47.973629 66.855 30.9931
48.339840 66.677 32.8203
48.706051 68.950 52.1595
49.072262 71.830 47.6112
49.438473 71.221 39.0846
49.804684 70.280 45.5481
50.170895 71.762 42.0591
50.537106 72.316 27.5361
50.903317 72.215 19.7026
51.269527 72.670 14.2261
51.635738 72.578 6.1688
52.001949 72.139 3.0537
52.368160 72.504 1.3033
52.734371 72.691 -3.5287
53.100582 72.397 -7.3522
53.466793 72.083 -12.8201
53.833004 71.499 -20.7772
54.199215 70.950 -26.3615
54.565426 70.631 -29.7236
54.931637 69.972 -30.6428
55.297847 69.444 -29.6385
55.664058 69.245 -34.4714
56.030269 68.906 -42.8164
56.396480 68.993 -47.9794
56.762691 69.304 -52.9746
57.128902 68.718 -58.0917
57.495113 67.753 -61.4614
57.861324 67.396 -70.1996
58.227535 67.173 -83.3029
58.593746 67.215 -89.6054
58.959957 68.187 -94.0258
59.326167 68.745 -105.9449
59.692378 68.433 -119.1702
60.058589 68.929 -127.9658
60.424800 70.622 -137.8785
60.791011 72.008 -148.4747
61.157222 73.058 -155.7763
61.523433 74.360 -163.6519
61.889644 75.590 -175.2074
62.255855 76.588 172.2627
62.622066 77.542 160.3197
62.988277 78.350 149.0396
63.354487 78.907 139.3569
63.720698 79.360 131.0076
64.086909 79.737 122.6835
64.453120 80.042 114.7090
64.819331 80.448 107.4526
65.185542 80.934 100.0964
65.551753 81.305 92.6691
65.917964 81.585 85.3788
66.284175 81.852 77.2175
66.650386 81.987 67.7745
67.016597 81.862 58.2446
67.382807 81.482 49.6620
67.749018 80.849 42.1479
68.115229 80.018 36.4174
68.481440 79.353 32.9217
68.847651 79.042 29.0778
69.213862 78.604 23.9630
69.580073 77.934 20.3470
69.946284 77.470 17.2625
70.312495 76.938 11.9053
70.678706 76.010 7.6390
71.044917 75.252 6.4323
71.411127 74.702 3.4919
71.777338 73.659 -1.5354
72.143549 72.213 -6.1915
72.509760 70.498 -11.5944
72.875971 68.034 -16.4152
73.242182 64.566 -17.3589
73.608393 58.534 -14.2413
73.974604 49.200 96.6648
74.340815 62.082 126.3929
74.707026 67.440 124.2285
75.073236 71.014 118.3315
75.439447 73.434 111.2324
75.805658 75.121 104.9990
76.171869 76.438 98.4604
76.538080 77.394 91.1623
76.904291 78.157 84.7594
77.270502 78.969 78.9872
77.636713 79.666 72.6038
78.002924 80.071 65.9059
78.369135 80.245 58.8229
78.735346 80.141 51.3282
79.101556 79.713 45.1481
79.467767 79.100 41.8578
79.833978 78.466 41.7991
80.200189 78.115 44.3011
80.566400 78.198 46.2094
80.932611 78.381 46.9064
81.298822 78.777 48.1706
81.665033 79.468 47.8951
82.031244 79.987 45.7664
82.397455 80.375 43.7862
82.763666 80.828 40.7000
83.129876 81.098 36.1376
83.496087 81.181 31.9429
83.862298 81.225 28.0042
84.228509 81.152 24.2056
84.594720 81.057 21.1669
84.960931 80.992 17.9707
85.327142 80.794 15.1029
85.693353 80.626 13.4802
86.059564 80.567 11.3474
86.425775 80.377 8.5518
86.791986 80.132 6.1728
87.158196 79.909 3.6357
87.524407 79.595 1.3588
87.890618 79.224 0.1890
88.256829 78.849 0.5442
88.623040 78.711 2.1438
88.989251 78.799 1.9391
89.355462 78.678 0.3900
89.721673 78.632 -0.2255
90.087884 78.820 -2.5618
90.454095 78.708 -6.0401
90.820306 78.466 -7.6288
91.186516 78.313 -9.7219
91.552727 77.819 -12.2532
91.918938 77.288 -12.3888
92.285149 77.029 -12.8720
92.651360 76.563 -13.8406
93.017571 76.048 -13.0125
93.383782 75.599 -12.3683
93.749993 75.068 -10.8295
94.116204 74.917 -8.7484
94.482415 74.773 -9.0014
94.848626 74.259 -7.4841
95.214836 74.057 -3.3276
95.581047 74.148 -0.8439
95.947258 74.219 0.4391
96.313469 74.255 1.1810
96.679680 74.129 2.5128
97.045891 74.010 4.6511
97.412102 73.816 5.8665
97.778313 73.574 7.5200
98.144524 73.651 9.1631
98.510735 73.761 10.9415
98.876945 73.986 15.2930
99.243156 74.303 18.4731
99.609367 74.009 20.9968
99.975578 73.795 26.2950
100.341789 74.272 28.2919
100.708000 74.625 27.4445
101.074211 75.029 29.5442
101.440422 75.774 32.3628
101.806633 76.420 34.5088
102.172844 77.119 36.5897
102.539055 77.979 36.3807
102.905265 78.711 34.2264
103.271476 79.288 31.8742
103.637687 79.742 29.2512
104.003898 80.023 26.2610
104.370109 80.228 23.3527
104.736320 80.464 20.4099
105.102531 80.631 17.5570
105.468742 80.669 15.5403
105.834953 80.651 13.8940
106.201164 80.511 11.8814
106.567375 80.281 10.7586
106.933585 80.226 10.8187
107.299796 80.240 10.8885
107.666007 80.144 12.1190
108.032218 80.233 14.3638
108.398429 80.516 15.2637
108.764640 80.845 15.4038
109.130851 81.330 15.2639
109.497062 81.812 14.1242
109.863273 82.096 12.7970
110.229484 82.262 11.6881
110.595695 82.389 10.6041
110.961905 82.578 9.8774
111.328116 82.909 9.1707
111.694327 83.282 8.1839
112.060538 83.632 7.0946
112.426749 83.959 5.7601
112.792960 84.277 4.1434
113.159171 84.609 2.0912
113.525382 84.898 -0.2844
113.891593 85.172 -2.3885
114.257804 85.512 -4.6006
114.624015 85.836 -7.3798
114.990225 86.101 -10.1099
115.356436 86.403 -12.7776
115.722647 86.758 -16.1646
116.088858 87.086 -20.6196
116.455069 87.305 -25.9181
116.821280 87.371 -31.3591
117.187491 87.322 -36.6010
117.553702 87.138 -42.0289
117.919913 86.729 -47.3328
118.286124 86.172 -51.5557
118.652335 85.625 -54.7045
119.018545 85.090 -57.1988
119.384756 84.551 -58.8636
119.750967 84.075 -59.9367
120.117178 83.660 -61.0024
120.483389 83.253 -62.0560
120.849600 82.833 -62.7334
121.215811 82.423 -62.7971
121.582022 82.070 -62.6571
121.948233 81.713 -62.7576
122.314444 81.314 -62.3127
122.680654 81.026 -60.8752
123.046865 80.854 -59.5499
123.413076 80.617 -58.2053
123.779287 80.446 -56.2106
124.145498 80.436 -55.0197
124.511709 80.375 -54.3248
124.877920 80.408 -52.4379
125.244131 80.684 -50.9774
125.610342 80.892 -50.5941
125.976553 81.075 -49.7989
126.342764 81.431 -49.5274
126.708974 81.800 -50.3020
127.075185 82.152 -51.2851
127.441396 82.482 -53.0229
127.807607 82.671 -55.4539
128.173818 82.805 -58.1047
128.540029 82.909 -61.4344
128.906240 82.865 -64.7601
129.272451 82.743 -67.2310
129.638662 82.597 -69.5701
130.004873 82.375 -72.1058
130.371084 82.125 -74.5888
130.737294 81.876 -76.8204
131.103505 81.655 -78.3566
131.469716 81.462 -79.7941
131.835927 81.126 -81.3800
132.202138 80.705 -82.1291
132.568349 80.406 -82.7306
132.934560 80.116 -83.7192
133.300771 79.831 -83.8677
133.666982 79.681 -83.8287
134.033193 79.496 -84.5096
134.399404 79.205 -85.1144
134.765614 78.871 -85.5671
135.131825 78.432 -85.6375
135.498036 77.940 -84.5983
135.864247 77.491 -82.8707
136.230458 77.072 -80.7076
136.596669 76.746 -77.8822
136.962880 76.585 -74.5668
137.329091 76.619 -71.1483
137.695302 76.798 -68.3816
138.061513 76.994 -66.4003
138.427724 77.191 -64.6703
138.793934 77.464 -63.0475
139.160145 77.827 -61.8530
139.526356 78.206 -61.1918
139.892567 78.573 -60.6594
140.258778 78.979 -60.2996
140.624989 79.410 -60.3925
140.991200 79.850 -60.9485
141.357411 80.263 -62.2485
141.723622 80.575 -63.9624
142.089833 80.870 -65.7321
142.456044 81.159 -68.2775
142.822254 81.298 -71.1472
143.188465 81.388 -73.2442
143.554676 81.564 -75.5013
143.920887 81.670 -78.5421
144.287098 81.664 -81.3926
144.653309 81.656 -83.9323
145.019520 81.629 -86.5005
145.385731 81.567 -89.0397
145.751942 81.458 -91.7875
146.118153 81.243 -94.5068
146.484363 80.972 -96.7429
146.850574 80.673 -98.8081
147.216785 80.263 -100.4456
147.582996 79.833 -100.7198
147.949207 79.585 -100.2995
148.315418 79.389 -100.4238
148.681629 79.070 -99.8072
