* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 1, 2026, 9:06:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Trace Arithmetic A times B A = L.120.Blue B = FLX-trimmed 
* Measurement: L.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 44.114 -65.6362
5.493164 46.432 151.7285
5.859375 41.464 119.2162
6.225586 49.612 143.4420
6.591797 56.262 79.0917
6.958008 52.750 24.3055
7.324219 50.623 160.6626
7.690429 50.738 87.8304
8.056640 57.801 -73.7064
8.422851 58.587 -127.4263
8.789062 47.514 13.0215
9.155273 56.393 -53.2509
9.521484 52.099 -177.6463
9.887695 45.785 -0.8572
10.253906 62.666 -121.6323
10.620117 63.148 175.4389
10.986328 54.086 3.2057
11.352539 67.249 -84.5566
11.718749 68.579 -121.5572
12.084960 67.272 -124.3937
12.451171 68.733 -140.6770
12.817382 67.585 165.3613
13.183593 63.046 101.4681
13.549804 54.943 -114.0775
13.916015 66.705 -151.7112
14.282226 65.355 -161.7661
14.648437 63.315 -122.5129
15.014648 66.516 -115.3806
15.380859 67.173 -139.9076
15.747069 66.857 -167.4384
16.113280 66.171 -171.9629
16.479491 67.447 -163.7759
16.845702 68.173 -169.4417
17.211913 67.521 -175.5233
17.578124 68.384 -178.7710
17.944335 69.818 174.2389
18.310546 70.419 171.0375
18.676757 70.788 169.2318
19.042968 70.823 163.9622
19.409179 71.154 158.3750
19.775389 72.142 151.6926
20.141600 72.900 145.7515
20.507811 73.360 141.0302
20.874022 73.222 134.9880
21.240233 72.882 134.3160
21.606444 74.277 133.1140
21.972655 75.428 119.5569
22.338866 74.432 106.3143
22.705077 73.102 109.4626
23.071288 74.477 112.7322
23.437499 75.521 104.2322
23.803709 75.170 97.3137
24.169920 74.534 95.7052
24.536131 74.590 93.0417
24.902342 75.232 83.5684
25.268553 75.643 70.3650
25.634764 75.392 61.0485
26.000975 75.063 56.7505
26.367186 74.931 48.4967
26.733397 74.193 30.7327
27.099608 71.984 6.3445
27.465818 66.737 -13.2565
27.832029 60.071 20.4158
28.198240 62.870 28.6621
28.564451 58.665 -9.6290
28.930662 46.662 -176.7205
29.296873 58.086 111.8091
29.663084 60.060 103.9174
30.029295 64.658 113.1844
30.395506 68.314 104.7537
30.761717 69.849 96.9128
31.127928 70.860 91.6775
31.494138 71.220 86.2975
31.860349 71.021 86.1982
32.226560 71.455 88.4104
32.592771 72.124 85.2025
32.958982 72.539 79.2435
33.325193 72.956 73.4039
33.691404 73.391 68.7213
34.057615 73.956 65.1625
34.423826 74.776 59.2258
34.790037 75.420 47.9855
35.156248 75.243 33.9817
35.522458 74.056 23.8313
35.888669 72.735 21.5433
36.254880 72.065 20.1279
36.621091 71.410 14.6819
36.987302 70.515 6.1469
37.353513 68.638 -4.2432
37.719724 65.043 -2.7590
38.085935 63.624 16.6731
38.452146 63.014 20.7806
38.818357 61.260 35.9850
39.184568 63.117 44.1609
39.550778 63.204 35.2145
39.916989 62.539 41.5095
40.283200 63.989 45.2114
40.649411 63.648 48.0626
41.015622 64.640 64.6838
41.381833 65.830 62.8960
41.748044 63.486 65.5413
42.114255 63.938 87.5061
42.480466 66.154 79.7598
42.846677 65.913 69.4985
43.212888 66.072 79.2859
43.579098 68.474 85.4458
43.945309 69.597 80.7037
44.311520 69.413 78.3981
44.677731 70.429 77.7743
45.043942 71.974 68.1476
45.410153 72.138 63.0145
45.776364 73.132 69.8516
46.142575 74.670 62.8951
46.508786 73.448 48.7914
46.874997 71.747 52.6019
47.241208 73.897 50.4564
47.607418 74.127 34.9847
47.973629 72.079 42.2018
48.339840 73.992 54.3654
48.706051 74.400 42.3140
49.072262 72.740 40.2565
49.438473 74.407 44.2764
49.804684 76.226 31.9252
50.170895 76.160 22.9622
50.537106 76.003 21.5499
50.903317 76.141 16.9044
51.269527 76.118 8.8744
51.635738 75.968 -0.2965
52.001949 75.570 -4.6414
52.368160 76.059 -6.5137
52.734371 75.957 -18.0879
53.100582 73.354 -23.1514
53.466793 73.750 -7.0426
53.833004 76.243 -19.8037
54.199215 74.955 -39.5385
54.565426 72.067 -29.7952
54.931637 74.237 -24.8113
55.297847 74.042 -45.0266
55.664058 70.662 -50.3048
56.030269 71.282 -32.7213
56.396480 73.208 -39.9458
56.762691 72.619 -48.6042
57.128902 71.613 -47.6876
57.495113 71.789 -48.4034
57.861324 72.113 -57.8059
58.227535 71.511 -67.7849
58.593746 70.907 -66.8531
58.959957 71.885 -67.5964
59.326167 71.949 -78.3077
59.692378 70.889 -83.6802
60.058589 71.276 -85.5911
60.424800 71.779 -95.7108
60.791011 71.315 -102.1476
61.157222 71.571 -104.7651
61.523433 71.952 -113.6573
61.889644 72.011 -122.5026
62.255855 72.705 -133.0062
62.622066 72.908 -148.9066
62.988277 71.992 -160.2130
63.354487 71.812 -163.2697
63.720698 72.623 -172.3269
64.086909 72.746 173.1809
64.453120 72.321 160.2738
64.819331 72.077 150.5736
65.185542 72.521 143.1116
65.551753 73.499 132.9840
65.917964 73.906 118.9031
66.284175 73.507 106.1249
66.650386 73.302 96.3197
67.016597 73.558 85.1398
67.382807 73.525 73.0526
67.749018 72.857 62.2124
68.115229 71.361 53.2910
68.481440 69.536 50.5355
68.847651 69.220 50.1932
69.213862 69.545 41.2618
69.580073 68.766 31.8986
69.946284 67.699 31.8792
70.312495 67.938 32.6626
70.678706 68.400 25.0570
71.044917 68.217 15.3075
71.411127 67.837 9.1687
71.777338 67.922 3.3016
72.143549 68.027 -7.9601
72.509760 67.676 -21.7899
72.875971 67.239 -33.4830
73.242182 67.005 -43.4436
73.608393 66.819 -54.1968
73.974604 66.662 -67.7275
74.340815 66.520 -83.3752
74.707026 66.553 -97.1509
75.073236 66.949 -109.9600
75.439447 67.040 -124.7876
75.805658 66.412 -137.7642
76.171869 65.668 -145.0891
76.538080 65.116 -146.6616
76.904291 65.668 -141.3711
77.270502 67.842 -143.4487
77.636713 69.480 -153.6516
78.002924 70.867 -160.2454
78.369135 73.053 -168.1953
78.735346 74.659 176.8936
79.101556 74.916 162.0898
79.467767 74.681 152.6655
79.833978 74.755 145.1772
80.200189 74.746 137.5083
80.566400 74.653 131.9116
80.932611 74.694 126.8032
81.298822 74.631 121.6111
81.665033 74.588 117.4478
82.031244 74.621 113.0493
82.397455 74.548 108.9368
82.763666 74.534 105.5566
83.129876 74.534 101.7605
83.496087 74.455 98.5664
83.862298 74.470 95.9055
84.228509 74.451 92.9783
84.594720 74.381 90.8872
84.960931 74.405 88.9038
85.327142 74.356 86.5950
85.693353 74.302 84.8162
86.059564 74.331 82.3206
86.425775 74.269 79.3057
86.791986 74.232 76.9619
87.158196 74.243 74.7441
87.524407 74.178 73.2305
87.890618 74.163 72.2671
88.256829 74.147 70.4824
88.623040 74.091 68.3110
88.989251 74.096 65.6846
89.355462 74.046 62.9275
89.721673 74.006 61.1047
90.087884 74.027 59.1965
90.454095 73.949 57.4065
90.820306 73.928 56.3950
91.186516 73.945 54.8677
91.552727 73.842 53.6912
91.918938 73.860 52.7065
92.285149 73.862 50.1729
92.651360 73.737 48.0100
93.017571 73.816 45.8057
93.383782 73.742 41.4548
93.749993 73.250 37.8918
94.116204 72.876 35.6411
94.482415 72.503 31.6597
94.848626 71.694 29.0674
95.214836 70.966 30.5420
95.581047 70.504 31.9556
95.947258 69.931 32.8264
96.313469 69.561 33.5852
96.679680 69.228 32.8384
97.045891 68.628 35.4343
97.412102 68.559 42.8821
97.778313 68.845 47.7385
98.144524 68.660 51.9695
98.510735 68.917 57.8711
98.876945 69.705 58.1550
99.243156 69.846 55.8032
99.609367 69.746 58.3403
99.975578 70.273 61.0466
100.341789 70.678 59.3552
100.708000 70.794 57.8010
101.074211 71.120 57.5642
101.440422 71.482 58.4639
101.806633 71.958 61.4856
102.172844 72.664 62.3621
102.539055 73.051 58.8979
102.905265 73.053 53.9421
103.271476 73.014 49.5977
103.637687 73.006 46.8037
104.003898 72.981 46.0471
104.370109 72.941 46.3479
104.736320 72.889 46.3926
105.102531 72.869 45.3677
105.468742 72.860 43.3413
105.834953 72.827 41.3945
106.201164 72.794 40.0752
106.567375 72.755 39.1775
106.933585 72.720 38.3418
107.299796 72.690 37.2231
107.666007 72.646 36.0288
108.032218 72.608 35.1335
108.398429 72.595 34.6882
108.764640 72.600 34.6909
109.130851 72.586 35.0503
109.497062 72.571 35.5884
109.863273 72.588 35.2629
110.229484 72.541 33.6533
110.595695 72.484 31.9490
110.961905 72.536 30.4490
111.328116 72.522 29.4600
111.694327 72.422 30.1475
112.060538 72.406 31.1836
