* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025, 2:56:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 120.blue legacy measurements.  Method: inversion; Minimum phase copy of LX-MP-INV+0dB Cal file effects not included No LF tail No HF tail
* Measurement: LFilter
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 0.056 -0.1102
1.464844 -0.057 -0.1539
1.831055 0.056 -0.1837
2.197266 -0.057 -0.2310
2.563477 0.057 -0.2572
2.929688 -0.058 -0.3085
3.295898 0.057 -0.3306
3.662109 -0.058 -0.3863
4.028320 0.058 -0.4041
4.394531 -0.059 -0.4646
4.760742 0.058 -0.4775
5.126953 -0.060 -0.5435
5.493164 0.059 -0.5509
5.859375 -0.060 -0.6232
6.225586 0.060 -0.6243
6.591797 -0.061 -0.7036
6.958008 0.061 -0.6977
7.324219 -0.063 -0.7850
7.690430 0.062 -0.7710
8.056641 -0.064 -0.8675
8.422852 0.064 -0.8442
8.789062 -0.065 -0.9513
9.155273 0.065 -0.9173
9.521484 -0.067 -1.0365
9.887695 0.066 -0.9903
10.253906 -0.068 -1.1234
10.620117 0.068 -1.0631
10.986328 -0.070 -1.2122
11.352539 0.070 -1.1356
11.718750 -0.072 -1.3031
12.084961 0.072 -1.2076
12.451172 -0.074 -1.3966
12.817383 0.073 -1.2790
13.183594 -0.075 -1.4933
13.549805 0.075 -1.3493
13.916016 -0.077 -1.5939
14.282227 0.076 -1.4190
14.648438 -0.077 -1.6913
15.014648 0.076 -1.5025
15.380859 -0.078 -1.7817
15.747070 0.077 -1.5849
16.113281 -0.078 -1.8729
16.479492 0.078 -1.6855
16.845703 -0.081 -1.9566
17.211914 0.081 -1.7820
17.578125 -0.083 -2.0335
17.944336 0.086 -1.9033
18.310547 -0.091 -2.1221
18.676758 0.094 -2.0031
19.042969 -0.097 -2.2233
19.409180 0.100 -2.1195
19.775391 -0.107 -2.3040
20.141602 0.114 -2.2385
20.507812 -0.123 -2.4316
20.874023 0.127 -2.3140
21.240234 -0.131 -2.5649
21.606445 0.142 -2.4771
21.972656 -0.161 -2.7074
22.338867 0.163 -2.4845
22.705078 -0.165 -2.8969
23.071289 0.184 -2.7112
23.437500 -0.215 -3.0679
23.803711 0.227 -2.6968
24.169922 -0.245 -3.4424
24.536133 0.258 -2.7630
24.902344 -0.296 -3.8169
25.268555 0.316 -2.7333
25.634766 -0.358 -4.5364
26.000977 0.365 -2.5596
26.367188 -0.416 -5.5757
26.733398 0.393 -2.2295
27.099609 -0.410 -6.8450
27.465820 0.440 -2.9035
27.832031 -0.676 -8.8512
28.198242 0.867 -3.6590
28.564453 -1.636 -27.6888
28.930664 -2.353 22.8675
29.296875 1.194 -0.1127
29.663086 -0.736 1.6307
30.029297 0.687 -2.8946
30.395508 -0.690 -0.4999
30.761719 0.587 -2.4247
31.127930 -0.533 -2.2125
31.494141 0.448 -2.3028
31.860352 -0.398 -2.9407
32.226562 0.350 -2.5266
32.592773 -0.332 -3.2709
32.958984 0.299 -2.6645
33.325195 -0.281 -3.5915
33.691406 0.259 -2.8230
34.057617 -0.248 -3.8571
34.423828 0.233 -2.9380
34.790039 -0.223 -4.1754
35.156250 0.199 -2.9536
35.522461 -0.177 -4.4589
35.888672 0.156 -3.1182
36.254883 -0.145 -4.5873
36.621094 0.134 -3.3123
36.987305 -0.127 -4.7827
37.353516 0.110 -3.3872
37.719727 -0.080 -5.0368
38.085938 0.057 -3.6962
38.452148 -0.063 -4.9689
38.818359 0.054 -3.9313
39.184570 -0.037 -5.1469
39.550781 0.021 -4.2703
39.916992 -0.026 -5.0870
40.283203 0.031 -4.6061
40.649414 -0.023 -5.2658
41.015625 0.016 -4.8986
41.381836 -0.005 -5.3296
41.748047 0.006 -5.4732
42.114258 -0.053 -5.1509
42.480469 0.090 -5.6732
42.846680 -0.085 -5.7987
43.212891 0.077 -5.7122
43.579102 -0.073 -6.1963
43.945312 0.061 -5.9177
44.311523 -0.050 -6.5217
44.677734 0.050 -6.3669
45.043945 -0.052 -6.8229
45.410156 0.057 -6.8349
45.776367 -0.067 -7.2712
46.142578 0.072 -7.2633
46.508789 -0.073 -7.9905
46.875000 0.071 -7.7621
47.241211 -0.056 -8.9804
47.607422 0.027 -8.5470
47.973633 -0.006 -10.0513
48.339844 -0.005 -10.2387
48.706055 -0.000 -11.7751
49.072266 0.068 -13.4988
49.438477 -0.154 -19.5966
49.804688 -2.031 -22.5562
50.170898 -2.562 -7.1370
50.537109 -1.183 -10.7104
50.903320 -2.828 -14.5433
51.269531 -3.636 -0.6296
51.635742 -1.875 11.0562
52.001953 0.038 1.0708
52.368164 -1.773 -6.3736
52.734375 -1.413 8.2668
53.100586 -0.050 3.6868
53.466797 -0.105 -0.9171
53.833008 -0.622 -1.0342
54.199219 -0.123 2.0530
54.565430 0.083 -1.9831
54.931641 -0.075 -1.5432
55.297852 0.053 -2.7140
55.664062 0.006 -3.1140
56.030273 -0.047 -3.6512
56.396484 0.039 -3.3976
56.762695 -0.021 -4.5550
57.128906 0.013 -3.9548
57.495117 -0.010 -5.0343
57.861328 0.009 -4.4597
58.227539 -0.007 -5.4904
58.593750 0.004 -4.8771
58.959961 0.001 -5.9127
59.326172 -0.008 -5.2755
59.692383 0.013 -6.2428
60.058594 -0.014 -5.7206
60.424805 0.014 -6.5306
60.791016 -0.011 -6.1286
61.157227 0.010 -6.8677
61.523438 -0.012 -6.4759
61.889648 0.013 -7.1992
62.255859 -0.014 -6.8451
62.622070 0.016 -7.5112
62.988281 -0.014 -7.2394
63.354492 0.011 -7.8231
63.720703 -0.010 -7.5934
64.086914 0.010 -8.1881
64.453125 -0.011 -7.9531
64.819336 0.011 -8.5440
65.185547 -0.011 -8.3309
65.551758 0.012 -8.9194
65.917969 -0.012 -8.7202
66.284180 0.013 -9.3029
66.650391 -0.013 -9.1355
67.016602 0.014 -9.7069
67.382812 -0.014 -9.5719
67.749023 0.014 -10.1346
68.115234 -0.014 -10.0285
68.481445 0.015 -10.6038
68.847656 -0.017 -10.5177
69.213867 0.018 -11.0782
69.580078 -0.018 -11.0757
69.946289 0.016 -11.5969
70.312500 -0.016 -11.6552
70.678711 0.016 -12.1754
71.044922 -0.015 -12.2965
71.411133 0.013 -12.8152
71.777344 -0.012 -12.9917
72.143555 0.012 -13.5385
72.509766 -0.010 -13.7716
72.875977 0.009 -14.3574
73.242188 -0.008 -14.6497
73.608398 0.006 -15.3042
73.974609 -0.005 -15.6577
74.340820 0.003 -16.4164
74.707031 -0.002 -16.8384
75.073242 0.001 -17.7556
75.439453 -0.000 -18.2714
75.805664 -0.002 -19.4017
76.171875 0.005 -20.0580
76.538086 -0.006 -21.5691
76.904297 0.004 -22.3870
77.270508 -0.002 -24.5534
77.636719 0.003 -25.8187
78.002930 -0.005 -29.2934
78.369141 0.008 -31.7117
78.735352 -0.070 -41.2891
79.101562 -2.176 -47.9562
79.467773 -3.555 -41.0659
79.833984 -4.146 -37.8516
80.200195 -4.630 -34.1270
80.566406 -5.273 -30.6253
80.932617 -5.382 -25.3622
81.298828 -5.687 -22.9196
81.665039 -5.833 -17.5947
82.031250 -5.700 -13.7171
82.397461 -5.506 -11.7855
82.763672 -5.744 -9.0033
83.129883 -5.462 -4.8554
83.496094 -5.409 -2.8167
83.862305 -5.120 1.8265
84.228516 -4.433 3.6964
84.594727 -4.060 2.2245
84.960938 -4.184 3.5605
85.327148 -3.684 5.4638
85.693359 -3.598 5.0552
86.059570 -3.192 8.3259
86.425781 -2.405 5.9210
86.791992 -2.672 2.3605
87.158203 -2.753 6.6518
87.524414 -1.778 5.4926
87.890625 -1.874 0.8732
88.256836 -1.842 1.0544
88.623047 -1.759 -3.5204
88.989258 -2.729 -5.1297
89.355469 -2.983 0.5260
89.721680 -2.576 0.4563
90.087891 -2.999 0.3041
90.454102 -2.964 4.0725
90.820312 -2.834 4.6128
91.186523 -2.926 7.6583
91.552734 -2.357 11.0303
91.918945 -1.846 9.4913
92.285156 -2.015 10.4679
92.651367 -1.266 14.1251
93.017578 -0.513 10.9115
93.383789 -0.338 8.7683
93.750000 -0.011 6.5534
94.116211 0.009 3.7236
94.482422 -0.007 2.4148
94.848633 0.007 0.9938
95.214844 -0.008 -0.0041
95.581055 0.008 -1.0351
95.947266 -0.007 -1.9131
96.313477 0.007 -2.7588
96.679688 -0.008 -3.5626
97.045898 0.008 -4.3134
97.412109 -0.008 -5.1064
97.778320 0.007 -5.7908
98.144531 -0.007 -6.6061
98.510742 0.006 -7.2688
98.876953 -0.005 -8.1290
99.243164 0.003 -8.8141
99.609375 -0.002 -9.7368
99.975586 0.002 -10.5134
100.341797 -0.003 -11.5358
100.708008 0.003 -12.4624
101.074219 -0.003 -13.7158
101.440430 0.003 -14.9147
101.806641 -0.003 -16.6717
102.172852 0.003 -18.6780
102.539062 -0.120 -22.5303
102.905273 -0.739 -25.5680
103.271484 -1.320 -25.7277
103.637695 -1.789 -26.2396
104.003906 -2.515 -25.4452
104.370117 -2.948 -21.3806
104.736328 -2.866 -18.7893
105.102539 -2.929 -18.5014
105.468750 -3.219 -17.1648
105.834961 -3.336 -14.5793
106.201172 -3.347 -12.3706
106.567383 -3.261 -9.8497
106.933594 -3.055 -7.8187
107.299805 -2.753 -5.8894
107.666016 -2.265 -4.6617
108.032227 -1.610 -5.4378
108.398438 -1.173 -9.1727
108.764648 -1.168 -12.7266
109.130859 -1.172 -15.2833
109.497070 -1.286 -19.1754
109.863281 -1.865 -21.7942
110.229492 -2.174 -21.1374
110.595703 -2.257 -23.6915
110.961914 -3.055 -26.0197
111.328125 -3.793 -23.1621
111.694336 -3.939 -20.1266
112.060547 -4.051 -18.8251
112.426758 -4.156 -16.8453
112.792969 -4.032 -15.8469
113.159180 -4.052 -16.1860
113.525391 -4.134 -16.2395
113.891602 -4.247 -17.0244
114.257812 -4.601 -17.8738
114.624023 -5.059 -17.2000
114.990234 -5.465 -15.7997
115.356445 -5.879 -13.6339
115.722656 -6.246 -10.7357
116.088867 -6.548 -6.6585
116.455078 -6.627 -2.0243
116.821289 -6.571 2.5414
117.187500 -6.398 7.3986
117.553711 -5.924 12.7021
117.919922 -5.143 15.9428
118.286133 -4.414 17.5168
118.652344 -3.623 18.3424
119.018555 -2.808 17.2312
119.384766 -2.224 14.8677
119.750977 -1.724 12.7702
120.117188 -1.220 9.6886
120.483398 -0.861 5.8370
120.849609 -0.643 1.3816
121.215820 -0.613 -3.0794
121.582031 -0.663 -7.7487
121.948242 -0.987 -12.9361
122.314453 -1.605 -16.8131
122.680664 -2.320 -19.0051
123.046875 -3.082 -19.6229
123.413086 -3.741 -18.2821
123.779297 -4.139 -16.4217
124.145508 -4.425 -14.8783
124.511719 -4.623 -13.7676
124.877930 -4.874 -13.2331
125.244141 -5.202 -12.3659
125.610352 -5.511 -10.8727
125.976562 -5.759 -9.4419
126.342773 -6.060 -7.9909
126.708984 -6.399 -6.1302
127.075195 -6.767 -3.1509
127.441406 -6.948 0.6860
127.807617 -7.025 4.2785
128.173828 -7.059 8.1447
128.540039 -6.928 12.5772
128.906250 -6.592 16.0445
129.272461 -6.289 18.8813
129.638672 -5.877 21.6034
130.004883 -5.423 23.2971
130.371094 -5.022 24.5270
130.737305 -4.599 25.5570
131.103516 -4.229 25.7961
131.469727 -3.970 26.6962
131.835938 -3.551 28.0156
132.202148 -3.058 28.6843
132.568359 -2.473 28.8262
132.934570 -1.889 27.3385
133.300781 -1.551 25.5521
133.666992 -1.124 24.9176
134.033203 -0.532 22.4310
134.399414 -0.202 18.5832
134.765625 -0.050 14.9981
135.131836 -0.015 11.8053
135.498047 -0.001 9.0855
135.864258 -0.003 6.4130
136.230469 0.001 3.4781
136.596680 -0.156 0.0073
136.962891 -0.463 -2.3131
137.329102 -0.674 -3.8382
137.695312 -0.818 -5.6899
138.061523 -0.996 -8.1949
138.427734 -1.317 -11.0414
138.793945 -1.812 -13.5566
139.160156 -2.452 -14.9629
139.526367 -3.067 -14.8664
