* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 1, 2026, 9:08:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Vector average of L.filtered, R.filtered
* Measurement: LR.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 49.797 106.9081
5.493164 39.547 51.2930
5.859375 50.486 -92.2424
6.225586 40.016 -174.0528
6.591797 54.168 61.3707
6.958008 53.763 65.2559
7.324219 53.045 91.6754
7.690429 49.213 -3.4483
8.056640 58.656 -71.1418
8.422851 56.555 -95.5489
8.789062 38.724 -122.7871
9.155273 40.278 -176.0422
9.521484 53.395 -125.2677
9.887695 60.191 -104.6316
10.253906 60.817 -110.7940
10.620117 48.232 -170.2270
10.986328 57.643 70.3706
11.352539 45.399 4.2137
11.718749 65.432 -130.6722
12.084960 70.214 -149.9391
12.451171 68.460 -170.0953
12.817382 60.329 161.5423
13.183593 42.539 -115.0101
13.549804 63.384 -128.7105
13.916015 69.407 -152.5913
14.282226 68.727 -168.4465
14.648437 62.199 -146.0667
15.014648 65.600 -122.0482
15.380859 68.218 -162.9105
15.747069 69.170 169.8478
16.113280 68.898 179.4453
16.479491 69.909 -167.0323
16.845702 68.810 -159.8341
17.211913 68.277 -152.0507
17.578124 69.420 -165.4371
17.944335 70.351 177.8251
18.310546 70.847 172.6444
18.676757 71.018 170.2005
19.042968 70.655 164.6351
19.409179 70.796 156.3568
19.775389 71.684 147.6191
20.141600 72.671 142.1946
20.507811 73.354 136.6103
20.874022 73.199 130.0980
21.240233 73.103 128.3284
21.606444 74.155 125.5946
21.972655 74.733 117.8325
22.338866 74.138 112.9226
22.705077 73.612 112.2499
23.071288 73.698 108.9660
23.437499 74.058 103.5502
23.803709 74.566 97.7527
24.169920 74.808 92.2661
24.536131 74.868 88.8750
24.902342 75.170 85.9230
25.268553 75.581 80.5883
25.634764 75.713 72.0633
26.000975 75.410 62.1449
26.367186 75.229 53.5547
26.733397 75.248 43.8884
27.099608 73.744 34.7631
27.465818 70.158 44.0312
27.832029 69.953 63.7323
28.198240 69.727 50.2659
28.564451 67.688 28.6182
28.930662 67.989 26.2518
29.296873 70.049 23.4257
29.663084 69.161 21.1177
30.029295 66.901 36.3729
30.395506 66.747 46.8111
30.761717 66.483 44.2902
31.127928 67.165 45.8283
31.494138 68.588 48.6005
31.860349 68.938 52.4800
32.226560 68.384 59.4488
32.592771 68.151 63.7279
32.958982 68.749 57.1405
33.325193 69.535 46.2033
33.691404 70.067 43.5265
34.057615 71.011 47.1609
34.423826 72.062 45.0631
34.790037 72.412 35.0052
35.156248 72.045 21.3392
35.522458 71.172 11.1285
35.888669 70.372 8.0816
36.254880 69.862 6.6774
36.621091 69.058 4.0743
36.987302 68.040 0.5342
37.353513 66.457 -5.0964
37.719724 64.165 -4.8466
38.085935 63.251 0.8538
38.452146 62.487 1.2374
38.818357 61.574 16.7734
39.184568 63.837 30.1849
39.550778 65.018 28.6745
39.916989 65.300 26.7522
40.283200 65.638 18.3494
40.649411 64.951 11.0739
41.015622 64.964 17.1895
41.381833 65.599 15.1393
41.748044 62.864 9.8433
42.114255 59.971 31.1774
42.480466 62.452 28.7059
42.846677 63.219 7.8829
43.212888 62.009 6.6971
43.579098 62.363 23.4574
43.945309 62.998 26.7847
44.311520 62.016 22.7634
44.677731 61.773 18.7728
45.043942 62.943 10.1648
45.410153 61.855 3.9841
45.776364 59.512 33.9474
46.142575 62.857 45.6013
46.508786 61.922 24.6080
46.874997 57.750 32.6328
47.241208 63.103 47.6121
47.607418 64.831 27.3842
47.973629 60.156 30.4575
48.339840 61.464 61.1468
48.706051 61.936 29.1653
49.072262 57.888 -5.7792
49.438473 59.392 38.4797
49.804684 65.625 28.4263
50.170895 64.336 10.8740
50.537106 57.314 37.7829
50.903317 61.159 72.0890
51.269527 62.504 53.3827
51.635738 62.016 40.0557
52.001949 63.470 44.6755
52.368160 66.022 39.5152
52.734371 66.082 28.5696
53.100582 65.517 31.7140
53.466793 68.119 27.5083
53.833004 69.300 3.8538
54.199215 66.625 -15.0186
54.565426 63.799 4.7859
54.931637 66.474 3.1656
55.297847 65.151 -22.5632
55.664058 59.615 -20.2672
56.030269 63.014 3.2784
56.396480 65.448 -18.1635
56.762691 64.029 -33.8491
57.128902 62.754 -27.6514
57.495113 63.485 -30.4600
57.861324 62.503 -43.9277
58.227535 60.773 -51.0933
58.593746 61.123 -55.6841
58.959957 62.369 -68.9729
59.326167 62.771 -84.7357
59.692378 62.654 -96.6508
60.058589 63.168 -105.9685
60.424800 64.134 -116.9709
60.791011 64.878 -126.6189
61.157222 65.825 -133.5533
61.523433 67.214 -142.4053
61.889644 68.702 -154.0435
62.255855 70.159 -167.1927
62.622066 71.318 178.6248
62.988277 71.989 165.4861
63.354487 72.413 155.2404
63.720698 72.845 147.0084
64.086909 73.211 139.2644
64.453120 73.410 131.4233
64.819331 73.449 124.0618
65.185542 73.629 118.2568
65.551753 74.166 111.8841
65.917964 74.540 103.1729
66.284175 74.471 94.7851
66.650386 74.436 87.9321
67.016597 74.593 80.4100
67.382807 74.578 72.6421
67.749018 74.271 66.0845
68.115229 73.644 60.6902
68.481440 72.935 57.4701
68.847651 72.768 54.1982
69.213862 72.674 47.0258
69.580073 71.876 40.1010
69.946284 70.896 37.5580
70.312495 70.349 34.1987
70.678706 69.667 27.9642
71.044917 68.874 24.1166
71.411127 68.366 22.2897
71.777338 67.576 19.5080
72.143549 66.221 16.5066
72.509760 64.635 10.9631
72.875971 62.420 1.1539
73.242182 58.552 -5.0892
73.608393 52.131 11.6874
73.974604 49.483 89.4820
74.340815 56.758 126.3782
74.707026 61.432 125.6876
75.073236 64.016 114.8890
75.439447 65.515 102.5920
75.805658 66.279 93.5396
76.171869 66.598 89.0327
76.538080 66.662 85.0497
76.904291 66.002 80.1591
77.270502 64.920 80.9774
77.636713 64.752 86.9282
78.002924 64.763 93.9651
78.369135 65.619 108.8318
78.735346 68.227 114.1786
79.101556 69.908 107.2912
79.467767 70.506 100.3100
79.833978 71.036 95.9147
80.200189 71.536 91.3234
80.566400 71.781 87.5297
80.932611 72.024 84.4362
81.298822 72.216 80.8355
81.665033 72.332 77.7778
82.031244 72.501 74.8411
82.397455 72.582 71.5902
82.763666 72.627 68.9318
83.129876 72.735 66.3437
83.496087 72.783 63.9042
83.862298 72.819 61.8831
84.228509 72.803 59.1252
84.594720 72.611 56.3336
84.960931 72.470 54.8556
85.327142 72.563 53.7831
85.693353 72.725 51.9564
86.059564 72.742 49.1873
86.425775 72.557 46.2993
86.791986 72.361 44.0287
87.158196 72.228 41.8843
87.524407 71.982 40.0815
87.890618 71.592 39.0300
88.256829 71.153 38.3652
88.623040 70.909 37.5757
88.989251 70.896 35.3826
89.355462 70.744 33.5896
89.721673 70.644 34.5847
90.087884 70.678 34.4273
90.454095 70.206 32.5807
90.820306 69.593 33.1226
91.186516 69.495 33.4780
91.552727 69.360 32.9225
91.918938 69.217 34.9244
92.285149 69.246 36.9276
92.651360 69.178 38.4810
93.017571 69.361 38.8603
93.383782 69.382 35.6008
93.749993 68.897 34.1928
94.116204 68.817 35.6384
94.482415 68.800 33.6050
94.848626 68.099 33.0221
95.214836 67.827 37.3714
95.581047 68.141 39.0094
95.947258 68.167 39.3120
96.313469 68.228 40.2899
96.679680 68.169 39.6559
97.045891 67.802 40.6055
97.412102 67.794 43.3083
97.778313 67.936 43.6963
98.144524 67.723 44.4752
98.510735 67.647 48.5187
98.876945 68.089 51.9634
99.243156 68.387 51.6847
99.609367 67.969 51.2241
99.975578 67.493 55.3566
100.341789 68.011 59.2911
100.708000 68.726 58.2502
101.074211 69.004 58.6362
101.440422 69.534 63.2495
101.806633 70.460 66.1627
102.172844 71.156 65.7095
102.539055 71.665 63.4897
102.905265 72.135 59.5770
103.271476 72.453 55.4294
103.637687 72.668 52.6482
104.003898 72.798 50.3190
104.370109 72.714 48.2667
104.736320 72.644 47.3068
105.102531 72.790 45.9463
105.468742 72.855 43.7918
105.834953 72.766 42.5959
106.201164 72.749 41.7480
106.567375 72.759 39.8354
106.933585 72.725 37.6913
107.299796 72.720 36.1623
107.666007 72.716 35.2189
108.032218 72.672 34.7141
108.398429 72.630 34.1976
108.764640 72.616 33.2994
109.130851 72.599 32.2980
109.497062 72.570 31.7364
109.863273 72.558 31.2490
110.229484 72.513 30.1460
110.595695 72.452 28.8603
110.961905 72.475 27.7214
111.328116 72.496 26.8674
111.694327 72.444 27.0111
112.060538 72.415 27.4330
112.426749 72.373 26.9022
112.792960 72.322 25.8185
113.159171 72.328 24.6742
113.525382 72.314 24.0092
113.891593 72.288 24.1420
