* Measurement data measured by REW V5.40 beta 100
* Source: Vector average
* Format: Vector average
* Dated: Sep 23, 2025, 2:39:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Vector average of L.120.Blue, R.120.Blue
* Measurement: LR120.blue
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 49.375 101.8208
5.493164 40.883 58.2638
5.859375 50.063 -94.7891
6.225586 41.836 -169.3105
6.591797 54.031 59.1468
6.958008 53.803 59.2972
7.324219 53.154 88.7141
7.690430 49.134 -0.3722
8.056641 58.702 -74.7983
8.422852 56.770 -100.1710
8.789063 38.546 -112.3832
9.155274 38.911 -172.6512
9.521485 53.061 -131.0816
9.887696 60.108 -108.3987
10.253907 61.011 -115.2804
10.620118 48.290 -172.9832
10.986329 57.589 64.4651
11.352540 45.423 2.6909
11.718751 65.354 -135.2953
12.084962 70.259 -154.2131
12.451172 68.525 -174.4102
12.817383 60.188 157.1346
13.183594 42.681 -115.4323
13.549805 63.299 -134.1135
13.916016 69.411 -157.6260
14.282227 68.798 -173.3256
14.648438 62.217 -151.0329
15.014649 65.608 -126.8382
15.380860 68.218 -168.5996
15.747071 69.184 163.9658
16.113282 68.944 173.9612
16.479493 69.951 -172.7861
16.845704 68.782 -165.5384
17.211915 68.271 -158.0579
17.578126 69.416 -171.9817
17.944337 70.371 171.5440
18.310548 70.895 166.3961
18.676759 71.007 163.6840
19.042970 70.630 158.0411
19.409181 70.825 149.3485
19.775392 71.701 140.5796
20.141603 72.693 135.4244
20.507814 73.368 129.5134
20.874025 73.171 122.7562
21.240236 73.119 120.9593
21.606447 74.190 117.9799
21.972658 74.738 110.3786
22.338869 74.155 105.4185
22.705080 73.595 104.3012
23.071291 73.688 101.1602
23.437501 74.119 95.5399
23.803712 74.566 89.6228
24.169923 74.802 84.5652
24.536134 74.904 80.6118
24.902345 75.114 77.6485
25.268556 75.646 73.2218
25.634767 75.909 63.8168
26.000978 75.408 53.4136
26.367189 75.274 46.5388
26.733400 75.725 36.1719
27.099611 74.325 24.1515
27.465822 70.334 32.0890
27.832033 70.046 53.6771
28.198244 69.805 40.2664
28.564455 67.845 19.1819
28.930666 68.342 15.2266
29.296877 70.113 11.6941
29.663088 69.156 10.8514
30.029299 67.083 25.0516
30.395510 66.710 34.8598
30.761721 66.622 32.9742
31.127932 67.326 33.4258
31.494143 68.593 37.0986
31.860354 69.026 41.0562
32.226565 68.358 47.1880
32.592776 68.141 51.9062
32.958987 68.850 44.6635
33.325198 69.544 33.8884
33.691409 70.098 31.8416
34.057620 71.039 34.6820
34.423831 72.017 32.5609
34.790041 72.460 22.5848
35.156252 72.103 8.5277
35.522463 71.139 -1.3573
35.888674 70.394 -4.3663
36.254885 69.861 -6.6884
36.621096 69.036 -8.8646
36.987307 68.153 -12.3658
37.353518 66.450 -18.4604
37.719729 64.075 -17.2001
38.085940 63.315 -12.8575
38.452151 62.390 -13.0745
38.818362 61.713 3.6753
39.184573 63.910 15.9775
39.550784 64.968 15.7432
39.916995 65.359 13.2110
40.283206 65.563 3.6584
40.649417 64.927 -2.6222
41.015628 65.118 2.8372
41.381839 65.524 0.9408
41.748050 62.822 -3.0831
42.114261 59.930 15.5802
42.480472 62.244 14.1886
42.846683 63.338 -6.1216
43.212894 62.029 -8.6802
43.579105 62.193 10.3438
43.945316 63.015 12.2633
44.311527 61.700 7.0215
44.677738 61.650 5.1419
45.043949 62.990 -4.9133
45.410160 61.406 -10.2972
45.776370 59.461 22.9538
46.142581 62.585 31.6292
46.508792 61.517 12.7965
46.875003 58.043 20.7396
47.241214 62.909 35.3245
47.607425 64.796 17.5759
47.973636 60.185 18.6191
48.339847 61.251 55.9230
48.706058 62.189 24.9269
49.072269 55.887 -16.0323
49.438480 61.049 63.5162
49.804691 68.970 32.4903
50.170902 68.441 3.0016
50.537113 62.045 22.3105
50.903324 67.412 39.7612
51.269535 68.495 1.0315
51.635746 63.967 -32.4271
52.001957 61.478 18.2550
52.368168 67.507 6.6266
52.734379 66.137 -17.6306
53.100590 62.811 4.4886
53.466801 67.991 5.9534
53.833012 69.320 -23.7955
54.199223 66.003 -44.6366
54.565434 63.039 -19.5486
54.931645 66.015 -21.8145
55.297856 64.553 -47.3004
55.664067 58.911 -45.2566
56.030278 62.288 -20.8392
56.396489 65.055 -41.5200
56.762700 63.917 -57.4485
57.128910 62.419 -51.5311
57.495121 63.121 -53.2001
57.861332 62.278 -68.6860
58.227543 60.453 -77.4880
58.593754 60.998 -79.7350
58.959965 62.500 -92.8104
59.326176 62.814 -108.9119
59.692387 62.815 -119.7697
60.058598 63.629 -129.0100
60.424809 64.495 -139.5952
60.791020 65.162 -147.4916
61.157231 66.216 -154.5656
61.523442 67.518 -163.5491
61.889653 69.034 -173.5354
62.255864 70.576 173.7891
62.622075 71.584 159.7472
62.988286 72.237 148.2504
63.354497 72.977 138.6403
63.720708 73.507 129.4198
64.086919 73.772 121.9952
64.453130 74.054 114.3542
64.819341 74.074 106.1555
65.185552 74.233 101.4507
65.551763 75.136 95.7924
65.917974 75.746 85.3083
66.284185 75.667 75.3539
66.650396 75.712 67.1724
67.016607 75.855 57.3132
67.382818 75.566 48.1630
67.749029 75.041 41.4063
68.115240 74.206 34.9284
68.481450 73.067 31.6806
68.847661 72.748 30.8546
69.213872 72.751 24.8401
69.580083 71.880 18.4447
69.946294 70.866 16.8022
70.312505 70.362 13.4424
70.678716 69.662 7.5161
71.044927 68.905 4.5206
71.411138 68.359 3.0501
71.777349 67.463 0.7092
72.143560 66.071 -2.3502
72.509771 64.406 -8.0267
72.875982 62.128 -17.1533
73.242193 57.953 -24.3074
73.608404 49.051 -7.8876
73.974615 49.218 106.7390
74.340826 57.865 127.5091
74.707037 62.472 123.4930
75.073248 65.000 115.1058
75.439459 66.969 109.2761
75.805670 68.981 104.1830
76.171881 70.581 97.5580
76.538092 71.500 90.4689
76.904303 72.050 84.5760
77.270514 72.746 79.4950
77.636725 73.589 73.5128
78.002936 74.274 66.6755
78.369147 74.627 58.7471
78.735358 74.341 50.1732
79.101569 73.504 44.9800
79.467779 72.994 43.5995
79.833990 72.658 40.9973
80.200201 71.929 41.2442
80.566412 71.887 45.8906
80.932623 72.383 47.1473
81.298834 72.736 47.8671
81.665045 73.381 47.6376
82.031256 73.783 44.4360
82.397467 73.994 42.6100
82.763678 74.570 40.0787
83.129889 74.955 35.5887
83.496100 75.171 32.2822
83.862311 75.355 27.7089
84.228522 75.012 22.9180
84.594733 74.710 21.5620
84.960944 74.845 19.3009
85.327155 74.782 16.5098
85.693366 74.867 14.5460
86.059577 74.782 9.4003
86.425788 74.073 6.4179
86.791999 74.013 7.0425
87.158210 74.135 2.7546
87.524421 73.334 0.0037
87.890632 72.811 2.0693
88.256843 72.465 1.1664
88.623054 72.003 3.1259
88.989265 72.689 4.0764
89.355476 73.004 -0.9742
89.721687 72.677 -1.5221
90.087898 72.971 -1.5537
90.454109 72.794 -6.1479
90.820319 72.267 -7.2364
91.186530 72.366 -9.2947
91.552741 71.884 -13.6920
91.918952 71.239 -12.0846
92.285163 71.292 -12.1055
92.651374 70.652 -14.7368
93.017585 70.000 -12.5363
93.383796 69.845 -13.2524
93.750007 68.998 -13.9464
94.116218 68.692 -9.6464
94.482429 68.791 -10.6791
94.848640 67.977 -10.3852
95.214851 67.721 -3.9184
95.581062 68.017 -1.5792
95.947273 67.962 -0.0525
96.313484 68.129 1.4180
96.679695 68.062 0.9979
97.045906 67.754 3.2736
97.412117 67.832 6.3182
97.778328 67.914 7.1443
98.144539 67.776 8.3555
98.510750 67.736 12.1008
98.876961 68.162 16.2678
99.243172 68.493 16.6945
99.609383 68.021 16.7042
99.975594 67.524 21.1406
100.341805 67.994 25.0821
100.708016 68.703 25.0963
101.074227 69.048 26.5044
101.440438 69.518 32.1659
101.806648 70.428 36.5126
102.172859 71.124 37.1771
102.539070 71.733 37.1603
102.905281 72.596 35.0472
103.271492 73.230 31.1540
103.637703 73.654 28.8812
104.003914 74.156 26.3220
104.370125 74.322 22.2786
104.736336 74.206 20.2868
105.102547 74.373 19.6040
105.468758 74.559 17.2131
105.834969 74.441 14.8557
106.201180 74.327 13.6100
106.567391 74.349 11.9443
106.933602 74.269 10.1832
107.299813 74.092 10.3338
107.666024 74.075 11.8923
108.032235 74.133 13.0860
108.398446 74.291 14.9932
108.764657 74.864 16.2200
109.130868 75.417 15.0229
109.497079 75.730 14.1422
109.863290 76.100 12.8777
110.229501 76.225 9.9745
110.595712 76.163 9.2324
110.961923 76.568 9.9117
111.328134 77.069 8.6693
111.694345 77.321 7.8208
112.060556 77.640 7.3288
112.426767 77.958 5.6382
