* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025, 2:19:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Minimum phase copy of LX Cal file effects included No LF tail No HF tail
* Measurement: LX-MP
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 43.965 32.4481
1.464844 49.735 43.4792
1.831055 50.946 24.1923
2.197266 50.059 17.2459
2.563477 49.506 10.2974
2.929688 46.321 7.1745
3.295898 45.223 35.8548
3.662109 47.361 41.5139
4.028320 48.178 39.6893
4.394531 47.645 27.4276
4.760742 40.885 37.1477
5.126953 46.842 83.8086
5.493164 48.155 53.3145
5.859375 34.313 102.1932
6.225586 51.511 129.7332
6.591797 54.527 94.9715
6.958008 52.217 71.1875
7.324219 46.453 92.1943
7.690430 52.667 133.2309
8.056641 57.521 110.2643
8.422852 56.506 75.8156
8.789062 47.157 96.6761
9.155273 56.189 123.0357
9.521484 54.669 81.9866
9.887695 51.979 -164.7982
10.253906 62.543 153.0203
10.620117 61.999 111.7972
10.986328 56.434 153.1506
11.352539 66.468 152.7162
11.718750 68.841 117.9548
12.084961 67.565 98.4832
12.451172 68.086 92.8579
12.817383 68.400 65.2026
13.183594 62.477 26.2312
13.549805 57.179 153.4138
13.916016 66.056 117.8560
14.282227 65.429 92.4264
14.648438 63.396 104.0088
15.014648 66.299 110.3142
15.380859 67.450 98.0760
15.747070 66.660 91.5413
16.113281 66.237 97.1234
16.479492 67.481 99.8629
16.845703 68.089 94.0406
17.211914 67.595 93.9821
17.578125 68.369 100.2651
17.944336 69.788 98.0847
18.310547 70.452 92.9262
18.676758 70.772 88.8288
19.042969 70.819 86.4769
19.409180 71.172 87.5909
19.775391 72.129 86.2988
20.141602 72.894 81.5986
20.507812 73.374 75.5940
20.874023 73.218 69.4744
21.240234 72.872 70.9985
21.606445 74.289 72.2946
21.972656 75.424 60.2703
22.338867 74.434 48.1325
22.705078 73.097 52.5403
23.071289 74.475 56.7140
23.437500 75.528 47.1468
23.803711 75.176 37.5196
24.169922 74.514 34.3975
24.536133 74.595 34.1448
24.902344 75.249 30.0814
25.268555 75.625 21.2842
25.634766 75.406 11.8027
26.000977 75.069 3.7455
26.367188 74.912 -6.6786
26.733398 74.250 -23.0996
27.099609 71.965 -43.8430
27.465820 66.651 -59.4067
27.832031 60.392 -29.8087
28.198242 62.570 -18.2541
28.564453 59.228 -44.5060
28.930664 38.365 145.5310
29.296875 57.478 93.8739
29.663086 60.253 98.3098
30.029297 64.671 105.7184
30.395508 68.179 96.4525
30.761719 69.953 84.6163
31.127930 70.834 74.7787
31.494141 71.151 66.8524
31.860352 71.095 62.7476
32.226562 71.398 62.2579
32.592773 72.133 59.7677
32.958984 72.581 55.3129
33.325195 72.888 52.4067
33.691406 73.422 49.3979
34.057617 73.970 45.3383
34.423828 74.727 40.2327
34.790039 75.462 30.1255
35.156250 75.246 16.5065
35.522461 74.001 6.5389
35.888672 72.797 2.8610
36.254883 72.052 -0.2853
36.621094 71.361 -4.3760
36.987305 70.601 -11.4778
37.353516 68.583 -21.2354
37.719727 64.990 -18.2887
38.085938 63.767 -1.9221
38.452148 62.849 2.3296
38.818359 61.416 20.4872
39.184570 63.093 31.5295
39.550781 63.038 30.9651
39.916992 62.804 41.4975
40.283203 63.799 45.6440
40.649414 63.686 49.1191
41.015625 64.750 56.3476
41.381836 65.581 50.3687
41.748047 63.808 48.9175
42.114258 63.698 70.2130
42.480469 66.157 72.5553
42.846680 66.068 67.9441
43.212891 65.909 80.8869
43.579102 68.537 85.8094
43.945312 69.654 77.2289
44.311523 69.262 77.3842
44.677734 70.566 83.3118
45.043945 71.958 77.5765
45.410156 72.038 74.5021
45.776367 73.264 75.9207
46.142578 74.575 64.6660
46.508789 73.452 51.9518
46.875000 71.835 60.6654
47.241211 73.813 65.1700
47.607422 74.101 52.7706
47.973633 72.258 54.8901
48.339844 73.737 65.5215
48.706055 74.700 54.5825
49.072266 72.413 55.6559
49.438477 74.707 79.1667
49.804688 78.336 66.8222
50.170898 78.568 47.4966
50.537109 77.343 44.4454
50.903320 78.819 45.3543
51.269531 79.851 27.8229
51.635742 77.856 10.8018
52.001953 75.500 21.0967
52.368164 77.731 22.7362
52.734375 77.560 2.0911
53.100586 73.216 -2.9167
53.466797 74.068 27.2003
53.833008 76.817 13.2250
54.199219 75.046 -5.7744
54.565430 72.054 6.6232
54.931641 74.258 12.9958
55.297852 74.004 -2.6835
55.664062 70.655 -1.2512
56.030273 71.335 20.2303
56.396484 73.149 15.4834
56.762695 72.658 7.5313
57.128906 71.599 9.5160
57.495117 71.767 14.4860
57.861328 72.167 12.3717
58.227539 71.464 9.7518
58.593750 70.920 16.3774
58.959961 71.902 18.7549
59.326172 71.919 12.8765
59.692383 70.906 14.5723
60.058594 71.293 20.6361
60.424805 71.744 18.3904
60.791016 71.333 18.5738
61.157227 71.576 22.0324
61.523438 71.933 21.3889
61.889648 72.030 22.3151
62.255859 72.707 21.9378
62.622070 72.884 16.0236
62.988281 72.012 13.9314
63.354492 71.818 19.4912
63.720703 72.603 19.9998
64.086914 72.762 15.8258
64.453125 72.322 14.3176
64.819336 72.061 16.9648
65.185547 72.540 20.4291
65.551758 73.497 18.8081
65.917969 73.892 12.3284
66.284180 73.520 7.5110
66.650391 73.302 6.6428
67.016602 73.551 3.9170
67.382812 73.532 -2.4817
67.749023 72.853 -9.9095
68.115234 71.354 -14.8851
68.481445 69.551 -11.1439
68.847656 69.224 -2.3118
69.213867 69.529 -1.9171
69.580078 68.769 -3.8839
69.946289 67.709 1.7731
70.312500 67.917 9.5724
70.678711 68.432 10.3724
71.044922 68.206 9.3903
71.411133 67.809 12.2604
71.777344 67.955 15.2676
72.143555 68.016 15.0237
72.509766 67.658 15.2850
72.875977 67.280 17.4446
73.242188 66.970 20.3786
73.608398 66.798 24.0909
73.974609 66.732 27.0096
74.340820 66.477 30.5002
74.707031 66.526 36.2626
75.073242 67.010 39.0385
75.439453 66.992 38.7127
75.805664 66.412 40.9044
76.171875 65.744 46.4370
76.538086 64.988 57.6849
76.904297 65.748 75.6671
77.270508 67.840 84.5970
77.636719 69.405 88.3485
78.002930 71.018 92.5704
78.369141 72.872 94.4107
78.735352 74.876 93.9577
79.101562 76.970 88.4273
79.467773 78.335 78.2620
79.833984 78.862 69.5688
80.200195 79.375 63.7746
80.566406 79.928 56.6888
80.932617 80.086 49.8293
81.298828 80.283 44.7625
81.665039 80.493 38.1287
82.031250 80.243 32.1101
82.397461 80.113 29.0974
82.763672 80.237 24.4894
83.129883 80.017 19.3767
83.496094 79.853 15.7753
83.862305 79.621 10.3062
84.228516 78.831 6.9304
84.594727 78.502 7.7451
84.960938 78.534 5.0285
85.327148 78.070 2.4222
85.693359 77.899 1.5619
86.059570 77.522 -2.2341
86.425781 76.656 -1.0868
86.791992 76.944 1.6542
87.158203 76.951 -3.2160
87.524414 75.990 -3.3118
87.890625 76.019 0.6399
88.256836 75.998 -0.3778
88.623047 75.848 3.4769
88.989258 76.830 3.8825
89.355469 77.014 -2.2563
89.721680 76.618 -3.1998
90.087891 76.974 -4.0455
90.454102 76.950 -8.5396
90.820312 76.754 -10.1915
91.186523 76.855 -14.1011
91.552734 76.222 -18.8382
91.918945 75.714 -18.0505
92.285156 75.826 -20.8500
92.651367 75.076 -25.7117
93.017578 74.269 -24.4956
93.383789 74.090 -25.2688
93.750000 73.309 -27.0388
94.116211 72.785 -24.5619
94.482422 72.595 -25.9240
94.848633 71.641 -26.9474
95.214844 70.956 -23.2577
95.581055 70.563 -21.8263
95.947266 69.852 -18.8550
96.313477 69.621 -14.7149
96.679688 69.227 -13.1392
97.045898 68.578 -7.9620
97.412109 68.622 -1.4105
97.778320 68.788 1.9163
98.144531 68.686 5.8197
98.510742 68.934 11.8285
98.876953 69.670 14.5299
99.243164 69.881 13.8488
99.609375 69.721 17.0926
99.975586 70.267 21.1627
100.341797 70.705 21.1621
100.708008 70.772 22.8469
101.074219 71.137 25.4174
101.440430 71.471 27.1004
101.806641 71.956 29.8138
102.172852 72.662 30.5690
102.539062 73.178 30.4583
102.905273 73.790 30.4280
103.271484 74.341 28.8493
103.637695 74.785 27.9603
104.003906 75.492 25.9543
104.370117 75.893 20.8567
104.736328 75.757 17.3503
105.102539 75.803 16.5405
105.468750 76.076 14.3396
105.834961 76.160 11.1656
106.201172 76.137 8.2812
106.567383 76.021 5.3044
106.933594 75.777 2.6837
107.299805 75.443 0.3898
107.666016 74.912 -1.3354
108.032227 74.216 -0.7325
108.398438 73.770 2.7781
108.764648 73.775 6.0155
109.130859 73.755 8.0490
109.497070 73.852 11.8529
