* Measurement data measured by REW V5.40 beta 100
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 23, 2025, 2:08:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Trace Arithmetic A times B A = L.120.Blue B = X801 (revised) 
* Measurement: LX
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 43.393 -33.9891
1.464844 50.469 146.9279
1.831055 52.384 102.1003
2.197266 47.865 110.9802
2.563477 51.029 111.3879
2.929688 44.940 94.6632
3.295898 47.633 157.0742
3.662109 44.781 85.0027
4.028320 50.533 -53.2337
4.394531 47.435 -100.4742
4.760742 45.513 2.6483
5.126953 45.118 -65.7915
5.493164 47.238 153.3737
5.859375 41.458 109.6810
6.225586 49.378 147.6663
6.591797 56.480 81.0867
6.958008 53.083 23.7515
7.324219 50.945 164.7043
7.690430 51.244 88.7489
8.056641 58.012 -71.8514
8.422852 58.721 -127.4299
8.789062 48.066 17.2957
9.155273 56.620 -53.1093
9.521484 52.481 -178.1194
9.887695 46.740 1.6508
10.253906 62.800 -120.3416
10.620117 63.202 175.8666
10.986328 54.379 3.6787
11.352539 67.279 -83.6925
11.718750 68.528 -120.2966
12.084961 67.292 -122.5730
12.451172 68.761 -139.4512
12.817383 67.551 166.5833
13.183594 62.956 103.3037
13.549805 54.852 -114.0991
13.916016 66.640 -149.8625
14.282227 65.406 -159.7365
14.648438 63.262 -121.2283
15.014648 66.516 -113.2888
15.380859 67.218 -138.1935
15.747070 66.824 -165.7841
16.113281 66.153 -169.6423
16.479492 67.486 -161.9691
16.845703 68.135 -167.5320
17.211914 67.537 -173.1636
17.578125 68.406 -176.8420
17.944336 69.778 176.4536
18.310547 70.438 173.4608
18.676758 70.797 171.3169
19.042969 70.797 166.3929
19.409180 71.180 160.8846
19.775391 72.135 153.9971
20.141602 72.879 148.4011
20.507812 73.386 143.6440
20.874023 73.214 137.4742
21.240234 72.867 137.1879
21.606445 74.296 135.9026
21.972656 75.420 122.3217
22.338867 74.428 109.2970
22.705078 73.110 112.3901
23.071289 74.461 115.8599
23.437500 75.536 107.4905
23.803711 75.176 100.3992
24.169922 74.506 99.0774
24.536133 74.607 96.6122
24.902344 75.239 87.0354
25.268555 75.631 74.1051
25.634766 75.407 64.9167
26.000977 75.059 60.6575
26.367188 74.932 52.8433
26.733398 74.227 35.1976
27.099609 71.973 10.9634
27.465820 66.705 -7.4492
27.832031 60.266 25.5566
28.198242 62.729 36.6993
28.564453 58.909 6.8466
28.930664 34.739 152.1045
29.296875 57.322 114.6707
29.663086 60.466 105.7346
30.029297 64.527 113.3573
30.395508 68.248 107.5980
30.761719 69.952 99.2107
31.127930 70.796 93.8718
31.494141 71.194 89.6224
31.860352 71.073 88.9750
32.226562 71.391 91.4995
32.592773 72.157 88.8339
32.958984 72.558 82.3099
33.325195 72.896 77.0510
33.691406 73.431 72.5847
34.057617 73.954 68.5597
34.423828 74.738 63.2699
34.790039 75.463 52.0552
35.156250 75.237 37.7067
35.522461 74.009 28.1610
35.888672 72.797 25.8772
36.254883 72.041 24.0229
36.621094 71.374 19.5225
36.987305 70.596 10.6093
37.353516 68.575 -0.2593
37.719727 65.006 2.9343
38.085938 63.760 20.5641
38.452148 62.830 25.7365
38.818359 61.468 41.6489
39.184570 63.028 48.0802
39.550781 63.104 41.5125
39.916992 62.753 46.1954
40.283203 63.806 49.9716
40.649414 63.727 54.9106
41.015625 64.684 68.9968
41.381836 65.660 69.1984
41.748047 63.720 71.8743
42.114258 63.775 92.1816
42.480469 66.115 86.9971
42.846680 66.092 75.3113
43.212891 65.885 85.3073
43.579102 68.556 92.7820
43.945312 69.641 86.4647
44.311523 69.273 85.5840
44.677734 70.557 85.2014
45.043945 71.959 74.5823
45.410156 72.046 71.0813
45.776367 73.252 77.4589
46.142578 74.598 70.3015
46.508789 73.408 57.9078
46.875000 71.899 60.6960
47.241211 73.750 59.2441
47.607422 74.167 45.6146
47.973633 72.177 50.9081
48.339844 73.805 66.3474
48.706055 74.664 55.0255
49.072266 72.437 52.0066
49.438477 74.681 67.4021
49.804688 78.330 52.2406
50.170898 78.600 32.9415
50.537109 77.296 31.8909
50.903320 78.860 31.8934
51.269531 79.819 10.3884
51.635742 77.877 -11.0354
52.001953 75.480 -3.7897
52.368164 77.738 -1.9772
52.734375 77.565 -23.0461
53.100586 73.204 -29.5162
53.466797 74.062 -3.1638
53.833008 76.816 -19.7355
54.199219 75.062 -40.1432
54.565430 72.025 -27.2916
54.931641 74.289 -22.5853
55.297852 73.961 -41.9088
55.664062 70.711 -45.9653
56.030273 71.292 -29.1377
56.396484 73.166 -35.2809
56.762695 72.662 -43.7711
57.128906 71.581 -42.9185
57.495117 71.786 -42.8334
57.861328 72.152 -52.4172
58.227539 71.472 -62.1512
58.593750 70.916 -60.5864
58.959961 71.904 -61.6370
59.326172 71.916 -71.9733
59.692383 70.912 -76.9270
60.058594 71.287 -79.0408
60.424805 71.747 -88.7205
60.791016 71.334 -94.9159
61.157227 71.573 -97.6718
61.523438 71.934 -106.1208
61.889648 72.032 -114.7744
62.255859 72.702 -125.3104
62.622070 72.889 -140.8661
62.988281 72.010 -151.9725
63.354492 71.815 -155.0499
63.720703 72.608 -163.7244
64.086914 72.757 -178.0294
64.453125 72.324 169.0525
64.819336 72.064 159.6768
65.185547 72.534 152.4648
65.551758 73.501 142.3937
65.917969 73.892 128.5940
66.284180 73.515 116.0480
66.650391 73.309 106.3179
67.016602 73.547 95.4628
67.382812 73.530 83.6536
67.749023 72.860 72.8683
68.115234 71.346 64.2593
68.481445 69.556 61.8546
68.847656 69.225 61.5375
69.213867 69.520 53.0776
69.580078 68.782 43.9886
69.946289 67.697 43.9237
70.312500 67.923 45.3655
70.678711 68.433 38.0027
71.044922 68.202 28.3574
71.411133 67.812 22.8962
71.777344 67.956 17.1431
72.143555 68.012 6.1163
72.509766 67.663 -6.8218
72.875977 67.278 -18.3657
73.242188 66.968 -28.1464
73.608398 66.805 -37.8635
73.974609 66.724 -51.1982
74.340820 66.482 -66.4312
74.707031 66.525 -78.9363
75.073242 67.006 -91.6255
75.439453 66.998 -105.8701
75.805664 66.407 -117.0708
76.171875 65.745 -124.2305
76.538086 64.989 -124.5874
76.904297 65.747 -117.3149
77.270508 67.840 -119.1499
77.636719 69.407 -125.9272
78.002930 71.015 -130.6562
78.369141 72.875 -135.3857
78.735352 74.874 -140.5454
79.101562 76.970 -150.0205
79.467773 78.335 -164.2415
79.833984 78.862 -177.0479
80.200195 79.375 173.3679
80.566406 79.929 162.9919
80.932617 80.085 153.2222
81.298828 80.283 145.4126
81.665039 80.493 136.0894
82.031250 80.243 127.5012
82.397461 80.114 122.0444
82.763672 80.237 115.1001
83.129883 80.016 107.8086
83.496094 79.853 102.2502
83.862305 79.622 95.0679
84.228516 78.830 90.2268
84.594727 78.503 89.8015
84.960938 78.534 85.9978
85.327148 78.068 82.4531
85.693359 77.902 80.4583
86.059570 77.519 75.1404
86.425781 76.658 74.4458
86.791992 76.943 75.3716
87.158203 76.951 69.3130
87.524414 75.989 68.6802
87.890625 76.021 72.2915
88.256836 75.994 70.5337
88.623047 75.853 72.9648
88.989258 76.826 71.5217
89.355469 77.014 63.7681
89.721680 76.620 61.5339
90.087891 76.971 59.8335
90.454102 76.953 54.6372
90.820312 76.752 52.5122
91.186523 76.856 48.4578
91.552734 76.222 43.6653
91.918945 75.714 44.2378
92.285156 75.826 40.7896
92.651367 75.076 35.0842
93.017578 74.270 35.5793
93.383789 74.089 34.3049
93.750000 73.310 31.8921
94.116211 72.785 33.2202
94.482422 72.593 30.5571
94.848633 71.643 28.6365
95.214844 70.954 32.2253
95.581055 70.564 33.7139
95.947266 69.855 35.8086
96.313477 69.616 37.8127
96.679688 69.231 37.0515
97.045898 68.575 41.2419
97.412109 68.621 49.0151
97.778320 68.792 54.4490
98.144531 68.680 59.9980
98.510742 68.939 66.0039
98.876953 69.667 67.5225
99.243164 69.881 65.9238
99.609375 69.723 68.9492
99.975586 70.265 72.9326
100.341797 70.705 71.8740
100.708008 70.774 71.4644
101.074219 71.134 72.5149
101.440430 71.474 74.5276
101.806641 71.954 79.3013
102.172852 72.662 82.2192
102.539062 73.180 82.5530
102.905273 73.789 80.7283
103.271484 74.341 76.5732
103.637695 74.786 74.2141
104.003906 75.490 72.6736
104.370117 75.895 68.9265
104.736328 75.755 66.3198
105.102539 75.804 65.1631
105.468750 76.076 61.6926
105.834961 76.160 57.2378
106.201172 76.136 53.5959
106.567383 76.021 50.2932
106.933594 75.777 47.3267
107.299805 75.442 44.4211
107.666016 74.912 41.9004
108.032227 74.217 41.8120
