* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -20.1 dBFS, measurement signal peak level -17.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025, 2:30:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; RIGHT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0461 ms (-16 mm, -0.62 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.7 ppm
* Measurement: R.120.Blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 57.726 104.9304
5.493164 50.117 11.8606
5.859375 57.572 -90.8899
6.225586 46.545 -87.8518
6.591797 52.825 30.3271
6.958008 56.819 84.3975
7.324219 58.710 66.3155
7.690429 56.421 -34.8523
8.056640 59.378 -73.4801
8.422851 57.803 -64.4593
8.789062 51.531 -147.0860
9.155273 57.812 135.1104
9.521484 57.252 -103.7797
9.887695 66.431 -113.8811
10.253906 59.196 -99.6588
10.620117 59.625 -17.2771
10.986328 62.870 85.0196
11.352539 67.420 81.9704
11.718749 61.265 -157.1810
12.084960 73.136 -167.0456
12.451171 70.164 161.0335
12.817382 51.226 0.6767
13.183593 64.315 -88.3257
13.549804 67.591 -137.1403
13.916015 71.497 -158.1906
14.282226 71.257 -176.8385
14.648437 62.680 -175.9020
15.014648 64.747 -134.9850
15.380859 70.030 174.9514
15.747069 71.648 151.2003
16.113280 71.120 169.0175
16.479491 71.866 -174.6850
16.845702 69.589 -157.2186
17.211913 69.948 -140.6423
17.578124 70.641 -161.6912
17.944335 70.930 174.7411
18.310546 71.315 167.7783
18.676757 71.212 164.7597
19.042968 70.468 158.7623
19.409179 70.460 146.9207
19.775389 71.268 136.1468
20.141600 72.518 131.7773
20.507811 73.398 125.0398
20.874022 73.191 117.9433
21.240233 73.446 115.2713
21.606444 74.220 110.2583
21.972655 73.986 108.5272
22.338866 73.997 112.4185
22.705077 74.072 106.7108
23.071288 72.880 96.7286
23.437499 72.402 94.3869
23.803709 73.889 90.1739
24.169920 75.105 81.6569
24.536131 75.237 76.5504
24.902342 74.997 80.2093
25.268553 75.958 83.9619
25.634764 76.633 73.3852
26.000975 75.799 58.0403
26.367186 75.694 52.2332
26.733397 77.296 45.7794
27.099608 76.963 38.5014
27.465818 74.845 50.1898
27.832029 74.999 60.5753
28.198240 73.796 44.9271
28.564451 72.385 24.5800
28.930662 74.404 14.7738
29.296873 76.167 5.1014
29.663084 75.070 0.1823
30.029295 72.821 3.2590
30.395506 71.367 -1.5947
30.761717 70.607 -13.5796
31.127928 70.440 -14.7614
31.494138 70.473 -4.5575
31.860349 70.324 4.6829
32.226560 68.587 5.0227
32.592771 65.986 3.9279
32.958982 67.044 -0.1454
33.325193 69.246 -10.5696
33.691404 69.253 -11.0136
34.057615 69.015 2.0735
34.423826 69.577 5.9008
34.790037 69.316 -4.3552
35.156248 68.652 -18.9918
35.522458 68.166 -26.9544
35.888669 68.208 -27.2480
36.254880 68.006 -28.3892
36.621091 66.589 -28.0238
36.987302 64.909 -22.8097
37.353513 63.604 -19.4962
37.719724 63.068 -20.1656
38.085935 63.539 -28.5233
38.452146 63.043 -32.8284
38.818357 62.741 -12.9100
39.184568 65.018 5.2683
39.550778 66.560 10.8842
39.916989 67.611 5.1420
40.283200 68.029 -12.5696
40.649411 67.964 -24.8121
41.015622 68.699 -24.4248
41.381833 69.221 -29.0734
41.748044 67.148 -36.8583
42.114255 64.719 -33.0049
42.480466 66.462 -35.4094
42.846677 68.405 -48.1786
43.212888 68.704 -52.7101
43.579098 68.635 -50.8372
43.945309 68.445 -55.0491
44.311520 68.306 -63.3823
44.677731 69.418 -71.8005
45.043942 70.735 -82.9018
45.410153 70.842 -94.8287
45.776364 70.084 -105.6454
46.142575 69.239 -116.0697
46.508786 68.483 -123.8390
46.874997 67.844 -130.4612
47.241208 66.398 -141.3502
47.607418 64.566 -145.7197
47.973629 66.343 -142.4943
48.339840 68.603 -147.4561
48.706051 69.178 -142.1237
49.072262 70.692 -136.6072
49.438473 70.613 -149.0222
49.804684 68.571 -159.6656
50.170895 70.385 -161.2820
50.537106 73.845 -179.6497
50.903317 74.681 160.1745
51.269527 73.757 149.5443
51.635738 73.416 142.2618
52.001949 73.358 129.6059
52.368160 73.234 118.0875
52.734371 73.201 105.0119
53.100582 71.954 88.3938
53.466793 69.510 79.3071
53.833004 68.369 79.3799
54.199215 67.741 77.2344
54.565426 67.160 82.7936
54.931637 67.736 83.2639
55.297847 66.839 78.5378
55.664058 66.142 84.0271
56.030269 66.637 79.8781
56.396480 64.887 71.5184
56.762691 63.222 79.0982
57.128902 63.770 76.9617
57.495113 63.031 73.5704
57.861324 64.016 81.0394
58.227535 64.899 74.8738
58.593746 62.622 76.7224
58.959957 62.213 96.8049
59.326167 62.133 98.8300
59.692378 60.628 113.9176
60.058589 62.819 124.7239
60.424800 63.369 121.0265
60.791011 63.529 131.7019
61.157222 65.635 138.1096
61.523433 67.021 140.7578
61.889644 69.277 144.4637
62.255855 71.569 137.5273
62.622066 72.741 129.5841
62.988277 74.184 125.5599
63.354487 75.839 116.9531
63.720698 76.305 106.5941
64.086909 76.043 102.2969
64.453120 76.295 99.4283
64.819331 76.377 92.6752
65.185542 76.218 88.6577
65.551753 76.851 85.4811
65.917964 77.467 77.4844
66.284175 77.502 69.6379
66.650386 77.661 62.7955
67.016597 77.717 53.5909
67.382807 77.215 46.0231
67.749018 76.776 41.9528
68.115229 76.368 36.7255
68.481440 75.570 33.0171
68.847651 75.245 32.0535
69.213862 75.110 27.4138
69.580073 74.214 22.5161
69.946284 73.230 20.1038
70.312495 72.276 14.5372
70.678706 70.749 10.1974
71.044917 69.741 13.0792
71.411127 69.281 15.0306
71.777338 67.844 18.7607
72.143549 66.391 29.7394
72.509760 65.452 37.7783
72.875971 63.673 46.4283
73.242182 62.968 72.2874
73.608393 66.079 92.1072
73.974604 68.735 96.0282
74.340815 70.498 98.6859
74.707026 72.447 97.9683
75.073236 73.980 91.6876
75.439447 74.950 87.0211
75.805658 76.128 85.5376
76.171869 77.391 82.6362
76.538080 78.334 78.6514
76.904291 79.245 74.1890
77.270502 80.228 68.0648
77.636713 81.175 61.0336
78.002924 82.101 53.4540
78.369135 82.890 44.3717
78.735346 83.348 33.7781
79.101556 83.422 22.6526
79.467767 83.180 12.0138
79.833978 82.708 2.2831
80.200189 82.003 -6.3605
80.566400 81.107 -12.9869
80.932611 80.258 -17.5466
81.298822 79.461 -21.8782
81.665033 78.469 -25.6677
82.031244 77.484 -27.4200
82.397455 76.742 -28.4049
82.763666 76.072 -28.7014
83.129876 75.554 -27.6279
83.496087 75.130 -26.8914
83.862298 74.650 -26.2093
84.228509 74.402 -25.8415
84.594720 74.280 -27.2120
84.960931 74.034 -27.7056
85.327142 73.986 -25.9511
85.693353 74.198 -25.4073
86.059564 74.248 -27.5955
86.425775 74.027 -30.6341
86.791986 73.773 -33.0153
87.158196 73.579 -35.1840
87.524407 73.269 -37.8492
87.890618 72.728 -41.2377
88.256829 71.995 -44.5967
88.623040 71.447 -46.0978
88.989251 71.338 -47.4352
89.355462 70.927 -49.3622
89.721673 70.127 -47.5546
90.087884 69.806 -46.4312
90.454095 69.188 -52.3444
90.820306 67.843 -57.2969
91.186516 67.084 -56.7639
91.552727 66.645 -57.6018
91.918938 65.282 -56.0435
92.285149 63.609 -48.5388
92.651360 62.029 -38.1793
93.017571 61.485 -26.8252
93.383782 61.344 -24.5502
93.749993 60.060 -17.1282
94.116204 60.877 0.4733
94.482415 62.231 4.1509
94.848626 62.201 10.2739
95.214836 63.530 19.6400
95.581047 65.229 18.5458
95.947258 66.130 16.0347
96.313469 66.809 15.5718
96.679680 67.144 14.7721
97.045891 67.085 13.9443
97.412102 66.996 11.4525
97.778313 66.933 6.8779
98.144524 66.848 3.1133
98.510735 66.502 3.8988
98.876945 66.367 11.3773
99.243156 66.805 14.9017
99.609367 65.962 10.1821
99.975578 63.612 13.4760
100.341789 64.077 28.8485
100.708000 66.004 29.3595
101.074211 66.310 31.6752
101.440422 67.205 43.1301
101.806633 68.751 45.7505
102.172844 69.350 43.5615
102.539055 70.082 43.2939
102.905265 71.267 40.7000
103.271476 72.012 37.1718
103.637687 72.423 35.1716
104.003898 72.643 31.8297
104.370109 72.476 28.1062
104.736320 72.414 27.3156
105.102531 72.763 27.2874
105.468742 72.900 26.7368
105.834953 72.681 28.1431
106.201164 72.712 30.8094
106.567375 73.102 30.8510
106.933585 73.352 29.8923
107.299796 73.703 32.4491
