* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 1, 2026, 9:07:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Trace Arithmetic A times B A = R.120.Blue B = FRX-trimmed 
* Measurement: R.filtered
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 57.812 108.4441
5.493164 49.752 9.1400
5.859375 57.756 -87.6546
6.225586 46.259 -77.7465
6.591797 53.037 35.1859
6.958008 56.992 88.9705
7.324219 58.470 69.4500
7.690430 56.638 -33.9030
8.056641 59.447 -69.0200
8.422852 57.709 -59.8004
8.789063 51.615 -148.5548
9.155274 57.967 139.4221
9.521485 57.609 -100.4344
9.887696 66.442 -109.7981
10.253907 59.078 -94.2839
10.620118 59.513 -12.3257
10.986329 62.970 89.7242
11.352540 67.332 86.2321
11.718751 61.342 -152.0461
12.084962 73.082 -162.7011
12.451172 70.131 165.1879
12.817383 50.892 8.6161
13.183594 64.314 -84.0946
13.549805 67.663 -132.0592
13.916016 71.466 -153.1001
14.282227 71.196 -171.8510
14.648438 62.704 -171.4533
15.014649 64.738 -130.2400
15.380860 70.041 -179.2243
15.747071 71.625 156.9623
16.113282 71.058 174.5629
16.479493 71.839 -168.9956
16.845704 69.597 -151.6905
17.211915 69.971 -134.5670
17.578126 70.669 -155.2258
17.944337 70.881 -179.0025
18.310548 71.262 174.1027
18.676759 71.244 171.1195
19.042970 70.485 165.3347
19.409181 70.434 154.1639
19.775392 71.252 143.1051
20.141603 72.473 138.4586
20.507814 73.399 132.2098
20.874025 73.239 125.2173
21.240236 73.405 122.6918
21.606447 74.184 117.9932
21.972658 73.989 115.7970
22.338869 73.959 119.9024
22.705080 74.112 114.7310
23.071291 72.893 104.4451
23.437501 72.299 102.5618
23.803712 73.918 98.2597
24.169923 75.102 89.0451
24.536134 75.179 84.9821
24.902345 75.122 88.3077
25.268556 75.792 90.6363
25.634767 76.300 81.9722
26.000978 75.812 67.0926
26.367189 75.579 58.2481
26.733400 76.502 53.9353
27.099611 76.282 51.6297
27.465822 74.924 63.1685
27.832033 74.963 70.8277
28.198244 73.737 56.3148
28.564455 72.478 35.8683
28.930666 74.348 25.3287
29.296877 76.108 16.2144
29.663088 75.124 11.0316
30.029299 72.802 13.9633
30.395510 71.358 10.1582
30.761721 70.622 -2.3499
31.127932 70.342 -3.7771
31.494143 70.485 6.8829
31.860354 70.358 15.6729
32.226565 68.571 16.9993
32.592776 66.041 16.2081
32.958987 66.944 11.3682
33.325198 69.189 1.3494
33.691409 69.325 0.7007
34.057620 69.009 14.0527
34.423831 69.599 18.6995
34.790041 69.298 7.9701
35.156252 68.560 -6.8518
35.522463 68.196 -14.4503
35.888674 68.272 -14.8220
36.254885 67.974 -15.1937
36.621096 66.574 -14.6627
36.987307 64.806 -10.3435
37.353518 63.544 -6.6305
37.719729 63.205 -7.4261
38.085940 63.555 -15.0935
38.452151 62.993 -18.3550
38.818362 62.671 0.5306
39.184573 64.890 18.8279
39.550784 66.582 24.2469
39.916995 67.642 18.6150
40.283206 68.025 1.8562
40.649417 67.942 -10.4550
41.015628 68.627 -10.5776
41.381839 69.204 -14.9957
41.748050 67.230 -22.6237
42.114261 64.730 -18.2648
42.480472 66.422 -20.2396
42.846683 68.360 -33.7040
43.212894 68.672 -38.3234
43.579105 68.685 -36.0432
43.945316 68.481 -39.9993
44.311527 68.249 -47.9406
44.677738 69.376 -56.6266
45.043949 70.726 -68.0469
45.410160 70.858 -79.5238
45.776370 70.108 -89.8880
46.142581 69.192 -100.4442
46.508792 68.410 -108.3668
46.875003 67.864 -115.0906
47.241214 66.454 -125.6744
47.607425 64.569 -129.1931
47.973636 66.301 -126.2235
48.339847 68.534 -131.6416
48.706058 69.162 -126.2658
49.072269 70.723 -120.5688
49.438480 70.635 -132.5499
49.804691 68.534 -143.0652
50.170902 70.314 -144.8881
50.537113 73.838 -163.2356
50.903324 74.714 176.7319
51.269535 73.745 166.2715
51.635746 73.367 159.1835
52.001957 73.345 146.2461
52.368168 73.236 134.6350
52.734379 73.207 122.0863
53.100590 71.954 105.6258
53.466801 69.444 96.1102
53.833012 68.319 96.2453
54.199223 67.805 94.0273
54.565434 67.182 99.9518
54.931645 67.745 101.0505
55.297856 66.790 95.7174
55.664067 66.023 101.0930
56.030278 66.684 96.8822
56.396489 64.963 88.3467
56.762700 63.211 97.3591
57.128910 63.787 94.8371
57.495121 62.869 90.1863
57.861332 63.966 98.2825
58.227543 65.025 91.6017
58.593754 62.615 94.1060
58.959965 62.305 115.1773
59.326176 62.020 115.8230
59.692387 60.441 131.7119
60.058598 62.862 140.5803
60.424809 63.301 137.2498
60.791020 63.706 149.3163
61.157231 65.656 154.3669
61.523442 66.880 158.0085
61.889653 69.319 160.4666
62.255864 71.498 152.5948
62.622075 72.747 145.4714
62.988286 74.281 139.8292
63.354497 75.583 129.8275
63.720708 75.838 120.2620
64.086919 75.647 115.7117
64.453130 75.683 112.2961
64.819341 75.683 106.9203
65.185552 75.616 101.1381
65.551763 75.632 95.5278
65.917974 75.629 90.3271
66.284185 75.581 85.8765
66.650396 75.567 81.4794
67.016607 75.561 76.6556
67.382818 75.517 72.3157
67.749029 75.512 68.9359
68.115240 75.523 65.2648
68.481450 75.420 60.9862
68.847661 75.295 56.1866
69.213872 75.005 50.0959
69.580083 74.234 44.4612
69.946294 73.262 40.5476
70.312505 72.237 35.1349
70.678716 70.787 30.1725
71.044927 69.646 31.5809
71.411138 69.229 33.4396
71.777349 67.933 35.6923
72.143560 66.364 46.6096
72.509771 65.569 54.5602
72.875982 63.564 61.3513
73.242193 62.869 87.5350
73.608404 66.034 104.1910
73.974615 68.668 107.3907
74.340826 70.587 108.2767
74.707037 72.415 105.4308
75.073248 73.990 96.6163
75.439459 74.885 85.2401
75.805670 75.070 76.7988
76.171881 74.995 72.9595
76.538092 74.971 70.4318
76.904303 74.927 66.9597
77.270514 74.902 62.8869
77.636725 74.904 59.1230
78.002936 74.881 56.6523
78.369147 74.855 55.0742
78.735358 74.809 53.3085
79.101569 74.771 51.0988
79.467779 74.762 48.6388
79.833990 74.745 46.5714
80.200201 74.731 45.0326
80.566412 74.700 43.4501
80.932623 74.650 41.7997
81.298834 74.631 40.0558
81.665045 74.609 38.2196
82.031256 74.589 36.4659
82.397467 74.582 34.4139
82.763678 74.538 32.3251
83.129889 74.505 30.7910
83.496100 74.489 29.3973
83.862311 74.442 27.7324
84.228522 74.404 25.0632
84.594733 74.266 21.2546
84.960944 73.993 18.9009
85.327155 73.957 19.2178
85.693366 74.214 18.7182
86.059577 74.264 15.7646
86.425788 74.011 12.1638
86.791999 73.743 8.9175
87.158210 73.541 5.8476
87.524421 73.272 2.7110
87.890632 72.764 -1.0542
88.256843 71.982 -4.6470
88.623054 71.406 -6.5447
88.989265 71.299 -8.7416
89.355476 70.911 -11.0715
89.721687 70.176 -9.3554
90.087898 69.825 -8.3856
90.454109 69.136 -14.3674
90.820319 67.792 -20.0846
91.186530 67.049 -20.3117
91.552741 66.691 -20.9539
91.918952 65.367 -19.3657
92.285163 63.564 -11.6478
92.651374 61.946 -1.5656
93.017585 61.341 8.3001
93.383796 61.301 10.3120
93.750007 60.225 17.3959
94.116218 60.951 35.6277
94.482429 62.280 39.9284
94.848640 62.112 45.0180
95.214851 63.386 53.9078
95.581062 65.236 52.0238
95.947273 66.172 49.3400
96.313484 66.848 49.4702
96.679695 67.142 48.3372
97.045906 66.984 46.8582
97.412117 66.956 43.8210
97.778328 66.982 38.6845
98.144539 66.879 35.2629
98.510750 66.520 36.1531
98.876961 66.291 42.7695
99.243172 66.711 45.7699
99.609383 65.998 40.2289
99.975594 63.675 43.1219
100.341805 64.142 59.1550
100.708016 66.007 59.0298
101.074227 66.207 60.5238
101.440438 67.151 71.1443
101.806648 68.751 72.9377
102.172859 69.384 70.5958
102.539070 70.109 69.9385
102.905281 71.226 66.5370
103.271492 71.962 62.0151
103.637703 72.416 58.9055
104.003914 72.662 54.7513
104.370125 72.491 50.2875
104.736336 72.394 48.2745
105.102547 72.711 46.5356
105.468758 72.851 44.2428
105.834969 72.709 43.8139
106.201180 72.713 43.4364
106.567391 72.764 40.4926
106.933602 72.730 37.0417
107.299813 72.753 35.1091
107.666024 72.787 34.4222
108.032235 72.735 34.3007
108.398446 72.665 33.7109
108.764657 72.637 31.9139
109.130868 72.632 29.5603
109.497079 72.608 27.9009
109.863290 72.570 27.2267
110.229501 72.519 26.6297
110.595712 72.445 25.7579
110.961923 72.435 24.9619
111.328134 72.487 24.2643
111.694345 72.493 23.9004
112.060556 72.460 23.7060
