* Measurement data measured by REW V5.40 beta 100
* Source: RMS + phase average
* Format: RMS + phase average
* Dated: Sep 23, 2025, 2:20:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 70.0 dB
* Note: 120.blue legacy measurements.  Method: inversion; RMS + phase average of LX, RX
* Measurement: RMS + phase average
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 49.459 90.6959
1.464844 47.772 117.8098
1.831055 53.299 141.6172
2.197266 52.572 113.5251
2.563477 50.199 92.4784
2.929688 53.504 169.6970
3.295898 55.123 -176.2750
3.662109 46.423 -142.1974
4.028320 49.653 -67.3664
4.394531 49.997 -27.2916
4.760742 48.327 75.5815
5.126953 53.795 103.4572
5.493164 47.472 33.2795
5.859375 52.038 -85.5047
6.225586 46.432 -158.2432
6.591797 55.688 65.6945
6.958008 55.384 70.9954
7.324219 54.665 84.3451
7.690430 54.948 15.3058
8.056641 59.393 -68.3977
8.422852 58.269 -95.5013
8.789062 39.100 -156.6179
9.155273 55.146 -170.6300
9.521484 57.878 -133.0656
9.887695 61.457 -88.6692
10.253906 63.273 -113.1450
10.620117 56.956 -177.8724
10.986328 62.502 57.1211
11.352539 58.328 14.6190
11.718750 66.342 -129.2969
12.084961 71.188 -146.2903
12.451172 69.146 -169.8340
12.817383 64.072 158.9422
13.183594 57.226 -144.2824
13.549805 66.169 -125.3662
13.916016 69.497 -151.7781
14.282227 68.894 -166.7317
14.648438 63.460 -142.9365
15.014648 65.682 -122.5250
15.380859 68.622 -160.6522
15.747070 69.881 173.5663
16.113281 69.409 -179.9995
16.479492 69.995 -164.7473
16.845703 69.123 -157.2977
17.211914 68.796 -151.0432
17.578125 69.746 -162.7311
17.944336 70.378 -179.8660
18.310547 70.858 174.7036
18.676758 71.034 172.6996
19.042969 70.671 166.6872
19.409180 70.839 158.8124
19.775391 71.712 150.3322
20.141602 72.712 144.5154
20.507812 73.368 139.1683
20.874023 73.231 132.8953
21.240234 73.219 130.9894
21.606445 74.208 128.2734
21.972656 74.758 120.7520
22.338867 74.222 115.9281
22.705078 73.639 115.1078
23.071289 73.760 112.0677
23.437500 74.214 106.7689
23.803711 74.586 100.9270
24.169922 74.819 95.7964
24.536133 74.945 92.3776
24.902344 75.158 89.5960
25.268555 75.777 85.0670
25.634766 76.037 76.0309
26.000977 75.460 65.6580
26.367188 75.400 59.0507
26.733398 75.981 48.7055
27.099609 75.121 37.0191
27.465820 72.458 46.2946
27.832031 72.097 65.0919
28.198242 71.042 53.2466
28.564453 69.758 33.7826
28.930664 71.316 29.5971
29.296875 73.109 24.7456
29.663086 72.282 25.3222
30.029297 70.423 39.2905
30.395508 70.084 48.6364
30.761719 70.298 48.3039
31.127930 70.602 48.5202
31.494141 70.833 51.5410
31.860352 70.733 56.2431
32.226562 70.211 62.4044
32.592773 70.096 67.1518
32.958984 70.638 60.7235
33.325195 71.395 49.8315
33.691406 71.841 47.8146
34.057617 72.188 50.7306
34.423828 72.887 48.7864
34.790039 73.402 39.2745
35.156250 73.058 25.2730
35.522461 72.049 15.3716
35.888672 71.105 12.7178
36.254883 70.468 10.5413
36.621094 69.648 8.8231
36.987305 68.577 5.1678
37.353516 66.729 -1.1841
37.719727 64.291 0.9080
38.085938 63.581 4.8990
38.452148 62.965 5.9399
38.818359 62.213 23.0903
39.184570 63.942 33.9643
39.550781 65.222 34.1922
39.916992 65.882 32.2360
40.283203 66.372 22.4248
40.649414 66.415 17.8903
41.015625 67.079 22.1713
41.381836 67.719 19.4879
41.748047 65.863 18.0734
42.114258 64.290 34.3817
42.480469 66.266 34.1492
42.846680 67.300 15.2618
43.212891 67.587 12.1343
43.579102 68.626 29.5626
43.945312 69.045 33.3515
44.311523 68.866 28.2386
44.677734 70.063 27.2639
45.043945 71.274 15.5522
45.410156 71.638 12.7273
45.776367 71.828 41.9911
46.142578 72.717 53.5601
46.508789 71.568 36.1501
46.875000 70.416 43.3785
47.241211 71.489 58.7695
47.607422 71.613 38.0706
47.973633 70.177 45.1111
48.339844 72.114 75.4516
48.706055 72.338 45.3049
49.072266 71.316 25.1721
49.438477 72.742 75.5962
49.804688 75.697 60.4271
50.170898 76.496 25.7419
50.537109 75.560 47.9911
50.903320 77.678 62.9716
51.269531 77.370 22.4572
51.635742 76.320 0.1274
52.001953 74.167 35.0115
52.368164 76.129 32.3912
52.734375 75.801 10.5834
53.100586 72.498 25.1616
53.466797 72.788 33.0541
53.833008 74.116 -0.5961
54.199219 72.809 -14.9202
54.565430 70.402 5.2855
54.931641 71.994 2.9375
55.297852 71.690 -19.5841
55.664062 68.949 -18.0139
56.030273 69.645 3.2277
56.396484 70.633 -12.4411
56.762695 70.255 -30.7466
57.128906 69.201 -25.0688
57.495117 69.345 -26.0610
57.861328 69.794 -41.4515
58.227539 69.212 -47.8665
58.593750 68.684 -52.4214
58.959961 69.318 -65.7253
59.326172 69.200 -79.9102
59.692383 68.477 -91.2887
60.058594 68.795 -100.1464
60.424805 69.237 -110.3933
60.791016 69.187 -119.2328
61.157227 69.456 -125.4441
61.523438 70.127 -133.6747
61.889648 70.960 -143.9929
62.255859 72.067 -156.7416
62.622070 72.862 -170.2761
62.988281 73.301 178.3210
63.354492 74.206 168.8631
63.720703 74.850 160.2006
64.086914 74.714 152.3113
64.453125 74.738 144.8389
64.819336 74.774 137.6015
65.185547 74.754 132.4873
65.551758 75.475 127.0210
65.917969 76.025 116.9628
66.284180 75.974 106.7245
66.650391 76.035 99.1833
67.016602 76.089 89.5320
67.382812 75.761 80.1548
67.749023 75.234 73.9068
68.115234 74.542 67.2880
68.481445 73.598 64.5300
68.847656 73.175 64.1710
69.213867 73.131 57.4853
69.580078 72.315 51.9726
69.946289 71.258 50.2356
70.312500 70.723 46.4194
70.678711 69.699 42.5253
71.044922 68.955 38.1164
71.411133 68.764 36.5043
71.777344 67.702 36.3270
72.143555 67.389 30.3580
72.509766 66.972 28.3517
72.875977 65.088 18.1338
73.242188 66.570 7.6136
73.608398 65.280 40.2176
73.974609 66.332 127.9700
74.340820 69.781 162.3176
74.707031 70.137 160.4222
75.073242 71.786 150.0607
75.439453 72.689 146.7922
75.805664 73.404 139.8607
76.171875 74.759 133.6467
76.538086 75.517 127.6208
76.904297 76.408 121.1346
77.270508 77.496 116.8860
77.636719 78.392 110.6461
78.002930 79.445 103.7261
78.369141 80.305 96.5265
78.735352 80.899 87.8409
79.101562 81.314 83.1754
79.467773 81.376 81.5311
79.833984 81.217 78.9868
80.200195 80.906 79.9788
80.566406 80.537 84.3547
