* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025, 2:19:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Minimum phase copy of RX Cal file effects included No LF tail No HF tail
* Measurement: RX-MP
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 54.971 -13.2088
1.464844 33.925 -40.2374
1.831055 55.137 55.9720
2.197266 55.755 6.6890
2.563477 44.220 31.5112
2.929688 56.212 53.9887
3.295898 56.899 15.1180
3.662109 51.581 5.9636
4.028320 50.924 22.3750
4.394531 45.374 40.2966
4.760742 53.265 79.8279
5.126953 55.228 53.8215
5.493164 53.291 59.2718
5.859375 56.113 54.5915
6.225586 51.722 24.8287
6.591797 51.926 119.7876
6.958008 58.595 87.2425
7.324219 56.214 68.9527
7.690430 57.943 90.6630
8.056641 59.994 66.4585
8.422852 55.007 56.3348
8.789062 56.415 87.0541
9.155273 53.660 75.7104
9.521484 59.157 141.8810
9.887695 65.247 103.8227
10.253906 62.518 59.7698
10.620117 55.472 134.5908
10.986328 65.120 113.6670
11.352539 62.570 90.1601
11.718750 65.661 129.6223
12.084961 71.033 96.7090
12.451172 69.724 50.7487
12.817383 56.693 19.8951
13.183594 64.605 131.0728
13.549805 68.712 108.6452
13.916016 70.663 92.7023
14.282227 70.937 65.0623
14.648438 64.947 39.1142
15.014648 64.094 123.5667
15.380859 70.771 103.0978
15.747070 71.076 84.1285
16.113281 71.300 80.3903
16.479492 71.762 68.0382
16.845703 69.765 61.5099
17.211914 69.707 73.9166
17.578125 70.988 69.6483
17.944336 70.613 67.0797
18.310547 71.337 67.6994
18.676758 71.379 59.7836
19.042969 70.244 61.0251
19.409180 70.655 67.0805
19.775391 71.164 68.8883
20.141602 72.401 71.1964
20.507812 73.545 63.4992
20.874023 73.127 57.5862
21.240234 73.427 59.7584
21.606445 74.258 53.9472
21.972656 73.881 48.4222
22.338867 74.009 48.0803
22.705078 74.154 41.1867
23.071289 72.789 38.2043
23.437500 72.412 48.5607
23.803711 73.877 52.2086
24.169922 75.028 47.6269
24.536133 75.327 40.4606
24.902344 74.983 38.6526
25.268555 75.872 39.5632
25.634766 76.703 29.7162
26.000977 75.707 22.1698
26.367188 75.750 27.6782
26.733398 77.332 19.9658
27.099609 76.819 4.2651
27.465820 74.964 0.9641
27.832031 74.842 2.3331
28.198242 73.960 -4.6217
28.564453 72.219 5.1075
28.930664 74.508 13.5658
29.296875 76.041 -1.0048
29.663086 75.109 -17.5226
30.029297 72.870 -23.6790
30.395508 71.301 -19.8130
30.761719 70.656 -15.9378
31.127930 70.316 -12.7607
31.494141 70.481 -11.8714
31.860352 70.360 -17.4268
32.226562 68.633 -23.5313
32.592773 65.902 -12.0399
32.958984 67.088 8.7141
33.325195 69.093 7.2430
33.691406 69.331 1.0423
34.057617 69.095 0.5345
34.423828 69.479 -0.5526
34.790039 69.403 -6.2186
35.156250 68.511 -8.5714
35.522461 68.159 -5.8816
35.888672 68.373 -7.7325
36.254883 67.891 -13.4008
36.621094 66.595 -16.9595
36.987305 64.860 -15.2431
37.353516 63.414 -5.8620
37.719727 63.308 5.3507
38.085938 63.543 10.0867
38.452148 62.935 15.1420
38.818359 62.795 29.7886
39.184570 64.744 40.7203
39.550781 66.646 39.7442
39.916992 67.654 34.9247
40.283203 67.984 30.2118
40.649414 67.983 28.7879
41.015625 68.631 28.0983
41.381836 69.099 19.0601
41.748047 67.403 8.8423
42.114258 64.539 22.2458
42.480469 66.561 40.8019
42.846680 68.334 36.4295
43.212891 68.598 32.1141
43.579102 68.763 29.9103
43.945312 68.462 27.9344
44.311523 68.223 32.8946
44.677734 69.438 36.7025
45.043945 70.658 31.0347
45.410156 70.870 21.7856
45.776367 70.170 14.4697
46.142578 69.113 12.3306
46.508789 68.448 13.3874
46.875000 67.878 12.4530
47.241211 66.392 12.6219
47.607422 64.652 27.3735
47.973633 66.306 46.1340
48.339844 68.411 46.4510
48.706055 69.349 44.6202
49.072266 70.548 41.6697
49.438477 70.718 31.3054
49.804688 68.548 32.8680
50.170898 70.295 55.5775
50.537109 73.898 46.7219
50.903320 74.648 28.3434
51.269531 73.774 18.1708
51.635742 73.392 15.0855
52.001953 73.305 10.2289
52.368164 73.234 5.5870
52.734375 73.248 -3.4044
53.100586 71.927 -15.4305
53.466797 69.415 -16.7768
53.833008 68.389 -9.5395
54.199219 67.695 -7.2917
54.565430 67.280 -0.5428
54.931641 67.745 -1.1580
55.297852 66.718 -4.3975
55.664062 66.115 2.9100
56.030273 66.603 0.4625
56.396484 64.949 -4.8373
56.762695 63.343 7.2322
57.128906 63.686 13.3357
57.495117 62.865 19.9354
57.861328 64.053 30.2652
58.227539 64.809 22.8845
58.593750 62.894 20.3562
58.959961 62.146 33.8313
59.326172 62.039 36.7299
59.692383 60.542 52.0987
60.058594 62.632 68.7758
60.424805 63.512 68.6815
60.791016 63.587 80.8131
61.157227 65.657 89.8956
61.523438 67.025 93.5881
61.889648 69.160 99.8671
62.255859 71.568 95.7728
62.622070 72.771 89.8997
62.988281 74.182 87.4660
63.354492 75.828 78.6826
63.720703 76.273 66.7168
64.086914 76.017 60.7402
64.453125 76.313 57.2513
64.819336 76.394 51.3258
65.185547 76.180 49.6546
65.551758 76.833 48.8369
65.917969 77.448 42.5126
66.284180 77.498 36.5406
66.650391 77.685 31.5208
67.016602 77.689 24.0680
67.382812 77.173 17.9736
67.749023 76.781 14.2103
68.115234 76.362 9.1322
68.481445 75.584 6.0290
68.847656 75.242 5.2054
69.213867 75.047 0.6093
69.580078 74.206 -4.4870
69.946289 73.251 -6.5912
70.312500 72.281 -9.2501
70.678711 70.754 -9.4542
71.044922 69.675 -3.9688
71.411133 69.202 -2.0533
71.777344 67.905 -1.5748
72.143555 66.411 5.7984
72.509766 65.528 13.6397
72.875977 63.683 23.4328
73.242188 62.807 53.7113
73.608398 66.043 74.4892
73.974609 68.651 78.2860
74.340820 70.540 80.6413
74.707031 72.483 80.4947
75.073242 73.952 76.8996
75.439453 74.927 74.5569
75.805664 76.097 73.5202
76.171875 77.379 70.0884
76.538086 78.359 65.4205
76.904297 79.234 61.4356
77.270508 80.200 57.0326
77.636719 81.162 51.4144
78.002930 82.090 44.5005
78.369141 82.891 35.6294
78.735352 83.346 25.1854
79.101562 83.394 14.6971
79.467773 83.162 5.0051
79.833984 82.713 -4.0687
80.200195 81.998 -12.2005
80.566406 81.095 -18.3358
80.932617 80.238 -22.6470
81.298828 79.430 -26.5775
81.665039 78.479 -29.8092
82.031250 77.500 -30.9556
82.397461 76.720 -30.8307
82.763672 76.054 -30.4024
83.129883 75.513 -29.3629
83.496094 75.117 -28.6502
83.862305 74.690 -27.9531
84.228516 74.395 -26.4475
84.594727 74.259 -25.8838
84.960938 74.000 -25.4469
85.327148 73.943 -23.6867
85.693359 74.226 -24.0197
86.059570 74.270 -27.0064
86.425781 74.001 -29.4520
86.791992 73.749 -30.9880
87.158203 73.534 -32.8865
87.524414 73.265 -35.4257
87.890625 72.782 -38.5885
88.256836 71.977 -40.1047
88.623047 71.404 -38.5098
88.989258 71.304 -38.6785
89.355469 70.889 -41.4858
89.721680 70.196 -42.2131
90.087891 69.830 -42.9056
90.454102 69.134 -46.5417
90.820312 67.785 -46.7848
91.186523 67.040 -42.6180
91.552734 66.676 -43.3513
91.918945 65.409 -45.8113
92.285156 63.565 -42.8051
92.651367 61.942 -33.5085
93.017578 61.342 -20.7687
93.383789 61.236 -13.6678
93.750000 60.251 -3.5579
94.116211 60.969 13.5345
94.482422 62.285 17.2453
94.848633 62.162 22.6080
95.214844 63.337 34.6519
95.581055 65.228 35.7388
95.947266 66.173 32.9437
96.313477 66.847 30.6356
96.679688 67.177 26.6929
97.045898 66.979 24.6313
97.412109 66.916 25.2613
97.778320 66.994 24.9938
98.144531 66.877 24.2817
98.510742 66.539 24.6484
98.876953 66.332 27.6992
99.243164 66.654 28.1683
99.609375 65.999 23.2930
99.975586 63.648 29.9362
100.341797 64.192 52.1846
100.708008 66.043 54.9948
101.074219 66.181 57.1241
101.440430 67.160 65.8008
101.806641 68.715 66.2160
102.172852 69.377 64.8016
102.539062 70.143 66.4819
102.905273 71.233 65.2843
103.271484 71.953 61.7185
103.637695 72.407 58.3277
104.003906 72.641 54.5878
104.370117 72.512 52.0894
104.736328 72.419 52.6100
105.102539 72.700 53.0995
105.468750 72.868 51.6021
105.834961 72.680 51.5460
106.201172 72.726 54.4113
106.567383 73.137 55.9548
106.933594 73.313 56.8137
107.299805 73.655 60.4510
107.666016 74.596 62.2573
108.032227 75.336 60.4795
108.398438 75.802 59.6249
108.764648 76.523 58.7527
