* Measurement data measured by REW V5.40 beta 100
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 23, 2025, 2:08:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: 120.blue legacy measurements.  Method: inversion; Trace Arithmetic A times B A = R.120.Blue B = X801 (revised) 
* Measurement: RX
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 54.812 98.0059
1.464844 40.108 8.6049
1.831055 52.997 -167.9356
2.197266 56.230 111.8404
2.563477 47.124 72.8257
2.929688 56.944 -166.2443
3.295898 57.233 -178.3157
3.662109 52.571 -125.3742
4.028320 47.019 -80.0173
4.394531 51.798 9.0519
4.760742 48.102 107.2515
5.126953 57.802 109.4990
5.493164 49.674 9.8013
5.859375 57.808 -86.6011
6.225586 46.243 -76.9112
6.591797 53.161 36.4747
6.958008 56.963 89.9336
7.324219 58.439 70.7809
7.690430 56.700 -32.9186
8.056641 59.499 -68.0804
8.422852 57.638 -58.4893
8.789062 51.521 -147.4389
9.155273 58.015 141.0945
9.521484 57.589 -99.4267
9.887695 66.461 -108.4374
10.253906 59.048 -93.1912
10.620117 59.568 -10.6320
10.986328 62.932 91.2099
11.352539 67.346 87.7978
11.718750 61.295 -150.4326
12.084961 73.085 -161.1937
12.451172 70.134 166.5331
12.817383 50.962 9.9548
13.183594 64.313 -82.8529
13.549805 67.649 -130.4696
13.916016 71.465 -151.3117
14.282227 71.200 -170.1997
14.648438 62.664 -169.8234
15.014648 64.777 -128.4992
15.380859 70.055 -177.4938
15.747070 71.603 158.8534
16.113281 71.063 176.6011
16.479492 71.833 -167.1213
16.845703 69.596 -149.5879
17.211914 69.986 -132.6268
17.578125 70.651 -153.0766
17.944336 70.879 -176.6290
18.310547 71.275 176.2314
18.676758 71.222 173.3494
19.042969 70.505 167.8352
19.409180 70.451 156.4282
19.775391 71.215 145.5902
20.141602 72.487 141.1116
20.507812 73.409 134.5805
20.874023 73.213 127.9208
21.240234 73.435 125.5532
21.606445 74.180 120.5543
21.972656 73.956 118.7784
22.338867 73.999 122.8110
22.705078 74.092 117.4874
23.071289 72.876 107.8931
23.437500 72.360 105.6149
23.803711 73.854 101.3196
24.169922 75.106 92.9471
24.536133 75.254 88.1961
24.902344 74.996 92.1833
25.268555 75.931 96.0607
25.634766 76.602 85.4625
26.000977 75.797 70.2080
26.367188 75.709 64.7347
26.733398 77.291 58.5862
27.099609 76.934 51.4279
27.465820 74.809 63.1386
27.832031 74.983 73.5902
28.198242 73.815 58.2225
28.564453 72.390 38.3476
28.930664 74.370 28.6144
29.296875 76.138 18.8956
29.663086 75.068 14.0720
30.029297 72.846 17.4642
30.395508 71.377 13.0697
30.761719 70.561 1.2045
31.127930 70.387 -0.1418
31.494141 70.457 10.0671
31.860352 70.351 19.5884
32.226562 68.630 20.4811
32.592773 65.973 19.9133
32.958984 66.965 15.6302
33.325195 69.208 4.9291
33.691406 69.276 4.6722
34.057617 69.061 18.2253
34.423828 69.593 22.5410
34.790039 69.265 12.4001
35.156250 68.594 -2.5460
35.522461 68.180 -10.4831
35.888672 68.260 -10.2354
36.254883 68.023 -10.7947
36.621094 66.530 -10.2603
36.987305 64.807 -5.3718
37.353516 63.565 -2.4419
37.719727 63.146 -2.7429
38.085938 63.617 -10.0356
38.452148 63.004 -13.8306
38.818359 62.625 5.9040
39.184570 64.920 23.6847
39.550781 66.536 29.1606
39.916992 67.659 23.8770
40.283203 68.057 6.9150
40.649414 67.910 -5.1833
41.015625 68.630 -5.0654
41.381836 69.209 -9.7921
41.748047 67.207 -17.1790
42.114258 64.778 -12.5561
42.480469 66.423 -14.7388
42.846680 68.333 -27.9020
43.212891 68.684 -32.5731
43.579102 68.676 -30.3598
43.945312 68.486 -33.9291
44.311523 68.274 -41.9175
44.677734 69.352 -50.5892
45.043945 70.717 -61.8093
45.410156 70.877 -73.3550
45.776367 70.104 -83.6010
46.142578 69.190 -93.8462
46.508789 68.416 -101.8984
46.875000 67.843 -108.6177
47.241211 66.466 -118.9398
47.607422 64.599 -122.4839
47.973633 66.285 -119.2532
48.339844 68.533 -124.5914
48.706055 69.157 -119.3309
49.072266 70.719 -113.4777
49.438477 70.641 -125.3024
49.804688 68.536 -135.5858
50.170898 70.323 -137.4191
50.537109 73.832 -155.8251
50.903320 74.702 -175.6298
51.269531 73.760 174.1556
51.635742 73.377 166.9915
52.001953 73.320 154.2076
52.368164 73.240 142.7986
52.734375 73.226 130.1863
53.100586 71.938 113.9583
53.466797 69.443 104.8079
53.833008 68.325 104.6511
54.199219 67.773 102.6816
54.565430 67.223 108.8408
54.931641 67.746 109.8726
55.297852 66.767 105.1863
55.664062 66.053 110.3227
56.030273 66.632 106.0568
56.396484 64.971 98.2510
56.762695 63.292 106.7021
57.128906 63.716 104.8599
57.495117 62.900 100.9223
57.861328 63.955 108.0004
58.227539 64.957 102.1718
58.593750 62.730 104.8987
58.959961 62.262 125.6957
59.326172 62.043 127.8170
59.692383 60.457 142.4272
60.058594 62.736 152.7152
60.424805 63.421 149.2047
60.791016 63.631 160.6779
61.157227 65.674 167.7708
61.523438 66.972 170.5430
61.889648 69.208 173.9790
62.255859 71.547 166.9458
62.622070 72.764 159.3387
62.988281 74.199 155.7616
63.354492 75.818 147.3580
63.720703 76.269 136.9842
64.086914 76.028 132.7197
64.453125 76.307 130.1121
64.819336 76.386 123.7406
65.185547 76.199 119.9487
65.551758 76.816 116.7867
65.917969 77.450 108.8273
66.284180 77.511 101.2225
66.650391 77.667 94.7325
67.016602 77.697 85.7435
67.382812 77.181 78.1956
67.749023 76.761 74.1694
68.115234 76.380 69.1985
68.481445 75.581 65.8693
68.847656 75.226 65.1516
69.213867 75.070 60.5140
69.580078 74.191 55.5795
69.946289 73.246 53.3849
70.312500 72.303 48.2931
70.678711 70.732 44.3235
71.044922 69.677 47.1843
71.411133 69.230 48.9150
71.777344 67.855 52.6637
72.143555 66.459 64.1013
72.509766 65.512 72.8599
72.875977 63.648 82.0500
73.242188 62.868 107.8961
73.608398 65.982 127.3085
73.974609 68.698 131.0674
74.340820 70.520 134.0124
74.707031 72.476 133.8146
75.073242 73.972 127.8709
75.439453 74.911 123.2305
75.805664 76.098 121.7247
76.171875 77.391 118.9870
76.538086 78.345 115.3311
76.904297 79.240 111.1622
77.270508 80.204 105.1588
77.636719 81.153 98.1813
78.002930 82.096 90.7621
78.369141 82.892 81.9522
78.735352 83.339 71.6064
79.101562 83.400 60.6102
79.467773 83.163 50.0571
79.833984 82.706 40.5115
80.200195 82.006 32.1531
80.566406 81.094 25.7644
80.932617 80.231 21.3049
81.298828 79.442 17.0280
81.665039 78.472 13.4172
82.031250 77.496 11.9993
82.397461 76.734 11.3176
82.763672 76.038 11.1227
83.129883 75.520 12.1774
83.496094 75.125 13.0032
83.862305 74.671 14.0106
84.228516 74.413 14.7888
84.594727 74.254 13.6245
84.960938 73.989 13.0973
85.327148 73.962 14.8342
85.693359 74.211 15.6069
86.059570 74.269 13.8505
86.425781 74.017 11.1427
86.791992 73.729 8.7960
87.158203 73.543 6.5464
87.524414 73.275 4.0084
87.890625 72.759 1.0495
88.256836 71.998 -1.8615
88.623047 71.400 -3.2678
88.989258 71.285 -4.7706
89.355469 70.922 -6.6948
89.721680 70.169 -4.5065
90.087891 69.837 -2.8062
90.454102 69.151 -8.4340
90.820312 67.761 -13.6349
91.186523 67.049 -13.3502
91.552734 66.698 -13.8717
91.918945 65.360 -11.5292
92.285156 63.617 -3.3135
92.651367 61.916 7.0917
93.017578 61.324 17.7969
93.383789 61.296 19.4749
93.750000 60.171 27.2048
94.116211 61.027 45.8759
94.482422 62.283 50.5038
94.848633 62.113 56.7751
95.214844 63.401 65.5596
95.581055 65.181 64.0388
95.947266 66.182 61.9083
96.313477 66.875 62.2290
96.679688 67.136 61.9316
97.045898 67.003 61.0026
97.412109 66.927 58.0985
97.778320 66.954 53.5827
98.144531 66.919 50.5236
98.510742 66.524 51.9732
98.876953 66.305 59.5845
99.243164 66.714 62.7504
99.609375 65.935 57.7007
99.975586 63.694 61.2971
100.341797 64.177 77.4794
100.708008 66.013 78.5992
101.074219 66.233 80.8922
101.440430 67.119 92.0185
101.806641 68.727 94.5413
102.172852 69.391 92.7399
102.539062 70.119 93.0732
102.905273 71.248 90.7894
103.271484 71.957 87.1738
103.637695 72.390 85.0634
104.003906 72.659 81.9328
104.370117 72.507 78.6917
104.736328 72.409 78.2877
105.102539 72.717 78.3049
105.468750 72.857 77.6360
105.834961 72.677 79.1157
106.201172 72.742 82.1601
106.567383 73.118 82.6609
106.933594 73.325 81.9247
107.299805 73.656 84.4371
107.666016 74.584 86.8466
108.032227 75.350 85.9280
