* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.2 dBFS, measurement signal peak level -16.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:32:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L,R MPM.0  2 GIK screens  prolong the right wall and then 2 foam. all other GIK screens as usual. Just the first on the left closer to the speaker (first reflection point). SCREENS.FRONT.WALL: 2 screens moved from the back to the front wall for comparison; 28 aug 2026 Multi point measurement Position 3: Main Listener  4.51m from front wall 3.63m from L and R speakers 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY 0.0002 ms (0.06 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: L MPM.0
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.204	-165.7436
16.479492	70.684	-170.5649
16.845703	71.719	-174.5091
17.211914	72.616	178.5340
17.578125	72.946	172.9873
17.944336	73.286	171.1506
18.310547	73.946	169.1768
18.676758	74.585	164.4802
19.042969	75.060	158.2120
19.409179	75.588	152.3884
19.775390	76.334	146.7868
20.141601	76.891	139.8220
20.507812	76.772	133.0765
20.874023	76.322	129.6506
21.240234	76.362	127.9725
21.606445	76.823	124.5617
21.972656	77.318	120.5361
22.338867	77.843	116.0515
22.705078	78.207	109.5876
23.071288	78.210	102.3075
23.437499	78.030	96.6511
23.803710	77.994	93.1634
24.169921	78.202	89.8136
24.536132	78.401	84.5569
24.902343	78.363	78.2061
25.268554	78.274	72.7093
25.634765	78.395	67.7278
26.000976	78.612	61.6110
26.367187	78.642	53.2974
26.733398	78.139	42.9632
27.099608	76.920	34.4150
27.465819	75.802	32.3122
27.832030	75.838	29.3114
28.198241	75.754	16.9297
28.564452	74.349	-0.4746
28.930663	71.549	-17.8145
29.296874	67.003	-36.5531
29.663085	56.663	-82.3428
30.029296	62.116	145.3690
30.395507	68.087	120.3177
30.761718	70.496	106.9058
31.127928	71.827	97.7468
31.494139	72.807	90.6073
31.860350	73.607	84.8803
32.226561	74.232	80.2234
32.592772	74.724	76.6021
32.958983	75.248	73.3117
33.325194	75.794	69.2096
33.691405	76.241	64.8275
34.057616	76.697	60.9788
34.423827	77.287	56.6703
34.790038	77.900	50.5280
35.156248	78.320	42.3515
35.522459	78.384	32.8749
35.888670	78.051	23.2504
36.254881	77.396	14.6083
36.621092	76.568	7.5297
36.987303	75.654	1.6586
37.353514	74.554	-3.6172
37.719725	73.134	-7.2511
38.085936	71.687	-7.0054
38.452147	70.731	-3.9463
38.818358	70.051	-0.8601
39.184568	69.220	2.5967
39.550779	68.074	6.4763
39.916990	66.718	12.3118
40.283201	66.308	18.9783
40.649412	66.839	19.7382
41.015623	67.343	20.2817
41.381834	68.136	23.9460
41.748045	68.539	25.2181
42.114256	67.724	28.9742
42.480467	67.199	37.8120
42.846678	67.265	40.4376
43.212888	66.927	41.4410
43.579099	67.295	46.1777
43.945310	68.339	48.7018
44.311521	69.481	50.0417
44.677732	70.699	47.9883
45.043943	71.184	43.6697
45.410154	71.217	43.2759
45.776365	71.453	42.8697
46.142576	70.817	40.5232
46.508787	69.434	47.1917
46.874997	69.804	61.4276
47.241208	71.694	68.6899
47.607419	73.855	68.0121
47.973630	75.386	61.9586
48.339841	76.212	57.1606
48.706052	77.240	54.1889
49.072263	78.269	48.8920
49.438474	78.893	44.9760
49.804685	79.823	42.5537
50.170896	80.761	35.6671
50.537107	81.054	26.9618
50.903317	81.322	19.6784
51.269528	81.842	10.2965
51.635739	81.924	-0.5129
52.001950	81.628	-8.2631
52.368161	81.487	-14.5356
52.734372	81.221	-22.2645
53.100583	80.664	-29.2067
53.466794	80.125	-34.7449
53.833005	79.508	-39.3815
54.199216	78.937	-41.7379
54.565427	78.686	-44.6938
54.931637	78.260	-49.8195
55.297848	77.656	-53.7047
55.664059	77.296	-56.8198
56.030270	76.923	-60.0399
56.396481	76.611	-61.4757
56.762692	76.548	-63.7521
57.128903	76.251	-67.5292
57.495114	75.873	-69.7328
57.861325	75.859	-72.0634
58.227536	75.904	-76.2908
58.593747	75.838	-80.8743
58.959957	75.752	-85.4154
59.326168	75.709	-89.7395
59.692379	75.830	-94.1515
60.058590	76.020	-99.0178
60.424801	76.303	-103.6581
60.791012	76.802	-109.6906
61.157223	77.250	-118.2175
61.523434	77.620	-127.4005
61.889645	78.142	-137.4135
62.255856	78.572	-149.5864
62.622067	78.625	-162.5137
62.988277	78.481	-174.7266
63.354488	78.339	173.1833
63.720699	78.095	161.1867
64.086910	77.714	150.5551
64.453121	77.376	141.4848
64.819332	77.193	133.0812
65.185543	77.156	125.0458
65.551754	77.226	117.4218
65.917965	77.347	109.5028
66.284176	77.423	100.3449
66.650387	77.431	90.1197
67.016597	77.448	79.7023
67.382808	77.405	69.6758
67.749019	77.098	60.7410
68.115230	76.547	53.2484
68.481441	75.943	46.3133
68.847652	75.423	39.5748
69.213863	75.123	33.3227
69.580074	74.921	26.6230
69.946285	74.457	19.5380
70.312496	73.788	13.3177
70.678706	73.265	7.4896
71.044917	72.894	1.2917
71.411128	72.459	-4.8014
71.777339	71.753	-10.6858
72.143550	70.795	-16.5173
72.509761	69.884	-23.8032
72.875972	68.936	-33.0601
73.242183	67.854	-39.5710
73.608394	67.259	-42.9524
73.974605	66.748	-51.1779
74.340816	65.318	-62.8252
74.707026	63.903	-71.1905
75.073237	63.923	-81.4393
75.439448	64.392	-99.0442
75.805659	64.783	-119.5699
76.171870	65.566	-140.0864
76.538081	66.552	-158.1371
76.904292	67.403	-170.5123
77.270503	68.434	-179.0371
77.636714	69.528	170.9846
78.002925	70.197	160.1323
78.369136	70.489	151.9865
78.735346	70.590	147.9343
79.101557	70.653	150.1377
79.467768	71.805	158.6371
79.833979	74.417	162.0181
80.200190	77.039	156.7859
80.566401	79.151	147.4114
80.932612	80.829	135.9048
81.298823	82.043	123.0889
81.665034	82.772	110.4432
82.031245	83.139	99.0017
82.397456	83.252	88.7153
82.763666	83.164	79.5374
83.129877	82.983	71.4443
83.496088	82.733	64.1128
83.862299	82.370	58.2115
84.228510	82.054	54.3905
84.594721	81.903	51.3544
84.960932	81.815	48.4055
85.327143	81.866	45.5636
85.693354	82.063	41.5321
86.059565	82.183	36.3707
86.425776	82.209	31.1621
86.791986	82.163	25.7050
87.158197	81.939	20.1876
87.524408	81.580	15.2827
87.890619	81.152	10.9382
88.256830	80.697	7.6337
88.623041	80.376	5.0845
88.989252	80.059	1.9829
89.355463	79.541	-0.4911
89.721674	79.092	-1.6868
90.087885	78.798	-3.5825
90.454096	78.524	-6.0175
90.820306	78.378	-8.8135
91.186517	78.146	-12.7751
91.552728	77.601	-16.0266
91.918939	76.982	-17.9031
92.285150	76.258	-19.9641
92.651361	75.306	-20.8917
93.017572	74.459	-19.8977
93.383783	73.789	-18.1310
93.749994	73.361	-15.2610
94.116205	73.214	-13.0374
94.482415	72.979	-10.8862
94.848626	72.906	-7.3529
95.214837	72.949	-5.7188
95.581048	72.666	-4.5615
95.947259	72.598	-2.5658
96.313470	72.741	-3.5865
96.679681	72.543	-4.9170
97.045892	72.358	-3.2402
97.412103	72.269	-1.0905
97.778314	72.002	1.8544
98.144525	71.921	5.3932
98.510735	72.049	7.4484
98.876946	72.361	9.3109
99.243157	72.856	10.6526
99.609368	73.172	12.1903
99.975579	73.482	14.7638
100.341790	73.831	15.2516
100.708001	73.913	14.3501
101.074212	74.086	14.4144
101.440423	74.515	13.8176
101.806634	74.826	13.0181
102.172845	75.101	13.4247
102.539055	75.476	13.6432
102.905266	75.915	13.3408
103.271477	76.556	12.2579
103.637688	77.286	9.1331
104.003899	77.834	4.3445
104.370110	78.147	-1.1283
104.736321	78.309	-6.8396
105.102532	78.414	-13.0131
105.468743	78.387	-20.2889
105.834954	78.028	-28.2578
106.201165	77.307	-36.0347
106.567375	76.228	-43.6680
106.933586	74.634	-50.5887
107.299797	72.451	-54.8438
107.666008	69.662	-54.4738
108.032219	66.384	-44.0646
108.398430	64.600	-19.6998
108.764641	65.329	2.8021
109.130852	67.306	18.0470
109.497063	69.539	23.9677
109.863274	71.030	25.7391
110.229485	72.270	27.3958
110.595695	73.479	25.5350
110.961906	74.169	20.8450
111.328117	74.457	17.1951
111.694328	74.666	15.1185
112.060539	74.781	14.4163
112.426750	74.985	15.1870
112.792961	75.397	15.3011
113.159172	75.813	14.4265
113.525383	76.307	13.5752
113.891594	76.902	11.6776
114.257805	77.341	8.5846
114.624015	77.625	5.5176
114.990226	77.921	2.1785
115.356437	78.125	-2.1401
115.722648	78.053	-6.3418
116.088859	77.778	-9.0895
116.455070	77.480	-10.7220
116.821281	77.213	-11.9646
117.187492	77.034	-12.7765
117.553703	76.980	-13.2806
117.919914	76.994	-13.3989
118.286124	77.077	-13.4807
118.652335	77.103	-14.5197
119.018546	76.961	-15.7592
119.384757	76.869	-16.6420
119.750968	76.825	-18.4042
120.117179	76.562	-19.9985
120.483390	76.229	-19.7045
120.849601	75.990	-18.8087
121.215812	75.703	-17.6061
121.582023	75.508	-15.2043
121.948234	75.526	-12.2390
122.314444	75.782	-8.6136
122.680655	76.402	-5.6252
123.046866	77.132	-4.9644
123.413077	77.781	-5.8258
123.779288	78.377	-8.0592
124.145499	78.811	-11.2860
124.511710	79.145	-14.1986
124.877921	79.510	-17.3702
125.244132	79.736	-21.5284
125.610343	79.720	-25.6179
125.976554	79.584	-29.0824
126.342764	79.385	-31.8905
126.708975	79.214	-33.7072
127.075186	79.147	-35.3522
127.441397	79.028	-37.4586
127.807608	78.813	-39.3029
128.173819	78.641	-41.0004
128.540030	78.498	-43.0800
128.906241	78.326	-45.0206
129.272452	78.147	-46.5074
129.638663	77.932	-47.7833
130.004874	77.658	-48.9951
130.371084	77.345	-50.2693
130.737295	77.010	-51.5326
131.103506	76.647	-52.3821
131.469717	76.262	-52.2964
131.835928	75.923	-51.2947
132.202139	75.653	-50.2527
132.568350	75.393	-49.5338
132.934561	75.163	-48.7086
133.300772	75.013	-47.5667
133.666983	74.934	-46.1691
134.033194	74.860	-44.9150
134.399404	74.678	-43.6259
134.765615	74.501	-41.4445
135.131826	74.543	-39.0573
135.498037	74.716	-37.2249
135.864248	74.967	-35.2695
136.230459	75.356	-33.6252
136.596670	75.796	-33.0973
136.962881	76.213	-33.9475
137.329092	76.464	-36.1532
137.695303	76.459	-38.0752
138.061514	76.432	-38.8035
138.427724	76.423	-39.7283
138.793935	76.248	-40.0530
139.160146	76.198	-38.5312
139.526357	76.404	-37.4235
139.892568	76.544	-36.6272
140.258779	76.793	-34.8734
140.624990	77.246	-34.4016
140.991201	77.598	-35.3060
141.357412	77.942	-36.1014
141.723623	78.370	-37.4644
142.089833	78.742	-39.2097
142.456044	79.112	-40.9111
142.822255	79.459	-43.4011
143.188466	79.679	-46.2981
143.554677	79.881	-49.1007
143.920888	80.092	-52.3229
144.287099	80.243	-55.8226
144.653310	80.349	-59.6025
145.019521	80.348	-63.9680
145.385732	80.207	-68.4408
145.751943	79.989	-72.9080
146.118153	79.650	-77.3848
146.484364	79.201	-81.3271
146.850575	78.692	-85.1960
147.216786	77.970	-89.1670
147.582997	77.013	-91.7594
147.949208	76.002	-92.5895
148.315419	74.891	-91.6549
148.681630	73.761	-87.4213
149.047841	72.905	-80.0405
149.414052	72.529	-70.1580
149.780263	72.992	-60.7120
150.146473	73.847	-55.8043
150.512684	74.642	-53.5961
150.878895	75.506	-53.2831
151.245106	76.301	-55.3500
151.611317	76.912	-58.3594
151.977528	77.416	-61.7239
152.343739	77.746	-65.5450
152.709950	77.849	-69.3386
153.076161	77.769	-73.0736
153.442372	77.531	-76.7875
153.808583	77.194	-80.2584
154.174793	76.771	-83.1455
154.541004	76.300	-84.4570
154.907215	75.944	-84.5266
155.273426	75.586	-84.8420
155.639637	75.076	-84.6501
156.005848	74.620	-83.5244
156.372059	74.209	-82.2722
156.738270	73.782	-79.3444
157.104481	73.679	-74.5659
157.470692	73.885	-70.5209
157.836903	74.195	-67.1620
158.203113	74.789	-64.4758
158.569324	75.614	-64.2252
158.935535	76.332	-65.9662
159.301746	76.902	-67.9868
159.667957	77.430	-70.7374
160.034168	77.749	-75.0870
160.400379	77.752	-79.5598
160.766590	77.683	-83.1447
161.132801	77.591	-86.7649
161.499012	77.300	-89.7648
161.865223	76.976	-91.2626
162.231433	76.706	-92.8148
162.597644	76.321	-94.2971
162.963855	75.994	-94.6257
163.330066	75.801	-95.1201
163.696277	75.515	-95.3948
164.062488	75.287	-94.3105
164.428699	75.241	-93.2155
164.794910	75.281	-92.2190
165.161121	75.521	-91.5593
165.527332	75.795	-92.4602
165.893542	75.918	-93.5240
166.259753	76.136	-94.2247
166.625964	76.439	-96.4030
166.992175	76.548	-99.5592
167.358386	76.538	-102.2734
167.724597	76.526	-105.4274
168.090808	76.343	-109.5510
168.457019	75.972	-113.3949
168.823230	75.584	-116.7393
169.189441	75.106	-119.9928
169.555652	74.452	-121.9724
169.921862	73.800	-122.5295
170.288073	73.117	-122.9327
170.654284	72.355	-122.1753
171.020495	71.817	-120.4113
171.386706	71.335	-119.2216
171.752917	70.760	-116.3654
172.119128	70.545	-112.4137
172.485339	70.454	-110.6090
172.851550	70.200	-108.8368
173.217761	70.105	-105.9709
173.583972	70.194	-102.8385
173.950182	70.508	-99.5631
174.316393	70.927	-98.0687
174.682604	71.124	-97.3314
175.048815	71.368	-95.7933
175.415026	71.747	-95.3370
175.781237	71.994	-95.2866
176.147448	72.315	-94.7216
176.513659	72.736	-95.7166
176.879870	72.997	-97.9749
177.246081	73.203	-100.2310
177.612292	73.400	-103.0300
177.978502	73.415	-106.1799
178.344713	73.218	-108.6760
178.710924	72.936	-110.1061
179.077135	72.723	-110.8677
179.443346	72.549	-111.5927
179.809557	72.328	-111.3499
180.175768	72.263	-109.5978
180.541979	72.429	-108.2924
180.908190	72.626	-107.8463
181.274401	72.948	-107.4867
181.640612	73.491	-108.0610
182.006822	74.096	-109.9995
182.373033	74.646	-112.9585
182.739244	75.082	-116.6156
183.105455	75.456	-120.6100
183.471666	75.861	-125.4775
183.837877	76.194	-131.7867
184.204088	76.339	-138.7444
184.570299	76.356	-145.6277
184.936510	76.295	-152.6688
185.302721	76.111	-159.8560
185.668932	75.802	-166.8384
186.035142	75.393	-173.5044
186.401353	74.940	-179.6440
186.767564	74.563	174.4712
187.133775	74.237	168.1222
187.499986	73.869	161.7914
187.866197	73.575	155.5780
188.232408	73.333	147.9902
188.598619	72.936	139.5527
188.964830	72.556	132.0548
189.331041	72.377	124.5498
189.697251	72.106	116.6405
190.063462	71.754	110.2598
190.429673	71.678	104.4460
190.795884	71.745	97.5387
191.162095	71.870	91.1671
191.528306	72.255	85.0817
191.894517	72.712	77.8104
192.260728	73.106	70.3947
192.626939	73.595	63.1624
192.993150	74.126	55.7225
193.359361	74.614	48.8245
193.725571	75.094	42.1915
194.091782	75.476	35.2317
194.457993	75.786	28.4601
194.824204	76.148	21.5447
195.190415	76.450	14.1658
195.556626	76.605	7.3134
195.922837	76.689	1.0406
196.289048	76.650	-5.3019
196.655259	76.438	-11.0350
197.021470	76.207	-15.5232
197.387681	76.040	-19.3038
197.753891	75.831	-22.5247
198.120102	75.545	-24.4863
198.486313	75.328	-25.0326
198.852524	75.291	-25.3462
199.218735	75.335	-26.0273
199.584946	75.456	-26.4244
199.951157	75.717	-26.8223
200.317368	76.007	-27.5587
200.683579	76.301	-28.1594
201.049790	76.670	-28.9850
201.416001	77.082	-30.5651
201.782211	77.488	-32.8867
202.148422	77.838	-35.6458
202.514633	78.156	-38.3911
202.880844	78.484	-41.5901
203.247055	78.714	-45.4725
203.613266	78.856	-49.1989
203.979477	79.013	-53.0049
204.345688	79.054	-57.0430
204.711899	78.976	-60.0627
205.078110	78.975	-62.5760
205.444321	78.942	-65.8652
205.810531	78.790	-69.1086
206.176742	78.656	-72.0911
206.542953	78.482	-75.1455
206.909164	78.245	-77.3396
207.275375	78.072	-78.8861
207.641586	77.906	-80.5417
208.007797	77.736	-82.0592
208.374008	77.602	-83.7493
208.740219	77.461	-85.2957
209.106430	77.427	-86.5828
209.472641	77.413	-88.9449
209.838851	77.161	-91.5286
210.205062	76.832	-93.0068
210.571273	76.556	-94.6300
210.937484	76.168	-96.3904
211.303695	75.751	-97.2939
211.669906	75.346	-97.8566
212.036117	74.866	-97.3451
212.402328	74.513	-95.6169
212.768539	74.217	-94.3329
213.134750	73.810	-92.3641
213.500960	73.623	-89.1886
213.867171	73.686	-86.9796
214.233382	73.763	-85.0629
214.599593	73.999	-82.5339
214.965804	74.363	-80.7878
215.332015	74.604	-79.3921
215.698226	74.863	-77.3306
216.064437	75.302	-76.0957
216.430648	75.749	-76.5155
216.796859	76.143	-77.5945
217.163070	76.531	-79.1940
217.529280	76.816	-81.1403
217.895491	77.026	-82.7841
218.261702	77.211	-84.5953
218.627913	77.291	-86.4137
218.994124	77.389	-87.5605
219.360335	77.584	-89.3010
219.726546	77.637	-91.7745
220.092757	77.597	-93.4974
220.458968	77.630	-95.1753
220.825179	77.564	-97.1760
221.191390	77.424	-98.0536
221.557600	77.399	-98.5707
221.923811	77.322	-99.5829
222.290022	77.184	-99.7944
222.656233	77.193	-99.4304
223.022444	77.283	-99.1453
223.388655	77.444	-98.4467
223.754866	77.719	-98.1062
224.121077	77.969	-98.4117
224.487288	78.255	-98.6749
224.853499	78.673	-99.5973
225.219710	79.070	-101.4880
225.585920	79.378	-103.5088
225.952131	79.647	-105.7324
226.318342	79.838	-108.4717
226.684553	79.978	-111.3849
227.050764	80.131	-114.5588
227.416975	80.226	-118.0208
227.783186	80.227	-121.1294
228.149397	80.207	-123.9818
228.515608	80.141	-127.1237
228.881819	80.003	-130.0941
229.248030	79.899	-132.5981
229.614240	79.826	-135.1965
229.980451	79.686	-137.9210
230.346662	79.482	-140.5608
230.712873	79.240	-143.2452
231.079084	78.958	-145.7446
231.445295	78.674	-147.7928
231.811506	78.391	-149.5516
232.177717	78.086	-151.2479
232.543928	77.741	-152.9829
232.910139	77.370	-154.3962
233.276350	77.055	-155.3191
233.642560	76.755	-156.2452
234.008771	76.357	-156.7408
234.374982	76.006	-156.3801
234.741193	75.807	-156.5790
235.107404	75.552	-157.5280
235.473615	75.221	-157.4347
235.839826	75.012	-156.1836
236.206037	74.913	-155.1198
236.572248	74.825	-154.5393
236.938459	74.760	-154.2775
237.304669	74.721	-153.9900
237.670880	74.771	-153.4197
238.037091	74.904	-153.5767
238.403302	74.933	-154.8348
238.769513	74.893	-156.1848
239.135724	74.935	-158.0476
239.501935	74.846	-160.5067
239.868146	74.575	-161.4362
240.234357	74.421	-161.5105
240.600568	74.189	-162.9695
240.966779	73.742	-163.7896
241.332989	73.528	-163.3329
241.699200	73.455	-163.8228
242.065411	73.216	-163.6584
242.431622	73.078	-162.4127
242.797833	73.007	-162.1915
243.164044	72.912	-162.1807
243.530255	72.950	-162.4619
243.896466	72.910	-163.0890
244.262677	72.845	-162.5378
244.628888	72.912	-162.6213
244.995099	72.799	-163.8412
245.361309	72.620	-163.8419
245.727520	72.647	-163.5219
246.093731	72.655	-163.7457
246.459942	72.579	-163.7955
246.826153	72.466	-163.9860
247.192364	72.411	-163.9426
247.558575	72.576	-164.6947
247.924786	72.647	-166.6960
248.290997	72.558	-167.5823
248.657208	72.598	-168.1992
249.023419	72.567	-169.9337
249.389629	72.493	-171.1851
249.755840	72.558	-173.0211
250.122051	72.427	-175.6560
250.488262	72.190	-177.0807
250.854473	72.094	-179.3683
251.220684	71.764	176.7319
251.586895	71.219	174.1146
251.953106	70.744	172.3743
252.319317	70.121	170.7246
252.685528	69.391	170.3385
253.051739	68.692	169.9304
253.417949	67.789	169.8580
253.784160	66.806	172.3608
254.150371	65.961	177.0789
254.516582	65.366	-176.6190
254.882793	65.124	-170.7025
255.249004	65.079	-164.9277
255.615215	65.579	-158.9156
255.981426	66.337	-155.9883
256.347637	66.799	-153.8101
256.713848	67.347	-151.6617
257.080059	67.869	-152.9575
257.446269	67.946	-155.8677
257.812480	67.786	-157.2567
258.178691	67.595	-157.1311
258.544902	67.304	-156.1191
258.911113	66.835	-154.3162
259.277324	66.290	-150.6107
259.643535	66.116	-144.9165
260.009746	66.362	-139.4287
260.375957	66.788	-133.8176
260.742168	67.486	-128.3645
261.108378	68.398	-125.0481
261.474589	69.349	-124.4404
261.840800	70.212	-125.5127
262.207011	71.062	-126.6838
262.573222	71.959	-128.7429
262.939433	72.578	-132.2856
263.305644	72.861	-135.2922
263.671855	73.191	-137.6160
264.038066	73.580	-140.9956
264.404277	73.811	-144.5072
264.770488	73.965	-146.8322
265.136698	74.154	-148.4387
265.502909	74.383	-149.9817
265.869120	74.629	-151.9523
266.235331	74.837	-154.2314
266.601542	75.038	-156.5925
266.967753	75.218	-159.2853
267.333964	75.368	-161.8065
267.700175	75.624	-164.2930
268.066386	75.908	-167.6329
268.432597	76.083	-171.0730
268.798808	76.260	-174.2714
269.165018	76.419	-178.0627
269.531229	76.481	177.8979
269.897440	76.515	173.7671
270.263651	76.468	169.2218
270.629862	76.317	164.9066
270.996073	76.178	160.5507
271.362284	75.948	155.5980
271.728495	75.586	151.1134
272.094706	75.239	147.0447
272.460917	74.798	142.4718
272.827128	74.148	138.2744
