* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.3 dBFS, measurement signal peak level -16.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 3:40:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L,R MPM.0  2 GIK screens  prolong the right wall and then 2 foam. all other GIK screens as usual. Just the first on the left closer to the speaker (first reflection point). SCREENS.FRONT.WALL: 2 screens moved from the back to the front wall for comparison; 28 aug 2026 Screens on the front wall (2 units moved to the front wall: 1 taken off the back and one taken off the right - back)  Position MLP 4.517m from front wall 3.62m from RLand L speaker (trying to reproduce MPM.0 positioning) 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY 0.0004 ms (0.15 mm, 0.01 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.6 ppm
* Measurement: L SCREENS.FRONT.W
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.948	-164.9060
16.479492	72.362	-171.7277
16.845703	73.426	-178.5091
17.211914	73.397	177.9003
17.578125	73.154	-179.8332
17.944336	74.077	177.0718
18.310547	75.010	166.0745
18.676758	75.710	158.8295
19.042969	76.538	154.2203
19.409179	76.629	148.2470
19.775390	76.348	145.0437
20.141601	77.007	139.9378
20.507812	77.615	130.1238
20.874023	77.526	123.9114
21.240234	77.460	121.4924
21.606445	77.403	117.2231
21.972656	77.477	112.5170
22.338867	78.089	106.7758
22.705078	78.543	100.6721
23.071288	78.806	97.0909
23.437499	79.171	91.1747
23.803710	79.079	81.1471
24.169921	78.723	72.0644
24.536132	78.604	63.6205
24.902343	78.030	54.4702
25.268554	76.758	49.8123
25.634765	75.852	49.6321
26.000976	75.249	47.9669
26.367187	74.651	47.0306
26.733398	74.503	43.3151
27.099608	73.852	33.1897
27.465819	72.250	25.7705
27.832030	71.248	29.1809
28.198241	71.825	32.2939
28.564452	72.013	26.0914
28.930663	70.114	12.6992
29.296874	64.376	-1.2234
29.663085	51.294	59.1077
30.029296	62.144	116.6217
30.395507	67.193	117.9376
30.761718	70.463	112.7003
31.127928	72.181	104.2083
31.494139	73.116	95.7051
31.860350	73.670	86.4913
32.226561	73.631	80.8913
32.592772	73.949	82.0408
32.958983	74.905	79.5566
33.325194	75.208	73.0247
33.691405	75.399	70.0928
34.057616	76.307	67.4068
34.423827	77.060	63.0188
34.790038	77.689	59.7653
35.156248	78.472	53.0476
35.522459	78.772	42.1690
35.888670	78.598	31.8480
36.254881	78.215	22.5265
36.621092	77.374	13.9884
36.987303	76.416	7.9525
37.353514	75.730	0.5816
37.719725	74.398	-7.4182
38.085936	72.587	-7.1935
38.452147	71.629	-4.0381
38.818358	70.533	-4.3500
39.184568	69.779	-1.7474
39.550779	69.557	-1.5608
39.916990	68.619	4.6621
40.283201	68.932	15.5344
40.649412	68.689	14.3765
41.015623	67.196	16.3265
41.381834	67.436	18.3344
41.748045	67.389	15.5297
42.114256	67.244	25.9867
42.480467	67.920	32.3593
42.846678	66.713	38.6245
43.212888	67.241	49.5987
43.579099	68.447	41.2715
43.945310	68.249	37.7677
44.311521	69.368	46.6725
44.677732	70.780	49.2877
45.043943	71.455	50.1493
45.410154	71.733	45.9474
45.776365	70.889	43.4258
46.142576	70.800	48.0171
46.508787	70.558	45.7217
46.874997	69.435	56.2702
47.241208	72.376	63.8994
47.607419	74.159	55.1430
47.973630	74.910	61.9432
48.339841	77.101	64.3924
48.706052	75.896	57.2594
49.072263	73.517	80.1485
49.438474	77.462	76.8721
49.804685	79.469	43.7808
50.170896	79.466	23.6732
50.537107	80.126	26.3473
50.903317	81.721	22.3629
51.269528	81.642	12.3405
51.635739	81.301	4.5063
52.001950	81.555	-6.1698
52.368161	81.363	-15.6926
52.734372	81.092	-19.9269
53.100583	80.763	-26.4154
53.466794	79.701	-33.6765
53.833005	78.986	-37.1368
54.199216	78.877	-41.9567
54.565427	78.399	-45.9405
54.931637	77.953	-48.0428
55.297848	77.384	-52.8087
55.664059	76.646	-56.4240
56.030270	76.433	-59.2216
56.396481	76.033	-62.5190
56.762692	75.592	-61.9279
57.128903	75.646	-63.7551
57.495114	75.308	-67.9963
57.861325	75.259	-69.0905
58.227536	75.636	-73.4313
58.593747	75.310	-78.9971
58.959957	75.051	-81.4796
59.326168	75.283	-86.7463
59.692379	75.336	-92.7802
60.058590	75.560	-96.7286
60.424801	75.797	-101.5177
60.791012	75.990	-105.5371
61.157223	76.715	-111.4269
61.523434	77.409	-121.4310
61.889645	77.844	-131.3873
62.255856	78.367	-142.1525
62.622067	78.652	-155.6989
62.988277	78.591	-169.1569
63.354488	78.501	178.3447
63.720699	78.245	166.1745
64.086910	77.886	156.1165
64.453121	77.843	146.8414
64.819332	77.795	136.9772
65.185543	77.692	129.3130
65.551754	77.917	121.5439
65.917965	78.043	111.1820
66.284176	78.066	101.6526
66.650387	78.420	92.1647
67.016597	78.556	80.5983
67.382808	78.107	69.7629
67.749019	77.407	60.3131
68.115230	76.428	51.8194
68.481441	75.402	48.0235
68.847652	75.129	46.1362
69.213863	74.922	40.8326
69.580074	74.417	36.3832
69.946285	74.279	32.6841
70.312496	74.143	27.0865
70.678706	73.740	22.5937
71.044917	73.416	18.3594
71.411128	72.971	12.3679
71.777339	72.377	6.1842
72.143550	71.662	-0.2679
72.509761	70.507	-5.7121
72.875972	69.228	-7.8817
73.242183	68.449	-9.0701
73.608394	68.187	-12.2156
73.974605	67.785	-18.1058
74.340816	66.481	-22.2067
74.707026	65.348	-22.3196
75.073237	64.916	-33.4912
75.439448	63.425	-56.9044
75.805659	60.414	-79.0073
76.171870	56.718	-101.2847
76.538081	55.134	-151.4429
76.904292	58.760	169.5249
77.270503	62.165	156.5054
77.636714	64.059	143.2427
78.002925	63.798	128.0601
78.369136	62.476	125.1349
78.735346	62.860	140.8025
79.101557	65.864	160.4612
79.467768	70.089	168.6569
79.833979	73.562	164.8477
80.200190	76.209	155.3215
80.566401	78.404	142.3922
80.932612	80.074	128.2908
81.298823	81.186	115.2323
81.665034	81.864	103.2623
82.031245	82.195	91.9253
82.397456	82.344	81.6769
82.763666	82.461	72.3262
83.129877	82.449	63.4875
83.496088	82.236	55.6393
83.862299	81.904	48.9045
84.228510	81.529	43.3391
84.594721	81.222	38.8551
84.960932	80.939	34.6379
85.327143	80.593	31.3937
85.693354	80.453	29.1240
86.059565	80.478	25.5092
86.425776	80.330	21.2789
86.791986	80.129	17.8291
87.158197	79.930	14.3622
87.524408	79.693	11.7874
87.890619	79.674	9.6860
88.256830	79.603	5.7419
88.623041	79.127	1.7246
