* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.1 dBFS, measurement signal peak level -14.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 3:42:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L,R MPM.0  2 GIK screens  prolong the right wall and then 2 foam. all other GIK screens as usual. Just the first on the left closer to the speaker (first reflection point). SCREENS.FRONT.WALL: 2 screens moved from the back to the front wall for comparison; 28 aug 2026 Screens on the front wall (2 units moved to the front wall: 1 taken off the back and one taken off the right - back)  Position MLP 4.517m from front wall 3.62m from RLand L speaker (trying to reproduce MPM.0 positioning) 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY -0.0329 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L+R SCREENS.FRONT.W
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	76.955	-172.1469
16.479492	77.180	-178.2025
16.845703	77.510	176.7277
17.211914	77.615	170.3471
17.578125	77.522	166.9957
17.944336	78.166	165.8060
18.310547	79.120	161.5122
18.676758	79.680	156.3984
19.042969	80.022	151.7655
19.409179	80.237	146.5255
19.775390	80.452	141.5335
20.141601	80.898	136.5202
20.507812	81.313	130.3795
20.874023	81.349	124.2338
21.240234	81.123	119.8248
21.606445	81.102	117.0742
21.972656	81.465	113.7188
22.338867	81.879	109.4948
22.705078	82.287	105.7566
23.071288	82.802	100.8356
23.437499	83.144	93.3326
23.803710	83.160	85.0219
24.169921	82.940	77.4680
24.536132	82.510	71.2393
24.902343	81.938	66.4327
25.268554	81.237	62.4215
25.634765	80.447	61.0569
26.000976	80.305	62.8416
26.367187	80.821	61.1125
26.733398	80.905	55.6710
27.099608	80.441	51.9107
27.465819	80.091	51.6866
27.832030	80.443	52.3481
28.198241	81.342	47.9344
28.564452	81.708	36.7925
28.930663	80.943	24.0099
29.296874	79.431	14.6407
29.663085	77.695	8.9200
30.029296	75.462	8.0276
30.395507	73.394	19.1648
30.761718	73.318	33.5070
31.127928	73.782	40.1419
31.494139	74.131	44.6069
31.860350	74.607	47.0930
32.226561	74.908	48.3575
32.592772	75.302	50.7690
32.958983	76.103	51.5826
33.325194	76.810	49.5480
33.691405	77.255	48.1391
34.057616	77.818	47.6949
34.423827	78.475	45.8265
34.790038	79.173	42.2574
35.156248	79.981	35.8785
35.522459	80.529	26.7078
35.888670	80.553	17.5405
36.254881	80.151	9.8549
36.621092	79.462	3.2806
36.987303	78.667	-2.7372
37.353514	77.741	-9.1543
37.719725	76.357	-13.1516
38.085936	75.175	-10.7191
38.452147	74.758	-9.1368
38.818358	73.971	-9.7320
39.184568	73.330	-5.9778
39.550779	73.452	-3.8799
39.916990	73.421	-4.3110
40.283201	73.389	-6.5537
40.649412	72.744	-12.6514
41.015623	71.366	-13.5421
41.381834	70.901	-9.9954
41.748045	70.033	-9.4321
42.114256	69.008	1.7063
42.480467	70.043	6.0072
42.846678	69.726	-0.6146
43.212888	68.838	4.5128
43.579099	69.661	10.2109
43.945310	69.359	11.2651
44.311521	68.658	19.5500
44.677732	68.963	23.4274
45.043943	69.672	21.4971
45.410154	70.749	16.9901
45.776365	71.109	15.4739
46.142576	71.394	17.7841
46.508787	70.795	10.3860
46.874997	67.904	4.4208
47.241208	67.575	13.7015
47.607419	68.127	10.6818
47.973630	66.550	44.0645
48.339841	71.067	63.2798
48.706052	67.707	67.7065
49.072263	71.079	133.7539
49.438474	75.825	107.8916
49.804685	75.818	63.5053
50.170896	74.612	38.3950
50.537107	76.061	45.4744
50.903317	78.444	40.6391
51.269528	78.500	32.5938
51.635739	78.433	26.7220
52.001950	78.797	15.7498
52.368161	78.857	7.4011
52.734372	79.162	3.8513
53.100583	79.139	-1.6602
53.466794	78.553	-6.5353
53.833005	78.406	-12.4099
54.199216	78.230	-20.8405
54.565427	77.911	-25.0527
54.931637	77.997	-28.7774
55.297848	77.559	-35.5708
55.664059	76.827	-39.6289
56.030270	76.653	-44.3791
56.396481	76.066	-50.6949
56.762692	75.347	-51.9794
57.128903	75.304	-55.0206
57.495114	74.920	-61.9880
57.861325	74.535	-66.4740
58.227536	74.571	-71.9202
58.593747	74.284	-78.2556
58.959957	74.107	-83.5837
59.326168	74.099	-91.7625
59.692379	73.890	-98.7529
60.058590	74.249	-103.1024
60.424801	74.873	-110.6067
60.791012	75.318	-118.5802
61.157223	76.257	-126.8752
61.523434	77.362	-138.3501
61.889645	78.242	-149.9844
62.255856	79.236	-162.0390
62.622067	80.151	-176.9774
62.988277	80.702	167.6130
63.354488	81.032	154.0318
63.720699	81.145	141.9716
64.086910	81.026	132.0698
64.453121	81.028	124.0110
64.819332	81.165	115.9478
65.185543	81.301	108.9280
65.551754	81.668	102.6908
65.917965	82.104	94.8828
66.284176	82.357	86.4883
66.650387	82.584	78.1230
67.016597	82.677	68.6410
67.382808	82.388	59.0576
67.749019	81.797	50.8807
