* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.9 dBFS, measurement signal peak level -17.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 3:41:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L,R MPM.0  2 GIK screens  prolong the right wall and then 2 foam. all other GIK screens as usual. Just the first on the left closer to the speaker (first reflection point). SCREENS.FRONT.WALL: 2 screens moved from the back to the front wall for comparison; 28 aug 2026 Screens on the front wall (2 units moved to the front wall: 1 taken off the back and one taken off the right - back)  Position MLP 4.517m from front wall 3.62m from RLand L speaker (trying to reproduce MPM.0 positioning) 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY -0.0627 ms (-21 mm, -0.85 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.8 ppm
* Measurement: R SCREENS.FRONT.W
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.325	-177.0753
16.479492	69.554	172.3115
16.845703	69.102	166.8098
17.211914	69.569	159.9198
17.578125	69.852	153.9626
17.944336	70.188	153.2735
18.310547	70.794	150.4641
18.676758	70.732	143.3226
19.042969	70.179	138.1696
19.409179	70.235	137.0309
19.775390	70.886	135.1656
20.141601	71.231	132.0052
20.507812	71.272	129.7855
20.874023	71.545	126.3303
21.240234	71.777	119.9732
21.606445	71.645	115.7047
21.972656	71.704	115.6736
22.338867	72.141	114.4165
22.705078	72.569	110.1140
23.071288	73.045	104.4626
23.437499	73.510	99.0230
23.803710	73.809	94.4046
24.169921	73.644	88.8952
24.536132	72.818	84.5944
24.902343	72.582	84.6291
25.268554	73.497	80.7127
25.634765	73.746	73.9033
26.000976	73.311	74.6787
26.367187	73.810	77.8199
26.733398	74.469	73.5854
27.099608	74.805	68.4700
27.465819	75.502	65.3662
27.832030	76.404	61.5865
28.198241	77.254	55.4648
28.564452	77.893	44.1393
28.930663	77.881	29.1233
29.296874	77.141	17.0044
29.663085	76.224	11.5021
30.029296	75.548	7.4641
30.395507	74.556	0.0920
30.761718	73.078	-6.8118
31.127928	72.105	-8.5551
31.494139	71.928	-10.3253
31.860350	71.044	-13.3251
32.226561	69.562	-9.9842
32.592772	69.221	-6.0448
32.958983	69.130	-8.8870
33.325194	68.796	-9.1118
33.691405	68.806	-6.9557
34.057616	68.477	-6.1154
34.423827	68.192	-4.4972
34.790038	68.711	-6.6527
35.156248	69.478	-11.3861
35.522459	70.207	-15.4614
35.888670	70.291	-21.3860
