* Measurement data measured by REW V5.40 beta 123
* Source: Vector average
* Format: Vector average
* Dated: Apr 28, 2026, 4:01:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Vector average of LxFL, RxFR
* Measurement: Vector average
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 33.610 -13.2199
2.563477 34.405 -29.9094
2.929687 34.186 -46.5458
3.295898 32.798 -62.1481
3.662109 29.784 -74.6844
4.028320 23.812 -74.1053
4.394531 20.351 -5.3712
4.760742 27.697 13.5490
5.126953 31.526 2.7302
5.493164 33.401 -13.8574
5.859375 33.955 -32.7338
6.225586 33.188 -52.1752
6.591797 30.374 -68.4299
6.958007 22.947 -51.6970
7.324218 30.201 19.9410
7.690429 38.059 10.6399
8.056640 42.852 -7.4585
8.422851 46.087 -26.2817
8.789062 48.212 -43.8694
9.155273 49.383 -58.7446
9.521484 49.717 -68.6202
9.887695 49.644 -69.7599
10.253906 50.496 -61.2390
10.620117 53.169 -54.1391
10.986327 56.377 -56.3837
11.352538 59.111 -65.1384
11.718749 61.167 -76.8873
12.084960 62.577 -89.5536
12.451171 63.412 -101.7997
12.817382 63.757 -112.5035
13.183593 63.747 -120.5414
13.549804 63.628 -124.9887
13.916015 63.774 -126.0445
14.282226 64.475 -125.9520
14.648436 65.647 -127.5967
15.014647 66.968 -132.1314
15.380858 68.186 -139.0662
15.747069 69.190 -147.4616
16.113280 69.962 -156.5116
16.479491 70.521 -165.6423
16.845702 70.903 -174.4739
17.211913 71.147 177.2252
17.578124 71.292 169.5715
17.944335 71.373 162.5899
18.310546 71.418 156.2356
18.676756 71.446 150.4192
19.042967 71.468 145.0330
19.409178 71.486 139.9780
19.775389 71.494 135.1863
20.141600 71.488 130.6355
20.507811 71.463 126.3484
20.874022 71.425 122.3715
21.240233 71.386 118.7282
21.606444 71.366 115.3651
21.972655 71.379 112.1299
22.338866 71.418 108.8251
22.705076 71.457 105.3228
23.071287 71.461 101.6640
23.437498 71.408 98.0642
23.803709 71.311 94.8026
24.169920 71.215 92.0311
24.536131 71.172 89.6063
24.902342 71.202 87.1173
25.268553 71.264 84.1786
25.634764 71.280 80.7573
26.000975 71.192 77.2553
26.367186 71.005 74.3062
26.733396 70.812 72.3630
27.099607 70.746 71.2072
27.465818 70.873 69.8478
27.832029 71.105 67.2346
28.198240 71.257 63.1045
28.564451 71.164 58.1098
28.930662 70.752 53.5025
29.296873 70.081 50.8086
29.663084 69.401 51.2198
30.029295 69.102 54.2172
30.395506 69.372 56.9792
30.761716 69.956 57.0052
31.127927 70.476 54.2223
31.494138 70.731 49.9795
31.860349 70.702 45.7618
32.226560 70.502 42.6244
32.592771 70.305 40.8391
32.958982 70.253 39.7634
33.325193 70.353 38.3704
33.691404 70.500 36.1146
34.057615 70.591 33.1889
34.423826 70.594 30.1275
34.790036 70.549 27.3124
35.156247 70.516 24.7053
35.522458 70.517 21.9373
35.888669 70.510 18.6793
36.254880 70.425 14.9480
36.621091 70.211 11.1093
36.987302 69.867 7.6691
37.353513 69.440 5.0193
37.719724 69.002 3.2510
38.085935 68.607 2.1533
38.452145 68.267 1.4395
38.818356 67.970 0.9937
39.184567 67.722 0.8656
39.550778 67.560 1.0103
39.916989 67.520 1.0659
40.283200 67.583 0.4800
40.649411 67.667 -1.0927
41.015622 67.675 -3.5360
41.381833 67.541 -6.3365
41.748044 67.264 -8.8094
42.114255 66.911 -10.3583
42.480465 66.605 -10.7760
42.846676 66.475 -10.4959
43.212887 66.573 -10.4851
43.579098 66.839 -11.6865
43.945309 67.149 -14.5328
44.311520 67.383 -18.9324
44.677731 67.458 -24.5070
45.043942 67.331 -30.7864
45.410153 66.986 -37.2987
45.776364 66.432 -43.6076
46.142575 65.695 -49.3450
46.508785 64.822 -54.2572
46.874996 63.866 -58.2549
47.241207 62.877 -61.4271
47.607418 61.885 -63.9952
47.973629 60.904 -66.2507
48.339840 59.929 -68.5513
48.706051 58.926 -71.3688
49.072262 57.810 -75.2722
49.438473 56.412 -80.8015
49.804684 54.456 -88.4087
50.170895 51.468 -98.8385
50.537105 46.343 -115.6891
50.903316 37.006 -179.6270
51.269527 44.387 91.6888
51.635738 49.850 73.1697
52.001949 52.929 63.8186
52.368160 55.072 57.3989
52.734371 56.813 51.7939
53.100582 58.315 45.5861
53.466793 59.558 38.0811
53.833004 60.470 29.3003
54.199215 61.000 19.7028
54.565425 61.131 9.9302
54.931636 60.889 0.6743
55.297847 60.346 -7.4169
55.664058 59.632 -13.9261
56.030269 58.924 -19.0212
56.396480 58.373 -23.7403
56.762691 58.002 -29.6714
57.128902 57.709 -38.1450
57.495113 57.374 -49.8555
57.861324 56.962 -65.0802
58.227535 56.563 -83.8338
58.593745 56.383 -105.5225
58.959956 56.616 -128.4359
59.326167 57.268 -150.2053
59.692378 58.152 -169.1467
60.058589 59.064 175.2537
60.424800 59.896 162.8560
60.791011 60.641 153.3160
61.157222 61.357 146.1578
61.523433 62.116 140.6936
61.889644 62.952 136.0775
62.255854 63.843 131.5662
62.622065 64.725 126.7637
62.988276 65.539 121.6431
63.354487 66.256 116.3916
63.720698 66.878 111.2292
64.086909 67.428 106.2838
64.453120 67.935 101.5447
64.819331 68.415 96.8993
65.185542 68.869 92.2225
65.551753 69.286 87.4534
65.917964 69.658 82.6099
66.284174 69.983 77.7407
66.650385 70.269 72.8608
67.016596 70.520 67.9199
67.382807 70.732 62.8401
67.749018 70.886 57.5930
68.115229 70.965 52.2614
68.481440 70.960 47.0289
68.847651 70.894 42.0837
69.213862 70.809 37.4669
69.580073 70.747 32.9504
69.946284 70.719 28.0764
70.312494 70.675 22.3921
70.678705 70.529 15.7037
71.044916 70.185 8.1637
71.411127 69.569 0.1989
71.777338 68.644 -7.6158
72.143549 67.411 -14.6965
72.509760 65.906 -20.6547
72.875971 64.168 -25.5841
73.242182 62.131 -30.2354
73.608393 59.449 -35.7506
73.974604 55.053 -43.2672
74.340814 43.230 -58.1534
74.707025 50.074 125.4988
75.073236 57.924 112.9569
75.439447 61.749 102.1501
75.805658 64.025 92.1454
76.171869 65.422 83.2305
76.538080 66.265 75.7332
76.904291 66.772 69.8071
77.270502 67.111 65.3071
77.636713 67.392 61.8054
78.002924 67.653 58.8029
78.369134 67.887 55.9875
78.735345 68.073 53.3158
79.101556 68.209 50.8921
79.467767 68.315 48.7947
79.833978 68.417 46.9801
80.200189 68.526 45.3145
80.566400 68.639 43.6755
80.932611 68.744 42.0264
81.298822 68.832 40.4054
81.665033 68.905 38.8674
82.031244 68.972 37.4336
82.397454 69.040 36.0820
82.763665 69.112 34.7712
83.129876 69.189 33.4617
83.496087 69.267 32.1229
83.862298 69.342 30.7323
84.228509 69.410 29.2803
84.594720 69.464 27.7811
84.960931 69.501 26.2714
85.327142 69.522 24.7906
85.693353 69.531 23.3551
86.059563 69.534 21.9495
86.425774 69.528 20.5480
86.791985 69.510 19.1475
87.158196 69.478 17.7764
87.524407 69.437 16.4641
87.890618 69.394 15.1899
88.256829 69.355 13.8629
88.623040 69.306 12.3711
88.989251 69.220 10.6782
89.355462 69.064 8.9042
89.721673 68.820 7.3314
90.087883 68.502 6.3245
90.454094 68.161 6.1700
90.820305 67.876 6.8807
91.186516 67.712 8.0911
91.552727 67.681 9.2201
91.918938 67.730 9.8307
92.285149 67.783 9.8676
92.651360 67.788 9.6045
93.017571 67.738 9.4290
93.383782 67.669 9.6190
93.749993 67.632 10.1982
94.116203 67.664 10.9396
94.482414 67.763 11.5325
94.848625 67.900 11.7885
95.214836 68.039 11.7186
95.581047 68.165 11.4548
95.947258 68.280 11.1110
96.313469 68.396 10.6965
96.679680 68.515 10.1322
97.045891 68.625 9.3455
97.412102 68.703 8.3629
97.778313 68.733 7.3250
98.144523 68.719 6.4191
98.510734 68.684 5.7740
98.876945 68.656 5.3834
99.243156 68.657 5.1086
99.609367 68.684 4.7738
99.975578 68.719 4.2753
100.341789 68.742 3.6273
100.708000 68.742 2.9205
101.074211 68.721 2.2457
101.440422 68.687 1.6444
101.806633 68.646 1.1122
102.172843 68.598 0.6382
102.539054 68.542 0.2355
102.905265 68.482 -0.0673
103.271476 68.423 -0.2582
103.637687 68.370 -0.3590
104.003898 68.321 -0.3979
104.370109 68.271 -0.3579
104.736320 68.219 -0.1555
105.102531 68.179 0.3077
105.468742 68.182 1.0397
105.834953 68.258 1.8759
106.201163 68.412 2.5165
106.567374 68.618 2.6862
106.933585 68.827 2.2925
107.299796 68.994 1.4612
107.666007 69.098 0.4530
108.032218 69.147 -0.4673
108.398429 69.168 -1.1428
108.764640 69.195 -1.5804
109.130851 69.248 -1.9210
109.497062 69.326 -2.3379
109.863272 69.411 -2.9326
110.229483 69.483 -3.6936
110.595694 69.529 -4.5282
110.961905 69.549 -5.3284
111.328116 69.554 -6.0236
111.694327 69.554 -6.6002
112.060538 69.557 -7.0856
112.426749 69.568 -7.5175
112.792960 69.586 -7.9230
113.159171 69.611 -8.3191
113.525382 69.644 -8.7241
113.891592 69.685 -9.1632
114.257803 69.730 -9.6588
114.624014 69.775 -10.2155
114.990225 69.816 -10.8174
115.356436 69.854 -11.4440
115.722647 69.893 -12.0934
116.088858 69.932 -12.7933
116.455069 69.969 -13.5812
116.821280 69.994 -14.4673
117.187491 69.997 -15.4083
117.553702 69.975 -16.3164
117.919912 69.934 -17.1021
118.286123 69.888 -17.7284
118.652334 69.852 -18.2365
119.018545 69.831 -18.7178
119.384756 69.816 -19.2487
119.750967 69.794 -19.8347
120.117178 69.757 -20.4078
120.483389 69.706 -20.8776
120.849600 69.655 -21.1948
121.215811 69.617 -21.3867
121.582022 69.596 -21.5319
121.948232 69.589 -21.6981
122.314443 69.584 -21.8923
122.680654 69.578 -22.0624
123.046865 69.574 -22.1470
123.413076 69.585 -22.1331
123.779287 69.623 -22.0800
124.145498 69.691 -22.0923
124.511709 69.781 -22.2644
124.877920 69.879 -22.6377
125.244131 69.971 -23.1957
125.610342 70.050 -23.8898
125.976552 70.113 -24.6692
126.342763 70.160 -25.4966
126.708974 70.192 -26.3463
127.075185 70.209 -27.1948
127.441396 70.213 -28.0133
127.807607 70.207 -28.7717
128.173818 70.197 -29.4520
128.540029 70.192 -30.0643
128.906240 70.197 -30.6532
129.272451 70.212 -31.2845
129.638662 70.232 -32.0153
130.004872 70.242 -32.8580
130.371083 70.234 -33.7657
130.737294 70.202 -34.6472
131.103505 70.153 -35.4126
131.469716 70.102 -36.0260
131.835927 70.064 -36.5325
132.202138 70.044 -37.0322
132.568349 70.032 -37.6116
132.934560 70.015 -38.2782
133.300771 69.981 -38.9541
133.666981 69.935 -39.5344
134.033192 69.895 -39.9767
134.399403 69.878 -40.3563
134.765614 69.889 -40.8362
135.131825 69.908 -41.5580
135.498036 69.904 -42.5359
135.864247 69.853 -43.6329
136.230458 69.750 -44.6278
136.596669 69.612 -45.3344
136.962880 69.474 -45.7052
137.329091 69.360 -45.8562
137.695301 69.273 -45.9753
138.061512 69.193 -46.1718
138.427723 69.093 -46.3823
138.793934 68.966 -46.4049
139.160145 68.835 -46.0347
139.526356 68.745 -45.2275
139.892567 68.739 -44.1880
140.258778 68.831 -43.2888
140.624989 68.990 -42.8621
140.991200 69.165 -43.0289
141.357411 69.311 -43.6882
141.723621 69.403 -44.6180
142.089832 69.443 -45.5917
142.456043 69.444 -46.4543
142.822254 69.429 -47.1454
143.188465 69.415 -47.6802
143.554676 69.415 -48.1147
143.920887 69.437 -48.5249
144.287098 69.485 -49.0070
144.653309 69.556 -49.6844
145.019520 69.636 -50.6881
145.385731 69.697 -52.1031
145.751941 69.701 -53.9056
146.118152 69.611 -55.9233
146.484363 69.402 -57.8353
146.850574 69.078 -59.2133
147.216785 68.681 -59.6194
147.582996 68.298 -58.7893
147.949207 68.040 -56.8748
148.315418 67.988 -54.5387
148.681629 68.133 -52.6542
149.047840 68.384 -51.7906
149.414051 68.634 -51.9913
149.780261 68.808 -52.9243
150.146472 68.879 -54.1381
150.512683 68.862 -55.2454
150.878894 68.791 -56.0226
