* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -20.8 dBFS, measurement signal peak level -14.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025, 2:37:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: LEFT+RIGHT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0384 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.9 ppm
* Measurement: L+R.137.Blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 45.429 -23.8745
5.493164 48.742 -45.6625
5.859375 49.024 1.2683
6.225586 53.763 22.2720
6.591797 52.089 38.0481
6.958008 52.435 57.2077
7.324219 51.985 -5.2224
7.690429 56.369 -69.1019
8.056640 56.484 -70.3223
8.422851 60.270 -50.6039
8.789062 62.634 -67.2191
9.155273 61.683 -90.3293
9.521484 60.215 -103.4361
9.887695 60.351 -103.1882
10.253906 62.725 -107.0512
10.620117 63.897 -125.8949
10.986328 59.764 -128.9980
11.352539 64.560 -80.9963
11.718749 69.867 -105.3336
12.084960 69.116 -139.4883
12.451171 62.348 -151.2282
12.817382 64.164 -111.8636
13.183593 68.077 -134.4345
13.549804 68.512 -150.7098
13.916015 69.392 -149.7236
14.282226 70.587 -152.8537
14.648437 70.585 -153.3475
15.014648 71.370 -152.3491
15.380859 72.275 -159.8674
15.747069 72.961 -167.6744
16.113280 74.055 -175.7438
16.479491 74.455 176.2149
16.845702 74.393 176.2655
17.211913 75.216 176.6709
17.578124 75.620 170.5815
17.944335 75.625 166.4279
18.310546 76.420 161.9266
18.676757 77.110 154.1119
19.042968 77.418 149.6858
19.409179 78.082 146.7092
19.775389 78.605 140.4477
20.141600 78.694 133.6091
20.507811 78.648 127.5517
20.874022 78.583 123.6945
21.240233 79.038 121.6440
21.606444 79.679 115.9010
21.972655 79.622 109.7161
22.338866 79.622 107.9419
22.705077 80.217 103.7745
23.071288 80.378 96.3351
23.437499 80.327 91.5911
23.803709 80.728 86.5643
24.169920 80.862 79.1288
24.536131 80.564 74.4330
24.902342 80.602 72.4720
25.268553 81.023 68.2316
25.634764 81.377 60.0506
26.000975 81.235 48.8062
26.367186 80.352 38.1934
26.733397 79.114 31.6791
27.099608 77.939 28.2652
27.465818 76.904 28.7538
27.832029 76.884 31.4380
28.198240 77.316 27.7460
28.564451 76.959 21.4089
28.930662 76.217 16.9878
29.296873 75.243 11.4924
29.663084 73.524 8.4453
30.029295 72.103 13.7906
30.395506 71.637 21.0953
30.761717 71.670 29.6405
31.127928 72.310 33.8075
31.494138 72.060 33.6283
31.860349 71.698 39.7817
32.226560 72.728 42.9518
32.592771 73.446 40.1277
32.958982 73.960 40.2589
33.325193 74.862 39.0075
33.691404 75.376 34.9875
34.057615 75.854 31.2719
34.423826 76.584 24.1266
34.790037 76.862 14.0264
35.156248 76.585 5.3981
35.522458 76.005 -1.7444
35.888669 74.997 -8.1676
36.254880 73.845 -11.9374
36.621091 73.153 -15.1448
36.987302 72.401 -20.2645
37.353513 70.984 -22.3881
37.719724 69.555 -18.0850
38.085935 68.527 -14.0884
38.452146 66.997 -10.9470
38.818357 65.870 -1.1333
39.184568 66.323 6.8535
39.550778 67.059 11.8027
39.916989 68.599 14.6594
40.283200 69.894 6.6954
40.649411 69.492 -4.2667
41.015622 68.446 -6.7620
41.381833 68.388 -7.3542
41.748044 67.783 -11.6777
42.114255 66.637 -9.3620
42.480466 66.511 -7.5186
42.846677 65.836 -11.0894
43.212888 65.000 -5.8358
43.579098 66.082 -0.4758
43.945309 66.819 -5.6429
44.311520 65.988 -11.5633
44.677731 64.527 -11.2982
45.043942 63.668 -9.5228
45.410153 62.134 -8.4559
45.776364 61.098 12.1810
46.142575 64.021 18.7382
46.508786 64.264 1.1090
46.874997 60.362 -8.3643
47.241208 58.949 17.9615
47.607418 60.717 21.2775
47.973629 60.673 31.3481
48.339840 62.216 33.5775
48.706051 59.274 15.3766
49.072262 49.087 56.6338
49.438473 57.408 61.7879
49.804684 59.598 15.0914
50.170895 57.076 3.6721
50.537106 60.237 41.4588
50.903317 63.722 36.3788
51.269527 62.975 33.0777
51.635738 62.156 40.9034
52.001949 62.049 41.3903
52.368160 61.444 39.7312
52.734371 61.062 40.6890
53.100582 61.075 43.4399
53.466793 61.594 42.6081
53.833004 61.107 37.5110
54.199215 59.955 44.3568
54.565426 60.885 52.5624
54.931637 60.440 50.0123
55.297847 58.373 62.5136
55.664058 59.403 74.3186
56.030269 59.369 66.8835
56.396480 58.109 68.1761
56.762691 58.746 71.8750
57.128902 57.736 67.2386
57.495113 54.401 84.8149
57.861324 54.749 106.2851
58.227535 51.981 118.0065
58.593746 54.968 165.4649
58.959957 60.489 159.6634
59.326167 62.187 153.4132
59.692378 63.587 165.0545
60.058589 66.305 174.4487
60.424800 68.487 177.7534
60.791011 70.573 177.1548
61.157222 72.432 170.6542
61.523433 73.996 163.5559
61.889644 75.831 157.3349
62.255855 77.593 148.6158
62.622066 78.672 138.9603
62.988277 79.343 131.0608
63.354487 80.057 123.5398
63.720698 80.657 115.0853
64.086909 80.977 107.5880
64.453120 81.237 101.9075
64.819331 81.541 96.3930
65.185542 81.767 90.4048
65.551753 81.961 84.6105
65.917964 82.217 78.5516
66.284175 82.372 71.6044
66.650386 82.265 64.4747
67.016597 81.923 57.7368
67.382807 81.364 51.7120
67.749018 80.694 47.6329
68.115229 80.208 45.2805
68.481440 79.836 42.8740
68.847651 79.398 41.0466
69.213862 79.070 39.6176
69.580073 78.692 37.0050
69.946284 78.077 35.1441
70.312495 77.573 35.0629
70.678706 77.194 35.1678
71.044917 76.810 36.3929
71.411127 76.553 38.1603
71.777338 76.136 39.9756
72.143549 75.713 44.0710
72.509760 75.673 48.3407
72.875971 75.805 51.8537
73.242182 76.306 55.1398
73.608393 76.991 55.8416
73.974604 77.467 55.6296
74.340815 77.918 55.2481
74.707026 78.231 53.7220
75.073236 78.449 52.8816
75.439447 78.897 51.6743
75.805658 79.224 48.8697
76.171869 79.326 47.3619
76.538080 79.600 46.8185
76.904291 79.912 45.2643
77.270502 80.178 43.8016
77.636713 80.550 41.7602
78.002924 80.793 38.2037
78.369135 80.759 34.3193
78.735346 80.507 30.8780
79.101556 80.122 28.8419
79.467767 79.875 28.6437
79.833978 79.838 28.7422
80.200189 79.806 28.9075
80.566400 79.797 29.7747
80.932611 79.921 31.0233
81.298822 80.248 31.6481
81.665033 80.609 30.6549
82.031244 80.833 29.2688
82.397455 81.126 28.1323
82.763666 81.491 25.6809
83.129876 81.694 22.5334
83.496087 81.831 19.9875
83.862298 81.968 17.4800
84.228509 82.035 14.9404
84.594720 82.081 12.2916
84.960931 82.068 9.2308
85.327142 81.996 6.5841
85.693353 81.980 4.2357
86.059564 81.929 1.5233
86.425775 81.778 -1.1495
86.791986 81.582 -3.8126
87.158196 81.342 -6.4022
87.524407 81.097 -8.7115
87.890618 80.769 -10.8202
88.256829 80.349 -11.4880
88.623040 80.144 -11.0295
88.989251 80.096 -11.4994
89.355462 80.045 -12.0369
89.721673 80.148 -12.8250
90.087884 80.187 -15.2019
90.454095 79.989 -17.7593
90.820306 79.748 -20.0536
91.186516 79.453 -22.6427
91.552727 79.096 -24.7748
91.918938 78.722 -26.7215
92.285149 78.201 -28.3126
92.651360 77.650 -28.8908
93.017571 77.115 -29.4738
93.383782 76.479 -29.1493
93.749993 75.996 -27.4376
94.116204 75.592 -26.0757
94.482415 75.131 -24.0231
94.848626 74.822 -21.6803
95.214836 74.521 -19.5580
95.581047 74.399 -16.6819
95.947258 74.416 -15.5823
96.313469 74.097 -14.5211
96.679680 73.852 -11.2216
97.045891 73.727 -8.5412
97.412102 73.467 -4.8942
97.778313 73.455 -1.1350
98.144524 73.317 1.0834
98.510735 73.368 5.1060
98.876945 74.018 6.5518
99.243156 74.360 6.5460
99.609367 74.828 9.8758
99.975578 75.479 10.3469
100.341789 75.209 9.8678
100.708000 74.845 14.6675
101.074211 75.244 17.8210
101.440422 75.545 18.8729
101.806633 76.154 22.0206
102.172844 77.068 22.9478
102.539055 77.623 22.9670
102.905265 78.211 23.4564
103.271476 78.844 21.3054
103.637687 79.179 18.1211
104.003898 79.457 16.0168
104.370109 79.760 13.9672
104.736320 79.958 11.9886
105.102531 80.119 10.0258
105.468742 80.176 7.6504
105.834953 80.082 6.0957
106.201164 80.016 5.6636
106.567375 79.962 5.3572
106.933585 79.839 5.5125
107.299796 79.777 6.4296
107.666007 79.822 7.6899
108.032218 79.997 9.5221
108.398429 80.424 11.1453
108.764640 80.971 11.0449
109.130851 81.427 9.8544
109.497062 81.853 8.6328
109.863273 82.260 7.1688
110.229484 82.539 5.7899
110.595695 82.760 4.9983
110.961905 83.035 4.2054
111.328116 83.380 2.9470
111.694327 83.774 1.1459
112.060538 84.125 -0.8651
112.426749 84.436 -2.4996
112.792960 84.756 -4.2988
113.159171 85.006 -6.5662
113.525382 85.248 -8.7183
113.891593 85.569 -11.2617
114.257804 85.835 -14.2257
114.624015 86.072 -16.6791
114.990225 86.385 -19.2926
115.356436 86.664 -22.6093
115.722647 86.919 -26.0671
116.088858 87.213 -30.2186
116.455069 87.411 -35.2953
116.821280 87.487 -40.5406
117.187491 87.475 -46.1073
117.553702 87.275 -52.0031
117.919913 86.884 -57.4186
118.286124 86.385 -62.2682
118.652335 85.773 -66.4385
119.018545 85.129 -69.2867
119.384756 84.563 -71.1906
119.750967 84.026 -72.4979
120.117178 83.551 -73.1582
120.483389 83.142 -73.9199
120.849600 82.700 -74.7142
121.215811 82.251 -75.1299
121.582022 81.765 -75.2715
121.948233 81.246 -74.5300
122.314444 80.852 -73.4045
122.680654 80.501 -72.8326
123.046865 80.152 -71.7532
123.413076 79.960 -69.9912
123.779287 79.854 -68.2186
124.145498 79.767 -66.0978
124.511709 79.755 -63.9231
124.877920 79.812 -62.1684
125.244131 79.943 -60.9274
125.610342 80.122 -60.0686
125.976553 80.379 -59.3252
126.342764 80.722 -59.1772
126.708974 81.079 -59.6616
127.075185 81.489 -60.6966
127.441396 81.885 -62.9670
127.807607 82.096 -65.8971
128.173818 82.206 -68.6188
128.540029 82.291 -71.7767
128.906240 82.240 -75.3019
129.272451 82.083 -78.0634
129.638662 81.949 -80.2882
130.004873 81.762 -82.9924
130.371084 81.381 -85.9191
130.737294 80.900 -87.9981
131.103505 80.552 -89.4347
131.469716 80.276 -91.1589
131.835927 79.919 -92.2775
132.202138 79.598 -92.5894
132.568349 79.216 -93.2460
132.934560 78.716 -92.6097
133.300771 78.568 -90.8984
133.666982 78.579 -91.4078
134.033193 78.297 -91.9098
134.399404 78.108 -91.0588
134.765614 77.932 -91.9365
135.131825 77.379 -92.4060
135.498036 76.967 -90.6923
135.864247 76.718 -90.2826
136.230458 76.196 -89.1041
136.596669 75.955 -85.3176
136.962880 76.042 -82.8501
137.329091 76.028 -80.4922
137.695302 76.203 -77.3770
138.061513 76.474 -75.6720
138.427724 76.651 -74.5514
138.793934 76.819 -73.8486
139.160145 76.925 -72.8726
139.526356 77.264 -71.0585
139.892567 77.804 -71.2853
140.258778 78.084 -72.6149
140.624989 78.385 -72.6232
140.991200 78.938 -73.7797
141.357411 79.295 -76.4175
141.723622 79.467 -77.8767
142.089833 79.745 -79.1202
142.456044 79.938 -81.7853
142.822254 79.933 -84.6186
143.188465 79.940 -87.0884
143.554676 79.977 -89.9633
143.920887 79.915 -92.8851
144.287098 79.780 -95.1970
144.653309 79.628 -97.1379
145.019520 79.451 -98.8042
145.385731 79.317 -100.2677
145.751942 79.217 -102.3866
146.118153 78.997 -104.9480
146.484363 78.738 -106.5613
146.850574 78.652 -107.4764
147.216785 78.651 -108.7728
147.582996 78.530 -110.3816
147.949207 78.171 -111.8743
148.315418 77.622 -112.1274
148.681629 77.271 -111.1566
149.047840 77.191 -111.4335
149.414051 77.024 -112.4440
