* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -20.5 dBFS, measurement signal peak level -18.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025, 2:29:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: LEFT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0407 ms (-14 mm, -0.55 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.7 ppm
* Measurement: L.120.Blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 45.342 -64.9674
5.493164 47.322 148.1767
5.859375 42.178 109.0572
6.225586 49.587 146.5298
6.591797 56.360 77.9599
6.958008 53.242 19.5004
7.324219 50.816 159.8884
7.690429 51.515 85.7067
8.056640 57.982 -76.2522
8.422851 58.852 -131.2416
8.789062 48.205 10.9493
9.155273 56.707 -56.5054
9.521484 52.445 176.0565
9.887695 46.433 -0.9590
10.253906 62.876 -125.3024
10.620117 63.220 171.3844
10.986328 54.542 -1.8895
11.352539 67.280 -88.7164
11.718749 68.528 -125.8196
12.084960 67.327 -128.3165
12.451171 68.807 -145.1176
12.817382 67.549 160.8278
13.183593 62.974 96.9199
13.549804 54.748 -120.5067
13.916015 66.673 -156.4420
14.282226 65.463 -166.2511
14.648437 63.317 -127.7758
15.014648 66.532 -119.9824
15.380859 67.212 -145.2881
15.747069 66.851 -173.2043
16.113280 66.204 -177.0632
16.479491 67.523 -169.4050
16.845702 68.142 -175.1416
17.211913 67.533 178.8832
17.578124 68.426 174.9294
17.944335 69.817 168.1669
18.310546 70.470 165.1404
18.676757 70.809 162.8325
19.042968 70.801 157.6241
19.409179 71.199 151.8617
19.775389 72.169 144.8694
20.141600 72.909 139.2112
20.507811 73.401 134.2922
20.874022 73.222 127.8635
21.240233 72.885 127.3434
21.606444 74.326 125.9318
21.972655 75.447 112.2686
22.338866 74.442 99.0897
22.705077 73.119 101.9408
23.071288 74.478 105.1869
23.437499 75.565 96.6836
23.803709 75.205 89.4984
24.169920 74.523 88.0343
24.536131 74.617 85.3380
24.902342 75.257 75.5238
25.268553 75.660 62.4585
25.634764 75.434 53.1786
26.000975 75.075 48.7604
26.367186 74.942 40.7061
26.733397 74.249 22.8330
27.099608 72.008 -1.4893
27.465818 66.725 -19.9052
27.832029 60.256 13.0645
28.198240 62.707 23.7292
28.564451 58.935 -6.7144
28.930662 33.671 136.4589
29.296873 57.382 100.7556
29.663084 60.541 92.1846
30.029295 64.556 99.7584
30.395506 68.250 93.7013
30.761717 69.959 84.9785
31.127928 70.822 79.4467
31.494138 71.231 75.1377
31.860349 71.100 74.4137
32.226560 71.401 76.7469
32.592771 72.164 73.8018
32.958982 72.580 67.0499
33.325193 72.929 61.6927
33.691404 73.459 57.1471
34.057615 73.968 52.9452
34.423826 74.748 47.4039
34.790037 75.484 35.9753
35.156248 75.268 21.5159
35.522458 74.033 11.8816
35.888669 72.808 9.4119
36.254880 72.048 7.2832
36.621091 71.397 2.5574
36.987302 70.634 -6.4371
37.353513 68.603 -17.3253
37.719724 65.004 -14.2716
38.085935 63.742 3.0112
38.452146 62.830 7.7736
38.818357 61.510 23.4615
39.184568 63.090 29.9880
39.550778 63.142 23.5481
39.916989 62.749 28.0370
40.283200 63.787 31.3713
40.649411 63.735 35.9403
41.015622 64.723 49.8934
41.381833 65.712 50.1571
41.748044 63.755 52.8807
42.114255 63.778 73.0020
42.480466 66.106 67.3943
42.846677 66.111 55.3597
43.212888 65.929 65.2582
43.579098 68.598 72.7435
43.945309 69.661 66.3336
44.311520 69.274 65.2035
44.677731 70.565 64.5150
45.043942 71.987 53.7218
45.410153 72.081 50.1602
45.776364 73.277 56.4285
46.142575 74.610 49.0607
46.508786 73.419 36.3966
46.874997 71.924 38.9718
47.241208 73.783 37.4390
47.607418 74.192 23.7260
47.973629 72.187 28.8418
48.339840 73.813 44.0342
48.706051 74.683 32.4745
49.072262 72.470 29.3091
49.438473 74.712 44.6112
49.804684 78.349 29.2983
50.170895 78.613 9.7726
50.537106 77.315 8.5059
50.903317 78.886 8.3612
51.269527 79.844 -13.2552
51.635738 77.891 -34.8439
52.001949 75.491 -27.8241
52.368160 77.757 -26.2173
52.734371 77.594 -47.4163
53.100582 73.232 -53.9701
53.466793 74.080 -27.7849
53.833004 76.828 -44.6079
54.199215 75.083 -65.2603
54.565426 72.057 -52.5715
54.931637 74.321 -47.9417
55.297847 73.978 -67.3899
55.664058 70.713 -71.6879
56.030269 71.301 -55.1198
56.396480 73.193 -61.4343
56.762691 72.697 -69.9923
57.128902 71.606 -69.2292
57.495113 71.793 -69.3601
57.861324 72.161 -79.2395
58.227535 71.500 -89.1830
58.593746 70.954 -87.6906
58.959957 71.931 -88.8145
59.326167 71.924 -99.3597
59.692378 70.918 -104.6117
60.058589 71.311 -106.9398
60.424800 71.784 -116.6896
60.791011 71.360 -122.9458
61.157222 71.582 -125.9073
61.523433 71.942 -134.6603
61.889644 72.057 -143.5229
62.255855 72.738 -154.1266
62.622066 72.910 -169.7720
62.988277 72.016 178.8888
63.354487 71.827 175.5249
63.720698 72.637 166.6829
64.086909 72.790 152.3286
64.453120 72.341 139.2887
64.819331 72.069 129.6389
65.185542 72.551 122.1678
65.551753 73.534 111.9745
65.917964 73.921 98.1061
66.284175 73.527 85.3923
66.650386 73.318 75.3834
67.016597 73.570 64.3076
67.382807 73.563 52.4132
67.749018 72.884 41.5437
68.115229 71.351 32.7208
68.481440 69.561 30.0067
68.847651 69.252 29.4653
69.213862 69.561 20.9705
69.580073 68.808 11.8551
69.946284 67.698 11.5693
70.312495 67.920 12.6605
70.678706 68.458 5.0502
71.044917 68.247 -4.6316
71.411127 67.842 -10.0974
71.777338 67.958 -16.0701
72.143549 68.013 -27.4824
72.509760 67.695 -40.6460
72.875971 67.325 -52.1663
73.242182 66.989 -61.9822
73.608393 66.797 -72.0049
73.974604 66.732 -85.7351
74.340815 66.527 -101.0876
74.707026 66.567 -113.5137
75.073236 67.012 -126.3535
75.439447 66.993 -141.0098
75.805658 66.433 -152.5049
76.171869 65.799 -159.6646
76.538080 65.028 -159.9751
76.904291 65.752 -152.8809
77.270502 67.836 -155.1025
77.636713 69.423 -162.1797
78.002924 71.050 -166.9985
78.369135 72.907 -171.7832
78.735346 74.890 -177.1089
79.101556 76.982 173.1650
79.467767 78.356 158.7231
79.833978 78.890 145.7810
80.200189 79.399 136.0754
80.566400 79.945 125.5122
80.932611 80.100 115.5149
81.298822 80.306 107.5154
81.665033 80.520 98.0566
82.031244 80.265 89.3318
82.397455 80.129 83.6826
82.763666 80.253 76.5120
83.129876 80.040 69.0342
83.496087 79.880 63.3445
83.862298 79.643 56.0239
84.228509 78.844 50.9885
84.594720 78.517 50.3340
84.960931 78.557 46.3345
85.327142 78.097 42.6604
85.693353 77.927 40.5415
86.059564 77.533 35.0374
86.425775 76.670 34.1060
86.791986 76.963 34.8169
87.158196 76.980 28.6206
87.524407 76.017 27.8840
87.890618 76.039 31.3320
88.256829 76.004 29.3396
88.623040 75.868 31.5312
88.989251 76.853 29.9192
89.355462 77.043 22.0615
89.721673 76.641 19.6926
90.087884 76.983 17.7747
90.454095 76.968 12.3352
90.820306 76.777 10.0210
91.186516 76.886 5.8511
91.552727 76.245 0.9424
91.918938 75.726 1.3140
92.285149 75.838 -2.3904
92.651360 75.099 -8.3079
93.017571 74.303 -7.9355
93.383782 74.116 -9.2988
93.749993 73.323 -11.8821
94.116204 72.791 -10.8271
94.482415 72.610 -13.7471
94.848626 71.679 -15.8110
95.214836 70.990 -12.2815
95.581047 70.584 -10.8955
95.947258 69.856 -9.0552
96.313469 69.620 -7.3757
96.679680 69.259 -8.3611
97.045891 68.619 -4.2432
97.412102 68.658 3.5056
97.778313 68.806 8.7920
98.144524 68.676 14.0425
98.510735 68.944 19.7285
98.876945 69.696 21.0476
99.243156 69.922 19.4038
99.609367 69.754 22.3794
99.975578 70.274 26.1611
100.341789 70.707 24.7930
100.708000 70.791 24.1079
101.074211 71.169 25.0281
101.440422 71.510 26.9915
101.806633 71.975 31.6389
102.172844 72.669 34.3167
102.539055 73.189 34.3687
102.905265 73.814 32.3333
103.271476 74.374 28.0803
103.637687 74.812 25.6201
104.003898 75.504 23.8813
104.370109 75.906 19.8782
104.736320 75.776 17.0454
105.102531 75.835 15.7502
105.468742 76.103 12.1804
105.834953 76.177 7.5552
106.201164 76.146 3.6655
106.567375 76.039 0.1262
106.933585 75.807 -2.9976
107.299796 75.472 -6.0002
107.666007 74.930 -8.6633
108.032218 74.225 -8.9941
108.398429 73.780 -5.9744
108.764640 73.803 -2.5586
109.130851 73.788 0.1724
109.497062 73.880 4.6902
109.863273 74.471 6.5090
110.229484 74.714 4.2034
110.595695 74.771 4.7227
110.961905 75.621 5.4146
111.328116 76.343 1.5896
111.694327 76.379 -1.0244
112.060538 76.460 -1.5364
112.426749 76.539 -3.9790
112.792960 76.379 -6.2102
113.159171 76.392 -7.2339
113.525382 76.460 -8.2532
113.891593 76.535 -7.6763
114.257804 76.907 -7.0129
114.624015 77.360 -8.3625
114.990225 77.754 -10.7915
115.356436 78.133 -13.8582
115.722647 78.474 -17.4897
116.088858 78.728 -22.0149
116.455069 78.768 -27.2603
116.821280 78.662 -32.3911
117.187491 78.457 -38.1191
117.553702 77.886 -43.9341
117.919913 77.033 -47.2549
118.286124 76.283 -48.8413
118.652335 75.477 -50.2556
119.018545 74.629 -49.6450
119.384756 74.061 -47.9866
119.750967 73.534 -46.5444
120.117178 73.012 -43.6865
120.483389 72.667 -39.7930
120.849600 72.477 -35.2776
121.215811 72.454 -30.7039
121.582022 72.493 -25.9346
121.948233 72.837 -20.7356
122.314444 73.513 -17.7000
122.680654 74.238 -16.7783
123.046865 75.009 -17.5210
123.413076 75.609 -19.9736
123.779287 75.928 -22.2500
124.145498 76.152 -23.7942
124.511709 76.332 -25.0564
124.877920 76.573 -26.0667
125.244131 76.913 -27.9480
125.610342 77.175 -30.5193
125.976553 77.399 -32.6277
126.342764 77.683 -34.4380
126.708974 78.041 -36.5457
127.075185 78.383 -39.9072
127.441396 78.506 -44.1282
127.807607 78.510 -47.8752
128.173818 78.534 -52.1428
128.540029 78.328 -57.0437
128.906240 77.938 -60.7534
129.272451 77.598 -64.2114
129.638662 77.143 -68.1465
130.004873 76.643 -71.0046
130.371084 76.261 -73.3640
130.737294 75.809 -74.9443
131.103505 75.442 -74.8792
131.469716 75.175 -75.5510
131.835927 74.694 -76.7205
132.202138 74.157 -77.3240
132.568349 73.545 -77.8152
132.934560 72.937 -76.3867
133.300771 72.655 -75.0764
133.666982 72.157 -75.3284
134.033193 71.505 -73.0527
134.399404 71.253 -70.5322
134.765614 70.878 -69.2104
135.131825 70.547 -65.8518
135.498036 70.487 -63.2964
135.864247 70.280 -60.0540
136.230458 70.582 -54.5168
136.596669 71.292 -52.1260
136.962880 71.650 -51.3469
137.329091 71.794 -49.5889
137.695302 71.887 -47.4893
138.061513 72.055 -45.2200
138.427724 72.435 -43.6155
138.793934 72.995 -42.8794
139.160145 73.680 -43.1860
139.526356 74.254 -44.2993
139.892567 74.701 -44.8696
140.258778 75.192 -45.4075
140.624989 75.682 -46.9832
140.991200 76.085 -49.5835
141.357411 76.358 -52.5229
141.723622 76.630 -54.9409
142.089833 76.983 -57.8992
142.456044 77.143 -61.2830
142.822254 77.237 -63.1851
143.188465 77.541 -65.7080
143.554676 77.687 -70.0879
143.920887 77.709 -73.6633
144.287098 77.946 -77.4497
144.653309 78.041 -82.4707
145.019520 77.938 -86.0903
145.385731 77.991 -89.6885
145.751942 77.881 -95.6931
146.118153 77.394 -101.8767
146.484363 76.839 -107.0459
146.850574 76.229 -111.9170
147.216785 75.432 -115.5515
147.582996 74.520 -117.5620
147.949207 73.499 -118.5383
148.315418 72.376 -118.6155
148.681629 71.205 -116.8328
149.047840 70.465 -112.0225
