* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -20.1 dBFS, measurement signal peak level -17.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025, 2:30:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: RIGHT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0461 ms (-16 mm, -0.62 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.7 ppm
* Measurement: R.120.Blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 57.735 104.9967
5.493164 50.129 11.9940
5.859375 57.580 -90.8024
6.225586 46.561 -87.8155
6.591797 52.832 30.4169
6.958008 56.828 84.4892
7.324219 58.722 66.4308
7.690429 56.429 -34.7067
8.056640 59.388 -73.3581
8.422851 57.815 -64.3393
8.789062 51.541 -146.9059
9.155273 57.820 135.2500
9.521484 57.259 -103.6253
9.887695 66.441 -113.7224
10.253906 59.208 -99.5024
10.620117 59.635 -17.1117
10.986328 62.880 85.1915
11.352539 67.431 82.1562
11.718749 61.274 -156.9985
12.084960 73.147 -166.8455
12.451171 70.175 161.2435
12.817382 51.239 0.8684
13.183593 64.326 -88.1007
13.549804 67.601 -136.9187
13.916015 71.508 -157.9619
14.282226 71.267 -176.5998
14.648437 62.690 -175.6534
15.014648 64.757 -134.7296
15.380859 70.040 175.2046
15.747069 71.658 151.4596
16.113280 71.131 169.2858
16.479491 71.877 -174.4096
16.845702 69.599 -156.9364
17.211913 69.958 -140.3552
17.578124 70.651 -161.4025
17.944335 70.941 175.0378
18.310546 71.325 168.0845
18.676757 71.222 165.0712
19.042968 70.478 159.0778
19.409179 70.470 147.2407
19.775389 71.279 136.4740
20.141600 72.528 132.1135
20.507811 73.408 125.3817
20.874022 73.201 118.2884
21.240233 73.456 115.6221
21.606444 74.231 110.6166
21.972655 73.996 108.8929
22.338866 74.007 112.7910
22.705077 74.082 107.0872
23.071288 72.890 97.1091
23.437499 72.413 94.7754
23.803709 73.900 90.5699
24.169920 75.115 82.0591
24.536131 75.248 76.9576
24.902342 75.007 80.6207
25.268553 75.968 84.3803
25.634764 76.643 73.8115
26.000975 75.809 58.4727
26.367186 75.704 52.6706
26.733397 77.306 46.2221
27.099608 76.974 38.9503
27.465818 74.856 50.6465
27.832029 75.010 61.0385
28.198240 73.806 45.3951
28.564451 72.395 25.0523
28.930662 74.414 15.2530
29.296873 76.178 5.5883
29.663084 75.080 0.6761
30.029295 72.831 3.7572
30.395506 71.377 -1.0928
30.761717 70.618 -13.0700
31.127928 70.450 -14.2438
31.494138 70.483 -4.0323
31.860349 70.334 5.2134
32.226560 68.597 5.5549
32.592771 65.997 4.4650
32.958982 67.055 0.4010
33.325193 69.256 -10.0145
33.691404 69.263 -10.4517
34.057615 69.025 2.6381
34.423826 69.587 6.4691
34.790037 69.327 -3.7789
35.156248 68.662 -18.4066
35.522458 68.176 -26.3622
35.888669 68.218 -26.6521
36.254880 68.016 -27.7916
36.621091 66.600 -27.4186
36.987302 64.920 -22.1937
37.353513 63.614 -18.8719
37.719724 63.077 -19.5352
38.085935 63.549 -27.8954
38.452146 63.053 -32.1972
38.818357 62.752 -12.2667
39.184568 65.029 5.9197
39.550778 66.571 11.5452
39.916989 67.620 5.8060
40.283200 68.039 -11.9052
40.649411 67.975 -24.1394
41.015622 68.710 -23.7426
41.381833 69.231 -28.3843
41.748044 67.158 -36.1642
42.114255 64.729 -32.3105
42.480466 66.473 -34.7089
42.846677 68.416 -47.4656
43.212888 68.714 -51.9900
43.579098 68.645 -50.1129
43.945309 68.455 -54.3216
44.311520 68.317 -62.6508
44.677731 69.429 -71.0585
45.043942 70.746 -82.1511
45.410153 70.852 -94.0751
45.776364 70.094 -104.8885
46.142575 69.249 -115.3054
46.508786 68.494 -123.0660
46.874997 67.854 -129.6798
47.241208 66.407 -140.5659
47.607418 64.576 -144.9362
47.973629 66.354 -141.7008
48.339840 68.614 -146.6519
48.706051 69.189 -141.3130
49.072262 70.702 -135.7909
49.438473 70.623 -148.2040
49.804684 68.582 -158.8427
50.170895 70.395 -160.4483
50.537106 73.855 -178.8093
50.903317 74.691 161.0188
51.269527 73.767 150.3935
51.635738 73.426 143.1176
52.001949 73.369 130.4700
52.368160 73.244 118.9586
52.734371 73.211 105.8859
53.100582 71.964 89.2723
53.466793 69.520 80.1953
53.833004 68.379 80.2763
54.199215 67.751 78.1358
54.565426 67.170 83.6986
54.931637 67.746 84.1709
55.297847 66.849 79.4537
55.664058 66.153 84.9540
56.030269 66.647 80.8110
56.396480 64.896 72.4550
56.762691 63.232 80.0349
57.128902 63.781 77.9036
57.495113 63.042 74.5276
57.861324 64.027 82.0044
58.227535 64.909 75.8426
58.593746 62.631 77.6927
58.959957 62.223 97.7746
59.326167 62.144 99.8108
59.692378 60.640 114.9096
60.058589 62.829 125.7257
60.424800 63.379 122.0350
60.791011 63.539 132.7083
61.157222 65.645 139.1201
61.523433 67.032 141.7762
61.889644 69.288 145.4908
62.255855 71.579 138.5632
62.622066 72.751 130.6239
62.988277 74.194 126.6033
63.354487 75.850 118.0035
63.720698 76.315 107.6520
64.086909 76.053 103.3615
64.453120 76.305 100.4985
64.819331 76.387 93.7495
65.185542 76.229 89.7380
65.551753 76.862 86.5695
65.917964 77.477 78.5792
66.284175 77.512 70.7381
66.650386 77.671 63.9008
67.016597 77.728 54.7017
67.382807 77.225 47.1417
67.749018 76.786 43.0786
68.115229 76.378 37.8557
68.481440 75.580 34.1523
68.847651 75.256 33.1946
69.213862 75.121 28.5623
69.580073 74.224 23.6729
69.946284 73.240 21.2654
70.312495 72.286 15.7020
70.678706 70.760 11.3683
71.044917 69.752 14.2575
71.411127 69.291 16.2182
71.777338 67.854 19.9557
72.143549 66.401 30.9356
72.509760 65.462 38.9781
72.875971 63.684 47.6318
73.242182 62.979 73.4991
73.608393 66.090 93.3310
73.974604 68.745 97.2584
74.340815 70.508 99.9214
74.707026 72.457 99.2068
75.073236 73.990 92.9310
75.439447 74.961 88.2731
75.805658 76.138 86.7966
76.171869 77.401 83.9009
76.538080 78.345 79.9213
76.904291 79.256 75.4639
77.270502 80.239 69.3466
77.636713 81.185 62.3228
78.002924 82.111 54.7488
78.369135 82.900 45.6718
78.735346 83.358 35.0840
79.101556 83.432 23.9650
79.467767 83.190 13.3331
79.833978 82.718 3.6083
80.200189 82.014 -5.0305
80.566400 81.117 -11.6508
80.932611 80.269 -16.2034
81.298822 79.472 -20.5284
81.665033 78.479 -24.3118
82.031244 77.495 -26.0594
82.397455 76.752 -27.0393
82.763666 76.083 -27.3281
83.129876 75.565 -26.2473
83.496087 75.140 -25.5046
83.862298 74.660 -24.8174
84.228509 74.413 -24.4459
84.594720 74.290 -25.8097
84.960931 74.045 -26.2948
85.327142 73.996 -24.5338
85.693353 74.208 -23.9843
86.059564 74.258 -26.1687
86.425775 74.038 -29.2022
86.791986 73.784 -31.5748
87.158196 73.589 -33.7361
87.524407 73.279 -36.3956
87.890618 72.738 -39.7797
88.256829 72.006 -43.1351
88.623040 71.457 -44.6282
88.989251 71.349 -45.9562
89.355462 70.937 -47.8776
89.721673 70.137 -46.0654
90.087884 69.816 -44.9390
90.454095 69.198 -50.8465
90.820306 67.854 -55.7874
91.186516 67.094 -55.2466
91.552727 66.654 -56.0817
91.918938 65.292 -54.5207
92.285149 63.620 -47.0150
92.651360 62.040 -36.6445
93.017571 61.496 -25.2768
93.383782 61.354 -22.9941
93.749993 60.069 -15.5662
94.116204 60.887 2.0305
94.482415 62.241 5.7111
94.848626 62.212 11.8445
95.214836 63.542 21.2207
95.581047 65.240 20.1381
95.947258 66.140 17.6288
96.313469 66.818 17.1661
96.679680 67.154 16.3732
97.045891 67.096 15.5538
97.412102 67.006 13.0724
97.778313 66.942 8.5045
98.144524 66.858 4.7392
98.510735 66.512 5.5289
98.876945 66.378 13.0161
99.243156 66.816 16.5497
99.609367 65.972 11.8406
99.975578 63.622 15.1367
100.341789 64.086 30.5093
100.708000 66.014 31.0269
101.074211 66.321 33.3500
101.440422 67.216 44.8163
101.806633 68.761 47.4437
102.172844 69.360 45.2568
102.539055 70.092 44.9935
102.905265 71.278 42.4052
103.271476 72.023 38.8854
103.637687 72.433 36.8941
104.003898 72.654 33.5563
104.370109 72.486 29.8364
104.736320 72.425 29.0517
105.102531 72.774 29.0306
105.468742 72.910 28.4890
105.834953 72.691 29.9014
106.201164 72.722 32.5709
106.567375 73.112 32.6176
106.933585 73.362 31.6652
107.299796 73.714 34.2300
107.666007 74.620 36.6641
108.032218 75.351 35.5220
108.398429 75.787 34.5127
108.764640 76.538 32.7402
109.130851 77.215 27.8361
109.497062 77.451 23.2645
109.863273 77.589 20.2638
110.229484 77.618 17.0811
110.595695 77.444 15.5658
110.961905 77.513 16.6720
111.328116 77.914 17.7782
111.694327 78.397 17.9666
112.060538 78.891 17.1105
112.426749 79.404 15.5745
112.792960 80.044 13.3716
113.159171 80.637 9.8964
113.525382 80.981 6.4528
113.891593 81.258 3.5137
114.257804 81.511 -0.1049
114.624015 81.691 -3.5697
114.990225 81.979 -6.3146
115.356436 82.327 -9.4236
115.722647 82.606 -12.7411
116.088858 82.917 -16.6666
116.455069 83.194 -21.9877
116.821280 83.355 -27.5655
117.187491 83.493 -32.9393
117.553702 83.509 -38.8457
117.919913 83.268 -44.7831
118.286124 82.882 -49.9911
118.652335 82.477 -54.4307
119.018545 82.090 -58.0901
119.384756 81.694 -61.2443
119.750967 81.237 -63.9719
120.117178 80.809 -66.2564
120.483389 80.481 -68.5912
120.849600 80.240 -70.7930
121.215811 80.079 -73.1809
121.582022 79.777 -76.2816
121.948233 79.266 -78.7447
122.314444 78.854 -80.9777
122.680654 78.401 -84.7825
123.046865 77.636 -87.9321
123.413076 76.876 -88.6606
123.779287 76.212 -89.1100
124.145498 75.393 -88.9393
124.511709 74.647 -86.8458
124.877920 74.149 -83.9150
125.244131 73.877 -80.6766
125.610342 73.696 -78.2615
125.976553 73.322 -75.2025
126.342764 73.252 -69.9436
126.708974 73.642 -67.2457
127.075185 73.786 -66.5574
127.441396 73.961 -64.0514
127.807607 74.492 -62.7018
128.173818 74.832 -63.2659
128.540029 75.067 -62.8774
128.906240 75.544 -63.5706
129.272451 75.870 -67.0167
129.638662 75.868 -70.3962
130.004873 75.884 -72.3456
130.371084 76.016 -74.4296
130.737294 76.007 -77.1235
131.103505 75.749 -79.1178
131.469716 75.492 -79.4927
131.835927 75.506 -80.0394
132.202138 75.507 -82.3813
132.568349 75.247 -84.0672
132.934560 75.102 -83.8433
133.300771 75.165 -84.6302
133.666982 75.089 -86.7045
134.033193 74.954 -88.6657
134.399404 74.841 -90.9696
134.765614 74.654 -93.1026
135.131825 74.452 -94.9932
135.498036 74.044 -97.3671
135.864247 73.297 -98.5037
136.230458 72.534 -97.8584
136.596669 71.851 -96.6588
136.962880 71.393 -94.3870
137.329091 71.292 -92.7004
137.695302 71.160 -90.7488
138.061513 71.314 -86.8499
138.427724 71.633 -85.9625
138.793934 71.275 -86.1393
139.160145 70.936 -82.7296
139.526356 71.171 -81.3895
139.892567 71.096 -81.6885
140.258778 71.055 -78.2285
140.624989 71.440 -75.3939
140.991200 71.595 -74.2112
141.357411 71.848 -72.6832
141.723622 72.327 -74.1727
142.089833 72.471 -76.9860
142.456044 72.502 -77.2381
142.822254 72.763 -76.9879
143.188465 72.964 -78.4776
143.554676 72.945 -80.8120
143.920887 72.762 -82.5479
144.287098 72.587 -82.5755
144.653309 72.499 -82.1165
145.019520 72.219 -81.7067
145.385731 71.906 -79.4170
145.751942 72.057 -76.8281
146.118153 72.447 -75.7881
146.484363 72.937 -74.7540
146.850574 73.546 -74.8732
147.216785 73.935 -76.6444
147.582996 74.166 -78.1344
147.949207 74.509 -79.7750
148.315418 74.805 -81.8894
148.681629 75.028 -83.5278
149.047840 75.193 -85.8313
