* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 11:44:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = LFilter B = X801 
* Measurement: FLX
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.5634766 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.563477 0.038 -0.0722
2.929688 -0.039 0.0773
3.295898 0.040 -0.0983
3.662109 -0.041 0.0897
4.028320 0.042 -0.1287
4.394531 -0.043 0.0972
4.760742 0.044 -0.1645
5.126953 -0.046 0.0987
5.493164 0.048 -0.2071
5.859375 -0.050 0.0929
6.225586 0.051 -0.2577
6.591797 -0.054 0.0782
6.958008 0.056 -0.3181
7.324219 -0.059 0.0529
7.690430 0.061 -0.3901
8.056641 -0.064 0.0150
8.422852 0.067 -0.4762
8.789062 -0.071 -0.0378
9.155273 0.074 -0.5789
9.521484 -0.079 -0.1086
9.887695 0.082 -0.7017
10.253906 -0.088 -0.2010
10.620117 0.092 -0.8488
10.986328 -0.098 -0.3193
11.352539 0.103 -1.0255
11.718750 -0.111 -0.4695
12.084961 0.117 -1.2388
12.451172 -0.126 -0.6592
12.817383 0.133 -1.4983
13.183594 -0.145 -0.8985
13.549805 0.154 -1.8169
13.916016 -0.168 -1.2009
14.282227 0.179 -2.2150
14.648438 -0.199 -1.5531
15.014648 0.224 -2.7484
15.380859 -0.257 -2.1123
15.747070 0.282 -3.2736
16.113281 -0.320 -2.9928
16.479492 0.342 -3.9375
16.845703 -0.392 -4.2282
17.211914 0.417 -4.8945
17.578125 -0.490 -6.1315
17.944336 0.524 -6.4352
18.310547 -0.651 -9.7424
18.676758 0.568 -9.7767
19.042969 -1.436 -17.0214
19.409180 0.423 -12.8935
19.775391 -3.524 -46.5502
20.141602 -3.802 29.7068
20.507812 -0.316 -3.8935
20.874023 -2.605 3.3052
21.240234 -0.852 -4.2203
21.606445 -2.360 -0.2289
21.972656 -1.200 -4.7276
22.338867 -2.564 -2.0249
22.705078 -1.733 -4.4296
23.071289 -3.011 -1.3998
23.437500 -2.300 -1.9637
23.803711 -3.333 2.0124
24.169922 -2.561 1.8984
24.536133 -3.371 5.9082
24.902344 -2.539 5.7301
25.268555 -3.181 8.9170
25.634766 -2.375 8.6200
26.000977 -2.886 10.6958
26.367188 -2.226 9.9307
26.733398 -2.772 11.6763
27.099609 -2.230 11.2488
27.465820 -2.814 13.4513
27.832031 -2.264 14.0232
28.198242 -2.734 16.6002
28.564453 -2.114 17.8424
28.930664 -2.336 20.4443
29.296875 -1.609 21.1635
29.663086 -1.648 22.9751
30.029297 -0.841 22.7083
30.395508 -0.790 22.7212
30.761719 -0.054 21.1027
31.127930 -0.144 18.7466
31.494141 0.137 17.0198
31.860352 -0.135 15.9641
32.226562 0.129 15.2801
32.592773 -0.127 14.4946
32.958984 0.122 14.1797
33.325195 -0.121 13.4846
33.691406 0.116 13.3963
34.057617 -0.114 12.7241
34.423828 0.110 12.8016
34.790039 -0.108 12.1207
35.156250 0.103 12.3310
35.522461 -0.101 11.6262
35.888672 0.096 11.9442
36.254883 -0.093 11.2131
36.621094 0.089 11.6154
36.987305 -0.085 10.8618
37.353516 0.081 11.3264
37.719727 -0.078 10.5606
38.085938 0.074 11.0660
38.452148 -0.071 10.2983
38.818359 0.068 10.8282
39.184570 -0.065 10.0649
39.550781 0.062 10.6069
39.916992 -0.059 9.8531
40.283203 0.057 10.3982
40.649414 -0.054 9.6581
41.015625 0.052 10.1988
41.381836 -0.050 9.4765
41.748047 0.049 10.0055
42.114258 -0.047 9.3024
42.480469 0.046 9.8194
42.846680 -0.045 9.1264
43.212891 0.044 9.6432
43.579102 -0.044 8.9455
43.945312 0.042 9.4734
44.311523 -0.041 8.7605
44.677734 0.040 9.3044
45.043945 -0.038 8.5728
45.410156 0.036 9.1305
45.776367 -0.035 8.3825
46.142578 0.033 8.9488
46.508789 -0.031 8.1886
46.875000 0.029 8.7572
47.241211 -0.027 7.9901
47.607422 0.026 8.5533
47.973633 -0.024 7.7845
48.339844 0.022 8.3356
48.706055 -0.020 7.5686
49.072266 0.019 8.1034
49.438477 -0.017 7.3394
49.804688 0.016 7.8554
50.170898 -0.015 7.0934
50.537109 0.014 7.5903
50.903320 -0.012 6.8271
51.269531 0.011 7.3042
51.635742 -0.010 6.5381
52.001953 0.009 6.9931
52.368164 -0.007 6.2228
52.734375 0.006 6.6523
53.100586 -0.004 5.8772
53.466797 0.003 6.2749
53.833008 -0.002 5.4942
54.199219 0.001 5.8524
54.565430 0.001 5.0639
54.931641 -0.002 5.3718
55.297852 0.003 4.5691
55.664062 -0.004 4.8073
56.030273 0.005 3.9709
56.396484 -0.006 4.0616
56.762695 -0.018 3.0769
57.128906 -0.076 3.1937
57.495117 -0.099 2.4509
57.861328 -0.153 2.6841
58.227539 -0.164 2.0253
58.593750 -0.211 2.2791
58.959961 -0.209 1.6707
59.326172 -0.244 1.8978
59.692383 -0.226 1.2891
60.058594 -0.243 1.4509
60.424805 -0.202 0.7505
60.791016 -0.201 0.7385
61.157227 -0.128 -0.1788
61.523438 -0.109 -0.6254
61.889648 -0.017 -2.0501
62.255859 -0.018 -3.3924
62.622070 0.019 -5.7722
62.988281 -0.178 -8.9498
63.354492 -0.731 -11.5802
63.720703 -1.287 -11.0863
64.086914 -1.661 -11.0532
64.453125 -2.084 -9.5883
64.819336 -2.328 -8.6543
65.185547 -2.612 -6.7970
65.551758 -2.770 -5.6798
65.917969 -2.976 -3.4376
66.284180 -3.021 -2.0949
66.650391 -3.136 0.2070
67.016602 -3.075 1.7101
67.382812 -3.070 3.8091
67.749023 -2.926 5.1335
68.115234 -2.801 6.9455
68.481445 -2.564 7.6018
68.847656 -2.415 8.6647
69.213867 -2.172 9.0278
69.580078 -1.982 9.7229
69.946289 -1.698 9.7571
70.312500 -1.451 9.8347
70.678711 -1.150 9.2891
71.044922 -0.859 8.6991
71.411133 -0.541 7.2709
71.777344 -0.237 5.5539
72.143555 -0.005 2.4790
72.509766 0.011 -0.3183
72.875977 -0.018 -2.5584
73.242188 0.030 -4.5225
73.608398 -0.026 -7.2823
73.974609 -0.025 -8.7760
74.340820 0.054 -12.3359
74.707031 -0.097 -15.7108
75.073242 -0.346 -20.0297
75.439453 -0.875 -22.3561
75.805664 -1.158 -24.8066
76.171875 -1.665 -26.7759
76.538086 -1.926 -29.2223
76.904297 -2.599 -32.4663
77.270508 -3.319 -34.1159
77.636719 -4.196 -34.2682
78.002930 -4.760 -33.6564
78.369141 -5.536 -32.8551
78.735352 -5.988 -31.2626
79.101562 -6.668 -29.8754
79.467773 -7.022 -27.7693
79.833984 -7.627 -25.9459
80.200195 -7.877 -23.5423
80.566406 -8.426 -21.5045
80.932617 -8.590 -18.8334
81.298828 -9.078 -16.6700
81.665039 -9.170 -13.8502
82.031250 -9.595 -11.5718
82.397461 -9.620 -8.7523
82.763672 -10.001 -6.4032
83.129883 -9.961 -3.5568
83.496094 -10.293 -1.2288
83.862305 -10.201 1.6146
84.228516 -10.480 3.8964
84.594727 -10.350 6.6493
84.960938 -10.583 8.9257
85.327148 -10.410 11.5678
85.693359 -10.602 13.7652
86.059570 -10.394 16.3142
86.425781 -10.543 18.3833
86.791992 -10.315 20.8364
87.158203 -10.415 22.8241
87.524414 -10.164 25.0928
87.890625 -10.227 26.9840
88.256836 -9.952 29.0955
88.623047 -9.982 30.8255
88.989258 -9.692 32.8326
89.355469 -9.676 34.4045
89.721680 -9.376 36.2173
90.087891 -9.321 37.6449
90.454102 -9.007 39.2198
90.820312 -8.926 40.4734
91.186523 -8.594 41.8748
91.552734 -8.479 42.8606
91.918945 -8.144 44.0416
92.285156 -7.995 44.7703
92.651367 -7.661 45.6400
93.017578 -7.492 46.1404
93.383789 -7.150 46.6949
93.750000 -6.974 46.8503
94.116211 -6.638 47.1175
94.482422 -6.456 46.8877
94.848633 -6.146 46.8516
95.214844 -5.961 46.3049
95.581055 -5.679 45.8631
95.947266 -5.522 45.0043
96.313477 -5.274 44.2439
96.679688 -5.164 43.0464
97.045898 -4.970 42.1319
97.412109 -4.898 40.6795
97.778320 -4.775 39.6072
98.144531 -4.753 38.0840
98.510742 -4.696 36.9231
98.876953 -4.741 35.4638
99.243164 -4.733 34.4422
99.609375 -4.828 33.0448
99.975586 -4.870 32.2772
100.341797 -4.990 31.0390
100.708008 -5.075 30.4803
101.074219 -5.212 29.5206
101.440430 -5.311 29.1469
101.806641 -5.464 28.3921
102.172852 -5.564 28.2494
102.539062 -5.719 27.5931
102.905273 -5.827 27.6690
103.271484 -5.966 27.1336
103.637695 -6.076 27.2689
104.003906 -6.208 26.8283
104.370117 -6.315 26.9706
104.736328 -6.454 26.5491
105.102539 -6.563 26.7676
105.468750 -6.703 26.3038
105.834961 -6.831 26.5670
106.201172 -6.974 26.1333
106.567383 -7.123 26.3947
106.933594 -7.285 26.0629
107.299805 -7.449 26.4123
107.666016 -7.631 26.1645
108.032227 -7.815 26.7068
108.398438 -8.006 26.5883
108.764648 -8.212 27.3482
109.130859 -8.403 27.4794
109.497070 -8.612 28.4384
109.863281 -8.800 28.8050
110.229492 -8.998 29.9922
110.595703 -9.176 30.5324
110.961914 -9.364 31.9682
111.328125 -9.514 32.6805
111.694336 -9.687 34.2667
112.060547 -9.809 35.1540
112.426758 -9.954 36.8346
112.792969 -10.049 37.8195
113.159180 -10.163 39.5530
113.525391 -10.236 40.5287
113.891602 -10.336 42.3535
114.257812 -10.374 43.4026
114.624023 -10.451 45.2006
114.990234 -10.463 46.2897
115.356445 -10.510 48.0451
115.722656 -10.498 49.0956
116.088867 -10.521 50.7970
116.455078 -10.484 51.7624
116.821289 -10.494 53.3520
117.187500 -10.437 54.2678
117.553711 -10.432 55.7093
117.919922 -10.366 56.5460
118.286133 -10.349 57.8605
118.652344 -10.278 58.5896
119.018555 -10.259 59.8072
119.384766 -10.180 60.4532
119.750977 -10.162 61.5303
120.117188 -10.083 62.1201
120.483398 -10.067 63.0728
120.849609 -9.996 63.6161
121.215820 -9.983 64.5099
121.582031 -9.916 64.9945
121.948242 -9.913 65.8395
122.314453 -9.848 66.3290
122.680664 -9.852 67.1246
123.046875 -9.793 67.6481
123.413086 -9.797 68.4150
123.779297 -9.743 68.9440
124.145508 -9.749 69.7181
124.511719 -9.694 70.2602
124.877930 -9.704 71.0395
125.244141 -9.646 71.6302
125.610352 -9.653 72.3804
125.976562 -9.594 73.0157
126.342773 -9.593 73.7617
126.708984 -9.530 74.3898
127.075195 -9.524 75.1316
127.441406 -9.454 75.7519
127.807617 -9.444 76.4415
128.173828 -9.368 77.0620
128.540039 -9.352 77.6814
128.906250 -9.277 78.2844
129.272461 -9.254 78.8625
129.638672 -9.175 79.4053
130.004883 -9.152 79.9237
130.371094 -9.071 80.4202
130.737305 -9.050 80.8469
131.103516 -8.973 81.3185
131.469727 -8.952 81.6621
131.835938 -8.884 82.0805
132.202148 -8.868 82.3791
132.568359 -8.807 82.7495
132.934570 -8.802 83.0100
133.300781 -8.749 83.3814
133.666992 -8.752 83.5906
134.033203 -8.711 83.9798
134.399414 -8.720 84.1742
134.765625 -8.693 84.5708
135.131836 -8.710 84.7951
135.498047 -8.690 85.2193
135.864258 -8.718 85.4596
136.230469 -8.706 85.9557
136.596680 -8.739 86.2171
136.962891 -8.736 86.7927
137.329102 -8.768 87.1137
137.695312 -8.770 87.7438
138.061523 -8.804 88.1307
138.427734 -8.805 88.8310
138.793945 -8.840 89.2595
139.160156 -8.841 90.0549
139.526367 -8.869 90.5223
139.892578 -8.870 91.3820
140.258789 -8.891 91.9124
140.625000 -8.888 92.8204
140.991211 -8.903 93.4067
141.357422 -8.892 94.3784
141.723633 -8.898 94.9829
142.089844 -8.881 96.0107
142.456055 -8.873 96.6367
142.822266 -8.850 97.6848
143.188477 -8.829 98.3447
143.554688 -8.795 99.3941
143.920898 -8.764 100.0525
144.287109 -8.720 101.1145
144.653320 -8.676 101.7488
145.019531 -8.624 102.8063
