* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -28.0 dBFS, measurement signal peak level -15.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:21:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.48m mic - front wall 4.34 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels as traditional Foam panels moved back into the room Delay -0.0328 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.Rscreen
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.500 -160.1606
15.123451 69.585 -161.8467
15.233042 69.699 -163.4741
15.343426 69.830 -164.9949
15.454611 69.975 -166.3751
15.566602 70.131 -167.6344
15.679404 70.292 -168.7708
15.793023 70.453 -169.7769
15.907466 70.614 -170.6351
16.022738 70.771 -171.4062
16.138845 70.920 -172.1565
16.255794 71.061 -172.8470
16.373590 71.193 -173.5294
16.492240 71.317 -174.3064
16.611750 71.432 -175.1704
16.732125 71.540 -176.1221
16.853373 71.646 -177.2178
16.975500 71.752 -178.4733
17.098511 71.860 -179.8629
17.222414 71.973 178.6359
17.347215 72.096 177.0218
17.472920 72.227 175.3108
17.599536 72.367 173.5440
17.727069 72.517 171.7415
17.855527 72.677 169.8854
17.984915 72.846 167.9580
18.115241 73.024 165.9960
18.246512 73.212 163.9439
18.378734 73.412 161.7400
18.511914 73.627 159.4313
18.646058 73.860 156.9855
18.781175 74.116 154.3714
18.917272 74.396 151.6465
19.054354 74.695 148.8909
19.192430 75.015 146.0815
19.331506 75.345 143.3217
19.471590 75.670 140.7420
19.612689 75.987 138.2615
19.754811 76.277 136.0226
19.897962 76.526 134.0564
20.042151 76.731 132.2953
20.187385 76.878 130.8341
20.333671 76.965 129.6246
20.481017 76.996 128.6347
20.629431 76.972 127.8814
20.778920 76.898 127.3221
20.929493 76.796 126.8566
21.081157 76.668 126.5222
21.233919 76.536 126.1737
21.387789 76.421 125.6726
21.542774 76.318 125.1412
21.698882 76.243 124.4526
21.856121 76.210 123.4661
22.014499 76.216 122.2050
22.174025 76.265 120.6660
22.334708 76.343 118.8961
22.496554 76.447 116.8973
22.659573 76.568 114.7227
22.823774 76.694 112.4147
22.989164 76.820 109.9799
23.155753 76.935 107.4861
23.323549 77.034 104.9046
23.492562 77.112 102.3126
23.662798 77.164 99.6700
23.834269 77.188 97.0455
24.006982 77.181 94.4141
24.180946 77.144 91.8179
24.356171 77.075 89.2590
24.532666 76.977 86.7504
24.710440 76.851 84.3154
24.889502 76.700 81.9500
25.069862 76.528 79.6854
25.251528 76.338 77.5148
25.434511 76.137 75.4659
25.618820 75.928 73.5360
25.804465 75.717 71.7425
25.991454 75.507 70.0844
26.179799 75.304 68.5653
26.369509 75.110 67.1798
26.560593 74.929 65.9195
26.753062 74.761 64.7698
26.946926 74.609 63.7184
27.142194 74.470 62.7434
27.338878 74.342 61.8349
27.536987 74.219 60.9765
27.736531 74.097 60.1642
27.937521 73.970 59.3996
28.139968 73.833 58.6866
28.343882 73.681 58.0449
28.549273 73.514 57.4834
28.756153 73.330 57.0234
28.964532 73.134 56.6710
29.174421 72.929 56.4386
29.385831 72.722 56.3163
29.598773 72.517 56.3099
29.813258 72.321 56.4043
30.029297 72.136 56.6133
30.246902 71.967 56.9419
30.466083 71.821 57.4188
30.686853 71.704 58.0591
30.909222 71.629 58.8709
31.133203 71.606 59.8235
31.358807 71.647 60.8650
31.586046 71.756 61.8595
31.814932 71.935 62.7293
32.045476 72.174 63.3034
32.277691 72.460 63.5153
32.511588 72.778 63.3093
32.747180 73.109 62.6483
32.984480 73.441 61.5635
33.223499 73.765 60.0701
33.464250 74.069 58.2232
33.706746 74.352 56.0641
33.950999 74.610 53.6341
34.197022 74.839 50.9978
34.444828 75.037 48.1866
34.694429 75.203 45.2394
34.945839 75.334 42.2166
35.199071 75.428 39.1478
35.454138 75.481 36.0760
35.711054 75.493 33.0665
35.969831 75.463 30.1445
36.230483 75.390 27.3400
36.493024 75.274 24.7107
36.757467 75.115 22.2878
37.023827 74.914 20.0967
37.292117 74.671 18.1683
37.562351 74.390 16.5186
37.834543 74.074 15.1495
38.108708 73.726 14.0637
38.384859 73.350 13.2493
38.663012 72.954 12.6806
38.943180 72.543 12.3428
39.225378 72.125 12.2211
39.509622 71.706 12.2994
39.795925 71.294 12.5684
40.084302 70.896 13.0367
40.374770 70.521 13.7159
40.667342 70.173 14.6201
40.962034 69.861 15.7607
41.258862 69.592 17.1425
41.557841 69.370 18.7524
41.858986 69.200 20.5601
42.162313 69.087 22.5172
42.467839 69.030 24.5623
42.775578 69.028 26.6266
43.085548 69.077 28.6494
43.397763 69.171 30.5856
43.712242 69.306 32.4099
44.028998 69.477 34.1163
44.348051 69.685 35.7135
44.669415 69.930 37.2175
44.993108 70.219 38.6385
45.319147 70.556 39.9622
45.647548 70.948 41.1434
45.978329 71.395 42.1057
46.311507 71.893 42.7526
46.647099 72.434 42.9836
46.985123 73.003 42.7124
47.325597 73.584 41.8800
47.668537 74.162 40.4614
48.013963 74.721 38.4629
48.361892 75.251 35.9178
48.712342 75.744 32.8776
49.065332 76.193 29.4051
49.420880 76.595 25.5699
49.779004 76.948 21.4415
50.139723 77.248 17.0839
50.503056 77.496 12.5558
50.869022 77.690 7.9074
51.237640 77.829 3.1814
51.608929 77.914 -1.5866
51.982909 77.947 -6.3666
52.359598 77.930 -11.1331
52.739018 77.868 -15.8645
53.121186 77.766 -20.5449
53.506124 77.629 -25.1629
53.893852 77.462 -29.7154
54.284389 77.272 -34.2068
54.677756 77.064 -38.6499
55.073973 76.841 -43.0661
55.473062 76.608 -47.4838
55.875043 76.368 -51.9348
56.279936 76.123 -56.4518
56.687764 75.873 -61.0648
57.098547 75.619 -65.8007
57.512306 75.358 -70.6825
57.929064 75.084 -75.7347
58.348842 74.791 -80.9883
58.771662 74.468 -86.4869
59.197546 74.106 -92.2969
59.626515 73.692 -98.5166
60.058594 73.215 -105.2825
60.493803 72.673 -112.7753
60.932166 72.068 -121.2184
61.373706 71.421 -130.8523
61.818445 70.769 -141.8849
62.266407 70.174 -154.3922
62.717615 69.707 -168.2103
63.172093 69.429 177.1447
63.629864 69.356 162.3787
64.090952 69.454 148.1442
64.555381 69.657 134.8157
65.023176 69.895 122.4971
65.494361 70.117 111.1430
65.968960 70.288 100.6429
66.446998 70.388 90.8573
66.928501 70.402 81.6912
67.413492 70.326 73.0739
67.901998 70.152 64.9270
68.394044 69.875 57.1975
68.889655 69.490 49.8479
69.388858 68.983 42.8306
69.891679 68.340 36.1201
70.398142 67.534 29.7076
70.908276 66.522 23.5923
71.422107 65.238 17.8300
71.939661 63.568 12.5543
72.460965 61.309 8.1470
72.986047 58.083 5.9319
73.514934 53.470 13.9525
74.047654 52.312 116.5632
74.584234 57.572 143.1872
75.124702 61.803 143.1294
75.669086 64.900 139.6044
76.217416 67.315 135.0086
76.769719 69.296 129.9433
77.326024 70.975 124.6089
77.886360 72.430 119.0793
78.450757 73.707 113.3753
79.019243 74.836 107.5003
79.591849 75.833 101.4559
80.168605 76.710 95.2491
80.749539 77.475 88.9010
81.334684 78.134 82.4449
81.924068 78.688 75.9200
82.517724 79.145 69.3832
83.115681 79.508 62.8796
83.717972 79.781 56.4623
84.324627 79.970 50.1724
84.935678 80.082 44.0356
85.551157 80.120 38.0760
86.171096 80.091 32.3025
86.795527 80.000 26.7180
87.424483 79.850 21.3269
88.057997 79.647 16.1368
88.696102 79.391 11.1613
89.338830 79.083 6.4249
89.986216 78.725 1.9661
90.638293 78.314 -2.1661
91.295096 77.851 -5.9107
91.956658 77.336 -9.1952
92.623013 76.774 -11.9363
93.294198 76.172 -14.0452
93.970246 75.542 -15.4332
94.651193 74.905 -16.0231
95.337075 74.286 -15.7670
96.027927 73.717 -14.6696
96.723785 73.229 -12.8136
97.424685 72.855 -10.3734
98.130664 72.613 -7.6021
98.841760 72.506 -4.7870
99.558008 72.521 -2.1893
100.279446 72.630 0.0073
101.006112 72.803 1.7188
101.738044 73.010 2.9533
102.475280 73.230 3.7882
103.217858 73.449 4.3403
103.965817 73.667 4.7352
104.719197 73.889 5.0764
105.478035 74.129 5.4163
106.242372 74.403 5.7345
107.012248 74.725 5.9346
107.787703 75.095 5.8679
108.568777 75.506 5.3793
109.355511 75.938 4.3563
110.147947 76.366 2.7541
110.946124 76.768 0.5984
111.750085 77.123 -2.0309
112.559873 77.417 -5.0232
113.375528 77.644 -8.2537
114.197094 77.799 -11.5967
115.024613 77.887 -14.9333
115.858129 77.912 -18.1591
116.697684 77.884 -21.1866
117.543324 77.815 -23.9519
118.395091 77.718 -26.4202
119.253031 77.608 -28.5887
120.117188 77.496 -30.4890
120.987606 77.394 -32.1806
121.864332 77.306 -33.7416
122.747411 77.234 -35.2531
123.636890 77.174 -36.7821
124.532814 77.118 -38.3712
125.435230 77.060 -40.0308
126.344185 76.991 -41.7410
127.259727 76.908 -43.4573
128.181904 76.809 -45.1201
129.110763 76.696 -46.6671
130.046352 76.577 -48.0464
130.988722 76.461 -49.2291
131.937920 76.360 -50.2186
132.893997 76.284 -51.0538
133.857001 76.239 -51.8058
134.826984 76.229 -52.5643
135.803996 76.250 -53.4211
136.788088 76.295 -54.4550
137.779311 76.354 -55.7218
138.777717 76.417 -57.2512
139.783357 76.471 -59.0488
140.796285 76.506 -61.0980
141.816553 76.512 -63.3617
142.844214 76.483 -65.7839
143.879322 76.412 -68.2910
144.921931 76.296 -70.7954
145.972095 76.138 -73.2028
147.029869 75.943 -75.4213
148.095308 75.720 -77.3751
149.168468 75.484 -79.0168
150.249404 75.253 -80.3403
151.338173 75.041 -81.3857
152.434832 74.862 -82.2377
153.539437 74.724 -83.0126
154.652047 74.628 -83.8409
155.772720 74.568 -84.8432
156.901513 74.531 -86.1117
158.038486 74.501 -87.6991
159.183698 74.463 -89.6163
160.337209 74.402 -91.8383
161.499079 74.304 -94.3126
162.669367 74.162 -96.9698
163.848137 73.971 -99.7326
165.035448 73.728 -102.5225
166.231363 73.436 -105.2642
167.435944 73.098 -107.8908
168.649254 72.724 -110.3497
169.871356 72.322 -112.6136
171.102314 71.906 -114.6941
172.342191 71.485 -116.6513
173.591054 71.063 -118.5983
174.848966 70.636 -120.6891
176.115994 70.187 -123.0903
177.392203 69.684 -125.9495
178.677660 69.082 -129.3718
179.972432 68.323 -133.4097
181.276587 67.331 -138.0712
182.590191 65.998 -143.3390
183.913315 64.160 -149.2056
185.246027 61.522 -155.7698
186.588396 57.522 -163.7104
187.940492 52.580 173.3425
189.302387 55.743 13.2638
190.674150 60.828 3.2137
192.055853 64.308 -4.4078
193.447569 66.806 -11.5020
194.849370 68.702 -18.3544
196.261329 70.193 -25.0399
197.683519 71.390 -31.5835
199.116016 72.364 -37.9954
200.558892 73.160 -44.2795
202.012225 73.810 -50.4353
203.476089 74.337 -56.4567
204.950560 74.758 -62.3322
206.435716 75.089 -68.0482
207.931635 75.341 -73.5939
209.438393 75.526 -78.9640
210.956070 75.654 -84.1628
212.484745 75.731 -89.2047
214.024497 75.764 -94.1105
215.575406 75.758 -98.9030
217.137555 75.714 -103.6014
218.711023 75.633 -108.2170
220.295893 75.515 -112.7520
221.892248 75.359 -117.1987
223.500171 75.166 -121.5414
225.119745 74.934 -125.7563
226.751056 74.665 -129.8126
228.394187 74.361 -133.6769
230.049226 74.029 -137.3190
231.716257 73.674 -140.7188
233.395369 73.307 -143.8748
235.086648 72.935 -146.8099
236.790182 72.567 -149.5697
238.506062 72.206 -152.2145
240.234375 71.852 -154.8093
241.975212 71.502 -157.4088
243.728664 71.149 -160.0493
245.494823 70.785 -162.7421
247.273780 70.403 -165.4766
249.065627 70.000 -168.2286
250.870459 69.572 -170.9729
252.688370 69.123 -173.6992
