* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 11:48:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L 120.Rscreen.orig B = FLX 
* Measurement: L.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 65.671 -154.5082
15.380859 69.496 -169.2091
15.747070 71.661 177.5320
16.113281 70.650 -176.5766
16.479492 71.689 -171.7904
16.845703 71.832 -170.3205
17.211914 72.228 170.8494
17.578125 71.153 170.8224
17.944336 74.171 158.6204
18.310547 72.219 157.1247
18.676758 74.728 157.1384
19.042968 72.825 139.0250
19.409179 74.871 126.7335
19.775390 71.392 95.7875
20.141601 76.655 153.0364
20.507812 79.720 113.5656
20.874023 72.243 112.4701
21.240234 74.295 139.2959
21.606445 73.024 133.8771
21.972656 73.804 124.5820
22.338867 73.665 119.6862
22.705077 75.303 113.0643
23.071288 74.576 110.8082
23.437499 75.876 107.3558
23.803710 75.326 95.9130
24.169921 75.310 91.7308
24.536132 74.670 88.3688
24.902343 74.942 85.6054
25.268554 73.507 77.0001
25.634765 72.732 77.8032
26.000976 72.252 77.4038
26.367187 73.154 76.0066
26.733397 71.737 67.9107
27.099608 70.880 76.5741
27.465819 71.147 76.2699
27.832030 71.797 75.2624
28.198241 71.878 77.1977
28.564452 73.407 76.8813
28.930663 72.474 63.1740
29.296874 69.259 57.2094
29.663085 63.863 87.6174
30.029296 72.017 113.6071
30.395507 76.004 85.3304
30.761717 75.423 48.4483
31.127928 66.224 8.7972
31.494139 67.891 126.4372
31.860350 72.546 93.5992
32.226561 72.078 82.4262
32.592772 72.715 89.6300
32.958983 74.304 85.7334
33.325194 74.034 81.7252
33.691405 75.197 79.6585
34.057616 75.554 67.8777
34.423827 75.459 65.2199
34.790037 76.227 62.5009
35.156248 76.948 55.3721
35.522459 76.933 47.5390
35.888670 77.329 41.8721
36.254881 77.133 30.7726
36.621092 76.073 25.3122
36.987303 75.329 21.7117
37.353514 74.852 20.3179
37.719725 74.549 18.2579
38.085936 74.233 19.2732
38.452147 73.253 17.6603
38.818357 71.891 24.3972
39.184568 71.427 24.7064
39.550779 70.719 23.7854
39.916990 70.299 20.6488
40.283201 70.040 21.5725
40.649412 69.535 18.6465
41.015623 68.781 23.5443
41.381834 68.711 23.0317
41.748045 68.270 26.7789
42.114256 68.038 30.1072
42.480467 68.202 38.5826
42.846677 68.510 39.1742
43.212888 68.774 41.1668
43.579099 68.586 40.0578
