* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -28.0 dBFS, measurement signal peak level -15.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:21:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L -12dBFS OKTO@-29dB mic - speakers 3.48m mic - front wall 4.34 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels as traditional Foam panels moved back into the room Delay -0.0328 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.Rscreen
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.489 -160.1606
15.123451 69.574 -161.8467
15.233042 69.689 -163.4741
15.343426 69.820 -164.9949
15.454611 69.964 -166.3751
15.566602 70.121 -167.6344
15.679404 70.281 -168.7708
15.793023 70.443 -169.7769
15.907466 70.604 -170.6351
16.022738 70.761 -171.4062
16.138845 70.910 -172.1565
16.255794 71.051 -172.8470
16.373590 71.183 -173.5294
16.492240 71.306 -174.3064
16.611750 71.421 -175.1704
16.732125 71.530 -176.1221
16.853373 71.636 -177.2178
16.975500 71.742 -178.4733
17.098511 71.849 -179.8629
17.222414 71.963 178.6359
17.347215 72.085 177.0218
17.472920 72.216 175.3108
17.599536 72.357 173.5440
17.727069 72.507 171.7415
17.855527 72.667 169.8854
17.984915 72.835 167.9580
18.115241 73.013 165.9960
18.246512 73.201 163.9439
18.378734 73.402 161.7400
18.511914 73.617 159.4313
18.646058 73.850 156.9855
18.781175 74.106 154.3714
18.917272 74.385 151.6465
19.054354 74.684 148.8909
19.192430 75.004 146.0815
19.331506 75.335 143.3217
19.471590 75.660 140.7420
19.612689 75.977 138.2615
19.754811 76.267 136.0226
19.897962 76.516 134.0564
20.042151 76.720 132.2953
20.187385 76.868 130.8341
20.333671 76.955 129.6246
20.481017 76.985 128.6347
20.629431 76.961 127.8814
20.778920 76.888 127.3221
20.929493 76.785 126.8566
21.081157 76.658 126.5222
21.233919 76.526 126.1737
21.387789 76.411 125.6726
21.542774 76.308 125.1412
21.698882 76.232 124.4526
21.856121 76.199 123.4661
22.014499 76.206 122.2050
22.174025 76.254 120.6660
22.334708 76.333 118.8961
22.496554 76.437 116.8973
22.659573 76.558 114.7227
22.823774 76.684 112.4147
22.989164 76.810 109.9799
23.155753 76.924 107.4861
23.323549 77.024 104.9046
23.492562 77.101 102.3126
23.662798 77.153 99.6700
23.834269 77.178 97.0455
24.006982 77.171 94.4141
24.180946 77.133 91.8179
24.356171 77.065 89.2590
24.532666 76.966 86.7504
24.710440 76.840 84.3154
24.889502 76.689 81.9500
25.069862 76.518 79.6854
25.251528 76.328 77.5148
25.434511 76.127 75.4659
25.618820 75.918 73.5360
25.804465 75.706 71.7425
25.991454 75.496 70.0844
26.179799 75.293 68.5653
26.369509 75.100 67.1798
26.560593 74.918 65.9195
26.753062 74.751 64.7698
26.946926 74.599 63.7184
27.142194 74.460 62.7434
27.338878 74.331 61.8349
27.536987 74.208 60.9765
27.736531 74.087 60.1642
27.937521 73.960 59.3996
28.139968 73.823 58.6866
28.343882 73.671 58.0449
28.549273 73.503 57.4834
28.756153 73.320 57.0234
28.964532 73.123 56.6710
29.174421 72.919 56.4386
29.385831 72.712 56.3163
29.598773 72.507 56.3099
29.813258 72.310 56.4043
30.029297 72.126 56.6133
30.246902 71.957 56.9419
30.466083 71.811 57.4188
30.686853 71.694 58.0591
30.909222 71.619 58.8709
31.133203 71.596 59.8235
31.358807 71.636 60.8650
31.586046 71.746 61.8595
31.814932 71.925 62.7293
32.045476 72.164 63.3034
32.277691 72.449 63.5153
32.511588 72.767 63.3093
32.747180 73.098 62.6483
32.984480 73.431 61.5635
33.223499 73.754 60.0701
33.464250 74.059 58.2232
33.706746 74.342 56.0641
33.950999 74.600 53.6341
34.197022 74.828 50.9978
34.444828 75.027 48.1866
34.694429 75.193 45.2394
34.945839 75.324 42.2166
35.199071 75.417 39.1478
35.454138 75.470 36.0760
35.711054 75.482 33.0665
35.969831 75.453 30.1445
36.230483 75.380 27.3400
36.493024 75.264 24.7107
36.757467 75.105 22.2878
37.023827 74.904 20.0967
37.292117 74.661 18.1683
37.562351 74.380 16.5186
37.834543 74.064 15.1495
38.108708 73.715 14.0637
38.384859 73.340 13.2493
38.663012 72.944 12.6806
38.943180 72.533 12.3428
39.225378 72.114 12.2211
39.509622 71.695 12.2994
39.795925 71.284 12.5684
40.084302 70.886 13.0367
40.374770 70.510 13.7159
40.667342 70.163 14.6201
40.962034 69.851 15.7607
41.258862 69.581 17.1425
41.557841 69.359 18.7524
41.858986 69.190 20.5601
42.162313 69.077 22.5172
42.467839 69.020 24.5623
42.775578 69.018 26.6266
43.085548 69.067 28.6494
43.397763 69.161 30.5856
43.712242 69.296 32.4099
44.028998 69.467 34.1163
44.348051 69.674 35.7135
44.669415 69.920 37.2175
44.993108 70.208 38.6385
45.319147 70.546 39.9622
45.647548 70.938 41.1434
45.978329 71.385 42.1057
46.311507 71.883 42.7526
46.647099 72.423 42.9836
46.985123 72.993 42.7124
47.325597 73.574 41.8800
47.668537 74.152 40.4614
48.013963 74.711 38.4629
48.361892 75.241 35.9178
48.712342 75.733 32.8776
49.065332 76.183 29.4051
49.420880 76.585 25.5699
49.779004 76.937 21.4415
50.139723 77.238 17.0839
50.503056 77.486 12.5558
50.869022 77.679 7.9074
51.237640 77.818 3.1814
51.608929 77.904 -1.5866
51.982909 77.937 -6.3666
52.359598 77.920 -11.1331
52.739018 77.858 -15.8645
53.121186 77.756 -20.5449
53.506124 77.618 -25.1629
53.893852 77.452 -29.7154
54.284389 77.262 -34.2068
54.677756 77.053 -38.6499
55.073973 76.831 -43.0661
55.473062 76.598 -47.4838
55.875043 76.358 -51.9348
56.279936 76.112 -56.4518
56.687764 75.863 -61.0648
57.098547 75.609 -65.8007
57.512306 75.347 -70.6825
57.929064 75.074 -75.7347
58.348842 74.781 -80.9883
58.771662 74.458 -86.4869
59.197546 74.096 -92.2969
59.626515 73.681 -98.5166
60.058594 73.205 -105.2825
60.493803 72.662 -112.7753
60.932166 72.058 -121.2184
61.373706 71.411 -130.8523
61.818445 70.759 -141.8849
62.266407 70.164 -154.3922
62.717615 69.697 -168.2103
63.172093 69.419 177.1447
63.629864 69.346 162.3787
64.090952 69.444 148.1442
64.555381 69.646 134.8157
65.023176 69.885 122.4971
65.494361 70.107 111.1430
65.968960 70.278 100.6429
66.446998 70.377 90.8573
66.928501 70.392 81.6912
67.413492 70.315 73.0739
67.901998 70.141 64.9270
68.394044 69.865 57.1975
68.889655 69.479 49.8479
69.388858 68.973 42.8306
69.891679 68.330 36.1201
70.398142 67.524 29.7076
70.908276 66.512 23.5923
71.422107 65.228 17.8300
71.939661 63.557 12.5543
72.460965 61.299 8.1470
72.986047 58.073 5.9319
73.514934 53.460 13.9525
74.047654 52.301 116.5632
74.584234 57.561 143.1872
75.124702 61.793 143.1294
75.669086 64.889 139.6044
76.217416 67.305 135.0086
76.769719 69.286 129.9433
77.326024 70.965 124.6089
77.886360 72.420 119.0793
78.450757 73.697 113.3753
79.019243 74.825 107.5003
79.591849 75.823 101.4559
80.168605 76.700 95.2491
80.749539 77.465 88.9010
81.334684 78.123 82.4449
81.924068 78.678 75.9200
82.517724 79.135 69.3832
83.115681 79.497 62.8796
83.717972 79.771 56.4623
84.324627 79.960 50.1724
84.935678 80.071 44.0356
85.551157 80.110 38.0760
86.171096 80.081 32.3025
86.795527 79.989 26.7180
87.424483 79.840 21.3269
88.057997 79.636 16.1368
88.696102 79.381 11.1613
89.338830 79.073 6.4249
89.986216 78.714 1.9661
90.638293 78.304 -2.1661
91.295096 77.841 -5.9107
91.956658 77.326 -9.1952
92.623013 76.763 -11.9363
93.294198 76.161 -14.0452
93.970246 75.532 -15.4332
94.651193 74.895 -16.0231
95.337075 74.276 -15.7670
96.027927 73.706 -14.6696
96.723785 73.219 -12.8136
97.424685 72.845 -10.3734
98.130664 72.603 -7.6021
98.841760 72.496 -4.7870
99.558008 72.511 -2.1893
100.279446 72.620 0.0073
101.006112 72.793 1.7188
101.738044 73.000 2.9533
102.475280 73.220 3.7882
103.217858 73.439 4.3403
103.965817 73.656 4.7352
104.719197 73.878 5.0764
105.478035 74.119 5.4163
106.242372 74.393 5.7345
107.012248 74.714 5.9346
107.787703 75.085 5.8679
108.568777 75.496 5.3793
109.355511 75.927 4.3563
110.147947 76.356 2.7541
110.946124 76.757 0.5984
111.750085 77.112 -2.0309
112.559873 77.407 -5.0232
113.375528 77.633 -8.2537
114.197094 77.789 -11.5967
115.024613 77.877 -14.9333
115.858129 77.902 -18.1591
116.697684 77.874 -21.1866
117.543324 77.805 -23.9519
118.395091 77.708 -26.4202
119.253031 77.597 -28.5887
120.117188 77.486 -30.4890
120.987606 77.384 -32.1806
121.864332 77.296 -33.7416
122.747411 77.224 -35.2531
123.636890 77.163 -36.7821
124.532814 77.108 -38.3712
125.435230 77.050 -40.0308
126.344185 76.981 -41.7410
127.259727 76.898 -43.4573
128.181904 76.798 -45.1201
129.110763 76.686 -46.6671
130.046352 76.567 -48.0464
130.988722 76.451 -49.2291
131.937920 76.350 -50.2186
132.893997 76.273 -51.0538
133.857001 76.229 -51.8058
134.826984 76.218 -52.5643
135.803996 76.239 -53.4211
136.788088 76.284 -54.4550
137.779311 76.344 -55.7218
138.777717 76.406 -57.2512
139.783357 76.460 -59.0488
140.796285 76.496 -61.0980
141.816553 76.502 -63.3617
142.844214 76.473 -65.7839
143.879322 76.401 -68.2910
144.921931 76.286 -70.7954
145.972095 76.128 -73.2028
147.029869 75.933 -75.4213
148.095308 75.710 -77.3751
149.168468 75.474 -79.0168
150.249404 75.242 -80.3403
151.338173 75.031 -81.3857
152.434832 74.852 -82.2377
153.539437 74.714 -83.0126
154.652047 74.618 -83.8409
155.772720 74.557 -84.8432
156.901513 74.521 -86.1117
158.038486 74.491 -87.6991
159.183698 74.453 -89.6163
160.337209 74.391 -91.8383
161.499079 74.294 -94.3126
162.669367 74.152 -96.9698
163.848137 73.961 -99.7326
165.035448 73.718 -102.5225
166.231363 73.425 -105.2642
167.435944 73.088 -107.8908
168.649254 72.713 -110.3497
169.871356 72.312 -112.6136
171.102314 71.896 -114.6941
172.342191 71.474 -116.6513
173.591054 71.052 -118.5983
174.848966 70.626 -120.6891
176.115994 70.176 -123.0903
177.392203 69.673 -125.9495
178.677660 69.072 -129.3718
179.972432 68.313 -133.4097
181.276587 67.321 -138.0712
182.590191 65.988 -143.3390
183.913315 64.150 -149.2056
185.246027 61.511 -155.7698
186.588396 57.512 -163.7104
187.940492 52.569 173.3425
189.302387 55.732 13.2638
190.674150 60.818 3.2137
192.055853 64.297 -4.4078
193.447569 66.796 -11.5020
194.849370 68.692 -18.3544
196.261329 70.183 -25.0399
197.683519 71.380 -31.5835
199.116016 72.354 -37.9954
200.558892 73.150 -44.2795
202.012225 73.799 -50.4353
203.476089 74.326 -56.4567
204.950560 74.748 -62.3322
206.435716 75.079 -68.0482
207.931635 75.331 -73.5939
209.438393 75.516 -78.9640
210.956070 75.643 -84.1628
212.484745 75.720 -89.2047
214.024497 75.754 -94.1105
215.575406 75.748 -98.9030
217.137555 75.704 -103.6014
218.711023 75.623 -108.2170
220.295893 75.505 -112.7520
221.892248 75.349 -117.1987
223.500171 75.155 -121.5414
225.119745 74.924 -125.7563
226.751056 74.655 -129.8126
228.394187 74.351 -133.6769
230.049226 74.018 -137.3190
231.716257 73.664 -140.7188
233.395369 73.296 -143.8748
235.086648 72.924 -146.8099
236.790182 72.556 -149.5697
238.506062 72.195 -152.2145
240.234375 71.842 -154.8093
241.975212 71.492 -157.4088
243.728664 71.139 -160.0493
245.494823 70.775 -162.7421
247.273780 70.393 -165.4766
249.065627 69.989 -168.2286
250.870459 69.562 -170.9729
252.688370 69.113 -173.6992
