* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 11:43:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FL Cal file effects not included No LF tail No HF tail
* Measurement: LFilter
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.5634766 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.563477 0.064 -1.2572
2.929688 -0.045 -1.3093
3.295898 0.066 -1.6219
3.662109 -0.047 -1.6435
4.028320 0.068 -1.9910
4.394531 -0.049 -1.9826
4.760742 0.071 -2.3655
5.126953 -0.052 -2.3277
5.493164 0.074 -2.7468
5.859375 -0.055 -2.6801
6.225586 0.077 -3.1363
6.591797 -0.059 -3.0414
6.958008 0.081 -3.5355
7.324219 -0.064 -3.4132
7.690430 0.086 -3.9466
8.056641 -0.069 -3.7977
8.422852 0.092 -4.3716
8.789062 -0.075 -4.1971
9.155273 0.099 -4.8135
9.521484 -0.083 -4.6144
9.887695 0.107 -5.2755
10.253906 -0.091 -5.0533
10.620117 0.116 -5.7619
10.986328 -0.102 -5.5182
11.352539 0.127 -6.2781
11.718750 -0.114 -6.0149
12.084961 0.140 -6.8310
12.451172 -0.129 -6.5511
12.817383 0.156 -7.4301
13.183594 -0.147 -7.1370
13.549805 0.176 -8.0885
13.916016 -0.170 -7.7861
14.282227 0.200 -8.8266
14.648438 -0.201 -8.4849
15.014648 0.245 -9.7002
15.380859 -0.258 -9.3913
15.747070 0.302 -10.5660
16.113281 -0.320 -10.6192
16.479492 0.362 -11.5705
16.845703 -0.392 -12.2024
17.211914 0.436 -12.8684
17.578125 -0.489 -14.4543
17.944336 0.542 -14.7501
18.310547 -0.649 -18.4158
18.676758 0.585 -18.4311
19.042969 -1.431 -26.0552
19.409180 0.439 -21.8863
19.775391 -3.507 -55.9617
20.141602 -3.770 20.3552
20.507812 -0.313 -13.5932
20.874023 -2.583 -6.3493
21.240234 -0.848 -14.2716
21.606445 -2.340 -10.2240
21.972656 -1.196 -15.1288
22.338867 -2.545 -12.3570
22.705078 -1.729 -15.1828
23.071289 -2.993 -12.0677
23.437500 -2.296 -13.0682
23.803711 -3.314 -8.9959
24.169922 -2.559 -9.5520
24.536133 -3.351 -5.4457
24.902344 -2.536 -6.0620
25.268555 -3.161 -2.7853
25.634766 -2.373 -3.5127
26.000977 -2.866 -1.3550
26.367188 -2.223 -2.5444
26.733398 -2.753 -0.7196
27.099609 -2.228 -1.5709
27.465820 -2.795 0.7117
27.832031 -2.261 0.8596
28.198242 -2.715 3.5136
28.564453 -2.112 4.3385
28.930664 -2.317 7.0055
29.296875 -1.607 7.3232
29.663086 -1.629 9.1819
30.029297 -0.838 8.5326
30.395508 -0.772 8.5747
30.761719 -0.049 6.5888
31.127930 -0.129 4.2518
31.494141 0.143 2.1602
31.860352 -0.121 1.1264
32.226562 0.136 0.0743
32.592773 -0.115 -0.6874
32.958984 0.130 -1.3717
33.325195 -0.109 -2.0421
33.691406 0.125 -2.5004
34.057617 -0.103 -3.1477
34.423828 0.119 -3.4403
34.790039 -0.097 -4.0968
35.156250 0.113 -4.2560
35.522461 -0.091 -4.9371
35.888672 0.107 -4.9878
36.254883 -0.084 -5.6964
36.621094 0.100 -5.6615
36.987305 -0.077 -6.3943
37.353516 0.094 -6.2953
37.719727 -0.070 -7.0424
38.085938 0.087 -6.9006
38.452148 -0.064 -7.6517
38.818359 0.081 -7.4832
39.184570 -0.058 -8.2325
39.550781 0.076 -8.0492
39.916992 -0.053 -8.7920
40.283203 0.071 -8.6026
40.649414 -0.049 -9.3349
41.015625 0.067 -9.1467
41.381836 -0.045 -9.8647
41.748047 0.064 -9.6847
42.114258 -0.043 -10.3872
42.480469 0.062 -10.2155
42.846680 -0.041 -10.9119
43.212891 0.061 -10.7363
43.579102 -0.040 -11.4417
43.945312 0.059 -11.2508
44.311523 -0.038 -11.9759
44.677734 0.057 -11.7645
45.043945 -0.035 -12.5131
45.410156 0.054 -12.2831
45.776367 -0.032 -13.0532
46.142578 0.051 -12.8096
46.508789 -0.029 -13.5970
46.875000 0.048 -13.3460
47.241211 -0.026 -14.1458
47.607422 0.045 -13.8947
47.973633 -0.023 -14.7019
48.339844 0.042 -14.4573
48.706055 -0.020 -15.2686
49.072266 0.039 -15.0345
49.438477 -0.017 -15.8488
49.804688 0.037 -15.6274
50.170898 -0.015 -16.4460
50.537109 0.034 -16.2376
50.903320 -0.013 -17.0639
51.269531 0.032 -16.8688
51.635742 -0.010 -17.7046
52.001953 0.030 -17.5250
52.368164 -0.008 -18.3719
52.734375 0.027 -18.2111
53.100586 -0.005 -19.0699
53.466797 0.025 -18.9338
53.833008 -0.003 -19.8054
54.199219 0.023 -19.7016
54.565430 -0.001 -20.5885
54.931641 0.020 -20.5277
55.297852 0.001 -21.4363
55.664062 0.018 -21.4376
56.030273 0.003 -22.3880
56.396484 0.016 -22.5287
56.762695 -0.019 -23.6359
57.128906 -0.053 -23.7421
57.495117 -0.101 -24.6156
57.861328 -0.130 -24.5978
58.227539 -0.166 -25.3949
58.593750 -0.188 -25.3492
58.959961 -0.211 -26.1033
59.326172 -0.221 -26.0770
59.692383 -0.228 -26.8390
60.058594 -0.220 -26.8705
60.424805 -0.204 -27.7322
60.791016 -0.178 -27.9293
61.157227 -0.130 -29.0166
61.523438 -0.086 -29.6390
61.889648 -0.019 -31.2445
62.255859 0.005 -32.7501
62.622070 0.017 -35.3257
62.988281 -0.156 -38.6480
63.354492 -0.733 -41.4975
63.720703 -1.264 -41.1270
64.086914 -1.664 -41.3273
64.453125 -2.059 -39.9771
64.819336 -2.332 -39.2819
65.185547 -2.587 -37.5370
65.551758 -2.775 -36.6592
65.917969 -2.950 -34.5306
66.284180 -3.026 -33.4245
66.650391 -3.110 -31.2406
67.016602 -3.081 -29.9688
67.382812 -3.044 -27.9939
67.749023 -2.931 -26.8950
68.115234 -2.775 -25.2128
68.481445 -2.568 -24.7778
68.847656 -2.391 -23.8467
69.213867 -2.176 -23.7047
69.580078 -1.958 -23.1411
69.946289 -1.701 -23.3293
70.312500 -1.428 -23.3810
70.678711 -1.152 -24.1527
71.044922 -0.837 -24.8675
71.411133 -0.542 -26.5278
71.777344 -0.216 -28.3622
72.143555 -0.004 -31.6794
72.509766 0.030 -34.5807
72.875977 -0.016 -37.0779
73.242188 0.048 -39.1331
73.608398 -0.023 -42.1623
73.974609 -0.007 -43.7353
74.340820 0.057 -47.5754
74.707031 -0.080 -51.0176
75.073242 -0.341 -55.6329
75.439453 -0.860 -58.0069
75.805664 -1.153 -60.7743
76.171875 -1.650 -62.7723
76.538086 -1.919 -65.5542
76.904297 -2.586 -68.8066
77.270508 -3.311 -70.8190
77.636719 -4.183 -70.9458
78.002930 -4.752 -70.7320
78.369141 -5.523 -69.8715
78.735352 -5.980 -68.7099
79.101562 -6.655 -67.2322
79.467773 -7.015 -65.5872
79.833984 -7.612 -63.6449
80.200195 -7.871 -61.7289
80.566406 -8.411 -59.5480
80.932617 -8.586 -57.3867
81.298828 -9.060 -55.0610
81.665039 -9.168 -52.7677
82.031250 -9.576 -50.3135
82.397461 -9.620 -48.0314
82.763672 -9.980 -45.4987
83.129883 -9.961 -43.1948
83.496094 -10.271 -40.6813
83.862305 -10.204 -38.3801
84.228516 -10.456 -35.9159
84.594727 -10.354 -33.6999
84.960938 -10.558 -31.2490
85.327148 -10.415 -29.1341
85.693359 -10.576 -26.7739
86.059570 -10.400 -24.7393
86.425781 -10.516 -22.5217
86.791992 -10.321 -20.5680
87.158203 -10.387 -18.4481
87.524414 -10.171 -16.6620
87.890625 -10.199 -14.6559
88.256836 -9.959 -13.0097
88.623047 -9.954 -11.1823
88.989258 -9.699 -9.6232
89.355469 -9.649 -7.9716
89.721680 -9.382 -6.5897
90.087891 -9.294 -5.0994
90.454102 -9.013 -3.9391
90.820312 -8.899 -2.6385
91.186523 -8.599 -1.6368
91.552734 -8.454 -0.6186
91.918945 -8.148 0.1762
92.285156 -7.970 0.9243
92.651367 -7.664 1.4196
93.017578 -7.469 1.9283
93.383789 -7.152 2.1186
93.750000 -6.952 2.2729
94.116211 -6.639 2.1839
94.482422 -6.435 1.9456
94.848633 -6.145 1.5595
95.214844 -5.942 0.9985
95.581055 -5.677 0.2115
95.947266 -5.504 -0.6655
96.313477 -5.271 -1.7684
96.679688 -5.147 -2.9864
97.045898 -4.966 -4.2420
97.412109 -4.882 -5.7158
97.778320 -4.770 -7.1293
98.144531 -4.739 -8.6736
98.510742 -4.690 -10.1768
98.876953 -4.728 -11.6559
99.243164 -4.725 -13.0216
99.609375 -4.816 -14.4368
99.975586 -4.862 -15.5513
100.341797 -4.979 -16.8047
100.708008 -5.066 -17.7132
101.074219 -5.202 -18.6854
101.440430 -5.301 -19.4118
101.806641 -5.454 -20.1766
102.172852 -5.553 -20.6747
102.539062 -5.709 -21.3386
102.905273 -5.815 -21.6207
103.271484 -5.957 -22.1618
103.637695 -6.064 -22.3863
104.003906 -6.200 -22.8312
104.370117 -6.302 -23.0503
104.736328 -6.447 -23.4749
105.102539 -6.549 -23.6190
105.468750 -6.697 -24.0853
105.834961 -6.816 -24.1858
106.201172 -6.968 -24.6210
106.567383 -7.108 -24.7245
106.933594 -7.280 -25.0565
107.299805 -7.433 -25.0740
107.666016 -7.627 -25.3200
108.032227 -7.799 -25.1473
108.398438 -8.002 -25.2614
108.764648 -8.195 -24.8745
109.130859 -8.399 -24.7350
109.497070 -8.594 -24.1535
109.863281 -8.797 -23.7742
110.229492 -8.981 -22.9694
110.595703 -9.173 -22.4118
110.961914 -9.346 -21.3637
111.328125 -9.512 -20.6289
111.694336 -9.669 -19.4356
112.060547 -9.806 -18.5211
112.426758 -9.935 -17.2378
112.792969 -10.046 -16.2222
113.159180 -10.144 -14.8895
113.525391 -10.234 -13.8803
113.891602 -10.318 -12.4588
114.257812 -10.372 -11.3747
114.624023 -10.433 -9.9812
114.990234 -10.460 -8.8568
115.356445 -10.492 -7.5057
115.722656 -10.495 -6.4210
116.088867 -10.504 -5.1224
116.455078 -10.480 -4.1255
116.821289 -10.477 -2.9357
117.187500 -10.434 -1.9921
117.553711 -10.415 -0.9464
117.919922 -10.362 -0.0868
118.286133 -10.333 0.8369
118.652344 -10.275 1.5833
119.018555 -10.242 2.4154
119.384766 -10.176 3.0731
119.750977 -10.145 3.7703
120.117188 -10.079 4.3657
120.483398 -10.051 4.9444
120.849609 -9.992 5.4871
121.215820 -9.966 6.0127
121.582031 -9.912 6.4906
121.948242 -9.896 6.9730
122.314453 -9.845 7.4502
122.680664 -9.835 7.8884
123.046875 -9.789 8.3941
123.413086 -9.780 8.8087
123.779297 -9.739 9.3145
124.145508 -9.732 9.7412
124.511719 -9.691 10.2552
124.877930 -9.687 10.6917
125.244141 -9.642 11.2494
125.610352 -9.636 11.6614
125.976562 -9.591 12.2587
126.342773 -9.576 12.6712
126.708984 -9.527 13.2562
127.075195 -9.507 13.6693
127.441406 -9.450 14.2415
127.807617 -9.427 14.6071
128.173828 -9.364 15.1744
128.540039 -9.335 15.4748
128.906250 -9.273 16.0191
129.272461 -9.236 16.2834
129.638672 -9.172 16.7620
130.004883 -9.135 16.9718
130.371094 -9.068 17.3985
130.737305 -9.033 17.5219
131.103516 -8.970 17.9182
131.469727 -8.935 17.9637
131.835938 -8.881 18.3012
132.202148 -8.850 18.3070
132.568359 -8.804 18.5910
132.934570 -8.784 18.5638
133.300781 -8.745 18.8435
133.666992 -8.734 18.7698
134.033203 -8.708 19.0624
134.399414 -8.702 18.9784
134.765625 -8.690 19.2737
135.131836 -8.693 19.2238
135.498047 -8.687 19.5423
135.864258 -8.701 19.5123
136.230469 -8.703 19.8986
136.596680 -8.721 19.8934
136.962891 -8.733 20.3554
137.329102 -8.751 20.4131
137.695312 -8.767 20.9261
138.061523 -8.787 21.0527
138.427734 -8.802 21.6327
138.793945 -8.822 21.8038
139.160156 -8.838 22.4758
139.526367 -8.851 22.6884
139.892578 -8.867 23.4220
140.258789 -8.874 23.6999
140.625000 -8.885 24.4791
