* Measurement data measured by REW V5.40 beta 121
* Source: Vector average
* Format: Vector average
* Dated: Aug 12, 2026, 11:50:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of L.filtered, R.filtered
* Measurement: LR.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 65.869 -155.8038
15.380859 69.880 -169.8091
15.747070 71.041 -179.7852
16.113281 70.623 -169.1175
16.479492 72.004 -172.6037
16.845703 71.740 -174.9340
17.211914 72.476 170.2646
17.578125 71.753 168.1283
17.944336 73.821 157.8569
18.310547 72.558 153.3738
18.676758 74.198 145.6157
19.042968 71.738 133.4192
19.409179 74.686 129.3048
19.775390 71.359 95.5654
20.141601 74.139 156.1289
20.507812 77.427 119.6056
20.874023 72.358 119.2332
21.240234 73.627 129.0364
21.606445 72.667 128.9115
21.972656 74.156 119.9871
22.338867 73.545 115.7435
22.705077 74.863 112.4019
23.071288 74.323 109.4211
23.437499 75.285 105.3072
23.803710 74.821 96.0799
24.169921 74.970 90.4971
24.536132 74.114 86.6201
24.902343 74.405 85.9269
25.268554 73.428 79.9481
25.634765 73.072 80.0271
26.000976 72.600 79.0917
26.367187 73.450 78.4001
26.733397 72.817 72.6884
27.099608 72.714 76.0100
27.465819 72.862 74.8668
27.832030 73.654 72.4049
28.198241 73.574 68.4268
28.564452 74.326 67.7538
28.930663 74.206 58.6512
29.296874 73.213 51.8680
29.663085 70.811 51.9895
30.029296 71.914 71.4840
30.395507 74.649 63.2005
30.761717 74.903 42.0810
31.127928 70.823 23.8729
31.494139 68.176 57.1474
31.860350 71.363 55.9649
32.226561 71.668 48.3098
32.592772 71.272 49.2754
32.958983 71.861 51.2516
33.325194 71.237 49.0321
33.691405 71.861 53.9889
34.057616 72.547 45.4896
34.423827 72.463 42.3104
34.790037 72.912 40.5565
35.156248 73.609 37.3422
35.522459 73.506 31.4453
35.888670 73.672 29.1715
36.254881 73.605 18.6965
36.621092 72.698 12.4668
36.987303 72.086 8.0689
37.353514 71.414 8.8295
37.719725 70.886 10.0111
38.085936 70.457 13.7690
38.452147 69.419 10.9738
38.818357 68.267 19.1696
39.184568 68.775 18.5115
39.550779 68.529 17.9944
39.916990 68.444 17.9076
40.283201 68.797 16.9357
40.649412 68.418 4.6187
41.015623 66.965 2.1390
41.381834 66.785 1.5926
41.748045 65.740 3.7830
42.114256 63.400 8.9512
42.480467 62.169 32.0302
42.846677 62.347 26.8448
43.212888 60.919 29.0395
43.579099 62.492 43.7155
43.945310 66.473 50.9946
44.311521 68.088 45.0067
