* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -29.0 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:22:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.48m mic - front wall 4.34 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels as traditional Foam panels moved back into the room Delay -0.0009 ms (-0.31 mm, -0.01 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: R 120.Rscreen
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.550 -161.6764
15.123451 68.768 -162.6772
15.233042 69.034 -163.5009
15.343426 69.304 -164.2380
15.454611 69.566 -164.9303
15.566602 69.822 -165.5345
15.679404 70.066 -166.1422
15.793023 70.294 -166.8329
15.907466 70.510 -167.5577
16.022738 70.711 -168.3587
16.138845 70.897 -169.3009
16.255794 71.071 -170.3740
16.373590 71.233 -171.5723
16.492240 71.382 -172.9117
16.611750 71.523 -174.4072
16.732125 71.654 -176.0404
16.853373 71.777 -177.7803
16.975500 71.894 -179.6434
17.098511 72.005 178.3804
17.222414 72.109 176.3428
17.347215 72.208 174.2283
17.472920 72.304 172.0420
17.599536 72.395 169.8376
17.727069 72.482 167.5927
17.855527 72.568 165.3223
17.984915 72.654 163.0791
18.115241 72.741 160.8382
18.246512 72.831 158.6266
18.378734 72.926 156.4910
18.511914 73.026 154.4115
18.646058 73.132 152.4119
18.781175 73.247 150.5161
18.917272 73.367 148.7126
19.054354 73.492 146.9966
19.192430 73.622 145.3735
19.331506 73.752 143.8281
19.471590 73.880 142.3304
19.612689 74.005 140.8837
19.754811 74.123 139.4665
19.897962 74.232 138.0556
20.042151 74.332 136.6533
20.187385 74.422 135.2525
20.333671 74.503 133.8412
20.481017 74.578 132.4288
20.629431 74.649 131.0193
20.778920 74.717 129.6079
20.929493 74.790 128.2073
21.081157 74.867 126.8198
21.233919 74.951 125.4379
21.387789 75.047 124.0676
21.542774 75.151 122.7010
21.698882 75.265 121.3121
21.856121 75.389 119.9123
22.014499 75.516 118.4565
22.174025 75.648 116.9470
22.334708 75.777 115.3607
22.496554 75.903 113.6699
22.659573 76.022 111.8828
22.823774 76.130 109.9763
22.989164 76.227 107.9527
23.155753 76.310 105.8328
23.323549 76.380 103.5952
23.492562 76.434 101.3053
23.662798 76.474 98.9355
23.834269 76.499 96.5602
24.006982 76.510 94.1729
24.180946 76.509 91.8209
24.356171 76.495 89.5244
24.532666 76.471 87.2951
24.710440 76.441 85.1608
24.889502 76.405 83.1110
25.069862 76.368 81.1593
25.251528 76.333 79.2889
25.434511 76.303 77.4906
25.618820 76.283 75.7484
25.804465 76.274 74.0358
25.991454 76.278 72.3380
26.179799 76.296 70.6212
26.369509 76.328 68.8711
26.560593 76.372 67.0559
26.753062 76.425 65.1644
26.946926 76.486 63.1725
27.142194 76.548 61.0780
27.338878 76.610 58.8642
27.536987 76.665 56.5468
27.736531 76.711 54.1122
27.937521 76.743 51.5977
28.139968 76.758 48.9930
28.343882 76.752 46.3478
28.549273 76.723 43.6617
28.756153 76.667 40.9738
28.964532 76.584 38.3047
29.174421 76.473 35.6673
29.385831 76.334 33.0988
29.598773 76.168 30.5950
29.813258 75.979 28.1864
30.029297 75.768 25.8658
30.246902 75.540 23.6467
30.466083 75.300 21.5187
30.686853 75.052 19.4863
30.909222 74.802 17.5312
31.133203 74.553 15.6536
31.358807 74.309 13.8391
31.586046 74.069 12.0786
31.814932 73.834 10.3728
32.045476 73.603 8.7086
32.277691 73.375 7.0896
32.511588 73.148 5.5137
32.747180 72.919 3.9767
32.984480 72.687 2.4794
33.223499 72.451 1.0174
33.464250 72.211 -0.4176
33.706746 71.967 -1.8290
33.950999 71.719 -3.2267
34.197022 71.465 -4.6198
34.444828 71.205 -6.0114
34.694429 70.937 -7.4094
34.945839 70.659 -8.8131
35.199071 70.367 -10.2107
35.454138 70.057 -11.5822
35.711054 69.730 -12.8956
35.969831 69.384 -14.1219
36.230483 69.018 -15.2228
36.493024 68.635 -16.1411
36.757467 68.236 -16.8288
37.023827 67.827 -17.2408
37.292117 67.415 -17.3369
37.562351 67.012 -17.1178
37.834543 66.631 -16.6096
38.108708 66.285 -15.8665
38.384859 65.983 -14.9957
38.663012 65.731 -14.1479
38.943180 65.522 -13.4514
39.225378 65.346 -13.0226
39.509622 65.186 -12.9554
39.795925 65.016 -13.2819
40.084302 64.817 -13.9689
40.374770 64.568 -14.9504
40.667342 64.257 -16.1249
40.962034 63.872 -17.3378
41.258862 63.415 -18.3765
41.557841 62.899 -19.0139
41.858986 62.352 -18.9900
42.162313 61.822 -18.0353
42.467839 61.385 -15.9548
42.775578 61.138 -12.8021
43.085548 61.161 -9.0145
43.397763 61.486 -5.3319
43.712242 62.072 -2.5126
44.028998 62.831 -1.0479
44.348051 63.667 -1.0977
44.669415 64.506 -2.6042
44.993108 65.297 -5.4270
45.319147 66.012 -9.4124
45.647548 66.640 -14.4302
45.978329 67.177 -20.3821
46.311507 67.628 -27.1932
46.647099 68.002 -34.8018
46.985123 68.312 -43.1476
47.325597 68.571 -52.1606
47.668537 68.796 -61.7493
48.013963 69.000 -71.7929
48.361892 69.196 -82.1409
48.712342 69.389 -92.6261
49.065332 69.575 -103.0879
49.420880 69.743 -113.3976
49.779004 69.878 -123.4835
50.139723 69.964 -133.3408
50.503056 69.987 -143.0227
50.869022 69.939 -152.6268
51.237640 69.823 -162.2657
51.608929 69.650 -172.0325
51.982909 69.441 178.0414
52.359598 69.220 168.0218
52.739018 69.010 158.0828
53.121186 68.822 148.4777
53.506124 68.654 139.4805
53.893852 68.491 131.3209
54.284389 68.314 124.1537
54.677756 68.105 118.0617
55.073973 67.851 113.0816
55.473062 67.550 109.2354
55.875043 67.209 106.5535
56.279936 66.847 105.0846
56.687764 66.494 104.8859
57.098547 66.199 105.9851
57.512306 66.024 108.3116
57.929064 66.034 111.6121
58.348842 66.279 115.4064
58.771662 66.771 119.0685
59.197546 67.476 122.0153
59.626515 68.328 123.8702
60.058594 69.260 124.5004
60.493803 70.211 123.9552
60.932166 71.142 122.3698
61.373706 72.022 119.9010
61.818445 72.836 116.7030
62.266407 73.571 112.9167
62.717615 74.225 108.6658
63.172093 74.794 104.0592
63.629864 75.279 99.2000
64.090952 75.681 94.1852
64.555381 76.000 89.0972
65.023176 76.238 84.0109
65.494361 76.398 79.0034
65.968960 76.480 74.1446
66.446998 76.490 69.4871
66.928501 76.429 65.0911
67.413492 76.303 61.0160
67.901998 76.115 57.3125
68.394044 75.873 54.0388
68.889655 75.585 51.2582
69.388858 75.257 49.0370
69.891679 74.904 47.4515
70.398142 74.541 46.5820
70.908276 74.193 46.5070
71.422107 73.891 47.2723
71.939661 73.678 48.8587
72.460965 73.599 51.1278
72.986047 73.692 53.7813
73.514934 73.977 56.4075
74.047654 74.441 58.5393
74.584234 75.046 59.8175
75.124702 75.741 60.0138
75.669086 76.472 59.0745
76.217416 77.193 57.0424
76.769719 77.874 54.0286
77.326024 78.487 50.1691
77.886360 79.018 45.6010
78.450757 79.455 40.4685
79.019243 79.791 34.8951
79.591849 80.019 29.0172
80.168605 80.139 22.9436
80.749539 80.149 16.7960
81.334684 80.051 10.6768
81.924068 79.845 4.6818
82.517724 79.536 -1.0932
83.115681 79.129 -6.5753
83.717972 78.628 -11.6908
84.324627 78.039 -16.3823
84.935678 77.365 -20.5978
85.551157 76.611 -24.2875
86.171096 75.779 -27.3945
86.795527 74.866 -29.8343
87.424483 73.871 -31.4767
88.057997 72.795 -32.1113
88.696102 71.646 -31.4099
89.338830 70.458 -28.9110
89.986216 69.315 -24.0922
90.638293 68.374 -16.6704
91.295096 67.839 -7.1948
91.956658 67.836 2.6620
92.623013 68.296 11.0098
93.294198 69.016 16.9470
93.970246 69.806 20.6117
94.651193 70.555 22.5664
95.337075 71.215 23.3887
96.027927 71.773 23.5414
96.723785 72.237 23.3672
97.424685 72.624 23.1096
98.130664 72.955 22.9332
98.841760 73.256 22.9363
99.558008 73.552 23.1531
100.279446 73.866 23.5549
101.006112 74.220 24.0554
101.738044 74.625 24.5253
102.475280 75.087 24.8187
103.217858 75.600 24.8005
103.965817 76.155 24.3688
104.719197 76.738 23.4628
105.478035 77.334 22.0607
106.242372 77.930 20.1689
107.012248 78.515 17.8110
107.787703 79.079 15.0186
108.568777 79.614 11.8260
109.355511 80.115 8.2687
110.147947 80.575 4.3811
110.946124 80.991 0.1974
111.750085 81.357 -4.2473
112.559873 81.670 -8.9180
113.375528 81.928 -13.7787
114.197094 82.126 -18.7918
115.024613 82.263 -23.9175
115.858129 82.336 -29.1151
116.697684 82.344 -34.3400
117.543324 82.287 -39.5450
118.395091 82.165 -44.6816
119.253031 81.981 -49.7001
120.117188 81.738 -54.5499
120.987606 81.439 -59.1830
121.864332 81.090 -63.5552
122.747411 80.699 -67.6267
123.636890 80.274 -71.3682
124.532814 79.823 -74.7637
125.435230 79.356 -77.8153
126.344185 78.881 -80.5455
127.259727 78.405 -82.9932
128.181904 77.930 -85.2049
129.110763 77.454 -87.2213
130.046352 76.973 -89.0634
130.988722 76.480 -90.7195
131.937920 75.970 -92.1382
132.893997 75.439 -93.2290
133.857001 74.894 -93.8687
134.826984 74.347 -93.9211
135.803996 73.826 -93.2716
136.788088 73.369 -91.8821
137.779311 73.023 -89.8544
138.777717 72.825 -87.4637
139.783357 72.791 -85.1187
140.796285 72.907 -83.2365
141.816553 73.132 -82.1150
142.844214 73.418 -81.8793
143.879322 73.720 -82.5074
144.921931 74.005 -83.8895
145.972095 74.253 -85.8818
147.029869 74.451 -88.3406
148.095308 74.595 -91.1385
149.168468 74.688 -94.1716
150.249404 74.733 -97.3632
151.338173 74.735 -100.6656
152.434832 74.702 -104.0599
153.539437 74.638 -107.5545
154.652047 74.547 -111.1787
155.772720 74.428 -114.9720
156.901513 74.281 -118.9719
158.038486 74.099 -123.2021
159.183698 73.875 -127.6663
160.337209 73.603 -132.3479
161.499079 73.277 -137.2122
162.669367 72.892 -142.2126
163.848137 72.447 -147.3003
165.035448 71.944 -152.4290
166.231363 71.387 -157.5654
167.435944 70.786 -162.6959
168.649254 70.152 -167.8344
169.871356 69.501 -173.0322
171.102314 68.852 -178.3862
172.342191 68.224 175.9575
173.591054 67.638 169.8049
174.848966 67.117 162.9282
176.115994 66.683 155.0967
177.392203 66.364 146.1212
178.677660 66.187 135.9109
179.972432 66.183 124.5303
181.276587 66.369 112.2231
182.590191 66.747 99.3796
183.913315 67.291 86.4370
185.246027 67.955 73.7661
186.588396 68.685 61.6113
187.940492 69.432 50.0896
189.302387 70.156 39.2297
190.674150 70.829 29.0160
192.055853 71.433 19.4169
193.447569 71.959 10.4011
194.849370 72.406 1.9421
196.261329 72.776 -5.9818
197.683519 73.075 -13.3906
199.116016 73.312 -20.3066
200.558892 73.494 -26.7563
202.012225 73.632 -32.7720
203.476089 73.733 -38.3923
204.950560 73.806 -43.6604
206.435716 73.858 -48.6244
207.931635 73.893 -53.3361
209.438393 73.916 -57.8474
210.956070 73.929 -62.2091
212.484745 73.933 -66.4684
214.024497 73.927 -70.6689
215.575406 73.910 -74.8500
217.137555 73.877 -79.0458
218.711023 73.824 -83.2832
220.295893 73.744 -87.5787
221.892248 73.628 -91.9363
223.500171 73.467 -96.3428
225.119745 73.250 -100.7675
226.751056 72.967 -105.1576
228.394187 72.610 -109.4375
230.049226 72.169 -113.5043
231.716257 71.640 -117.2228
233.395369 71.021 -120.4191
235.086648 70.320 -122.8777
236.790182 69.553 -124.3417
238.506062 68.758 -124.5336
240.234375 67.998 -123.2241
241.975212 67.364 -120.3752
243.728664 66.961 -116.3259
245.494823 66.856 -111.8527
247.273780 67.043 -107.9119
249.065627 67.445 -105.2134
250.870459 67.955 -104.0120
