* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 11, 2026, 4:04:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R 120.Rscreen.orig B = FRX 
* Measurement: R-filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 34.035 127.6989
2.563477 36.419 4.6190
2.929687 40.445 153.6757
3.295898 36.156 -56.2536
3.662109 34.638 -177.6504
4.028320 40.531 -21.2048
4.394531 37.955 124.0126
4.760742 32.585 -6.8029
5.126953 40.396 163.8317
5.493164 39.436 -53.4293
5.859375 31.169 152.8890
6.225586 40.015 -11.4106
6.591797 40.648 130.4456
6.958007 32.128 -52.3901
7.324218 39.327 172.7947
7.690429 41.639 -44.8552
8.056640 34.866 111.8176
8.422851 38.213 -4.0364
8.789062 42.439 140.4368
9.155273 37.781 -74.3464
9.521484 36.403 176.9624
9.887695 43.066 -33.6927
10.253906 40.199 101.3558
10.620117 32.547 -12.9836
10.986327 42.507 147.5930
11.352538 41.562 -79.4135
11.718749 25.721 125.9188
12.084960 41.791 -23.6869
12.451171 43.197 104.4846
12.817382 32.277 -133.4958
13.183593 40.757 174.6321
13.549804 45.365 -67.7860
13.916015 42.511 32.3037
14.282226 42.412 67.5558
14.648436 48.902 149.1689
15.014647 65.697 -155.9702
15.380858 70.390 173.4683
15.747069 68.599 178.7910
16.113280 70.244 -175.5020
16.479491 70.334 -175.6216
16.845702 71.163 170.1074
17.211913 70.155 168.1340
17.578124 71.899 158.6992
17.944335 70.380 155.9529
18.310546 72.697 148.1089
18.676756 70.470 129.9248
19.042967 72.010 133.0764
19.409178 68.883 108.2944
19.775389 70.831 160.6936
20.141600 73.553 132.0171
20.507811 71.928 134.9905
20.874022 73.471 121.7427
21.240233 71.110 117.8706
21.606444 72.618 121.2129
21.972655 72.870 116.4868
22.338866 73.419 112.1133
22.705076 72.995 112.8311
23.071287 73.992 109.2407
23.437498 73.619 103.3496
23.803709 74.262 97.3049
24.169920 73.794 87.8611
24.536131 73.517 84.6426
24.902342 72.979 83.1284
25.268553 73.209 81.4128
25.634764 72.428 77.2456
26.000975 72.484 78.0564
26.367186 72.513 75.4443
26.733396 72.996 73.5308
27.099607 72.707 70.6243
27.465818 73.146 71.6267
27.832029 73.455 66.4883
28.198240 73.612 61.4271
28.564451 73.337 58.0004
28.930662 73.944 56.4042
29.296873 73.825 48.7971
29.663084 73.248 46.3154
30.029295 72.685 44.7756
30.395506 72.679 44.6747
30.761716 72.223 41.1272
31.127927 72.111 42.0903
31.494138 72.054 38.5653
31.860349 72.404 37.7227
32.226560 72.880 31.9736
32.592771 73.214 28.3527
32.958982 73.065 21.2513
33.325193 72.059 18.1720
33.691404 71.139 16.8248
34.057615 71.196 16.6595
34.423826 71.392 9.1411
34.790036 71.169 7.7904
35.156247 71.116 4.5945
35.522458 70.180 3.2373
35.888669 69.406 -0.1075
36.254880 69.051 -4.8035
36.621091 69.019 -14.1874
36.987302 68.348 -15.9600
37.353513 67.361 -16.6952
37.719724 65.030 -6.5170
38.085935 64.342 -1.7429
38.452145 62.681 -2.6919
38.818356 62.541 4.5493
39.184567 65.019 12.4795
39.550778 65.912 8.9703
39.916989 65.988 19.4987
40.283200 67.527 11.8262
40.649411 67.561 -8.2201
41.015622 66.816 -24.2875
41.381833 65.952 -23.2825
41.748044 65.317 -29.3531
42.114255 59.777 -44.7952
42.480465 50.611 -53.6566
42.846676 53.231 -62.5477
43.212887 57.657 -96.6923
43.579098 48.844 135.1038
43.945309 62.888 50.0319
44.311520 65.309 34.0333
44.677731 64.885 33.4351
45.043942 65.545 33.5388
45.410153 66.089 28.5454
45.776364 68.604 32.2588
46.142575 71.301 21.1525
46.508785 72.435 8.7620
46.874996 73.808 -6.5629
47.241207 74.835 -26.7727
47.607418 74.649 -44.1184
47.973629 74.211 -51.9028
48.339840 74.939 -66.3949
48.706051 74.786 -88.4424
49.072262 74.377 -100.3586
49.438473 74.844 -107.9696
49.804684 74.836 -120.2434
50.170895 74.506 -132.6608
50.537105 75.440 -147.8177
50.903316 75.269 -164.6700
51.269527 73.782 -157.3224
51.635738 76.051 -152.6727
52.001949 76.669 -178.8745
52.368160 74.834 144.6346
52.734371 72.903 125.3367
53.100582 73.644 120.4933
53.466793 73.373 108.9598
53.833004 71.479 103.1908
54.199215 70.504 97.7886
54.565425 69.794 86.4950
54.931636 68.496 85.4943
55.297847 68.676 88.5055
55.664058 67.430 83.3503
56.030269 66.110 85.7502
56.396480 65.862 81.7201
56.762691 65.354 82.5212
57.128902 65.709 86.9169
57.495113 65.432 81.2001
57.861324 62.333 76.7693
58.227535 60.966 86.0309
58.593745 60.127 86.9331
58.959956 60.531 107.6788
59.326167 62.177 120.7284
59.692378 63.659 135.8955
60.058589 66.136 140.5447
60.424800 67.670 130.9131
60.791011 68.223 124.7384
61.157222 69.627 120.7753
61.523433 70.353 116.4348
61.889644 71.155 116.2671
62.255854 72.086 112.7771
62.622065 72.730 106.9398
62.988276 73.133 101.3375
63.354487 73.633 94.3672
63.720698 73.550 85.8317
64.086909 73.340 80.1405
64.453120 73.218 75.1515
64.819331 73.171 71.7971
65.185542 73.079 68.6573
65.551753 73.055 65.6541
65.917964 72.870 61.1824
66.284174 72.818 58.0114
66.650385 72.776 53.0961
67.016596 72.422 49.3813
67.382807 71.865 45.6016
67.749018 71.046 42.8835
68.115229 70.078 42.1965
68.481440 69.827 46.3120
68.847651 70.133 45.8022
69.213862 69.991 45.3257
69.580073 69.940 44.7708
69.946284 69.950 43.0000
70.312494 69.712 39.5767
70.678705 69.391 38.8096
71.044916 69.052 36.5468
71.411127 68.396 36.2899
71.777338 67.889 35.2490
72.143549 67.219 36.4299
72.509760 66.990 38.4894
72.875971 66.672 39.1040
73.242182 65.621 39.5670
73.608393 64.770 45.7295
73.974604 64.383 47.4960
74.340814 64.001 54.0076
74.707025 64.398 59.7561
75.073236 64.608 69.3468
75.439447 65.868 80.2861
75.805658 67.580 81.9240
76.171869 68.089 79.2266
76.538080 68.774 81.8856
76.904291 69.951 80.6178
77.270502 70.697 78.2269
77.636713 71.227 76.6879
78.002924 71.919 74.7795
78.369134 72.420 70.7678
78.735345 72.978 68.1136
79.101556 73.721 63.7717
79.467767 74.366 58.6239
79.833978 74.896 51.9832
80.200189 75.197 44.4086
80.566400 75.146 35.7065
80.932611 74.718 28.4114
81.298822 74.172 21.7549
81.665033 73.359 16.6487
82.031244 72.587 13.1614
82.397454 71.808 10.8641
82.763665 71.059 8.9126
83.129876 70.190 8.8822
83.496087 69.609 9.5183
83.862298 69.019 10.6487
84.228509 68.702 11.2145
84.594720 68.141 11.5649
84.960931 67.753 13.9677
85.327142 67.675 16.4652
85.693353 67.436 17.3123
86.059563 66.898 23.0000
86.425774 67.183 27.3312
86.791985 66.919 27.6837
87.158196 66.948 30.4685
87.524407 68.009 28.3187
87.890618 68.603 20.3904
88.256829 68.558 19.1628
88.623040 69.486 19.6576
88.989251 70.108 12.5208
89.355462 69.793 2.0869
89.721673 68.932 -9.4441
90.087883 67.750 -24.2094
90.454094 65.519 -44.1200
90.820305 61.559 -72.3195
91.186516 56.522 -130.1936
91.552727 59.504 161.9844
91.918938 64.713 130.9204
92.285149 67.966 108.7704
92.651360 69.678 93.2482
93.017571 70.886 82.1127
93.383782 71.827 70.1807
93.749993 72.034 57.3941
94.116203 71.673 47.9686
94.482414 71.122 41.9263
94.848625 70.659 39.4357
95.214836 70.639 35.6127
95.581047 70.244 29.4025
95.947258 69.417 27.4595
96.313469 69.200 31.0054
96.679680 69.461 31.1522
97.045891 69.194 29.5351
97.412102 68.895 28.4907
97.778313 68.811 26.9918
98.144523 68.840 24.7067
98.510734 68.616 23.4278
98.876945 68.322 23.5237
99.243156 67.999 22.2931
99.609367 67.409 19.3376
99.975578 66.849 19.3619
100.341789 66.829 19.0283
100.708000 66.192 18.3862
101.074211 65.426 22.6306
101.440422 65.114 24.9640
101.806633 64.499 26.8279
102.172843 64.801 34.0310
102.539054 65.504 35.5802
102.905265 64.963 43.2300
103.271476 66.125 55.8392
103.637687 67.417 51.5113
104.003898 66.923 42.3442
104.370109 66.330 40.9936
104.736320 66.881 39.7934
105.102531 66.994 37.2122
105.468742 66.733 38.8447
105.834953 66.725 41.3928
106.201163 66.741 42.0755
106.567374 66.860 43.2396
106.933585 67.230 43.8095
107.299796 67.542 43.9954
107.666007 67.772 43.6282
108.032218 67.860 42.6965
108.398429 67.890 41.5242
108.764640 67.893 40.8495
109.130851 67.891 40.8866
109.497062 67.891 42.0101
109.863272 68.005 43.4506
110.229483 68.244 44.4292
110.595694 68.548 44.2156
110.961905 68.827 43.4645
111.328116 69.134 41.9815
111.694327 69.333 39.7101
112.060538 69.379 37.7908
112.426749 69.397 36.6271
112.792960 69.313 35.3723
113.159171 69.054 35.1442
113.525382 68.952 36.0512
113.891592 69.106 36.3370
114.257803 69.336 35.9860
114.624014 69.585 35.8606
114.990225 69.813 35.9821
115.356436 70.088 36.0599
115.722647 70.423 34.6341
116.088858 70.649 31.8251
116.455069 70.777 29.0215
116.821280 70.873 26.1198
117.187491 70.763 23.0391
117.553702 70.518 20.7595
117.919912 70.284 18.5345
118.286123 69.980 16.2867
118.652334 69.624 15.1832
119.018545 69.371 14.8505
119.384756 69.065 14.7117
119.750967 68.834 15.8541
120.117178 68.825 16.7763
120.483389 68.851 16.9062
120.849600 68.840 17.1610
121.215811 68.959 17.1134
121.582022 69.058 15.7516
121.948232 69.101 13.9680
122.314443 69.058 11.8212
122.680654 68.917 9.6326
123.046865 68.608 7.1602
123.413076 68.155 5.1092
123.779287 67.629 3.9601
124.145498 67.182 3.8716
124.511709 66.617 4.1782
124.877920 65.972 6.5441
125.244131 65.491 9.4525
125.610342 65.132 11.8999
125.976552 64.859 15.2773
126.342763 65.094 19.5508
126.708974 65.386 21.7610
127.075185 65.456 24.7535
127.441396 65.661 28.4897
127.807607 66.119 30.4183
128.173818 66.485 30.9107
128.540029 66.948 31.5035
128.906240 67.310 31.2202
129.272451 67.607 31.6824
129.638662 68.098 31.2579
130.004872 68.586 28.1343
130.371083 68.725 24.7086
130.737294 68.904 22.7800
131.103505 68.997 19.6309
131.469716 68.729 16.8799
131.835927 68.433 15.6428
132.202138 68.335 13.9648
132.568349 68.050 12.0652
132.934560 67.840 12.6052
133.300771 67.836 12.9457
133.666981 67.838 13.1124
134.033192 67.918 13.1060
134.399403 68.108 12.1051
134.765614 68.168 10.0590
135.131825 68.271 7.9326
135.498036 68.365 3.5707
135.864247 68.200 -2.2785
136.230458 67.678 -8.2687
136.596669 66.960 -13.2252
136.962880 65.927 -19.3806
137.329091 64.080 -25.1638
137.695301 61.315 -26.6198
138.061512 58.059 -17.5727
138.427723 55.288 7.5212
138.793934 56.545 41.3392
139.160145 59.134 55.4418
139.526356 61.314 62.2274
139.892567 63.212 64.0312
140.258778 64.824 62.5980
140.624989 66.045 60.2208
140.991200 67.094 57.9466
141.357411 67.949 55.6021
141.723621 68.729 52.0245
142.089832 69.097 47.1320
142.456043 69.277 43.4100
142.822254 69.478 39.5809
143.188465 69.533 35.3869
143.554676 69.402 32.4466
143.920887 69.400 30.3455
144.287098 69.230 27.9087
144.653309 68.996 27.5982
145.019520 68.964 27.8034
145.385731 69.067 27.5272
145.751941 69.195 26.4861
146.118152 69.289 25.2623
146.484363 69.304 24.8046
146.850574 69.515 24.4701
147.216785 69.523 22.3515
147.582996 69.354 22.2114
147.949207 69.573 22.5568
148.315418 69.898 20.6219
148.681629 69.969 18.4104
149.047840 70.134 16.6852
149.414051 70.182 13.3226
149.780261 70.022 10.8491
150.146472 69.921 8.9379
150.512683 69.825 6.7982
150.878894 69.626 4.2533
151.245105 69.334 1.6881
151.611316 68.857 -0.4376
151.977527 68.429 -0.6525
152.343738 68.012 -1.2468
152.709949 67.411 -0.6655
153.076160 66.909 0.3298
153.442371 66.445 1.6618
153.808581 66.228 4.9640
