* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 11:48:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R 120.Rscreen.orig B = FRX 
* Measurement: R.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 66.065 -156.5064
15.380859 70.249 -169.8183
15.747070 70.403 -176.0610
16.113281 70.753 -161.1602
16.479492 72.308 -172.7793
16.845703 71.696 -178.9996
17.211914 72.718 170.3254
17.578125 72.326 166.3787
17.944336 73.455 157.7133
18.310547 72.911 150.5547
18.676758 74.014 133.8045
19.042968 70.604 126.9733
19.409179 74.521 132.7082
19.775390 71.325 96.0678
20.141601 70.676 163.3995
20.507812 74.584 131.6247
20.874023 72.599 126.4727
21.240234 73.219 118.2374
21.606445 72.358 124.3725
21.972656 74.535 116.5349
22.338867 73.457 112.5327
22.705077 74.400 112.5438
23.071288 74.065 108.8214
23.437499 74.660 103.8734
23.803710 74.286 97.1949
24.169921 74.617 90.0817
24.536132 73.526 85.5871
24.902343 73.835 87.2665
25.268554 73.381 83.8722
25.634765 73.415 82.9851
26.000976 72.945 81.5653
26.367187 73.756 81.5659
26.733397 73.830 77.3160
27.099608 74.227 76.4604
27.465819 74.295 74.7432
27.832030 75.190 71.3253
28.198241 75.098 63.2556
28.564452 75.300 61.3668
28.930663 75.674 56.4203
29.296874 75.940 50.1796
29.663085 75.175 43.5403
30.029296 74.915 43.6530
30.395507 74.728 38.5503
30.761717 74.455 36.1535
31.127928 74.000 30.7679
31.494139 73.656 29.0476
31.860350 73.551 24.0894
32.226561 73.718 21.6872
32.592772 73.736 15.2192
32.958983 73.182 12.4876
33.325194 72.127 8.2222
33.691405 71.079 11.7362
34.057616 71.280 8.7734
34.423827 71.313 5.2786
34.790037 71.281 1.2384
35.156248 71.017 1.7245
35.522459 70.326 -2.6396
35.888670 69.248 -2.1140
36.254881 69.259 -9.9681
36.621092 68.809 -15.9830
36.987303 68.595 -20.4048
37.353514 67.095 -17.7372
37.719725 65.343 -11.6030
38.085936 64.057 -1.2228
38.452147 63.073 -7.9819
38.818357 62.269 6.0892
39.184568 65.192 7.9441
39.550779 65.762 9.7258
39.916990 66.105 15.3783
40.283201 67.410 12.3925
40.649412 67.794 -10.9414
41.015623 66.535 -24.2886
41.381834 66.264 -25.5638
41.748045 64.962 -29.0804
42.114256 60.509 -46.2508
42.480467 48.260 -55.1385
42.846677 54.537 -61.2408
43.212888 57.089 -101.1711
43.579099 46.412 138.4764
43.945310 63.038 52.5887
44.311521 65.322 31.6418
44.677732 64.898 35.8734
45.043943 65.574 31.5366
45.410154 66.067 30.8038
45.776365 68.625 31.1443
46.142576 71.273 22.6968
46.508786 72.514 8.5263
46.874997 73.736 -5.2571
47.241208 74.937 -26.2455
47.607419 74.554 -43.0417
47.973630 74.335 -50.8577
48.339841 74.849 -65.3681
48.706052 74.876 -86.7047
49.072263 74.321 -99.4314
49.438474 74.908 -105.8843
49.804685 74.810 -119.1160
50.170896 74.532 -130.1511
50.537106 75.464 -146.3926
50.903317 75.243 -162.0559
51.269528 73.817 -155.5991
51.635739 76.058 -149.7810
52.001950 76.710 -176.6787
52.368161 74.758 147.6919
52.734372 73.038 128.2466
53.100583 73.543 123.5422
53.466794 73.486 112.5435
53.833005 71.370 106.3545
54.199216 70.639 101.9999
54.565426 69.685 89.7728
54.931637 68.641 90.5341
55.297848 68.556 92.2224
55.664059 67.574 89.0359
56.030270 65.956 89.7823
56.396481 66.030 88.1862
56.762692 65.199 87.0790
57.128903 65.888 94.0602
57.495114 65.288 86.6295
57.861325 62.543 85.4487
58.227536 60.691 91.9200
58.593746 60.453 96.8875
58.959957 60.168 115.7073
59.326168 62.496 130.8611
59.692379 63.410 147.1476
60.058590 66.327 152.6465
60.424801 67.524 145.8904
60.791012 68.674 143.3650
61.157223 70.522 141.4492
61.523434 72.120 136.8896
61.889645 73.315 135.4148
62.255856 74.931 129.9879
62.622066 75.911 120.8657
62.988277 76.678 110.7167
63.354488 76.833 99.3506
63.720699 76.621 89.6448
64.086910 76.149 81.7233
64.453121 75.921 76.6558
64.819332 75.668 71.7380
65.185543 75.493 69.0660
65.551754 75.309 64.7661
65.917965 75.055 61.1243
66.284176 74.904 56.7935
66.650386 74.787 52.9199
67.016597 74.388 48.1969
67.382808 73.747 45.5717
67.749019 72.930 41.8774
68.115230 71.886 42.6064
68.481441 71.669 45.6315
68.847652 71.924 46.7206
69.213863 71.846 45.2571
69.580074 71.765 46.2428
69.946285 71.884 43.5930
70.312495 71.651 41.6316
70.678706 71.496 39.9580
71.044917 71.198 39.0255
71.411128 70.783 37.4927
71.777339 70.363 37.2592
72.143550 69.948 35.9559
72.509761 69.589 38.3065
72.875972 69.393 37.5107
73.242183 68.315 39.1121
73.608394 67.695 43.4991
73.974605 67.409 46.2173
74.340815 67.318 49.9486
74.707026 67.886 54.9116
75.073237 67.995 59.9701
75.439448 69.134 70.9893
75.805659 70.656 69.8640
76.171870 71.053 67.3425
76.538081 71.565 68.0051
76.904292 72.634 67.1211
77.270503 73.231 63.1790
77.636714 73.645 62.0129
78.002925 74.221 58.7915
78.369135 74.608 55.1053
78.735346 75.073 51.3259
79.101557 75.689 47.2625
79.467768 76.254 41.1180
79.833979 76.639 34.6488
80.200190 76.883 26.2334
80.566401 76.663 17.6033
80.932612 76.190 9.6605
81.298823 75.444 2.9763
81.665034 74.601 -2.6233
82.031245 73.607 -6.1764
82.397455 72.811 -8.8053
82.763666 71.810 -10.7991
83.129877 70.935 -11.0168
83.496088 70.074 -10.3993
83.862299 69.495 -9.3563
84.228510 68.889 -8.7010
84.594721 68.343 -8.3024
84.960932 67.648 -5.6686
85.327143 67.587 -3.0970
85.693354 67.038 -1.8883
86.059565 66.530 3.9187
86.425775 66.508 8.8475
86.791986 66.259 9.3979
87.158197 65.990 12.9584
87.524408 67.039 11.0833
87.890619 67.366 3.9929
88.256830 67.304 3.3429
88.623041 67.973 4.8495
88.989252 68.563 -1.3666
89.355463 68.008 -10.6832
89.721674 67.134 -20.7212
90.087885 65.750 -34.3171
90.454095 63.561 -51.7758
90.820306 59.534 -79.1538
91.186517 54.468 -133.5526
91.552728 57.861 159.1663
91.918939 62.971 128.4756
92.285150 66.383 108.2249
92.651361 68.215 93.3353
93.017572 69.619 83.6685
93.383783 70.771 71.8390
93.749994 71.136 59.7051
94.116205 70.982 50.0471
94.482415 70.544 44.2161
94.848626 70.263 41.2737
95.214837 70.311 37.4407
95.581048 70.065 30.6857
95.947259 69.261 28.5981
96.313470 69.173 31.5804
96.679681 69.432 31.5776
97.045892 69.262 29.4354
97.412103 68.940 28.2396
97.778314 68.936 26.2579
98.144524 68.929 23.8517
98.510735 68.774 22.1914
98.876946 68.433 22.2045
99.243157 68.169 20.6547
99.609368 67.524 17.6466
99.975579 67.027 17.4039
100.341790 66.949 17.0663
100.708001 66.374 16.2260
101.074212 65.544 20.5116
101.440423 65.296 22.6036
101.806634 64.616 24.5676
102.172844 64.986 31.4990
102.539055 65.636 33.1901
102.905266 65.147 40.5934
103.271477 66.274 53.3676
103.637688 67.593 48.7489
104.003899 67.075 39.7136
104.370110 66.517 38.0818
104.736321 67.035 37.0242
105.102532 67.181 34.2167
105.468743 66.884 35.9235
105.834954 66.904 38.2485
106.201164 66.890 39.0116
106.567375 67.033 39.9729
106.933586 67.373 40.6334
107.299797 67.699 40.6488
107.666008 67.901 40.3372
108.032219 68.002 39.2578
108.398430 68.008 38.1443
108.764641 68.019 37.3667
109.130852 67.993 37.4631
109.497063 67.996 38.5017
109.863274 68.089 39.9849
110.229484 68.330 40.8982
110.595695 68.620 40.7434
110.961906 68.895 39.9598
111.328117 69.187 38.5325
111.694328 69.381 36.2384
112.060539 69.416 34.3638
112.426750 69.427 33.2148
112.792961 69.336 32.0270
113.159172 69.064 31.8568
113.525383 68.966 32.8621
113.891594 69.115 33.1536
114.257804 69.352 32.8674
114.624015 69.594 32.7604
114.990226 69.831 32.9346
115.356437 70.093 33.0258
115.722648 70.442 31.6403
116.088859 70.654 28.8229
116.455070 70.798 26.0809
116.821281 70.879 23.1639
117.187492 70.784 20.1598
117.553703 70.521 17.8291
117.919914 70.306 15.7000
118.286124 69.984 13.3730
118.652335 69.648 12.4062
119.018546 69.373 11.9717
119.384757 69.088 11.9828
119.750968 68.833 12.9897
120.117179 68.851 14.0759
120.483390 68.851 14.0701
120.849601 68.867 14.5099
121.215812 68.958 14.3091
121.582023 69.083 13.1337
121.948233 69.101 11.1714
122.314444 69.084 9.2394
122.680655 68.918 6.8582
123.046866 68.632 4.6361
123.413077 68.155 2.3376
123.779288 67.652 1.4767
124.145499 67.183 1.0945
124.511710 66.644 1.7484
124.877921 65.970 3.7815
125.244132 65.520 7.0785
125.610343 65.124 9.1354
125.976553 64.893 12.9199
126.342764 65.085 16.8186
126.708975 65.424 19.4136
127.075186 65.444 22.0792
127.441397 65.698 26.1492
127.807608 66.106 27.7766
128.173819 66.522 28.5637
128.540030 66.939 28.8976
128.906241 67.346 28.8978
129.272452 67.598 29.1145
129.638663 68.130 28.9456
130.004873 68.580 25.5779
130.371084 68.755 22.4200
130.737295 68.902 20.2444
131.103506 69.024 17.3801
131.469717 68.727 14.3488
131.835928 68.459 13.4216
132.202139 68.335 11.4313
132.568350 68.077 9.8835
132.934561 67.839 10.0894
133.300772 67.861 10.7927
133.666983 67.836 10.6066
134.033193 67.944 10.9612
134.399404 68.109 9.6188
134.765615 68.193 7.9446
135.131826 68.273 5.4690
135.498037 68.385 1.4764
135.864248 68.207 -4.7477
136.230459 67.693 -10.3256
136.596670 66.975 -15.7008
136.962881 65.933 -21.3619
137.329092 64.103 -27.7064
137.695303 61.308 -28.4338
138.061513 58.086 -20.4427
138.427724 55.347 6.1414
138.793935 56.470 38.6599
139.160146 59.227 53.5004
139.526357 61.261 59.9143
139.892568 63.275 61.9550
140.258779 64.793 60.3279
140.624990 66.096 58.1478
140.991201 67.075 55.7063
141.357412 67.990 53.5549
141.723623 68.715 49.7927
142.089833 69.133 45.1047
142.456044 69.269 41.1694
142.822255 69.511 37.5911
143.188466 69.527 33.1538
143.554677 69.432 30.4896
143.920888 69.396 28.1051
144.287099 69.258 25.9733
144.653310 68.993 25.3624
145.019521 68.993 25.8983
145.385732 69.064 25.3092
145.751942 69.222 24.5881
146.118153 69.288 23.0491
146.484364 69.332 22.9220
146.850575 69.515 22.2804
147.216786 69.548 20.4904
147.582997 69.353 20.0256
147.949208 69.598 20.7001
148.315419 69.900 18.4532
148.681630 69.992 16.5707
149.047841 70.138 14.5374
149.414052 70.201 11.4982
149.780262 70.028 8.6997
150.146473 69.939 7.1284
150.512684 69.835 4.6582
150.878895 69.642 2.4729
151.245106 69.345 -0.4468
151.611317 68.869 -2.1942
151.977528 68.442 -2.8037
152.343739 68.025 -2.9723
152.709950 67.424 -2.8203
153.076161 66.922 -1.3472
153.442372 66.455 -0.5087
153.808582 66.244 3.3049
154.174793 66.436 6.3678
154.541004 66.325 11.8737
154.907215 66.873 20.9550
155.273426 67.988 22.0287
155.639637 67.853 17.3539
156.005848 67.337 18.6523
156.372059 67.870 20.1982
156.738270 68.522 18.3093
157.104481 68.897 17.3429
157.470692 69.367 17.2701
157.836902 69.662 16.3204
158.203113 70.028 15.9420
158.569324 70.444 13.2123
158.935535 70.630 10.1514
159.301746 70.831 7.8031
159.667957 71.176 5.0685
160.034168 71.378 1.1831
160.400379 71.408 -1.9415
160.766590 71.352 -4.6831
161.132801 71.314 -6.7922
161.499012 71.291 -9.8838
161.865222 71.162 -12.5538
162.231433 71.149 -14.7201
162.597644 71.198 -17.4174
162.963855 71.048 -20.4868
163.330066 70.879 -22.0278
163.696277 70.825 -24.5247
164.062488 70.586 -26.7905
164.428699 70.428 -28.2021
164.794910 70.342 -29.9999
165.161121 70.168 -32.2095
165.527332 70.051 -33.7604
165.893542 69.941 -36.7968
