* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 11:44:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR Cal file effects not included No LF tail No HF tail
* Measurement: RFilter
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.5634766 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.563477 0.063 -1.3000
2.929688 -0.043 -1.3548
3.295898 0.064 -1.6770
3.662109 -0.045 -1.7006
4.028320 0.066 -2.0584
4.394531 -0.047 -2.0511
4.760742 0.069 -2.4453
5.126953 -0.050 -2.4078
5.493164 0.072 -2.8390
5.859375 -0.054 -2.7718
6.225586 0.076 -3.2409
6.591797 -0.058 -3.1448
6.958008 0.080 -3.6527
7.324219 -0.062 -3.5284
7.690430 0.085 -4.0764
8.056641 -0.068 -3.9247
8.422852 0.091 -4.5142
8.789062 -0.074 -4.3360
9.155273 0.098 -4.9689
9.521484 -0.081 -4.7654
9.887695 0.106 -5.4438
10.253906 -0.090 -5.2164
10.620117 0.115 -5.9433
10.986328 -0.100 -5.6936
11.352539 0.126 -6.4726
11.718750 -0.113 -6.2027
12.084961 0.139 -7.0388
12.451172 -0.128 -6.7515
12.817383 0.155 -7.6514
13.183594 -0.146 -7.3500
13.549805 0.175 -8.3235
13.916016 -0.169 -8.0119
14.282227 0.199 -9.0754
14.648438 -0.200 -8.7237
15.014648 0.244 -9.9630
15.380859 -0.257 -9.6431
15.747070 0.302 -10.8429
16.113281 -0.319 -10.8844
16.479492 0.361 -11.8614
16.845703 -0.391 -12.4813
17.211914 0.436 -13.1733
17.578125 -0.489 -14.7473
17.944336 0.542 -15.0687
18.310547 -0.649 -18.7232
18.676758 0.585 -18.7628
19.042969 -1.431 -26.3761
19.409180 0.439 -22.2285
19.775391 -3.507 -56.2818
20.141602 -3.770 19.9688
20.507812 -0.313 -13.9600
20.874023 -2.584 -6.7331
21.240234 -0.848 -14.6496
21.606445 -2.340 -10.6223
21.972656 -1.196 -15.5217
22.338867 -2.546 -12.7711
22.705078 -1.729 -15.5914
23.071289 -2.994 -12.4985
23.437500 -2.296 -13.4931
23.803711 -3.315 -9.4439
24.169922 -2.558 -9.9938
24.536133 -3.352 -5.9113
24.902344 -2.535 -6.5213
25.268555 -3.163 -3.2689
25.634766 -2.372 -3.9901
26.000977 -2.868 -1.8572
26.367188 -2.222 -3.0403
26.733398 -2.754 -1.2409
27.099609 -2.226 -2.0859
27.465820 -2.797 0.1706
27.832031 -2.260 0.3251
28.198242 -2.717 2.9523
28.564453 -2.110 3.7837
28.930664 -2.319 6.4233
29.296875 -1.605 6.7476
29.663086 -1.631 8.5783
30.029297 -0.837 7.9353
30.395508 -0.774 7.9491
30.761719 -0.048 5.9692
31.127930 -0.130 3.6031
31.494141 0.144 1.5180
31.860352 -0.122 0.4535
32.226562 0.137 -0.5914
32.592773 -0.115 -1.3848
32.958984 0.131 -2.0618
33.325195 -0.110 -2.7651
33.691406 0.126 -3.2157
34.057617 -0.104 -3.8973
34.423828 0.120 -4.1817
34.790039 -0.098 -4.8742
35.156250 0.114 -5.0243
35.522461 -0.092 -5.7434
35.888672 0.108 -5.7841
36.254883 -0.085 -6.5327
36.621094 0.101 -6.4869
36.987305 -0.078 -7.2618
37.353516 0.094 -7.1512
37.719727 -0.071 -7.9423
38.085938 0.087 -7.7884
38.452148 -0.064 -8.5853
38.818359 0.081 -8.4045
39.184570 -0.058 -9.2011
39.550781 0.076 -9.0056
39.916992 -0.053 -9.7971
40.283203 0.071 -9.5959
40.649414 -0.049 -10.3782
41.015625 0.067 -10.1788
41.381836 -0.045 -10.9479
41.748047 0.064 -10.7578
42.114258 -0.042 -11.5122
42.480469 0.062 -11.3318
42.846680 -0.041 -12.0807
43.212891 0.061 -11.8981
43.579102 -0.040 -12.6568
43.945312 0.059 -12.4603
44.311523 -0.038 -13.2403
44.677734 0.057 -13.0242
45.043945 -0.035 -13.8298
45.410156 0.054 -13.5956
45.776367 -0.032 -14.4254
46.142578 0.051 -14.1780
46.508789 -0.029 -15.0281
46.875000 0.047 -14.7739
47.241211 -0.025 -15.6395
47.607422 0.044 -15.3860
47.973633 -0.022 -16.2619
48.339844 0.041 -16.0163
48.706055 -0.019 -16.8993
49.072266 0.038 -16.6658
49.438477 -0.016 -17.5549
49.804688 0.036 -17.3361
50.170898 -0.014 -18.2327
50.537109 0.033 -18.0292
50.903320 -0.011 -18.9369
51.269531 0.031 -18.7491
51.635742 -0.009 -19.6701
52.001953 0.028 -19.5002
52.368164 -0.006 -20.4362
52.734375 0.026 -20.2874
53.100586 -0.004 -21.2393
53.466797 0.023 -21.1172
53.833008 -0.001 -22.0855
54.199219 0.021 -21.9966
54.565430 0.001 -22.9820
54.931641 0.018 -22.9338
55.297852 0.004 -23.9380
55.664062 0.016 -23.9388
56.030273 0.006 -24.9659
56.396484 0.014 -25.0253
56.762695 0.008 -26.0828
57.128906 0.012 -26.2112
57.495117 0.010 -27.3108
57.861328 0.010 -27.5228
58.227539 0.011 -28.6816
58.593750 0.008 -28.9983
58.959961 0.013 -30.2463
59.326172 0.007 -30.7050
59.692383 0.015 -32.0935
60.058594 0.005 -32.7719
60.424805 0.017 -34.4630
60.791016 -0.032 -35.6712
61.157227 -0.107 -37.6222
61.523438 -0.229 -38.7081
61.889648 -0.310 -40.5974
62.255859 -0.446 -41.9837
62.622070 -0.529 -44.5142
62.988281 -0.831 -47.7141
63.354492 -1.502 -50.4666
63.720703 -2.163 -49.8244
64.086914 -2.645 -49.8195
64.453125 -3.165 -48.0432
64.819336 -3.508 -47.0263
65.185547 -3.877 -44.6276
65.551758 -4.095 -43.2495
65.917969 -4.331 -40.4864
66.284180 -4.417 -39.1044
66.650391 -4.557 -36.3424
67.016602 -4.535 -34.9354
67.382812 -4.568 -32.3733
67.749023 -4.460 -31.1256
68.115234 -4.390 -28.8626
68.481445 -4.206 -28.0168
68.847656 -4.069 -26.1171
69.213867 -3.803 -25.6522
69.580078 -3.599 -24.3801
69.946289 -3.271 -24.4131
70.312500 -3.003 -23.9761
70.678711 -2.650 -24.7753
71.044922 -2.345 -25.2296
71.411133 -1.970 -27.1324
71.777344 -1.685 -29.0001
72.143555 -1.409 -32.7407
72.509766 -1.480 -35.9911
72.875977 -1.498 -38.8782
73.242188 -1.637 -41.5459
73.608398 -1.726 -44.3463
73.974609 -1.940 -47.0740
74.340820 -2.094 -50.0166
74.707031 -2.413 -53.7492
75.073242 -2.978 -57.3803
75.439453 -3.710 -58.9850
75.805664 -4.319 -60.1713
76.171875 -5.050 -60.2773
76.538086 -5.625 -60.0788
76.904297 -6.309 -58.9536
77.270508 -6.790 -57.7918
77.636719 -7.401 -55.8319
78.002930 -7.773 -54.0077
78.369141 -8.300 -51.5315
78.735352 -8.578 -49.2623
79.101562 -9.013 -46.3621
79.467773 -9.191 -43.8642
79.833984 -9.539 -40.6951
80.200195 -9.620 -38.1002
80.566406 -9.890 -34.8221
80.932617 -9.889 -32.1579
81.298828 -10.071 -28.8464
81.665039 -9.996 -26.2340
82.031250 -10.096 -22.9633
82.397461 -9.955 -20.4879
82.763672 -9.984 -17.3170
83.129883 -9.779 -14.9576
83.496094 -9.733 -11.9905
83.862305 -9.477 -9.8150
84.228516 -9.361 -7.0840
84.594727 -9.062 -5.1331
84.960938 -8.881 -2.6332
85.327148 -8.531 -0.9350
85.693359 -8.291 1.2188
86.059570 -7.900 2.6435
86.425781 -7.600 4.4224
86.791992 -7.169 5.5488
87.158203 -6.802 6.9231
87.524414 -6.323 7.5765
87.890625 -5.903 8.3998
88.256836 -5.378 8.5057
88.623047 -4.909 8.5999
88.989258 -4.347 7.9955
89.355469 -3.832 7.0873
89.721680 -3.269 5.3477
90.087891 -2.777 3.1487
90.454102 -2.285 -0.1121
90.820312 -2.011 -4.0122
91.186523 -1.879 -7.5934
91.552734 -1.802 -10.4894
91.918945 -1.679 -13.5416
92.285156 -1.610 -16.8756
92.651367 -1.626 -20.8850
93.017578 -1.870 -24.3375
93.383789 -2.104 -27.0127
93.750000 -2.407 -29.2471
94.116211 -2.661 -31.0336
94.482422 -2.973 -32.5584
94.848633 -3.218 -33.6386
95.214844 -3.496 -34.6615
95.581055 -3.712 -35.3843
95.947266 -3.959 -36.1119
96.313477 -4.145 -36.6479
96.679688 -4.375 -37.2050
97.045898 -4.531 -37.5525
97.412109 -4.731 -38.0796
97.778320 -4.869 -38.3987
98.144531 -5.050 -38.9684
98.510742 -5.186 -39.3455
98.876953 -5.365 -39.9129
99.243164 -5.495 -40.3239
99.609375 -5.679 -40.9771
99.975586 -5.817 -41.4243
100.341797 -6.014 -42.1644
100.708008 -6.177 -42.6150
101.074219 -6.391 -43.3374
101.440430 -6.576 -43.7785
101.806641 -6.815 -44.4627
102.172852 -7.025 -44.8385
102.539062 -7.295 -45.4418
102.905273 -7.532 -45.6235
103.271484 -7.818 -46.0731
103.637695 -8.074 -46.0760
104.003906 -8.374 -46.3582
104.370117 -8.647 -46.1751
104.736328 -8.962 -46.2304
105.102539 -9.240 -45.7889
105.468750 -9.558 -45.6459
105.834961 -9.837 -44.9604
106.201172 -10.153 -44.6229
106.567383 -10.431 -43.7141
106.933594 -10.740 -43.1505
107.299805 -11.007 -42.0278
107.666016 -11.306 -41.2859
108.032227 -11.561 -39.9652
108.398438 -11.848 -39.0659
108.764648 -12.091 -37.5363
109.130859 -12.358 -36.4562
109.497070 -12.581 -34.7676
109.863281 -12.829 -33.5506
110.229492 -13.031 -31.7317
110.595703 -13.262 -30.3911
110.961914 -13.444 -28.4214
111.328125 -13.650 -26.9705
111.694336 -13.811 -24.8980
112.060547 -13.995 -23.3393
112.426758 -14.133 -21.1673
112.792969 -14.293 -19.4980
113.159180 -14.404 -17.2195
113.525391 -14.530 -15.4640
113.891602 -14.610 -13.1771
114.257812 -14.711 -11.4040
114.624023 -14.769 -9.1013
114.990234 -14.843 -7.2776
115.356445 -14.874 -4.9698
115.722656 -14.923 -3.1258
116.088867 -14.928 -0.8288
116.455078 -14.950 1.0156
116.821289 -14.932 3.2828
117.187500 -14.926 5.1297
117.553711 -14.884 7.3368
117.919922 -14.854 9.1577
118.286133 -14.789 11.3011
118.652344 -14.736 13.0926
119.018555 -14.649 15.1727
119.384766 -14.570 16.9115
119.750977 -14.461 18.8827
120.117188 -14.361 20.5522
120.483398 -14.235 22.4166
120.849609 -14.115 24.0159
121.215820 -13.969 25.7654
121.582031 -13.832 27.2539
121.948242 -13.673 28.8743
122.314453 -13.521 30.2731
122.680664 -13.349 31.7699
123.046875 -13.182 33.0605
123.413086 -12.997 34.4057
123.779297 -12.821 35.5624
124.145508 -12.631 36.7706
124.511719 -12.449 37.8110
124.877930 -12.253 38.8932
125.244141 -12.065 39.8130
125.610352 -11.868 40.7504
125.976562 -11.680 41.5685
126.342773 -11.482 42.4033
126.708984 -11.293 43.1200
127.075195 -11.095 43.8520
127.441406 -10.905 44.4672
127.807617 -10.711 45.0974
128.173828 -10.524 45.6434
128.540039 -10.332 46.2013
128.906250 -10.145 46.6921
129.272461 -9.951 47.1843
129.638672 -9.764 47.5991
130.004883 -9.571 48.0315
130.371094 -9.380 48.3957
130.737305 -9.184 48.7634
131.103516 -8.988 49.0631
131.469727 -8.786 49.3351
131.835938 -8.588 49.5434
132.202148 -8.383 49.7365
132.568359 -8.178 49.8504
132.934570 -7.967 49.9368
133.300781 -7.755 49.9201
133.666992 -7.541 49.8457
134.033203 -7.328 49.6846
134.399414 -7.113 49.4515
134.765625 -6.901 49.1133
135.131836 -6.688 48.6907
135.498047 -6.483 48.1283
135.864258 -6.285 47.4889
136.230469 -6.097 46.7352
136.596680 -5.919 45.8963
136.962891 -5.754 44.9586
137.329102 -5.604 43.9272
137.695312 -5.474 42.8064
138.061523 -5.365 41.6503
138.427734 -5.276 40.4368
138.793945 -5.210 39.2246
139.160156 -5.164 37.9936
139.526367 -5.142 36.7712
139.892578 -5.143 35.5952
140.258789 -5.165 34.4840
140.625000 -5.205 33.4512
140.991211 -5.260 32.5192
