* Measurement data measured by REW V5.40 beta 132
* Source: 
* Format: 
* Dated: Aug 11, 2026, 3:03:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX Cal file effects included No LF tail No HF tail
* Measurement: RX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 29.371 5.0934
2.563477 27.273 69.4349
2.929687 32.599 40.9827
3.295898 25.171 25.0505
3.662109 31.056 79.8400
4.028320 31.825 42.3336
4.394531 24.088 84.4437
4.760742 33.039 82.3175
5.126953 29.325 49.2252
5.493164 29.397 116.1235
5.859375 33.581 83.3147
6.225586 24.929 80.2075
6.591797 33.044 123.9668
6.958007 32.629 86.2680
7.324218 27.098 143.5072
7.690429 34.960 126.4589
8.056640 29.618 98.6280
8.422851 32.750 165.0970
8.789062 35.413 128.7030
9.155273 26.208 151.6792
9.521484 36.299 170.9649
9.887695 34.204 134.1840
10.253906 31.977 -157.1357
10.620117 37.870 172.9560
10.986327 28.916 156.3201
11.352538 37.343 -138.8942
11.718749 37.411 179.1315
12.084960 31.713 -99.6172
12.451171 40.878 -129.1749
12.817382 31.942 -156.9340
13.183593 41.678 -72.3147
13.549804 42.067 -116.4431
13.916015 40.318 -15.2214
14.282226 48.782 -54.4678
14.648436 38.927 36.2512
15.014647 60.972 17.5925
15.380858 67.771 -26.0905
15.747069 70.541 -64.4503
16.113280 71.160 -92.6562
16.479491 71.282 -109.7621
16.845702 71.727 -122.9060
17.211913 72.006 -134.7202
17.578124 72.310 -143.7169
17.944335 72.738 -152.8119
18.310546 72.877 -161.3350
18.676756 73.043 -167.1572
19.042967 73.461 -172.9602
19.409178 73.808 -179.2984
19.775389 74.136 174.7964
20.141600 74.419 168.5005
20.507811 74.532 162.8811
20.874022 74.706 158.4796
21.240233 74.960 153.9017
21.606444 75.179 149.4957
21.972655 75.470 145.2681
22.338866 75.761 140.5064
22.705076 76.002 135.7762
23.071287 76.260 130.8268
23.437498 76.425 125.3716
23.803709 76.474 120.2556
24.169920 76.491 115.4688
24.536131 76.442 110.9328
24.902342 76.372 107.0540
25.268553 76.331 103.4034
25.634764 76.262 100.0297
26.000975 76.240 97.2329
26.367186 76.303 94.3600
26.733396 76.389 91.3042
27.099607 76.522 88.0005
27.465818 76.644 84.0685
27.832029 76.700 79.9291
28.198240 76.737 75.6341
28.564451 76.710 70.9320
28.930662 76.586 66.2276
29.296873 76.394 61.5856
29.663084 76.097 57.0922
30.029295 75.731 53.2369
30.395506 75.361 49.7894
30.761716 74.950 46.6461
31.127927 74.536 44.0813
31.494138 74.147 41.7347
31.860349 73.747 39.6717
32.226560 73.393 37.9378
32.592771 73.062 35.9881
32.958982 72.690 34.1371
33.325193 72.332 32.4953
33.691404 71.956 30.8069
34.057615 71.565 29.4671
34.423826 71.218 28.1054
34.790036 70.823 26.5204
35.156247 70.390 25.2698
35.522458 69.954 24.0429
35.888669 69.450 23.0311
36.254880 68.954 22.5250
36.621091 68.445 21.9348
36.987302 67.848 21.8967
37.353513 67.288 22.6503
37.719724 66.741 23.7223
38.085935 66.242 25.7065
38.452145 65.908 27.7504
38.818356 65.588 29.4572
39.184567 65.336 31.4197
39.550778 65.150 32.6695
39.916989 64.888 33.6856
40.283200 64.652 34.6379
40.649411 64.306 34.8407
41.015622 63.768 35.7675
41.381833 63.199 37.5348
41.748044 62.488 40.2139
42.114255 61.808 45.3480
42.480465 61.347 51.5558
42.846676 61.003 59.3766
43.212887 61.165 68.4644
43.579098 61.690 76.0331
43.945309 62.473 82.8178
44.311520 63.536 86.9969
44.677731 64.481 88.8186
45.043942 65.376 89.7792
45.410153 66.194 89.1691
45.776364 66.811 88.1001
46.142575 67.398 86.9343
46.508785 67.879 84.9017
46.874996 68.190 83.1550
47.241207 68.503 81.6998
47.607418 68.745 79.9762
47.973629 68.935 78.8161
48.339840 69.190 77.5535
48.706051 69.371 75.9038
49.072262 69.533 74.7134
49.438473 69.754 73.1026
49.804684 69.880 71.0129
50.170895 69.960 69.1338
50.537105 70.007 66.8556
50.903316 69.912 64.6911
51.269527 69.794 63.1446
51.635738 69.650 61.4799
52.001949 69.400 60.3291
52.368160 69.186 59.9334
52.734371 68.991 59.5434
53.100582 68.784 59.6418
53.466793 68.663 59.8206
53.833004 68.510 59.6123
54.199215 68.319 59.7990
54.565425 68.162 59.9503
54.931636 67.933 60.0159
55.297847 67.673 60.5928
55.664058 67.395 61.2548
56.030269 67.031 62.5194
56.396480 66.699 64.7364
56.762691 66.395 67.3756
57.128902 66.114 71.0012
57.495113 65.975 75.3453
57.861324 65.932 80.0984
58.227535 66.068 85.5543
58.593745 66.434 90.7257
58.959956 66.944 95.4209
59.326167 67.626 99.3961
59.692378 68.384 102.1692
60.058589 69.165 104.1749
60.424800 69.987 105.2737
60.791011 70.780 105.4639
61.157222 71.544 105.0472
61.523433 72.270 103.9153
61.889644 72.920 102.3042
62.255854 73.522 100.4070
62.622065 74.072 98.1211
62.988276 74.556 95.6046
63.354487 74.990 92.8949
63.720698 75.360 89.9809
64.086909 75.668 87.0494
64.453120 75.934 84.0639
64.819331 76.144 81.0025
65.185542 76.303 77.9823
65.551753 76.416 74.9628
65.917964 76.473 72.0159
66.284174 76.491 69.2301
66.650385 76.474 66.5114
67.016596 76.409 63.9273
67.382807 76.310 61.5376
67.749018 76.174 59.3076
68.115229 76.002 57.3502
68.481440 75.814 55.6438
68.847651 75.598 54.1372
69.213862 75.357 52.9562
69.580073 75.104 52.0824
69.946284 74.835 51.5498
70.312494 74.567 51.4515
70.678705 74.312 51.6882
71.044916 74.064 52.3263
71.411127 73.849 53.4190
71.777338 73.676 54.8775
72.143549 73.559 56.7571
72.509760 73.530 58.9071
72.875971 73.583 61.1536
73.242182 73.727 63.4552
73.608393 73.967 65.5863
73.974604 74.283 67.4592
74.340814 74.678 68.9737
74.707025 75.128 69.9457
75.073236 75.608 70.4130
75.439447 76.108 70.3530
75.805658 76.604 69.7701
76.171869 77.090 68.7711
76.538080 77.564 67.3197
76.904291 78.005 65.4562
77.270502 78.412 63.2815
77.636713 78.782 60.8000
78.002924 79.108 58.0869
78.369134 79.396 55.1856
78.735345 79.641 52.0754
79.101556 79.836 48.8327
79.467767 79.988 45.4987
79.833978 80.093 42.0813
80.200189 80.152 38.6427
80.566400 80.170 35.1780
80.932611 80.142 31.6969
81.298822 80.068 28.2680
81.665033 79.955 24.8938
82.031244 79.799 21.5987
82.397454 79.607 18.4132
82.763665 79.380 15.3085
83.129876 79.111 12.3315
83.496087 78.810 9.5230
83.862298 78.478 6.8589
84.228509 78.115 4.3730
84.594720 77.727 2.0560
84.960931 77.307 -0.1051
85.327142 76.857 -2.0373
85.693353 76.385 -3.7543
86.059563 75.887 -5.2666
86.425774 75.365 -6.5341
86.791985 74.819 -7.5882
87.158196 74.238 -8.3547
87.524407 73.634 -8.7627
87.890618 73.009 -8.8489
88.256829 72.355 -8.5130
88.623040 71.687 -7.7109
88.989251 70.997 -6.3980
89.355462 70.298 -4.3582
89.721673 69.625 -1.5791
90.087883 68.988 1.9883
90.454094 68.435 6.4097
90.820305 68.000 11.4628
91.186516 67.704 17.0794
91.552727 67.593 22.9479
91.918938 67.654 28.6174
92.285149 67.871 33.8770
92.651360 68.211 38.3675
93.017571 68.609 42.0688
93.383782 69.047 45.0799
93.749993 69.492 47.3870
94.116203 69.924 49.1843
94.482414 70.348 50.4984
94.848625 70.736 51.3733
95.214836 71.088 52.0082
95.581047 71.412 52.4179
95.947258 71.698 52.6891
96.313469 71.963 52.9001
96.679680 72.204 52.9865
97.045891 72.413 53.0492
97.412102 72.605 53.1391
97.778313 72.779 53.2330
98.144523 72.939 53.4111
98.510734 73.098 53.6246
98.876945 73.248 53.8540
99.243156 73.393 54.1721
99.609367 73.542 54.5360
99.975578 73.691 54.9688
100.341789 73.854 55.4694
100.708000 74.029 55.9514
101.074211 74.211 56.4512
101.440422 74.408 56.9556
101.806633 74.616 57.4294
102.172843 74.838 57.8976
102.539054 75.079 58.2867
102.905265 75.329 58.5838
103.271476 75.588 58.8163
103.637687 75.858 58.9414
104.003898 76.132 58.9856
104.370109 76.417 58.9302
104.736320 76.706 58.7287
105.102531 76.994 58.4277
105.468742 77.284 58.0165
105.834953 77.570 57.4933
106.201163 77.856 56.8902
106.567374 78.142 56.1613
106.933585 78.421 55.3174
107.299796 78.693 54.3931
107.666007 78.960 53.3693
108.032218 79.218 52.2720
108.398429 79.472 51.0936
108.764640 79.718 49.8106
109.130851 79.951 48.4644
109.497062 80.178 47.0518
109.863272 80.393 45.5679
110.229483 80.600 44.0364
110.595694 80.798 42.4311
110.961905 80.983 40.7621
111.328116 81.157 39.0584
111.694327 81.320 37.3022
112.060538 81.472 35.5066
112.426749 81.613 33.6746
112.792960 81.743 31.7903
113.159171 81.858 29.8817
113.525382 81.963 27.9502
113.891592 82.054 25.9891
114.257803 82.134 24.0185
114.624014 82.203 22.0219
114.990225 82.257 20.0036
115.356436 82.297 17.9913
115.722647 82.327 15.9729
116.088858 82.343 13.9551
116.455069 82.347 11.9457
116.821280 82.339 9.9310
117.187491 82.317 7.9336
117.553702 82.283 5.9635
117.919912 82.238 4.0105
118.286123 82.181 2.0858
118.652334 82.113 0.1832
119.018545 82.032 -1.6909
119.384756 81.940 -3.5141
119.750967 81.840 -5.2992
120.117178 81.729 -7.0439
120.483389 81.609 -8.7414
120.849600 81.479 -10.4011
121.215811 81.338 -11.9969
121.582022 81.191 -13.5243
121.948232 81.038 -15.0057
122.314443 80.877 -16.4281
122.680654 80.710 -17.7906
123.046865 80.537 -19.0917
123.413076 80.358 -20.3151
123.779287 80.177 -21.4761
124.145498 79.992 -22.5764
124.511709 79.805 -23.6135
124.877920 79.615 -24.5966
125.244131 79.422 -25.5023
125.610342 79.231 -26.3426
125.976552 79.040 -27.1430
126.342763 78.848 -27.8839
126.708974 78.657 -28.5779
127.075185 78.466 -29.2294
127.441396 78.275 -29.8197
127.807607 78.087 -30.3763
128.173818 77.900 -30.9014
128.540029 77.713 -31.3899
128.906240 77.526 -31.8594
129.272451 77.337 -32.2823
129.638662 77.150 -32.6650
130.004872 76.963 -33.0326
130.371083 76.773 -33.3656
130.737294 76.583 -33.6740
131.103505 76.387 -33.9441
131.469716 76.190 -34.1514
131.835927 75.994 -34.3294
132.202138 75.793 -34.4645
132.568349 75.589 -34.5406
132.934560 75.382 -34.5665
133.300771 75.171 -34.4998
133.666981 74.963 -34.3531
134.033192 74.753 -34.1450
134.399403 74.544 -33.8394
134.765614 74.336 -33.4503
135.131825 74.129 -32.9536
135.498036 73.929 -32.3264
135.864247 73.740 -31.6164
136.230458 73.559 -30.8047
136.596669 73.391 -29.8923
136.962880 73.234 -28.8993
137.329091 73.094 -27.7892
137.695301 72.978 -26.6120
138.061512 72.882 -25.4010
138.427723 72.807 -24.1460
138.793934 72.756 -22.8981
139.160145 72.723 -21.6405
139.526356 72.717 -20.3883
139.892567 72.734 -19.2110
140.258778 72.770 -18.0952
140.624989 72.825 -17.0735
140.991200 72.891 -16.1548
141.357411 72.970 -15.3036
141.723621 73.065 -14.5732
142.089832 73.165 -13.9634
142.456043 73.272 -13.4616
142.822254 73.382 -13.0924
143.188465 73.489 -12.8045
143.554676 73.601 -12.6039
143.920887 73.711 -12.5179
144.287098 73.817 -12.5113
144.653309 73.921 -12.6022
145.019520 74.016 -12.7667
145.385731 74.106 -12.9661
145.751941 74.195 -13.2423
146.118152 74.275 -13.5782
146.484363 74.349 -13.9587
146.850574 74.415 -14.3980
147.216785 74.472 -14.8493
147.582996 74.525 -15.3206
147.949207 74.572 -15.8315
148.315418 74.613 -16.3573
148.681629 74.648 -16.9169
149.047840 74.673 -17.4851
149.414051 74.694 -18.0385
149.780261 74.712 -18.6166
150.146472 74.723 -19.2011
150.512683 74.730 -19.7904
150.878894 74.731 -20.3956
151.245105 74.725 -20.9747
151.611316 74.720 -21.5524
151.977527 74.709 -22.1461
152.343738 74.696 -22.7304
152.709949 74.679 -23.3288
