* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 11:34:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of SUM Cal file effects included No LF tail No HF tail
* Measurement: SUM-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 27.657 2.5024
2.563477 25.319 78.6428
2.929687 31.168 43.2826
3.295898 22.503 20.6638
3.662109 29.582 86.6342
4.028320 30.357 43.5176
4.394531 20.977 96.2402
4.760742 31.710 87.7315
5.126953 27.582 48.5413
5.493164 27.850 127.0334
5.859375 32.298 87.6659
6.225586 21.724 80.5957
6.591797 31.838 132.4985
6.958007 31.278 89.2916
7.324218 25.084 159.0849
7.690429 33.873 133.6128
8.056640 27.769 99.6723
8.422851 31.678 176.9178
8.789062 34.350 134.6858
9.155273 22.995 164.4791
9.521484 35.446 -179.3354
9.887695 32.987 138.7263
10.253906 31.007 -141.3762
10.620117 37.126 -178.6488
10.986327 26.499 159.2386
11.352538 36.844 -127.1165
11.718749 36.651 -174.1795
12.084960 31.231 -80.3125
12.451171 40.490 -119.5164
12.817382 30.127 -154.0169
13.183593 41.587 -60.2614
13.549804 41.637 -108.6742
13.916015 40.574 0.0786
14.282226 48.744 -44.7667
14.648436 39.502 57.3817
15.014647 61.234 27.6090
15.380858 67.966 -17.3018
15.747069 70.685 -56.5194
16.113280 71.213 -85.2845
16.479491 71.241 -102.2881
16.845702 71.668 -115.0676
17.211913 71.946 -126.5523
17.578124 72.286 -134.9153
17.944335 72.827 -143.5053
18.310546 73.097 -151.7621
18.676756 73.430 -157.3244
19.042967 74.083 -163.1713
19.409178 74.707 -170.2059
19.775389 75.295 -177.6948
20.141600 75.736 173.6495
20.507811 75.840 165.2847
20.874022 75.816 158.5963
21.240233 75.792 152.7845
21.606444 75.741 148.0583
21.972655 75.837 144.2872
22.338866 76.056 140.1127
22.705076 76.288 135.6995
23.071287 76.574 130.8126
23.437498 76.781 125.0110
23.803709 76.837 119.2301
24.169920 76.828 113.6785
24.536131 76.715 108.2554
24.902342 76.524 103.5512
25.268553 76.334 99.3059
25.634764 76.092 95.4482
26.000975 75.863 92.4676
26.367186 75.726 89.7446
26.733396 75.616 87.0208
27.099607 75.566 84.3515
27.465818 75.542 81.1472
27.832029 75.453 77.7361
28.198240 75.351 74.3380
28.564451 75.197 70.5964
28.930662 74.938 67.0147
29.296873 74.635 63.7479
29.663084 74.250 60.7036
30.029295 73.804 58.4865
30.395506 73.390 56.8639
30.761716 72.957 55.6365
31.127927 72.548 55.2713
31.494138 72.225 55.3158
31.860349 71.947 55.8093
32.226560 71.813 56.7664
32.592771 71.806 57.2780
32.958982 71.844 57.5150
33.325193 71.967 57.3569
33.691404 72.094 56.5001
34.057615 72.214 55.4522
34.423826 72.367 53.8627
34.790036 72.460 51.6407
35.156247 72.498 49.2633
35.522458 72.488 46.5135
35.888669 72.374 43.6893
36.254880 72.218 41.0784
36.621091 72.012 38.2896
36.987302 71.702 35.7186
37.353513 71.358 33.5738
37.719724 70.962 31.6045
38.085935 70.519 30.2639
38.452145 70.113 29.2953
38.818356 69.676 28.3862
39.184567 69.222 28.0380
39.550778 68.800 27.8603
39.916989 68.334 27.9048
40.283200 67.889 28.5278
40.649411 67.456 29.1417
41.015622 66.957 30.2915
41.381833 66.501 32.2617
41.748044 66.067 34.6951
42.114255 65.702 38.2586
42.480465 65.543 42.2156
42.846676 65.496 46.1126
43.212887 65.629 50.1391
43.579098 65.921 53.2579
43.945309 66.259 55.7668
44.311520 66.706 57.5123
44.677731 67.141 58.0086
45.043942 67.516 57.9937
45.410153 67.870 57.3290
45.776364 68.117 56.1491
46.142575 68.306 55.0078
46.508785 68.455 53.4945
46.874996 68.490 51.9042
47.241207 68.476 50.6044
47.607418 68.406 49.3047
47.973629 68.265 48.4828
48.339840 68.146 48.0706
48.706051 68.004 47.7078
49.072262 67.846 47.8963
49.438473 67.744 48.3054
49.804684 67.639 48.8468
50.170895 67.596 49.7900
50.537105 67.624 50.4247
50.903316 67.640 50.9736
51.269527 67.712 51.5415
51.635738 67.793 51.6460
52.001949 67.856 51.7743
52.368160 67.965 51.6322
52.734371 68.023 51.0023
53.100582 68.041 50.4970
53.466793 68.059 49.7413
53.833004 67.997 48.9026
54.199215 67.926 48.3399
54.565425 67.835 47.4693
54.931636 67.647 46.7945
55.297847 67.462 46.4954
55.664058 67.233 46.1056
56.030269 66.947 46.3129
56.396480 66.705 46.7363
56.762691 66.384 47.1555
57.128902 66.039 48.5282
57.495113 65.760 50.0751
57.861324 65.409 52.0206
58.227535 65.134 55.0037
58.593745 64.920 57.8567
58.959956 64.655 61.6996
59.326167 64.606 66.5407
59.692378 64.665 71.0170
60.058589 64.821 76.3501
60.424800 65.266 81.4073
60.791011 65.792 85.5671
61.157222 66.473 89.5687
61.523433 67.311 92.0614
61.889644 68.109 93.4007
62.255854 68.934 94.0677
62.622065 69.737 93.5477
62.988276 70.451 92.4148
63.354487 71.133 90.7342
63.720698 71.726 88.3677
64.086909 72.223 85.8307
64.453120 72.671 83.0436
64.819331 73.032 79.9777
65.185542 73.321 76.9263
65.551753 73.557 73.7358
65.917964 73.709 70.5201
66.284174 73.809 67.4711
66.650385 73.864 64.3860
67.016596 73.849 61.3953
67.382807 73.794 58.5844
67.749018 73.688 55.8213
68.115229 73.523 53.3142
68.481440 73.332 51.0290
68.847651 73.094 48.8470
69.213862 72.806 46.9936
69.580073 72.490 45.3918
69.946284 72.121 44.0663
70.312494 71.720 43.2335
70.678705 71.300 42.7246
71.044916 70.830 42.6951
71.411127 70.349 43.3467
71.777338 69.860 44.5724
72.143549 69.369 46.6947
72.509760 68.949 49.6903
72.875971 68.600 53.3999
73.242182 68.378 57.9938
73.608393 68.341 62.9765
73.974604 68.474 68.0919
74.340814 68.816 73.0126
74.707025 69.316 77.1080
75.073236 69.913 80.4200
75.439447 70.590 82.7729
75.805658 71.274 84.1775
76.171869 71.954 84.9229
76.538080 72.624 84.9230
76.904291 73.245 84.3429
77.270502 73.829 83.3550
77.636713 74.367 81.9254
78.002924 74.847 80.2522
78.369134 75.292 78.3780
78.735345 75.689 76.2601
79.101556 76.037 74.0456
79.467767 76.350 71.7217
79.833978 76.616 69.3062
80.200189 76.846 66.9101
80.566400 77.047 64.4650
80.932611 77.210 61.9986
81.298822 77.344 59.5775
81.665033 77.451 57.1464
82.031244 77.525 54.7758
82.397454 77.582 52.4740
82.763665 77.617 50.1684
83.129876 77.625 47.9366
83.496087 77.617 45.7679
83.862298 77.587 43.6378
84.228509 77.540 41.6165
84.594720 77.483 39.6367
84.960931 77.404 37.6969
85.327142 77.309 35.8654
85.693353 77.203 34.0831
86.059563 77.078 32.3897
86.425774 76.945 30.7978
86.791985 76.800 29.2350
87.158196 76.634 27.7862
87.524407 76.463 26.4465
87.890618 76.276 25.1728
88.256829 76.078 24.0487
88.623040 75.877 23.0116
88.989251 75.658 22.0615
89.355462 75.431 21.2923
89.721673 75.201 20.6308
90.087883 74.959 20.1222
90.454094 74.720 19.7980
90.820305 74.481 19.5635
91.186516 74.233 19.5194
91.552727 73.996 19.6632
91.918938 73.763 19.9329
92.285149 73.538 20.4143
92.651360 73.335 21.0083
93.017571 73.136 21.7086
93.383782 72.956 22.5955
93.749993 72.799 23.5504
94.116203 72.656 24.6230
94.482414 72.544 25.7893
94.848625 72.451 26.9302
95.214836 72.371 28.1608
95.581047 72.322 29.4115
95.947258 72.285 30.6387
96.313469 72.271 31.9264
96.679680 72.281 33.1340
97.045891 72.297 34.3123
97.412102 72.332 35.5193
97.778313 72.384 36.6419
98.144523 72.442 37.7774
98.510734 72.525 38.8789
98.876945 72.614 39.8766
99.243156 72.712 40.8885
99.609367 72.827 41.8358
99.975578 72.944 42.7329
100.341789 73.078 43.6346
100.708000 73.226 44.4220
101.074211 73.374 45.1659
101.440422 73.536 45.8793
101.806633 73.705 46.4963
102.172843 73.879 47.1018
102.539054 74.068 47.6282
102.905265 74.258 48.0559
103.271476 74.454 48.4628
103.637687 74.659 48.7762
104.003898 74.864 49.0351
104.370109 75.081 49.2532
104.736320 75.303 49.3480
105.102531 75.524 49.3912
105.468742 75.754 49.3662
105.834953 75.985 49.2372
106.201163 76.219 49.0676
106.567374 76.462 48.7870
106.933585 76.701 48.3915
107.299796 76.941 47.9345
107.666007 77.183 47.3588
108.032218 77.419 46.6976
108.398429 77.658 45.9537
108.764640 77.892 45.0728
109.130851 78.117 44.1156
109.497062 78.339 43.0714
109.863272 78.551 41.9186
110.229483 78.754 40.7086
110.595694 78.952 39.4017
110.961905 79.135 38.0054
111.328116 79.307 36.5684
111.694327 79.470 35.0538
112.060538 79.616 33.4883
112.426749 79.753 31.8885
112.792960 79.877 30.2208
113.159171 79.984 28.5307
113.525382 80.081 26.8198
113.891592 80.163 25.0713
114.257803 80.230 23.3286
114.624014 80.287 21.5665
114.990225 80.328 19.7844
115.356436 80.355 18.0274
115.722647 80.371 16.2686
116.088858 80.372 14.5225
116.455069 80.363 12.8090
116.821280 80.343 11.0952
117.187491 80.307 9.4158
117.553702 80.263 7.7824
117.919912 80.208 6.1716
118.286123 80.142 4.6139
118.652334 80.069 3.0929
119.018545 79.985 1.6052
119.384756 79.892 0.1897
119.750967 79.794 -1.1820
120.117178 79.688 -2.5041
120.483389 79.577 -3.7596
120.849600 79.460 -4.9816
121.215811 79.335 -6.1342
121.582022 79.210 -7.2115
121.948232 79.081 -8.2526
122.314443 78.949 -9.2273
122.680654 78.816 -10.1488
123.046865 78.680 -11.0287
123.413076 78.542 -11.8332
123.779287 78.407 -12.5952
124.145498 78.270 -13.3135
124.511709 78.135 -13.9765
124.877920 78.001 -14.6192
125.244131 77.865 -15.2056
125.610342 77.733 -15.7434
125.976552 77.602 -16.2725
126.342763 77.471 -16.7522
126.708974 77.344 -17.2079
127.075185 77.215 -17.6522
127.441396 77.086 -18.0417
127.807607 76.961 -18.4169
128.173818 76.834 -18.7701
128.540029 76.710 -19.0841
128.906240 76.586 -19.3994
129.272451 76.457 -19.6695
129.638662 76.332 -19.8937
130.004872 76.207 -20.1085
130.371083 76.082 -20.2725
130.737294 75.959 -20.4130
131.103505 75.833 -20.5250
131.469716 75.708 -20.5624
131.835927 75.589 -20.5765
132.202138 75.468 -20.5482
132.568349 75.353 -20.4607
132.934560 75.240 -20.3553
133.300771 75.128 -20.1783
133.666981 75.026 -19.9468
134.033192 74.929 -19.6981
134.399403 74.838 -19.3871
134.765614 74.757 -19.0577
135.131825 74.680 -18.7025
135.498036 74.615 -18.2866
135.864247 74.562 -17.8775
136.230458 74.515 -17.4531
136.596669 74.483 -17.0164
136.962880 74.459 -16.6138
137.329091 74.443 -16.1926
137.695301 74.442 -15.7910
138.061512 74.448 -15.4406
138.427723 74.463 -15.1036
138.793934 74.489 -14.8337
139.160145 74.517 -14.6100
139.526356 74.554 -14.4089
139.892567 74.599 -14.2917
140.258778 74.644 -14.2235
140.624989 74.695 -14.2137
140.991200 74.746 -14.2890
141.357411 74.795 -14.3913
141.723621 74.849 -14.5566
142.089832 74.898 -14.7939
142.456043 74.947 -15.0644
142.822254 74.994 -15.4093
143.188465 75.033 -15.7922
143.554676 75.071 -16.1929
143.920887 75.105 -16.6568
144.287098 75.132 -17.1419
144.653309 75.157 -17.6572
145.019520 75.174 -18.2152
145.385731 75.184 -18.7599
145.751941 75.193 -19.3303
146.118152 75.194 -19.9285
146.484363 75.190 -20.5141
146.850574 75.182 -21.1259
147.216785 75.164 -21.7298
147.582996 75.144 -22.3068
147.949207 75.121 -22.9005
148.315418 75.092 -23.4767
148.681629 75.063 -24.0460
149.047840 75.026 -24.6198
149.414051 74.986 -25.1510
149.780261 74.948 -25.6787
150.146472 74.905 -26.2049
150.512683 74.861 -26.7008
150.878894 74.816 -27.2049
151.245105 74.766 -27.6838
151.611316 74.720 -28.1329
151.977527 74.673 -28.5980
152.343738 74.624 -29.0423
152.709949 74.578 -29.4830
153.076160 74.529 -29.9331
