* Measurement data measured by REW V5.40 beta 121
* Source: Vector average
* Format: Vector average
* Dated: Aug 12, 2026, 11:34:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of LX, RX
* Measurement: SUM
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 26.338 25.6820
2.563477 27.514 78.9832
2.929687 27.077 161.4371
3.295898 27.092 -150.5849
3.662109 28.119 -65.5493
4.028320 26.332 -17.3755
4.394531 29.141 64.1360
4.760742 25.590 121.4691
5.126953 29.879 -168.7672
5.493164 25.791 -94.2495
5.859375 30.164 -43.0163
6.225586 27.420 47.9660
6.591797 29.870 82.9615
6.958007 29.641 -177.4167
7.324218 28.886 -148.3708
7.690429 31.653 -49.0627
8.056640 27.295 -11.9951
8.422851 33.181 75.6486
8.789062 26.463 138.9550
9.155273 34.146 -161.3816
9.521484 28.842 -67.5792
9.887695 34.489 -38.6714
10.253906 32.413 67.2272
10.620117 33.441 80.9281
10.986327 35.056 -167.0825
11.352538 31.355 -149.7526
11.718749 37.259 -44.1158
12.084960 28.892 0.3555
12.451171 39.141 77.8237
12.817382 31.630 172.1018
13.183593 40.854 -159.9639
13.549804 38.646 -42.1021
13.916015 42.555 -35.4626
14.282226 46.494 88.9214
14.648436 43.725 101.9592
15.014647 60.760 -141.5276
15.380858 68.523 -155.7068
15.747069 70.637 -164.5559
16.113280 70.965 -163.6594
16.479491 71.463 -163.9153
16.845702 71.628 -169.5596
17.211913 71.836 -174.7673
17.578124 72.415 179.8152
17.944335 72.778 174.0894
18.310546 73.051 169.3035
18.676756 73.511 163.2385
19.042967 74.034 156.5613
19.409178 74.695 151.2117
19.775389 75.344 146.4268
20.141600 75.695 142.5088
20.507811 75.841 139.7615
20.874022 75.850 137.2729
21.240233 75.752 135.3765
21.606444 75.755 133.6746
21.972655 75.855 130.9573
22.338866 76.023 127.5247
22.705076 76.310 123.2939
23.071287 76.577 118.3313
23.437498 76.756 113.4265
23.803709 76.861 108.3608
24.169920 76.823 103.1172
24.536131 76.699 98.3025
24.902342 76.548 93.8020
25.268553 76.321 89.7776
25.634764 76.084 86.4568
26.000975 75.885 83.2402
26.367186 75.707 80.2063
26.733396 75.619 77.4802
27.099607 75.582 74.6001
27.465818 75.520 71.7607
27.832029 75.464 68.8079
28.198240 75.358 65.4668
28.564451 75.177 62.2966
28.930662 74.956 59.3120
29.296873 74.633 56.4534
29.663084 74.234 54.0894
30.029295 73.827 51.9016
30.395506 73.377 50.0198
30.761716 72.951 48.9109
31.127927 72.570 48.1938
31.494138 72.203 48.0229
31.860349 71.955 48.3174
32.226560 71.825 48.4426
32.592771 71.783 48.6924
32.958982 71.863 48.7131
33.325193 71.964 48.1035
33.691404 72.079 47.1641
34.057615 72.236 45.5193
34.423826 72.354 43.3574
34.790036 72.456 41.1201
35.156247 72.516 38.4868
35.522458 72.469 35.7495
35.888669 72.379 33.1013
36.254880 72.229 30.3582
36.621091 71.992 28.0557
36.987302 71.716 26.2344
37.353513 71.360 24.6375
37.719724 70.943 23.6313
38.085935 70.541 22.9270
38.452145 70.103 22.4475
38.818356 69.666 22.5176
39.184567 69.246 22.5242
39.550778 68.777 22.5261
39.916989 68.339 22.6953
40.283200 67.906 22.6475
40.649411 67.427 23.0776
41.015622 66.980 24.0071
41.381833 66.500 25.1545
41.748044 66.044 27.2119
42.114255 65.736 29.6821
42.480465 65.518 32.5916
42.846676 65.497 36.1262
43.212887 65.651 39.0972
43.579098 65.889 41.6277
43.945309 66.281 43.3862
44.311520 66.706 43.9946
44.677731 67.122 44.2114
45.043942 67.541 43.7271
45.410153 67.856 42.5996
45.776364 68.112 41.2957
46.142575 68.326 39.4834
46.508785 68.434 37.5798
46.874996 68.497 35.8489
47.241207 68.487 33.8860
47.607418 68.386 32.0493
47.973629 68.281 30.2932
48.339840 68.146 28.4116
48.706051 67.988 26.9050
49.072262 67.867 25.4646
49.438473 67.731 23.9294
49.804684 67.634 22.6521
50.170895 67.614 21.2395
50.537105 67.604 19.9097
50.903316 67.648 18.8608
51.269527 67.720 17.5688
51.635738 67.774 16.3098
52.001949 67.874 15.0361
52.368160 67.961 13.4578
52.734371 68.012 11.9622
53.100582 68.061 10.2090
53.466793 68.045 7.9868
53.833004 67.996 5.6135
54.199215 67.941 2.7520
54.565425 67.816 -0.4873
54.931636 67.658 -3.9116
55.297847 67.469 -8.0063
55.664058 67.215 -12.5693
56.030269 66.966 -17.4778
56.396480 66.698 -23.0850
56.762691 66.373 -29.0906
57.128902 66.061 -35.6584
57.495113 65.741 -43.2024
57.861324 65.413 -51.2825
58.227535 65.148 -60.0325
58.593745 64.895 -69.8108
58.959956 64.676 -80.2842
59.326167 64.601 -91.6616
59.692378 64.651 -103.9563
60.058589 64.845 -116.4045
60.424800 65.245 -128.9580
60.791011 65.798 -141.5022
61.157222 66.482 -153.2358
61.523433 67.294 -164.0630
61.889644 68.123 -174.0933
62.255854 68.930 176.8872
62.622065 69.729 168.5940
62.988276 70.464 160.8623
63.354487 71.125 153.8547
63.720698 71.725 147.2905
64.086909 72.231 141.0215
64.453120 72.662 135.1597
64.819331 73.035 129.5239
65.185542 73.325 124.1299
65.551753 73.549 119.0735
65.917964 73.715 114.1553
66.284174 73.809 109.4338
66.650385 73.858 105.0024
67.016596 73.856 100.7310
67.382807 73.791 96.7339
67.749018 73.684 93.0112
68.115229 73.531 89.4272
68.481440 73.326 86.1597
68.847651 73.094 83.1965
69.213862 72.812 80.4670
69.580073 72.481 78.1462
69.946284 72.126 76.1279
70.312494 71.723 74.4463
70.678705 71.291 73.3452
71.044916 70.840 72.7148
71.411127 70.346 72.7112
71.777338 69.854 73.4985
72.143549 69.381 74.9409
72.509760 68.938 77.3564
72.875971 68.604 80.7002
73.242182 68.384 84.7146
73.608393 68.329 89.3931
73.974604 68.486 94.0654
74.340814 68.811 98.4231
74.707025 69.312 102.2571
75.073236 69.924 105.1289
75.439447 70.581 107.1970
75.805658 71.277 108.3831
76.171869 71.957 108.6953
76.538080 72.616 108.4436
76.904291 73.251 107.6038
77.270502 73.828 106.3147
77.636713 74.363 104.7339
78.002924 74.853 102.7839
78.369134 75.288 100.6235
78.735345 75.688 98.3330
79.101556 76.042 95.8657
79.467767 76.346 93.3538
79.833978 76.618 90.7749
80.200189 76.848 88.1057
80.566400 77.043 85.4771
80.932611 77.213 82.8433
81.298822 77.344 80.2122
81.665033 77.447 77.6567
82.031244 77.529 75.0962
82.397454 77.580 72.5857
82.763665 77.615 70.1790
83.129876 77.629 67.7959
83.496087 77.614 65.4989
83.862298 77.588 63.2789
84.228509 77.543 61.0797
84.594720 77.479 58.9973
84.960931 77.406 56.9899
85.327142 77.311 55.0211
85.693353 77.199 53.1632
86.059563 77.082 51.3413
86.425774 76.945 49.5852
86.791985 76.797 47.9598
87.158196 76.638 46.3728
87.524407 76.460 44.8794
87.890618 76.276 43.4967
88.256829 76.082 42.1615
88.623040 75.872 40.9861
88.989251 75.660 39.9398
89.355462 75.432 38.9775
89.721673 75.196 38.2025
90.087883 74.963 37.5424
90.454094 74.719 37.0321
90.820305 74.477 36.7578
91.186516 74.239 36.5997
91.552727 73.992 36.6255
91.918938 73.763 36.8489
92.285149 73.543 37.1754
92.651360 73.329 37.7318
93.017571 73.140 38.4375
93.383782 72.957 39.2222
93.749993 72.794 40.1846
94.116203 72.662 41.1854
94.482414 72.541 42.2689
94.848625 72.448 43.4833
95.214836 72.377 44.6609
95.581047 72.316 45.8964
95.947258 72.288 47.1433
96.313469 72.273 48.3220
96.679680 72.275 49.5780
97.045891 72.302 50.7848
97.412102 72.331 51.9362
97.778313 72.380 53.1134
98.144523 72.448 54.1788
98.510734 72.520 55.2429
98.876945 72.615 56.3129
99.243156 72.716 57.2721
99.609367 72.821 58.2394
99.975578 72.948 59.1309
100.341789 73.078 59.9313
100.708000 73.221 60.7572
101.074211 73.379 61.4806
101.440422 73.533 62.1436
101.806633 73.704 62.7771
102.172843 73.883 63.2754
102.539054 74.063 63.7542
102.905265 74.260 64.1823
103.271476 74.456 64.4956
103.637687 74.655 64.7878
104.003898 74.868 64.9722
104.370109 75.080 65.0685
104.736320 75.301 65.1493
105.102531 75.528 65.1138
105.468742 75.752 65.0131
105.834953 75.985 64.8474
106.201163 76.221 64.5481
106.567374 76.458 64.2037
106.933585 76.702 63.7733
107.299796 76.942 63.2209
107.666007 77.180 62.6086
108.032218 77.422 61.8685
108.398429 77.657 61.0262
108.764640 77.891 60.1270
109.130851 78.119 59.1023
109.497062 78.337 57.9961
109.863272 78.551 56.8110
110.229483 78.756 55.5085
110.595694 78.950 54.1595
110.961905 79.137 52.7402
111.328116 79.308 51.2322
111.694327 79.468 49.6895
112.060538 79.618 48.0730
112.426749 79.753 46.4065
112.792960 79.876 44.7314
113.159171 79.987 42.9990
113.525382 80.079 41.2448
113.891592 80.163 39.4812
114.257803 80.231 37.6781
114.624014 80.285 35.8922
114.990225 80.329 34.1091
115.356436 80.356 32.3066
115.722647 80.369 30.5347
116.088858 80.374 28.7646
116.455069 80.363 27.0084
116.821280 80.342 25.3053
117.187491 80.309 23.6088
117.553702 80.262 21.9442
117.919912 80.207 20.3315
118.286123 80.144 18.7363
118.652334 80.067 17.2061
119.018545 79.986 15.7291
119.384756 79.893 14.2748
119.750967 79.792 12.8932
120.117178 79.689 11.5566
120.483389 79.577 10.2665
120.849600 79.459 9.0623
121.215811 79.337 7.8898
121.582022 79.209 6.7699
121.948232 79.081 5.7258
122.314443 78.951 4.7122
122.680654 78.814 3.7738
123.046865 78.680 2.8949
123.413076 78.544 2.0345
123.779287 78.405 1.2473
124.145498 78.272 0.4985
124.511709 78.135 -0.2175
124.877920 77.999 -0.8599
125.244131 77.867 -1.4940
125.610342 77.732 -2.0968
125.976552 77.602 -2.6436
126.342763 77.473 -3.1884
126.708974 77.342 -3.6804
127.075185 77.216 -4.1410
127.441396 77.088 -4.6118
127.807607 76.959 -5.0273
128.173818 76.837 -5.4276
128.540029 76.710 -5.8120
128.906240 76.584 -6.1338
129.272451 76.460 -6.4635
129.638662 76.330 -6.7627
130.004872 76.207 -7.0046
130.371083 76.084 -7.2437
130.737294 75.956 -7.4149
131.103505 75.834 -7.5463
131.469716 75.709 -7.6737
131.835927 75.586 -7.7200
132.202138 75.471 -7.7358
132.568349 75.352 -7.7107
132.934560 75.238 -7.5997
133.300771 75.131 -7.4862
133.666981 75.024 -7.3182
134.033192 74.929 -7.0829
134.399403 74.840 -6.8414
134.765614 74.754 -6.5236
135.131825 74.682 -6.1826
135.498036 74.615 -5.8518
135.864247 74.559 -5.4594
136.230458 74.518 -5.0802
136.596669 74.481 -4.6946
136.962880 74.458 -4.2787
137.329091 74.446 -3.9271
137.695301 74.439 -3.5790
138.061512 74.449 -3.2463
138.427723 74.465 -2.9834
138.793934 74.486 -2.7197
139.160145 74.520 -2.5258
139.526356 74.554 -2.4130
139.892567 74.596 -2.3177
140.258778 74.647 -2.3134
140.624989 74.693 -2.3579
140.991200 74.745 -2.4388
141.357411 74.797 -2.6296
141.723621 74.846 -2.8558
142.089832 74.900 -3.1342
142.456043 74.948 -3.4928
142.822254 74.991 -3.8602
143.188465 75.035 -4.3002
143.554676 75.070 -4.8019
143.920887 75.103 -5.3064
144.287098 75.135 -5.8750
144.653309 75.155 -6.4573
145.019520 75.174 -7.0449
145.385731 75.186 -7.6982
145.751941 75.191 -8.3412
146.118152 75.195 -8.9927
146.484363 75.191 -9.6747
146.850574 75.179 -10.3212
147.216785 75.167 -10.9951
147.582996 75.143 -11.6821
147.949207 75.120 -12.3289
148.315418 75.095 -12.9974
148.681629 75.060 -13.6405
149.047840 75.026 -14.2563
149.414051 74.988 -14.9047
149.780261 74.945 -15.5117
150.146472 74.906 -16.1038
150.512683 74.861 -16.7048
150.878894 74.813 -17.2548
151.245105 74.769 -17.8232
151.611316 74.719 -18.3939
151.977527 74.672 -18.9198
152.343738 74.627 -19.4701
152.709949 74.576 -19.9974
153.076160 74.529 -20.5094
