* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 11:32:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LRrms+phavg
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 25.065
2.518116 25.268
2.536363 25.512
2.554743 25.762
2.573256 26.013
2.591902 26.264
2.610684 26.515
2.629603 26.766
2.648658 27.017
2.667851 27.267
2.687183 27.518
2.706656 27.769
2.726269 28.020
2.746025 28.271
2.765924 28.522
2.785967 28.773
2.806155 29.023
2.826490 29.274
2.846972 29.525
2.867602 29.776
2.888382 30.027
2.909312 30.278
2.930394 30.529
2.951629 30.779
2.973018 31.030
2.994561 31.281
3.016261 31.532
3.038118 31.783
3.060134 32.034
3.082309 32.284
3.104645 32.535
3.127142 32.786
3.149803 33.037
3.172627 33.288
3.195618 33.539
3.218774 33.789
3.242099 34.040
3.265592 34.291
3.289256 34.542
3.313092 34.793
3.337100 35.044
3.361282 35.294
3.385639 35.545
3.410173 35.796
3.434884 36.047
3.459775 36.298
3.484846 36.548
3.510098 36.799
3.535534 37.050
3.561154 37.301
3.586959 37.552
3.612952 37.802
3.639133 38.053
3.665504 38.304
3.692065 38.555
3.718820 38.805
3.745768 39.056
3.772911 39.307
3.800251 39.558
3.827789 39.808
3.855527 40.059
3.883466 40.310
3.911607 40.561
3.939952 40.811
3.968503 41.062
3.997260 41.313
4.026226 41.564
4.055402 41.814
4.084789 42.065
4.114389 42.316
4.144203 42.566
4.174234 42.817
4.204482 43.067
4.234949 43.318
4.265638 43.569
4.296548 43.819
4.327683 44.070
4.359043 44.320
4.390630 44.571
4.422447 44.821
4.454494 45.072
4.486773 45.322
4.519286 45.573
4.552034 45.823
4.585020 46.073
4.618245 46.324
4.651711 46.574
4.685419 46.824
4.719372 47.075
4.753570 47.325
4.788016 47.575
4.822712 47.825
4.857660 48.075
4.892860 48.325
4.928316 48.575
4.964029 48.825
5.000000 49.075
5.036232 49.325
5.072727 49.575
5.109486 49.825
5.146511 50.074
5.183805 50.324
5.221369 50.573
5.259205 50.823
5.297315 51.072
5.335702 51.321
5.374367 51.571
5.413312 51.820
5.452539 52.069
5.492050 52.318
5.531848 52.566
5.571934 52.815
5.612310 53.063
5.652979 53.312
5.693943 53.560
5.735204 53.808
5.776763 54.056
5.818624 54.303
5.860788 54.551
5.903258 54.798
5.946036 55.045
5.989123 55.292
6.032523 55.539
6.076237 55.785
6.120268 56.031
6.164618 56.277
6.209289 56.523
6.254284 56.768
6.299605 57.013
6.345255 57.258
6.391235 57.502
6.437549 57.746
6.484198 57.989
6.531185 58.232
6.578513 58.475
6.626183 58.717
6.674199 58.958
6.722563 59.199
6.771278 59.440
6.820345 59.680
6.869768 59.919
6.919549 60.158
6.969691 60.396
7.020197 60.633
7.071068 60.869
7.122308 61.105
7.173919 61.340
7.225904 61.574
7.278266 61.807
7.331007 62.039
7.384131 62.270
7.437639 62.500
7.491535 62.728
7.545822 62.956
7.600502 63.182
7.655579 63.407
7.711054 63.631
7.766932 63.853
7.823214 64.074
7.879904 64.293
7.937005 64.511
7.994520 64.726
8.052452 64.940
8.110803 65.152
8.169577 65.363
8.228777 65.571
8.288407 65.777
8.348468 65.981
8.408964 66.183
8.469899 66.382
8.531275 66.579
8.593096 66.774
8.655366 66.966
8.718086 67.155
8.781261 67.342
8.844893 67.526
8.908987 67.707
8.973545 67.885
9.038571 68.060
9.104069 68.232
9.170040 68.400
9.236490 68.566
9.303422 68.728
9.370838 68.887
9.438743 69.043
9.507140 69.195
9.576033 69.343
9.645425 69.488
9.715319 69.630
9.785721 69.768
9.856632 69.902
9.928057 70.033
10.000000 70.160
10.072464 70.284
10.145453 70.403
10.218971 70.519
10.293022 70.632
10.367610 70.741
10.442738 70.846
10.518410 70.948
10.594631 71.046
