* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -25.4 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:24:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels both close to each other Foam panels moved back into the room Delay -0.0043 ms (-1.5 mm, -0.06 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.Rscreen.2L
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.350	-150.4824
15.380859	69.102	-160.2745
15.747070	70.758	-161.1699
16.113281	71.872	-165.8538
16.479492	71.376	-166.6418
16.845703	72.084	-171.7044
17.211914	72.558	171.3545
17.578125	72.107	170.9127
17.944336	73.943	177.9709
18.310547	74.078	168.3509
18.676758	72.392	164.3493
19.042968	74.488	156.4385
19.409179	76.076	139.4347
19.775390	75.561	153.3318
20.141601	79.524	167.8320
20.507812	80.472	150.9520
20.874023	76.632	131.0847
21.240234	72.687	135.4275
21.606445	75.056	132.6282
21.972656	76.324	123.2115
22.338867	76.778	124.1935
22.705077	77.080	120.8144
23.071288	76.956	115.8426
23.437499	78.120	109.1371
23.803710	78.861	96.9644
24.169921	78.174	90.3495
24.536132	77.917	85.7553
24.902343	77.480	72.2395
25.268554	76.328	66.7992
25.634765	76.821	70.5287
26.000976	75.844	64.5791
26.367187	70.670	81.2628
26.733397	72.792	108.9702
27.099608	74.256	83.1021
27.465819	73.661	58.4425
27.832030	73.897	59.7929
28.198241	75.355	59.9324
28.564452	74.866	54.9814
28.930663	73.998	51.9449
29.296874	73.603	39.6963
29.663085	71.296	27.3315
30.029296	68.257	43.7259
30.395507	69.033	53.8762
30.761717	66.795	54.5079
31.127928	70.037	81.0016
31.494139	75.692	65.0577
31.860350	76.550	45.5640
32.226561	73.577	54.1631
32.592772	74.937	80.0403
32.958983	75.719	74.7036
33.325194	74.580	68.9429
33.691405	75.347	64.1070
34.057616	76.398	54.2639
34.423827	76.586	52.3615
34.790037	77.109	52.4903
35.156248	77.055	46.1935
35.522459	76.774	39.2559
35.888670	77.147	29.7928
36.254881	77.031	19.8450
36.621092	76.467	16.3873
36.987303	76.091	12.5369
37.353514	74.766	5.9171
37.719725	73.128	6.6304
38.085936	72.802	8.3453
38.452147	72.265	6.4496
38.818357	71.573	8.1392
39.184568	71.285	8.0856
39.550779	70.753	6.0726
39.916990	70.091	5.7594
40.283201	69.465	10.9753
40.649412	70.131	17.9240
41.015623	70.526	14.1659
41.381834	69.024	13.2935
41.748045	68.429	24.3203
42.114256	69.018	27.7200
42.480467	69.244	29.6227
42.846677	69.845	27.0703
43.212888	69.126	20.7288
43.579099	68.192	26.6921
43.945310	69.091	30.6145
44.311521	69.051	32.1289
44.677732	69.876	41.3348
45.043943	71.221	38.9857
45.410154	71.086	34.5383
45.776365	71.197	33.2466
46.142576	70.862	27.7062
46.508786	69.372	35.3574
46.874997	70.740	50.8845
47.241208	71.962	51.8596
47.607419	72.396	57.3135
47.973630	74.140	59.6199
48.339841	75.559	53.8575
48.706052	76.630	48.5993
49.072263	77.677	41.3896
49.438474	77.950	32.6296
49.804685	77.811	27.7527
50.170896	78.300	24.6069
50.537106	79.129	18.5808
50.903317	79.711	11.3296
51.269528	80.006	4.5225
51.635739	80.162	-2.5180
52.001950	80.170	-11.0931
52.368161	79.894	-19.8269
52.734372	79.553	-26.2408
53.100583	79.322	-31.8643
53.466794	78.732	-37.6827
53.833005	77.769	-40.3234
54.199216	77.238	-40.2174
54.565426	77.182	-42.4875
54.931637	77.023	-47.1336
55.297848	76.665	-51.2505
55.664059	76.387	-53.6385
56.030270	76.343	-55.8306
56.396481	76.320	-58.9551
56.762692	76.207	-62.8701
57.128903	75.949	-67.6355
57.495114	75.575	-71.6036
57.861325	75.441	-74.2534
58.227536	75.524	-77.6498
58.593746	75.636	-82.3048
58.959957	75.763	-89.1503
59.326168	75.699	-97.0985
59.692379	75.610	-102.9109
60.058590	75.661	-107.9527
60.424801	75.556	-113.5400
60.791012	75.677	-120.1940
61.157223	76.141	-130.3889
61.523434	76.548	-139.8237
61.889645	77.056	-147.0777
62.255856	77.021	-157.7784
62.622066	76.235	-169.3756
62.988277	77.019	177.0184
63.354488	78.963	153.7889
63.720699	79.093	131.4371
64.086910	76.901	126.5789
64.453121	76.545	135.4053
64.819332	76.813	124.7578
65.185543	75.704	110.0018
65.551754	75.717	102.8116
65.917965	76.435	92.4585
66.284176	76.080	83.2373
66.650386	75.912	75.5559
67.016597	75.781	60.9545
67.382808	74.833	48.8982
67.749019	74.209	44.7941
68.115230	73.382	38.2094
68.481441	71.452	36.4872
68.847652	71.246	37.9250
69.213863	71.368	28.1834
69.580074	70.621	25.2786
69.946285	71.184	25.3512
70.312495	70.949	15.4603
70.678706	69.636	10.7422
71.044917	69.932	6.5414
71.411128	69.891	-6.6970
71.777339	68.650	-14.8000
72.143550	67.968	-19.6295
72.509761	67.261	-29.5826
72.875972	66.765	-38.8290
73.242183	66.653	-52.5425
73.608394	65.695	-65.3036
73.974605	66.257	-74.0806
74.340815	67.783	-98.2979
74.707026	67.298	-125.8906
75.073237	66.285	-136.6956
75.439448	68.218	-150.8306
75.805659	69.362	-179.2551
76.171870	68.543	163.1301
76.538081	68.960	162.4753
76.904292	69.999	153.2533
77.270503	69.238	147.8503
77.636714	69.558	154.1809
78.002925	70.718	154.4684
78.369135	71.607	156.4919
78.735346	73.151	156.8873
79.101557	74.439	156.0774
79.467768	76.496	157.1948
79.833979	78.916	150.7263
80.200190	80.478	140.8489
80.566401	81.730	131.6826
80.932612	82.883	120.5226
81.298823	83.564	108.7156
81.665034	83.988	98.4546
82.031245	84.256	87.9155
82.397455	84.134	77.5730
82.763666	83.918	69.3447
83.129877	83.821	61.9247
83.496088	83.587	55.3496
83.862299	83.286	50.0439
84.228510	82.844	44.5554
84.594721	82.236	40.7158
84.960932	82.005	38.2427
85.327143	81.859	34.0303
85.693354	81.448	30.9146
86.059565	81.311	28.7513
86.425775	81.275	24.3623
86.791986	81.111	20.2245
87.158197	80.956	16.6163
87.524408	80.409	13.8217
87.890619	79.835	14.3440
88.256830	79.781	12.6892
88.623041	79.535	7.7574
88.989252	79.317	5.2937
89.355463	79.458	3.0021
89.721674	79.172	0.4004
90.087885	78.717	0.8739
90.454095	78.657	-0.0623
90.820306	78.475	-3.9679
91.186517	78.180	-7.1454
91.552728	77.947	-9.6639
91.918939	77.602	-12.0479
92.285150	77.129	-14.3806
92.651361	76.514	-16.1698
93.017572	76.022	-16.4171
93.383783	75.643	-17.3346
93.749994	74.954	-17.4835
94.116205	74.532	-15.2985
94.482415	74.345	-15.8716
94.848626	73.547	-15.0411
95.214837	73.159	-7.7223
95.581048	73.551	-4.8066
95.947259	73.244	-7.8486
96.313470	72.396	-10.1217
96.679681	71.922	-10.5724
97.045892	71.800	-10.4315
97.412103	71.567	-8.5681
97.778314	71.129	-4.3969
98.144524	70.700	0.5210
98.510735	70.467	4.3634
98.876946	70.505	7.4315
99.243157	70.792	11.5035
99.609368	71.322	16.4252
99.975579	71.767	19.7671
100.341790	71.930	22.2969
100.708001	72.240	23.4489
101.074212	72.387	22.3141
101.440423	72.269	25.2092
101.806634	72.929	30.6290
102.172844	73.668	30.7775
102.539055	73.938	30.7644
102.905266	74.686	31.4419
103.271477	75.591	29.2166
103.637688	76.228	27.3896
104.003899	76.831	25.1582
104.370110	77.057	21.0865
104.736321	77.076	18.1885
105.102532	77.344	15.1022
105.468743	77.333	11.0205
105.834954	76.916	9.4725
106.201164	76.514	9.3423
106.567375	76.038	9.4844
106.933586	75.877	11.9847
107.299797	76.285	14.2664
107.666008	76.738	15.8633
108.032219	77.171	17.1768
108.398430	77.501	17.0070
108.764641	77.877	16.2885
109.130852	78.497	14.1427
109.497063	78.991	11.4043
109.863274	79.392	10.1320
110.229484	79.770	7.9109
110.595695	79.829	4.4567
110.961906	79.869	1.5664
111.328117	80.058	-2.0427
111.694328	80.074	-4.9589
112.060539	80.169	-5.7908
112.426750	80.363	-7.8950
112.792961	80.292	-10.6863
113.159172	80.313	-12.4856
113.525383	80.489	-15.2900
113.891594	80.519	-17.8839
114.257804	80.650	-19.8499
114.624015	80.711	-23.6959
114.990226	80.401	-27.3094
115.356437	80.171	-29.4440
115.722648	80.010	-33.2542
116.088859	79.466	-37.4264
116.455070	78.843	-39.5339
116.821281	78.306	-41.4064
117.187492	77.531	-41.9200
117.553703	76.882	-38.8855
117.919914	76.651	-35.4830
118.286124	76.591	-32.9281
118.652335	76.768	-31.3524
119.018546	76.937	-31.5918
119.384757	76.915	-31.5848
119.750968	76.920	-31.4784
120.117179	76.784	-32.7731
120.483390	76.428	-33.3514
120.849601	76.238	-32.2871
121.215812	76.178	-30.9492
121.582023	76.070	-28.4440
121.948233	76.132	-25.1969
122.314444	76.335	-23.1960
122.680655	76.600	-21.5250
123.046866	77.141	-19.5442
123.413077	77.858	-19.0167
123.779288	78.312	-20.1713
124.145499	78.468	-21.3405
124.511710	78.686	-22.5194
124.877921	79.045	-24.4448
125.244132	79.488	-25.8932
125.610343	80.011	-27.1887
125.976553	80.346	-29.3755
126.342764	80.562	-32.1575
126.708975	80.892	-37.9403
127.075186	80.875	-46.5194
127.441397	80.439	-51.3362
127.807608	80.477	-51.5601
128.173819	80.693	-54.5083
128.540030	80.187	-58.1537
128.906241	79.591	-58.8547
129.272452	79.339	-60.7003
129.638663	78.944	-63.0480
130.004873	78.709	-63.4332
130.371084	78.626	-64.8723
130.737295	78.278	-66.3712
131.103506	77.965	-66.7656
131.469717	77.695	-67.7523
131.835928	77.378	-68.3085
132.202139	77.127	-69.3052
132.568350	76.605	-70.6061
132.934561	76.024	-69.5190
133.300772	75.703	-68.2109
133.666983	75.334	-66.8186
134.033193	75.177	-64.5427
134.399404	75.057	-63.6058
134.765615	74.833	-60.9109
135.131826	75.068	-57.7245
135.498037	75.241	-56.4894
135.864248	75.422	-53.6841
136.230459	75.992	-53.1702
136.596670	76.215	-55.4961
136.962881	76.337	-56.5076
137.329092	76.624	-59.0327
