* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.3 dBFS, measurement signal peak level -14.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:05:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L - 3 screens on the left. 1 at the back -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels netx to each other Foam panels moved back into the room Delay -0.1226 ms (-42 mm, -1.66 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.9 ppm
* Measurement: L 120.Rscreen.2L
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.110	-150.0688
15.380859	70.705	-150.8527
15.747070	71.397	-164.7911
16.113281	70.489	-172.9443
16.479492	71.440	-173.2901
16.845703	72.868	178.3889
17.211914	72.729	172.2541
17.578125	72.544	171.8585
17.944336	72.748	170.2549
18.310547	73.702	171.3676
18.676758	75.121	165.1971
19.042968	74.248	154.1842
19.409179	72.985	154.6385
19.775390	75.745	139.0525
20.141601	77.952	106.1087
20.507812	76.196	85.0756
20.874023	72.749	116.0264
21.240234	76.240	133.4059
21.606445	75.806	129.1538
21.972656	75.316	134.9562
22.338867	76.770	126.4498
22.705077	76.847	115.6917
23.071288	77.249	118.4229
23.437499	78.688	113.0692
23.803710	78.670	98.9509
24.169921	77.972	89.1180
24.536132	77.992	83.2698
24.902343	77.833	77.1370
25.268554	76.965	72.6420
25.634765	75.701	68.2510
26.000976	74.529	65.9148
26.367187	74.568	65.1164
26.733397	74.690	61.1361
27.099608	73.962	61.8541
27.465819	73.954	65.9961
27.832030	74.399	63.4875
28.198241	74.801	60.1154
28.564452	75.400	55.7513
28.930663	74.973	47.9120
29.296874	72.929	40.7196
29.663085	69.871	35.9162
30.029296	66.374	40.3310
30.395507	66.096	64.7393
30.761717	68.649	76.4214
31.127928	70.074	83.6586
31.494139	71.516	89.0378
31.860350	72.738	86.1540
32.226561	73.673	80.2529
32.592772	74.577	74.9474
32.958983	75.076	71.9721
33.325194	75.316	70.9774
33.691405	75.467	67.4272
34.057616	75.542	61.8797
34.423827	76.066	57.3713
34.790037	76.866	52.9561
35.156248	77.305	48.5001
35.522459	77.350	43.0106
35.888670	77.088	34.9191
36.254881	76.716	26.4291
36.621092	76.396	19.7061
36.987303	75.691	15.7017
37.353514	74.573	16.3468
37.719725	73.717	18.0270
38.085936	73.038	15.9443
38.452147	72.423	12.1656
38.818357	71.714	9.2592
39.184568	70.816	11.6025
39.550779	70.634	15.5531
39.916990	70.314	13.7346
40.283201	69.591	15.2860
40.649412	69.922	18.0950
41.015623	69.674	16.0527
41.381834	68.538	21.1671
41.748045	68.462	26.4340
42.114256	68.039	25.7943
42.480467	68.257	29.9406
42.846677	69.156	27.8848
43.212888	68.314	30.8389
43.579099	69.183	46.8597
43.945310	70.874	43.6601
44.311521	70.235	36.6236
44.677732	69.871	40.9322
45.043943	70.771	40.5558
45.410154	70.673	39.1377
45.776365	70.623	42.4132
46.142576	70.342	42.3054
46.508786	69.343	48.8163
46.874997	70.058	61.7924
47.241208	71.742	68.0721
47.607419	73.485	69.0124
47.973630	74.861	64.2845
48.339841	76.266	58.6571
48.706052	78.523	48.6247
49.072263	80.124	32.8228
49.438474	79.912	22.0258
49.804685	79.252	25.1780
50.170896	79.834	28.3774
50.537106	80.003	24.2039
50.903317	80.067	19.5541
51.269528	80.672	11.0032
51.635739	80.868	0.4258
52.001950	80.772	-5.9111
52.368161	80.850	-12.3319
52.734372	80.305	-21.3860
53.100583	79.299	-27.1788
53.466794	78.888	-31.2656
53.833005	78.480	-37.1858
54.199216	77.859	-39.2690
54.565426	77.853	-40.2874
54.931637	77.713	-45.3212
55.297848	77.147	-49.2523
55.664059	76.896	-52.2242
56.030270	76.651	-57.0223
56.396481	76.289	-60.3389
56.762692	76.249	-63.4109
57.128903	76.072	-68.2684
57.495114	75.629	-71.5795
57.861325	75.433	-73.9437
58.227536	75.341	-78.0327
58.593746	75.198	-82.3787
58.959957	75.216	-86.6934
59.326168	75.301	-92.1512
59.692379	75.313	-98.4007
60.058590	75.342	-104.9454
60.424801	75.489	-111.6119
60.791012	75.772	-118.2657
61.157223	76.123	-125.5258
61.523434	76.389	-134.4052
61.889645	76.504	-144.8005
62.255856	76.663	-155.9829
62.622066	76.968	-168.2206
62.988277	77.148	178.6641
63.354488	77.041	166.0777
63.720699	76.796	154.2950
64.086910	76.465	143.0507
64.453121	76.150	133.4507
64.819332	76.107	124.5277
65.185543	76.092	114.3563
65.551754	75.895	105.2625
65.917965	75.913	98.1332
66.284176	76.041	89.6692
66.650386	75.816	79.8318
67.016597	75.368	69.1795
67.382808	74.641	57.3458
67.749019	73.484	49.5002
