* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.6 dBFS, measurement signal peak level -15.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 3:26:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: new measurements: trad: traditional foams on the right. Rscreen screen panels on the Right prolong the half wall; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 Screen panels prolong the 1.75 half wall Foam panels moved back into the room Delay -0.0209 ms (-7.2 mm, -0.28 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.Rscreen
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	70.076	-159.7551
15.380859	70.560	-165.1509
15.747070	70.263	-157.7136
16.113281	71.022	-160.8765
16.479492	70.691	-175.3305
16.845703	71.451	-179.3921
17.211914	73.360	174.7380
17.578125	72.549	170.7935
17.944336	71.868	-176.3893
18.310547	73.490	174.9764
18.676758	73.745	156.3541
19.042968	74.661	157.0729
19.409179	76.406	153.6526
19.775390	73.513	149.3416
20.141601	71.153	-165.1407
20.507812	75.033	-173.0203
20.874023	75.116	147.3784
21.240234	74.082	122.9712
21.606445	74.740	129.4652
21.972656	76.449	129.8249
22.338867	76.406	126.5646
22.705077	76.491	123.8480
23.071288	77.237	116.0689
23.437499	78.026	108.2379
23.803710	78.534	101.0660
24.169921	78.189	93.5785
24.536132	77.445	87.3432
24.902343	77.061	79.5928
25.268554	76.615	71.6288
25.634765	76.044	68.8667
26.000976	75.594	68.6386
26.367187	75.012	67.9699
26.733397	74.599	65.4103
27.099608	74.058	60.5906
27.465819	73.458	62.2334
27.832030	74.262	66.8995
28.198241	75.218	62.2574
28.564452	75.078	52.7035
28.930663	74.244	42.6776
29.296874	72.997	33.8145
29.663085	71.070	29.1782
30.029296	67.852	35.9575
30.395507	66.033	70.9926
30.761717	69.017	90.9786
31.127928	70.746	91.2520
31.494139	71.925	88.9220
31.860350	73.093	82.5619
32.226561	73.689	77.1338
32.592772	74.390	75.3145
32.958983	75.050	70.8575
33.325194	75.086	66.4827
33.691405	75.409	64.2893
34.057616	75.973	59.4411
34.423827	76.159	55.6206
34.790037	76.653	53.5063
35.156248	77.240	46.8203
35.522459	77.320	37.7519
35.888670	77.233	29.4460
36.254881	76.892	21.5546
36.621092	75.986	16.6337
36.987303	75.103	14.8396
37.353514	74.398	9.7130
37.719725	73.179	1.8508
38.085936	71.651	0.7711
38.452147	71.543	7.7814
38.818357	72.171	7.1918
39.184568	71.100	4.1951
39.550779	69.931	12.6433
39.916990	70.549	13.2581
40.283201	69.404	5.8192
40.649412	67.826	17.6305
41.015623	69.536	23.4188
41.381834	69.396	14.9844
41.748045	67.983	19.3530
42.114256	68.675	26.7570
42.480467	69.106	26.4918
42.846677	69.165	28.0341
43.212888	69.029	28.5352
43.579099	69.166	34.0169
43.945310	70.711	34.3036
44.311521	70.893	28.5862
44.677732	69.923	36.1477
45.043943	70.703	45.0407
45.410154	70.533	40.6857
45.776365	68.920	38.0156
46.142576	67.929	40.9806
46.508786	68.065	48.2417
