* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -23.2 dBFS, measurement signal peak level -12.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -14.0 dBFS using an acoustic timing reference
* Dated: Apr 28, 2026, 3:09:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: new measurements: trad: traditional foams on the right. Rscreen screen panels on the Right prolong the half wall; Delay -0.0094 ms (-3.2 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -17.1 ppm
* Measurement: L 120.blue
* Smoothing: Variable
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	71.658	-134.5217
15.123451	71.874	-135.8757
15.233042	72.165	-137.8957
15.343426	72.472	-140.2752
15.454611	72.767	-142.8890
15.566602	73.040	-145.7037
15.679404	73.280	-148.6516
15.793023	73.477	-151.6753
15.907466	73.633	-154.7268
16.022738	73.757	-157.6908
16.138845	73.863	-160.4150
16.255794	73.961	-162.8098
16.373590	74.079	-164.8303
16.492240	74.248	-166.4342
16.611750	74.482	-167.6647
16.732125	74.768	-168.6685
16.853373	75.082	-169.5624
16.975500	75.405	-170.3965
17.098511	75.720	-171.2461
17.222414	76.004	-172.2206
17.347215	76.244	-173.3817
17.472920	76.441	-174.7231
17.599536	76.599	-176.2209
17.727069	76.724	-177.8586
17.855527	76.824	-179.5960
17.984915	76.912	178.6259
18.115241	77.005	176.8340
18.246512	77.132	175.0149
18.378734	77.321	173.1562
18.511914	77.575	171.2480
18.646058	77.876	169.2590
18.781175	78.203	167.1635
18.917272	78.520	164.9804
19.054354	78.791	162.7432
19.192430	78.998	160.4561
19.331506	79.151	158.1001
19.471590	79.274	155.6506
19.612689	79.382	153.0769
19.754811	79.485	150.3418
19.897962	79.578	147.4462
20.042151	79.643	144.4830
20.187385	79.649	141.5953
20.333671	79.596	138.9250
20.481017	79.515	136.6138
20.629431	79.448	134.7433
20.778920	79.442	133.2505
20.929493	79.524	131.9644
21.081157	79.677	130.7187
21.233919	79.836	129.3896
21.387789	79.941	127.9215
21.542774	79.978	126.3744
21.698882	79.966	124.8411
21.856121	79.962	123.3416
22.014499	80.037	121.8069
22.174025	80.229	120.0947
22.334708	80.515	118.0254
22.496554	80.837	115.4815
22.659573	81.136	112.4857
22.823774	81.365	109.1423
22.989164	81.507	105.5953
23.155753	81.569	101.9844
23.323549	81.572	98.3983
23.492562	81.540	94.8696
23.662798	81.496	91.4012
23.834269	81.450	87.9950
24.006982	81.401	84.6805
24.180946	81.340	81.5363
24.356171	81.261	78.6368
24.532666	81.170	76.0087
24.710440	81.081	73.5706
24.889502	81.009	71.1414
25.069862	80.938	68.5012
25.251528	80.813	65.5072
25.434511	80.557	62.1520
25.618820	80.108	58.6013
25.804465	79.450	55.1510
25.991454	78.635	52.1672
26.179799	77.777	49.9810
26.369509	77.012	48.7823
26.560593	76.427	48.5277
26.753062	76.017	48.9792
26.946926	75.753	49.7755
27.142194	75.649	50.4963
27.338878	75.735	50.6769
27.536987	75.979	49.9046
27.736531	76.258	47.9728
27.937521	76.421	44.9667
28.139968	76.356	41.2110
28.343882	76.013	37.1533
28.549273	75.382	33.2614
28.756153	74.473	29.9774
28.964532	73.300	27.7700
29.174421	71.878	27.2927
29.385831	70.262	29.7272
29.598773	68.657	37.0251
29.813258	67.598	50.4579
30.029297	67.745	66.0027
30.246902	68.952	76.7118
30.466083	70.434	81.4503
30.686853	71.710	82.6071
30.909222	72.693	82.2322
31.133203	73.465	81.4203
31.358807	74.114	80.5908
31.586046	74.672	79.8115
31.814932	75.142	79.0190
32.045476	75.556	78.1319
32.277691	75.975	77.0632
32.511588	76.429	75.7024
32.747180	76.892	73.9465
32.984480	77.311	71.7397
33.223499	77.671	69.0659
33.464250	77.988	65.9138
33.706746	78.284	62.2667
33.950999	78.552	58.1449
34.197022	78.764	53.6527
34.444828	78.896	48.9743
34.694429	78.929	44.3184
34.945839	78.858	39.8439
35.199071	78.678	35.6299
35.454138	78.396	31.7078
35.711054	78.020	28.1155
35.969831	77.564	24.9308
36.230483	77.063	22.2422
36.493024	76.567	20.0731
36.757467	76.107	18.3427
37.023827	75.667	16.9152
37.292117	75.204	15.6912
37.562351	74.704	14.6560
37.834543	74.192	13.8557
38.108708	73.688	13.3550
38.384859	73.187	13.2040
38.663012	72.692	13.4139
38.943180	72.217	13.9511
39.225378	71.747	14.7974
39.509622	71.242	16.0212
39.795925	70.709	17.7546
40.084302	70.211	20.1044
40.374770	69.783	23.1458
40.667342	69.417	26.9215
40.962034	69.171	31.1771
41.258862	69.142	35.1333
41.557841	69.295	37.9873
41.858986	69.462	39.7678
42.162313	69.552	41.4681
42.467839	69.641	44.3858
42.775578	69.906	49.1190
43.085548	70.458	54.9456
43.397763	71.248	60.4683
43.712242	72.160	64.7630
44.028998	73.140	67.5264
44.348051	74.177	68.6402
44.669415	75.211	68.0593
44.993108	76.159	65.9366
45.319147	76.980	62.6093
45.647548	77.670	58.4756
45.978329	78.216	53.9257
46.311507	78.603	49.3398
46.647099	78.836	45.0616
46.985123	78.958	41.3283
47.325597	79.018	38.2417
47.668537	79.051	35.8235
48.013963	79.096	34.0575
48.361892	79.215	32.7989
48.712342	79.464	31.6622
49.065332	79.852	30.1376
49.420880	80.351	27.8395
49.779004	80.949	24.5591
50.139723	81.623	20.1628
50.503056	82.275	14.5964
50.869022	82.776	7.9720
51.237640	83.045	0.5836
51.608929	83.067	-7.1447
51.982909	82.864	-14.7185
52.359598	82.483	-21.6758
52.739018	81.987	-27.7469
53.121186	81.448	-32.9532
53.506124	80.908	-37.4922
53.893852	80.378	-41.4714
54.284389	79.860	-44.7904
54.677756	79.384	-47.3469
55.073973	78.993	-49.3389
55.473062	78.720	-51.2771
55.875043	78.568	-53.6681
56.279936	78.518	-56.7327
56.687764	78.538	-60.4365
57.098547	78.594	-64.6970
57.512306	78.656	-69.4797
57.929064	78.700	-74.7446
58.348842	78.712	-80.4056
58.771662	78.704	-86.4105
59.197546	78.709	-92.8398
59.626515	78.766	-99.8860
60.058594	78.907	-107.7302
60.493803	79.135	-116.4461
60.932166	79.421	-125.9874
61.373706	79.701	-136.2398
61.818445	79.895	-147.1240
62.266407	79.954	-158.6793
62.717615	79.896	-170.9798
63.172093	79.795	176.1405
63.629864	79.709	163.2254
64.090952	79.649	150.8099
64.555381	79.613	138.9112
65.023176	79.609	127.0900
65.494361	79.612	114.9724
65.968960	79.551	102.5717
66.446998	79.348	90.1512
66.928501	78.967	78.0046
67.413492	78.419	66.4333
67.901998	77.753	55.7319
68.394044	77.025	46.0172
68.889655	76.272	37.1166
69.388858	75.497	28.7255
69.891679	74.696	20.6353
70.398142	73.891	12.7314
70.908276	73.149	4.7615
71.422107	72.582	-3.9001
71.939661	72.309	-14.3391
72.460965	72.385	-27.8701
72.986047	72.763	-45.4256
73.514934	73.327	-66.8238
74.047654	73.960	-90.4500
74.584234	74.600	-113.6989
75.124702	75.237	-134.1692
75.669086	75.907	-150.7319
76.217416	76.721	-163.4731
76.769719	77.854	-173.2026
77.326024	79.405	178.6145
77.886360	81.247	170.1030
78.450757	83.097	159.9233
79.019243	84.693	147.8510
79.591849	85.899	134.4368
80.168605	86.686	120.4523
80.749539	87.090	106.6047
81.334684	87.170	93.4604
81.924068	86.986	81.4398
82.517724	86.603	70.8384
83.115681	86.095	61.8157
83.717972	85.546	54.3181
84.324627	85.018	48.0479
84.935678	84.529	42.6259
85.551157	84.059	37.8344
86.171096	83.598	33.6499
86.795527	83.161	30.0585
87.424483	82.769	26.9370
88.057997	82.423	24.1176
88.696102	82.118	21.4377
89.338830	81.843	18.7013
