* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.0 dBFS, measurement signal peak level -14.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 3:19:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: new measurements: trad: traditional foams on the right. Rscreen screen panels on the Right prolong the half wall; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 Foam panels in traditional position: prolong the 1.75 half wall Delay -0.0277 ms (-9.5 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -17.3 ppm
* Measurement: L 120.trad
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.616	-157.9667
15.380859	71.265	-157.8797
15.747070	71.412	-160.3630
16.113281	70.836	-162.2276
16.479492	70.711	-173.8158
16.845703	71.005	177.2243
17.211914	72.292	175.7634
17.578125	72.511	172.5508
17.944336	71.896	176.7491
18.310547	73.422	172.2563
18.676758	74.334	156.3290
19.042968	74.402	155.8581
19.409179	75.803	155.9525
19.775390	73.853	138.9531
20.141601	64.032	150.2830
20.507812	70.256	-174.4041
20.874023	74.458	145.1775
21.240234	74.786	123.0385
21.606445	74.903	132.1137
21.972656	76.607	131.7690
22.338867	76.148	124.1096
22.705077	76.127	124.3904
23.071288	77.698	118.4462
23.437499	78.515	108.9992
23.803710	78.730	101.6442
24.169921	78.534	92.2434
24.536132	77.860	83.4793
24.902343	77.567	77.8181
25.268554	77.295	71.5258
25.634765	76.352	68.0271
26.000976	75.604	66.6057
26.367187	74.808	61.3651
26.733397	73.707	60.2203
27.099608	73.750	64.3568
27.465819	74.128	64.4720
27.832030	73.994	64.8787
28.198241	74.273	64.7439
28.564452	74.838	58.0398
28.930663	74.802	46.0965
29.296874	73.388	35.0776
29.663085	70.737	35.5642
30.029296	69.239	48.1270
30.395507	68.529	58.2004
30.761717	68.427	74.5929
31.127928	70.277	84.3050
31.494139	71.693	83.3079
31.860350	72.520	79.6168
32.226561	73.080	75.0941
32.592772	73.703	72.5034
32.958983	74.631	69.2400
33.325194	75.071	64.3111
33.691405	75.142	62.0083
34.057616	75.593	59.2805
34.423827	75.977	53.6847
34.790037	76.269	48.7770
35.156248	76.667	42.9771
35.522459	76.679	35.8871
35.888670	76.456	29.8416
36.254881	76.120	22.8388
36.621092	75.113	16.7101
36.987303	74.007	15.7670
37.353514	73.384	12.5132
37.719725	71.991	6.2205
38.085936	70.564	9.6213
38.452147	71.224	14.6720
38.818357	71.667	11.5100
39.184568	70.818	11.2548
39.550779	70.109	15.6233
39.916990	69.781	14.5234
40.283201	68.907	11.0885
40.649412	68.409	15.6530
41.015623	69.149	20.9674
41.381834	69.201	24.5359
41.748045	69.189	33.8418
42.114256	69.818	35.0683
42.480467	69.150	29.0669
42.846677	68.354	29.3036
43.212888	68.731	28.4753
43.579099	68.354	30.6501
43.945310	69.312	43.4159
44.311521	70.963	42.7840
44.677732	70.587	40.2717
45.043943	70.649	46.4264
45.410154	71.490	43.8287
45.776365	70.878	41.3204
46.142576	70.826	50.6308
46.508786	72.074	56.1323
46.874997	73.236	59.1619
47.241208	74.850	58.2550
47.607419	75.896	51.6399
47.973630	76.373	47.0838
48.339841	77.150	42.8441
48.706052	77.671	35.7969
49.072263	78.019	30.1640
49.438474	78.796	23.1500
49.804685	79.164	13.6449
50.170896	79.016	9.1082
50.537106	79.471	7.5676
50.903317	79.905	0.9828
51.269528	79.636	-6.6000
51.635739	79.441	-12.8749
52.001950	79.335	-21.3036
52.368161	78.741	-28.7896
52.734372	78.124	-32.3840
53.100583	77.676	-36.2739
53.466794	76.959	-40.3006
53.833005	76.301	-42.3955
54.199216	75.791	-43.7874
54.565426	75.475	-43.2836
54.931637	75.641	-44.6537
55.297848	75.506	-49.6132
55.664059	75.164	-52.3246
56.030270	75.324	-54.6177
56.396481	75.278	-58.1960
56.762692	75.189	-58.7513
57.128903	75.566	-62.4656
57.495114	75.290	-70.9950
57.861325	74.578	-75.4821
58.227536	74.791	-77.8812
58.593746	75.128	-84.3704
58.959957	74.990	-89.8367
59.326168	75.004	-94.5349
59.692379	74.952	-101.8767
60.058590	74.798	-109.0656
60.424801	75.013	-116.2695
60.791012	75.247	-124.3741
61.157223	75.360	-130.6098
61.523434	75.679	-136.5759
61.889645	76.015	-145.2407
62.255856	76.344	-156.0607
62.622066	76.802	-168.5848
62.988277	77.186	178.6735
63.354488	77.397	167.3470
63.720699	77.428	156.2790
64.086910	77.195	144.7773
64.453121	76.970	133.8221
64.819332	76.997	123.1586
65.185543	77.067	113.3246
65.551754	77.186	105.0797
65.917965	77.404	95.9142
66.284176	77.465	84.9685
66.650386	77.474	73.7362
67.016597	77.503	61.2413
67.382808	77.099	47.4018
67.749019	76.100	35.0748
68.115230	74.861	25.2306
68.481441	73.408	17.3166
68.847652	71.831	14.4336
69.213863	71.007	15.8112
69.580074	70.780	14.6098
69.946285	70.479	11.5679
70.312495	70.188	8.0659
70.678706	69.845	3.8577
71.044917	69.516	-0.7783
71.411128	69.131	-7.6862
71.777339	68.301	-15.1092
72.143550	67.535	-19.3983
72.509761	67.503	-25.0233
72.875972	67.648	-35.5425
73.242183	67.804	-47.8824
73.608394	68.195	-61.9308
73.974605	68.453	-79.1006
74.340815	68.373	-97.3466
74.707026	68.560	-113.7686
75.073237	69.440	-129.0955
75.439448	70.278	-145.1165
75.805659	70.411	-160.2467
76.171870	70.280	-172.4391
76.538081	70.646	177.3489
76.904292	71.264	169.4497
77.270503	71.860	167.7062
77.636714	72.948	169.7773
78.002925	74.239	168.4812
78.369135	75.164	165.1479
78.735346	76.312	164.0469
79.101557	78.293	161.7870
79.467768	80.325	154.5354
79.833979	81.796	144.9264
80.200190	82.937	134.9446
80.566401	83.928	123.8601
80.932612	84.582	112.4448
81.298823	84.947	102.5325
81.665034	85.217	93.1433
82.031245	85.268	83.1127
82.397455	85.129	74.2561
82.763666	85.132	66.9521
83.129877	85.129	59.4187
83.496088	84.809	52.4189
83.862299	84.389	46.5046
84.228510	84.012	40.3184
84.594721	83.622	34.7986
84.960932	83.301	30.7957
85.327143	82.824	27.9746
85.693354	82.250	27.8173
86.059565	82.136	27.0819
86.425775	82.030	22.0150
86.791986	81.653	17.3914
87.158197	81.623	14.8403
87.524408	81.676	10.5815
87.890619	81.273	6.6018
88.256830	80.907	4.5685
88.623041	80.818	1.6261
88.989252	80.730	-1.7900
89.355463	80.629	-4.5117
89.721674	80.386	-6.8834
90.087885	80.058	-8.6556
90.454095	79.850	-11.8640
90.820306	79.523	-17.0984
91.186517	79.095	-21.7146
91.552728	78.715	-25.8165
91.918939	78.077	-29.8726
92.285150	77.199	-32.5914
92.651361	76.291	-35.8091
93.017572	75.006	-39.6117
93.383783	73.499	-39.1852
93.749994	72.515	-34.9731
94.116205	71.772	-30.2244
94.482415	71.213	-23.6116
94.848626	71.004	-19.0923
95.214837	70.395	-17.0247
95.581048	69.755	-11.4933
95.947259	70.100	-6.5524
96.313470	70.438	-7.1221
96.679681	70.065	-6.3163
97.045892	69.862	-1.2506
97.412103	69.949	1.6598
97.778314	69.610	3.7205
98.144524	69.374	8.3956
98.510735	69.466	12.7705
98.876946	69.605	18.1857
99.243157	70.185	23.5009
99.609368	70.700	25.2626
99.975579	70.919	27.5957
100.341790	71.605	30.9261
100.708001	72.598	31.4904
101.074212	73.329	30.8937
101.440423	73.786	31.2373
101.806634	74.161	32.5165
102.172844	74.652	33.3540
102.539055	75.216	32.6722
102.905266	75.831	31.5676
103.271477	76.616	29.7738
103.637688	77.310	25.9542
104.003899	77.651	21.2461
104.370110	77.807	16.7269
104.736321	77.895	11.7882
105.102532	77.781	6.7881
105.468743	77.422	2.9609
105.834954	76.848	0.5638
106.201164	76.058	-0.1719
106.567375	75.212	1.7100
106.933586	74.655	6.7181
107.299797	74.738	13.6732
107.666008	75.454	19.5593
108.032219	76.415	22.7278
108.398430	77.376	23.3588
108.764641	78.232	21.6333
109.130852	78.903	18.4314
109.497063	79.440	14.9083
109.863274	79.906	11.4148
110.229484	80.307	7.9586
110.595695	80.644	4.0715
110.961906	80.779	-0.6447
111.328117	80.628	-4.9288
111.694328	80.434	-7.7188
112.060539	80.368	-10.0188
112.426750	80.336	-11.9016
112.792961	80.413	-13.0383
113.159172	80.520	-14.6749
113.525383	80.466	-16.1559
113.891594	80.545	-17.3278
114.257804	80.780	-20.9615
114.624015	80.817	-26.0443
114.990226	80.853	-29.7086
115.356437	81.089	-33.3569
115.722648	81.137	-38.1078
116.088859	80.865	-42.6766
116.455070	80.427	-47.4843
116.821281	79.767	-52.7874
117.187492	78.943	-57.1243
117.553703	78.057	-60.2325
117.919914	76.958	-61.4165
118.286124	75.870	-59.0984
118.652335	75.183	-55.9149
119.018546	74.595	-54.3297
119.384757	73.895	-52.5244
119.750968	73.228	-49.0947
120.117179	72.710	-44.3086
120.483390	72.260	-38.9941
120.849601	71.867	-31.9167
121.215812	72.048	-23.5990
121.582023	72.736	-17.9412
121.948233	73.503	-14.2948
122.314444	74.356	-11.9568
122.680655	75.147	-11.3177
123.046866	75.848	-11.7303
123.413077	76.483	-13.6088
123.779288	76.912	-16.2021
124.145499	77.250	-17.9956
124.511710	77.592	-19.4814
124.877921	77.836	-20.6000
125.244132	78.140	-21.2017
125.610343	78.550	-23.1515
125.976553	78.836	-26.4431
126.342764	79.050	-29.4803
126.708975	79.336	-32.3994
127.075186	79.586	-35.7943
127.441397	79.670	-39.3999
127.807608	79.589	-42.8729
128.173819	79.431	-46.2178
128.540030	79.248	-49.7281
128.906241	79.005	-53.0747
129.272452	78.724	-55.6361
129.638663	78.416	-57.5978
130.004873	78.049	-59.1108
130.371084	77.683	-60.5488
130.737295	77.261	-62.3136
131.103506	76.775	-62.9636
131.469717	76.498	-62.3184
131.835928	76.289	-62.4464
132.202139	75.780	-62.2471
132.568350	75.208	-59.9094
132.934561	74.897	-57.0286
133.300772	74.816	-54.9487
133.666983	74.909	-53.9598
134.033193	74.992	-53.8698
134.399404	74.997	-53.2273
134.765615	75.082	-52.0770
135.131826	75.192	-51.5837
135.498037	75.231	-51.3424
135.864248	75.316	-50.9469
136.230459	75.481	-51.0192
136.596670	75.608	-51.2749
136.962881	75.758	-50.9620
137.329092	75.998	-51.2374
137.695303	76.059	-52.9908
138.061513	75.803	-54.3888
138.427724	75.565	-54.2043
138.793935	75.563	-53.8984
139.160146	75.610	-54.0406
139.526357	75.599	-53.4510
139.892568	75.647	-51.7410
140.258779	75.846	-50.2434
140.624990	76.068	-49.9097
140.991201	76.283	-49.8882
141.357412	76.615	-50.1172
141.723623	76.960	-50.9189
142.089833	77.296	-51.5350
142.456044	77.728	-52.8303
142.822255	78.078	-55.4219
143.188466	78.344	-57.9238
143.554677	78.674	-60.8672
143.920888	78.824	-64.9465
144.287099	78.726	-68.4213
144.653310	78.708	-71.4268
145.019521	78.752	-75.7433
145.385732	78.650	-80.5660
145.751942	78.416	-84.7614
146.118153	78.029	-88.3522
146.484364	77.508	-91.4420
146.850575	76.901	-94.9836
147.216786	76.072	-98.8628
147.582997	75.086	-101.0463
147.949208	74.154	-101.2821
148.315419	73.177	-99.8936
148.681630	72.232	-96.2872
149.047841	71.412	-91.6355
149.414052	70.721	-84.6454
149.780262	70.811	-75.8099
150.146473	71.471	-70.2922
150.512684	72.086	-66.7267
150.878895	72.800	-64.2576
151.245106	73.444	-64.4313
151.611317	73.787	-65.7606
151.977528	74.004	-66.8801
152.343739	74.198	-68.3666
152.709950	74.252	-70.3073
153.076161	74.122	-71.7003
153.442372	73.920	-71.8850
153.808582	73.742	-71.0051
154.174793	73.688	-69.4606
154.541004	73.781	-68.7484
154.907215	73.739	-69.0399
155.273426	73.625	-67.6876
155.639637	73.884	-65.5248
156.005848	74.240	-65.0116
