* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -24.0 dBFS, measurement signal peak level -7.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -14.0 dBFS using an acoustic timing reference
* Dated: Apr 28, 2026, 3:12:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0076 ms (-2.6 mm, -0.1 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -17.5 ppm
* Measurement: L+R 120.blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	77.603	-134.7973
15.380859	79.017	-142.2692
15.747070	79.817	-150.1587
16.113281	80.386	-155.9339
16.479492	80.991	-161.1034
16.845703	81.456	-166.6037
17.211914	81.907	-171.5950
17.578125	82.493	-177.4904
17.944336	82.905	176.1748
18.310547	83.293	172.0509
18.676758	84.025	167.8080
19.042968	84.671	160.6229
19.409179	84.889	152.9297
19.775390	84.940	146.9784
20.141601	85.061	142.1646
20.507812	85.213	137.5372
20.874023	85.322	132.8566
21.240234	85.388	128.5851
21.606445	85.538	125.1351
21.972656	85.845	121.9937
22.338867	86.304	118.5078
22.705077	86.863	113.2309
23.071288	87.227	105.6118
23.437499	87.255	97.8478
23.803710	87.172	91.1481
24.169921	86.940	84.8531
24.536132	86.518	80.5533
24.902343	86.491	77.3539
25.268554	86.622	69.5919
25.634765	85.879	59.6382
26.000976	84.399	56.4160
26.367187	83.747	60.4228
26.733397	83.909	61.5932
27.099608	84.044	61.0605
27.465819	84.555	59.7123
27.832030	85.239	53.9162
28.198241	85.499	44.4815
28.564452	85.118	33.7677
28.930663	84.008	24.1973
29.296874	82.351	19.2362
29.663085	80.756	20.1057
30.029296	79.527	24.3390
30.395507	78.728	30.7712
30.761717	78.523	36.5908
31.127928	78.528	40.2408
31.494139	78.663	43.5293
31.860350	78.985	46.2736
32.226561	79.417	48.7139
32.592772	80.082	49.9604
32.958983	80.756	48.7195
33.325194	81.342	46.6499
33.691405	82.029	43.5601
34.057616	82.584	38.2811
34.423827	82.828	32.3009
34.790037	82.949	26.0148
35.156248	82.862	18.5777
35.522459	82.370	11.7537
35.888670	81.696	7.0859
36.254881	80.979	3.1708
36.621092	80.101	0.0038
36.987303	79.301	-1.5180
37.353514	78.680	-2.7945
37.719725	78.005	-3.4995
38.085936	77.345	-3.3098
38.452147	76.595	-3.2307
38.818357	75.812	-1.3820
39.184568	75.428	1.3853
39.550779	75.040	3.7173
39.916990	74.593	9.0573
40.283201	74.639	14.7302
40.649412	74.875	16.5730
41.015623	75.098	14.6903
41.381834	74.986	10.6593
41.748045	74.490	10.8193
42.114256	74.573	15.1105
42.480467	74.804	16.1855
42.846677	74.648	17.5854
43.212888	74.914	18.6567
43.579099	74.985	16.5394
43.945310	74.760	18.4955
44.311521	75.254	20.6426
44.677732	75.261	17.3361
45.043943	74.546	18.0201
45.410154	74.838	21.5143
45.776365	75.420	19.1556
46.142576	75.448	16.5867
46.508786	75.394	14.8876
46.874997	75.089	13.0027
47.241208	74.992	13.7294
47.607419	75.417	12.2892
47.973630	75.238	9.1615
48.339841	74.607	10.4097
48.706052	74.267	12.3433
49.072263	74.012	12.7183
49.438474	74.339	12.1849
49.804685	74.721	8.7499
50.170896	74.486	10.8367
50.537106	75.157	18.9230
50.903317	76.188	19.0828
51.269528	76.277	15.7006
51.635739	76.406	13.4188
52.001950	76.852	7.9716
52.368161	76.878	2.0609
52.734372	76.818	-0.2352
53.100583	77.047	-2.7627
53.466794	77.153	-7.6544
53.833005	77.092	-13.3326
54.199216	76.926	-19.4506
54.565426	76.574	-25.0199
54.931637	76.202	-29.3584
55.297848	75.933	-33.4852
55.664059	75.744	-37.5476
56.030270	75.682	-41.6371
56.396481	75.671	-46.3204
56.762692	75.708	-51.4708
57.128903	75.913	-57.8830
57.495114	76.182	-66.0654
57.861325	76.464	-74.9452
58.227536	76.851	-84.6488
58.593746	77.192	-95.7281
58.959957	77.346	-106.1358
59.326168	77.612	-113.7650
59.692379	78.306	-120.4491
60.058590	79.229	-128.7128
60.424801	80.172	-138.2855
60.791012	81.142	-148.3688
61.157223	82.094	-158.3922
61.523434	83.000	-167.8185
61.889645	83.885	-177.0865
62.255856	84.673	173.1852
62.622066	85.299	163.5212
62.988277	85.831	154.5045
63.354488	86.302	145.8699
63.720699	86.663	137.4282
64.086910	86.918	129.3349
64.453121	87.114	121.5676
64.819332	87.271	114.2200
65.185543	87.462	107.4664
65.551754	87.759	100.6563
65.917965	88.052	92.8037
66.284176	88.132	84.2017
66.650386	87.965	76.0547
67.016597	87.684	68.7341
67.382808	87.341	61.8884
67.749019	86.938	55.8289
68.115230	86.583	50.5245
68.481441	86.228	45.0358
68.847652	85.730	39.4434
69.213863	85.121	33.9904
69.580074	84.355	28.1899
69.946285	83.319	23.3047
70.312495	82.292	20.6221
70.678706	81.448	17.8273
71.044917	80.380	14.0498
71.411128	78.973	11.8308
71.777339	77.482	12.1542
72.143550	76.016	14.3973
72.509761	74.503	16.9412
72.875972	72.297	19.1035
73.242183	68.612	28.0486
73.608394	64.347	65.6315
73.974605	68.088	119.4927
74.340815	73.770	130.4872
74.707026	77.386	128.4598
75.073237	79.836	124.2083
75.439448	81.660	118.7560
75.805659	83.027	112.7629
76.171870	84.165	107.0828
76.538081	85.205	101.5032
76.904292	86.128	95.8857
77.270503	86.935	89.8790
77.636714	87.558	83.0868
78.002925	87.965	75.8982
78.369135	88.178	68.4348
78.735346	88.087	60.9865
79.101557	87.661	55.1341
79.467768	87.152	51.8058
79.833979	86.753	50.3590
80.200190	86.567	50.3929
80.566401	86.690	50.5961
80.932612	86.935	49.7071
81.298823	87.199	48.0796
81.665034	87.488	45.1949
82.031245	87.625	41.1968
82.397455	87.616	37.6286
82.763666	87.593	34.5523
83.129877	87.490	31.6429
83.496088	87.324	29.4407
83.862299	87.203	27.5189
84.228510	87.098	25.5301
84.594721	87.042	23.6021
84.960932	87.007	21.2347
85.327143	86.884	18.7850
85.693354	86.732	16.7363
86.059565	86.570	14.6038
86.425775	86.342	12.6549
86.791986	86.143	11.1683
87.158197	86.007	9.3409
87.524408	85.802	6.8180
87.890619	85.400	4.3146
88.256830	84.846	3.1831
88.623041	84.390	3.5822
88.989252	84.094	4.0786
89.355463	83.845	4.6523
89.721674	83.710	5.3102
90.087885	83.588	5.3922
90.454095	83.418	5.7344
90.820306	83.340	5.9699
91.186517	83.218	5.4257
91.552728	83.035	5.4407
91.918939	82.969	5.5950
92.285150	82.845	5.0962
92.651361	82.617	4.9553
93.017572	82.400	4.7589
93.383783	82.101	4.4473
93.749994	81.809	5.1445
94.116205	81.631	6.3480
94.482415	81.459	7.9568
94.848626	81.337	10.0484
95.214837	81.250	11.8215
95.581048	81.188	13.5676
95.947259	81.250	14.9816
96.313470	81.315	15.8925
96.679681	81.361	17.1788
97.045892	81.424	18.4072
97.412103	81.405	19.5413
97.778314	81.387	21.1144
98.144524	81.446	22.7202
98.510735	81.575	24.3892
98.876946	81.772	25.8104
99.243157	81.903	27.1691
99.609368	82.078	29.3179
99.975579	82.413	30.8327
100.341790	82.653	31.4639
100.708001	82.853	33.0151
101.074212	83.244	34.8563
101.440423	83.745	36.0616
101.806634	84.373	36.7032
102.172844	85.099	35.6546
102.539055	85.677	32.8694
102.905266	86.031	29.5851
103.271477	86.224	26.2182
103.637688	86.249	22.8685
104.003899	86.121	20.0524
104.370110	85.899	18.0193
104.736321	85.574	16.8862
105.102532	85.162	17.3719
105.468743	84.848	19.8272
105.834954	84.789	23.1568
106.201164	84.966	26.4570
106.567375	85.394	29.3280
106.933586	86.015	30.9021
107.299797	86.657	31.1100
107.666008	87.245	30.4052
108.032219	87.733	29.0055
108.398430	88.108	27.4368
108.764641	88.441	26.0325
109.130852	88.772	24.7277
109.497063	89.128	23.5525
109.863274	89.537	22.1123
110.229484	89.928	20.0019
110.595695	90.249	17.5421
110.961906	90.524	15.0464
111.328117	90.766	12.6526
111.694328	90.995	10.5092
112.060539	91.233	8.4061
112.426750	91.466	6.0942
112.792961	91.700	3.5251
113.159172	91.941	0.6703
113.525383	92.185	-2.3153
113.891594	92.448	-5.4427
114.257804	92.698	-9.0371
114.624015	92.878	-13.1564
114.990226	92.972	-17.7162
115.356437	92.958	-22.6524
115.722648	92.816	-27.6053
116.088859	92.570	-32.2760
116.455070	92.234	-36.6987
116.821281	91.800	-40.7469
117.187492	91.292	-44.1746
117.553703	90.723	-46.9053
117.919914	90.085	-48.6581
118.286124	89.444	-49.1492
118.652335	88.907	-48.8044
119.018546	88.490	-48.2348
119.384757	88.192	-47.5582
119.750968	88.020	-47.0042
120.117179	87.892	-47.0221
120.483390	87.678	-47.5390
120.849601	87.339	-48.0070
121.215812	86.942	-47.9709
121.582023	86.577	-47.3306
121.948233	86.273	-46.1528
122.314444	86.013	-44.3231
122.680655	85.817	-41.8419
123.046866	85.712	-39.0029
123.413077	85.739	-36.1343
123.779288	85.911	-33.7510
124.145499	86.173	-31.7723
124.511710	86.580	-29.8467
124.877921	87.156	-28.9127
125.244132	87.712	-29.4052
125.610343	88.182	-30.5329
125.976553	88.635	-32.3366
126.342764	89.014	-35.1058
126.708975	89.273	-38.3383
127.075186	89.443	-41.7085
127.441397	89.524	-45.1478
127.807608	89.512	-48.5115
128.173819	89.405	-51.7421
128.540030	89.210	-54.5886
128.906241	88.995	-57.0473
129.272452	88.751	-59.5103
129.638663	88.424	-61.6136
130.004873	88.094	-62.9816
