* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.7 dBFS, measurement signal peak level -10.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 3:20:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 Foam panels in traditional position: prolong the 1.75 half wall Delay 0.0098 ms (3.3 mm, 0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -17.3 ppm
* Measurement: L+R 120.trad
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	74.230	-155.2993
15.380859	75.352	-155.3412
15.747070	76.081	-161.9644
16.113281	76.535	-168.0637
16.479492	77.244	-173.5861
16.845703	77.764	-177.9571
17.211914	78.041	178.3506
17.578125	77.788	173.6298
17.944336	77.835	172.0139
18.310547	79.339	166.5097
18.676758	80.237	156.6841
19.042968	80.142	156.0721
19.409179	80.800	156.0943
19.775390	80.025	142.4324
20.141601	76.456	132.3040
20.507812	76.222	144.8369
20.874023	79.607	135.8790
21.240234	80.598	125.2704
21.606445	80.930	128.3392
21.972656	81.972	128.1179
22.338867	82.011	122.5629
22.705077	82.061	120.7744
23.071288	83.093	116.6300
23.437499	83.931	108.2327
23.803710	84.205	99.2905
24.169921	84.009	90.5835
24.536132	83.604	83.6749
24.902343	83.371	77.5240
25.268554	82.799	70.9004
25.634765	81.787	68.7944
26.000976	81.472	69.4188
26.367187	81.381	65.7200
26.733397	80.899	63.6950
27.099608	80.952	65.0757
27.465819	81.282	64.0397
27.832030	81.497	62.8092
28.198241	82.145	60.0201
28.564452	82.707	52.0325
28.930663	82.458	41.8657
29.296874	81.363	33.0579
29.663085	79.743	26.9314
30.029296	78.033	24.3175
30.395507	76.737	27.5277
30.761717	76.650	35.9706
31.127928	77.410	41.2285
31.494139	77.714	42.8752
31.860350	77.692	44.2067
32.226561	77.784	43.5926
32.592772	77.984	41.8725
32.958983	78.395	40.2617
33.325194	78.641	38.3402
33.691405	78.651	38.0259
34.057616	78.943	37.2402
34.423827	79.311	33.7445
34.790037	79.673	30.2637
35.156248	80.077	26.0300
35.522459	80.016	20.1805
35.888670	79.525	14.2917
36.254881	78.967	7.3308
36.621092	78.218	0.5318
36.987303	77.429	-2.1117
37.353514	76.699	-2.0331
37.719725	75.701	0.6870
38.085936	75.172	4.6484
38.452147	74.837	2.9556
38.818357	74.046	2.1985
39.184568	73.940	5.8863
39.550779	74.153	6.6331
39.916990	74.038	7.1420
40.283201	74.124	4.6619
40.649412	73.607	-2.3741
41.015623	72.524	-5.2496
41.381834	71.815	-5.1875
41.748045	70.455	-5.1312
42.114256	68.752	4.2125
42.480467	68.337	16.5399
42.846677	68.741	29.5616
43.212888	70.656	37.9500
43.579099	71.997	38.0281
43.945310	72.747	40.5919
44.311521	73.892	39.7237
44.677732	74.226	33.2794
45.043943	73.878	31.2163
45.410154	74.295	33.2621
45.776365	75.210	31.6056
46.142576	75.817	25.8635
46.508786	75.812	18.1249
46.874997	75.421	12.5284
47.241208	75.292	9.1158
47.607419	74.986	5.6307
47.973630	74.290	6.2927
48.339841	73.983	7.8836
48.706052	73.341	6.3210
49.072263	72.939	8.9074
49.438474	74.036	7.0277
49.804685	74.489	-1.8358
50.170896	73.724	-3.5970
50.537106	73.558	3.1461
50.903317	73.949	6.0198
51.269528	74.102	4.7893
51.635739	74.030	-0.2125
52.001950	73.492	-4.9996
52.368161	73.259	-4.9023
52.734372	73.639	-6.0204
53.100583	73.659	-9.3367
53.466794	73.476	-11.3999
53.833005	73.434	-13.3893
54.199216	73.503	-15.1661
54.565426	73.675	-18.4132
54.931637	73.335	-24.2028
55.297848	72.539	-29.0797
55.664059	72.142	-34.2926
56.030270	71.952	-41.7734
56.396481	71.683	-46.2531
56.762692	71.776	-47.3467
57.128903	72.055	-50.5269
57.495114	72.153	-57.4092
57.861325	72.142	-66.9763
58.227536	72.301	-77.0906
58.593746	72.791	-88.2705
58.959957	73.190	-101.6027
59.326168	73.410	-113.8589
59.692379	74.032	-123.7100
60.058590	74.897	-133.7736
60.424801	75.489	-142.9016
60.791012	76.146	-150.2603
61.157223	77.121	-158.6188
61.523434	78.222	-167.7642
61.889645	79.446	-176.5179
62.255856	80.688	174.2038
62.622066	81.806	164.0436
62.988277	82.807	152.9614
63.354488	83.590	141.3850
63.720699	84.086	130.6146
64.086910	84.356	120.9374
64.453121	84.432	112.1860
64.819332	84.519	104.8214
65.185543	84.843	97.5281
65.551754	85.128	89.2512
65.917965	85.226	81.6515
66.284176	85.401	74.2538
66.650386	85.529	64.7870
67.016597	85.301	54.3868
67.382808	84.771	44.9156
67.749019	83.945	36.4731
68.115230	82.757	30.2736
68.481441	81.558	27.5696
68.847652	80.647	26.8870
69.213863	80.047	27.6082
69.580074	79.866	27.6633
69.946285	79.612	24.7402
70.312495	78.968	21.4812
70.678706	78.255	19.2061
71.044917	77.481	17.2402
71.411128	76.641	16.7981
71.777339	75.934	16.7920
72.143550	75.181	16.1326
72.509761	74.401	16.0469
72.875972	73.633	16.8719
73.242183	72.865	19.0880
73.608394	71.788	19.4851
73.974605	68.913	20.9556
74.340815	64.838	46.6556
74.707026	65.819	85.8581
75.073237	69.421	108.5566
75.439448	73.666	114.0967
75.805659	76.519	110.1836
76.171870	78.343	106.4963
76.538081	79.893	101.8435
76.904292	81.030	95.0899
77.270503	81.866	88.8995
77.636714	82.672	83.4506
78.002925	83.359	78.3758
78.369135	84.009	73.5751
78.735346	84.597	67.1873
79.101557	84.846	59.7486
79.467768	84.839	53.3909
79.833979	84.722	47.8607
80.200190	84.367	43.2939
80.566401	83.963	40.9392
80.932612	83.797	39.5095
81.298823	83.767	38.1771
81.665034	83.887	37.3901
82.031245	84.128	36.0897
82.397455	84.316	34.1557
82.763666	84.479	31.8467
83.129877	84.609	28.9088
83.496088	84.670	25.6450
83.862299	84.636	22.1270
84.228510	84.493	18.9361
84.594721	84.422	16.0897
84.960932	84.333	12.5832
85.327143	84.037	10.7490
85.693354	84.030	11.5164
86.059565	84.260	9.8688
86.425775	83.984	6.4677
86.791986	83.541	5.3302
87.158197	83.533	3.8215
87.524408	83.550	0.0536
87.890619	83.394	-3.2949
88.256830	83.182	-5.7725
88.623041	82.899	-7.4847
88.989252	82.738	-9.2252
89.355463	82.512	-13.0955
89.721674	81.854	-16.7639
90.087885	81.133	-17.4498
90.454095	80.625	-17.8228
90.820306	79.948	-18.6281
91.186517	79.234	-17.9501
91.552728	78.705	-16.9587
91.918939	78.195	-15.4107
92.285150	77.824	-12.3894
92.651361	77.542	-9.2318
93.017572	77.214	-5.2476
93.383783	77.140	-0.8866
93.749994	77.260	1.4765
94.116205	77.325	2.6807
94.482415	77.382	4.1318
94.848626	77.454	6.0511
95.214837	77.578	8.3718
95.581048	77.771	10.0548
95.947259	77.906	10.8398
96.313470	78.023	11.7988
96.679681	78.279	12.7236
97.045892	78.570	12.7951
97.412103	78.746	12.3862
97.778314	78.802	11.9410
98.144524	78.758	11.6744
98.510735	78.669	11.9650
98.876946	78.612	12.8356
99.243157	78.617	13.8947
99.609368	78.643	14.6011
99.975579	78.597	15.2786
100.341790	78.570	16.9772
100.708001	78.709	19.2326
101.074212	78.890	21.4611
101.440423	79.083	24.2534
101.806634	79.404	27.1060
102.172844	79.867	29.4858
102.539055	80.542	31.0780
102.905266	81.341	31.1784
103.271477	82.115	30.2538
103.637688	82.854	28.2228
104.003899	83.407	24.5828
104.370110	83.661	20.4527
