* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.2 dBFS, measurement signal peak level -14.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 3:27:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: new measurements: trad: traditional foams on the right. Rscreen screen panels on the Right prolong the half wall; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 Screen panels prolong the 1.75 half wall Foam panels moved back into the room Delay -0.0361 ms (-12 mm, -0.49 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.9 ppm
* Measurement: R 120.Rscreen
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.941	-157.7426
15.380859	71.365	-158.7656
15.747070	71.245	-163.7675
16.113281	71.136	-163.2059
16.479492	71.789	-173.3356
16.845703	71.795	176.6679
17.211914	72.086	175.0789
17.578125	72.050	174.1499
17.944336	72.256	176.0482
18.310547	73.896	165.1437
18.676758	74.265	148.5203
19.042968	73.877	152.3725
19.409179	75.293	154.1333
19.775390	72.309	137.3422
20.141601	60.699	-164.0197
20.507812	70.847	-162.2345
20.874023	73.778	144.0865
21.240234	74.088	116.4372
21.606445	74.462	125.8621
21.972656	76.276	125.4426
22.338867	75.455	118.7950
22.705077	75.157	120.3737
23.071288	76.577	112.7457
23.437499	77.233	103.1709
23.803710	77.602	98.1832
24.169921	77.549	90.9336
24.536132	76.835	85.2009
24.902343	76.778	80.8372
25.268554	76.532	73.0732
25.634765	75.546	72.3991
26.000976	75.790	75.3492
26.367187	75.994	70.0701
26.733397	75.586	68.3917
27.099608	76.193	68.8803
27.465819	76.641	64.1927
27.832030	76.686	61.2441
28.198241	77.407	56.0760
28.564452	78.005	45.3854
28.930663	77.994	35.4245
29.296874	77.434	27.9179
29.663085	76.191	23.3563
30.029296	75.045	22.0103
30.395507	74.383	17.9236
30.761717	73.695	15.2750
31.127928	73.976	16.4388
31.494139	74.366	11.5201
31.860350	73.440	6.9244
32.226561	72.707	8.8287
32.592772	72.888	6.6021
