* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -23.5 dBFS, measurement signal peak level -10.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -14.0 dBFS using an acoustic timing reference
* Dated: Apr 28, 2026, 3:09:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0054 ms (-1.9 mm, -0.07 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -17.1 ppm
* Measurement: R 120.blue
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	72.826	-131.7080
15.380859	73.807	-139.3662
15.747070	74.013	-151.5977
16.113281	74.233	-157.7943
16.479492	75.270	-163.0827
16.845703	75.777	-171.4821
17.211914	75.756	-176.5958
17.578125	76.305	179.1719
17.944336	76.787	172.4103
18.310547	76.960	168.9764
18.676758	77.640	167.0245
19.042968	78.417	160.8242
19.409179	78.820	152.5375
19.775390	78.862	144.2399
20.141601	78.424	138.4454
20.507812	78.183	137.0942
20.874023	78.651	133.2489
21.240234	78.901	125.6984
21.606445	78.961	121.5254
21.972656	79.467	119.7109
22.338867	79.911	116.5315
22.705077	80.131	113.1494
23.071288	80.386	107.5858
23.437499	80.384	99.9540
23.803710	80.255	93.9409
24.169921	80.267	88.8159
24.536132	80.137	83.9169
24.902343	80.178	80.5159
25.268554	80.625	74.5207
25.634765	80.560	65.6461
26.000976	79.609	61.0331
26.367187	78.798	64.5359
26.733397	79.037	68.6619
27.099608	79.740	67.5289
27.465819	80.481	62.6863
27.832030	81.210	55.5997
28.198241	81.677	46.1383
28.564452	81.486	35.2386
28.930663	80.644	25.5693
29.296874	79.671	18.4309
29.663085	78.846	12.6229
30.029296	78.011	8.7943
30.395507	77.291	7.8550
30.761717	76.691	7.2435
31.127928	75.836	6.2833
31.494139	74.808	7.1470
31.860350	74.130	10.1697
32.226561	74.056	13.0486
32.592772	74.305	14.3641
32.958983	74.577	14.9008
33.325194	74.802	14.9380
33.691405	74.955	13.9133
34.057616	75.100	11.0891
34.423827	75.265	6.0094
34.790037	75.457	-0.4189
35.156248	75.611	-7.5012
35.522459	75.390	-14.3364
35.888670	74.722	-18.7612
36.254881	74.004	-21.4696
36.621092	73.232	-25.3152
36.987303	72.268	-29.1909
37.353514	71.282	-31.9845
37.719725	70.174	-32.2301
38.085936	69.542	-28.7701
38.452147	69.316	-29.3374
38.818357	68.199	-29.6259
39.184568	67.705	-21.1807
39.550779	68.148	-18.7285
39.916990	67.219	-14.8523
40.283201	67.503	-0.1318
40.649412	69.076	1.5660
41.015623	69.661	-3.8038
41.381834	70.160	-10.7797
41.748045	70.166	-20.8890
42.114256	69.236	-23.5096
42.480467	69.583	-15.5881
42.846677	71.141	-14.8989
43.212888	72.115	-20.3004
43.579099	72.448	-26.7078
