* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -27.1 dBFS, measurement signal peak level -15.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 3:19:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 Foam panels in traditional position: prolong the 1.75 half wall Delay 0.0012 ms (0.41 mm, 0.02 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.9 ppm
* Measurement: R 120.trad
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	70.312	-147.2598
15.380859	70.146	-159.5940
15.747070	69.790	-168.2065
16.113281	70.308	-169.5256
16.479492	71.980	-170.8658
16.845703	72.618	-179.1773
17.211914	71.735	174.7652
17.578125	71.933	171.2171
17.944336	73.041	163.2898
18.310547	74.026	162.2452
18.676758	75.051	160.7146
19.042968	73.780	153.8142
19.409179	72.096	155.0007
19.775390	74.816	135.5104
20.141601	77.171	101.2174
20.507812	75.186	83.1154
20.874023	72.618	119.1650
21.240234	76.001	130.6946
21.606445	75.333	125.7964
21.972656	74.875	128.5134
22.338867	75.682	119.1779
22.705077	75.435	112.4852
23.071288	76.278	114.5987
23.437499	77.411	106.7591
23.803710	77.376	97.0809
24.169921	77.514	91.0087
24.536132	77.527	84.2942
24.902343	76.923	82.1131
25.268554	76.786	80.3336
25.634765	76.273	73.0737
26.000976	75.573	70.7908
26.367187	76.065	70.2464
26.733397	76.192	66.6524
27.099608	76.035	67.2748
27.465819	76.541	64.8394
27.832030	76.726	58.8821
28.198241	77.096	55.8778
28.564452	77.765	49.6300
28.930663	77.616	39.3423
29.296874	76.848	28.6930
29.663085	75.847	18.9406
30.029296	74.756	16.3126
30.395507	74.666	19.6725
30.761717	74.655	18.2564
31.127928	73.888	17.4691
31.494139	73.704	17.9650
31.860350	73.825	15.2760
32.226561	73.907	13.5751
32.592772	73.894	9.4268
32.958983	72.939	3.6459
33.325194	71.960	2.6249
33.691405	71.913	2.0707
34.057616	71.952	2.5535
34.423827	72.188	3.4532
34.790037	71.857	-0.3373
35.156248	71.247	-3.6228
35.522459	71.647	-10.3162
35.888670	71.532	-20.1382
36.254881	70.605	-21.5175
36.621092	70.040	-23.2318
36.987303	68.161	-31.6007
37.353514	66.650	-29.1007
37.719725	68.158	-32.5350
38.085936	67.548	-42.0694
38.452147	64.964	-27.9982
38.818357	65.257	-13.5198
39.184568	63.696	-14.5634
39.550779	62.884	-3.6406
39.916990	65.582	-2.6635
40.283201	67.924	-10.4908
40.649412	68.987	-22.7311
41.015623	68.088	-38.2533
41.381834	66.013	-48.5084
41.748045	64.645	-55.5343
42.114256	62.107	-68.1072
42.480467	55.441	-78.1322
42.846677	24.932	171.1860
43.212888	55.257	71.9987
43.579099	60.974	34.0879
43.945310	63.142	11.5012
44.311521	64.375	12.9557
44.677732	65.840	11.9307
45.043943	65.046	6.2745
45.410154	64.662	9.0585
45.776365	66.889	4.4480
46.142576	69.219	-5.4255
46.508786	71.132	-18.5132
46.874997	71.949	-38.9690
47.241208	71.669	-59.3695
