* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Aug 11, 2026, 4:00:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target LRrms+phavg B = RX-MP Maximum gain 0.0 dB Lower frequency limit 20 Hz Upper frequency limit 225 Hz 
* Measurement: FR
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 -0.000 0.0001
2.213188 -0.000 0.0001
2.229226 -0.000 0.0001
2.245379 -0.000 0.0001
2.261650 -0.000 0.0001
2.278039 -0.000 0.0001
2.294547 -0.000 0.0001
2.311174 -0.000 0.0001
2.327922 -0.000 0.0001
2.344791 -0.000 0.0001
2.361782 -0.000 0.0001
2.378897 -0.000 0.0001
2.396135 0.000 0.0000
2.413499 0.000 0.0000
2.430988 0.000 0.0000
2.448604 0.000 -0.0000
2.466347 0.000 -0.0000
2.484219 0.000 -0.0000
2.502221 0.000 -0.0000
2.520353 0.000 -0.0000
2.538617 0.000 -0.0001
2.557013 0.000 -0.0001
2.575542 0.000 -0.0001
2.594205 0.000 -0.0001
2.613004 0.000 -0.0001
2.631939 0.000 -0.0001
2.651011 0.000 -0.0001
2.670221 0.000 -0.0001
2.689571 0.000 -0.0001
2.709061 0.000 -0.0001
2.728691 0.000 -0.0000
2.748465 -0.000 -0.0000
2.768381 -0.000 -0.0000
2.788442 -0.000 -0.0000
2.808648 -0.000 -0.0000
2.829001 -0.000 -0.0000
2.849501 -0.000 -0.0000
2.870150 -0.000 -0.0000
2.890948 -0.000 -0.0000
2.911897 -0.000 -0.0000
2.932998 -0.000 0.0000
2.954251 -0.000 0.0000
2.975659 -0.000 0.0000
2.997222 -0.000 0.0000
3.018941 -0.000 0.0000
3.040818 -0.000 0.0000
3.062853 -0.000 0.0000
3.085047 -0.000 0.0000
3.107403 -0.000 0.0000
3.129920 0.000 0.0000
3.152601 0.000 0.0000
3.175446 0.000 0.0000
3.198457 0.000 0.0000
3.221634 0.000 0.0000
3.244979 0.000 0.0000
3.268494 0.000 0.0000
3.292179 0.000 0.0000
3.316035 0.000 0.0000
3.340064 0.000 0.0000
3.364268 0.000 0.0000
3.388647 0.000 0.0000
3.413202 0.000 0.0000
3.437936 0.000 0.0000
3.462849 0.000 -0.0000
3.487942 -0.000 -0.0000
3.513217 -0.000 -0.0000
3.538675 -0.000 -0.0000
3.564318 -0.000 -0.0000
3.590146 -0.000 -0.0000
3.616162 -0.000 -0.0000
3.642366 -0.000 -0.0000
3.668760 -0.000 -0.0000
3.695346 -0.000 -0.0000
3.722124 -0.000 -0.0000
3.749096 -0.000 -0.0000
3.776263 -0.000 -0.0000
3.803627 -0.000 -0.0000
3.831190 -0.000 -0.0000
3.858953 0.000 0.0000
3.886916 0.000 0.0000
3.915082 0.000 0.0000
3.943453 0.000 0.0000
3.972028 0.000 0.0000
4.000811 0.000 0.0000
4.029803 0.000 0.0000
4.059005 0.000 0.0000
4.088418 0.000 0.0000
4.118044 0.000 0.0000
4.147885 0.000 0.0000
4.177942 0.000 0.0000
4.208218 0.000 0.0000
4.238712 -0.000 -0.0000
4.269427 -0.000 -0.0000
4.300366 -0.000 -0.0000
4.331528 -0.000 -0.0000
4.362916 -0.000 -0.0000
4.394531 -0.000 -0.0000
4.426376 -0.000 -0.0000
4.458451 -0.000 -0.0000
4.490759 -0.000 -0.0000
4.523301 -0.000 -0.0000
4.556079 -0.000 -0.0000
4.589094 0.000 0.0000
4.622348 0.000 0.0000
4.655844 0.000 0.0000
4.689582 0.000 0.0000
4.723564 0.000 0.0000
4.757793 0.000 0.0000
4.792270 0.000 0.0000
4.826997 0.000 0.0000
4.861975 0.000 0.0000
4.897207 0.000 0.0000
4.932695 0.000 0.0000
4.968439 -0.000 -0.0000
5.004442 -0.000 -0.0000
5.040706 -0.000 -0.0000
5.077234 -0.000 -0.0000
5.114025 -0.000 -0.0000
5.151084 -0.000 -0.0000
5.188410 -0.000 -0.0000
5.226008 -0.000 -0.0000
5.263878 -0.000 -0.0000
5.302022 -0.000 -0.0000
5.340442 0.000 -0.0000
5.379142 0.000 0.0000
5.418121 0.000 0.0000
5.457383 0.000 0.0000
5.496929 0.000 0.0000
5.536762 0.000 0.0000
5.576884 0.000 0.0000
5.617296 0.000 0.0000
5.658002 0.000 -0.0000
5.699002 -0.000 -0.0000
5.740299 -0.000 -0.0000
5.781896 -0.000 -0.0000
5.823794 -0.000 -0.0000
5.865995 -0.000 -0.0000
5.908503 -0.000 -0.0000
5.951318 -0.000 -0.0000
5.994444 -0.000 -0.0000
6.037882 0.000 -0.0000
6.081635 0.000 0.0000
6.125705 0.000 0.0000
6.170095 0.000 0.0000
6.214806 0.000 0.0000
6.259841 0.000 0.0000
6.305202 0.000 0.0000
6.350892 0.000 0.0000
6.396913 0.000 -0.0000
6.443268 -0.000 -0.0000
6.489959 -0.000 -0.0000
6.536988 -0.000 -0.0000
6.584357 -0.000 -0.0000
6.632070 -0.000 -0.0000
6.680129 -0.000 -0.0000
6.728536 -0.000 -0.0000
6.777294 0.000 0.0000
6.826405 0.000 0.0000
6.875872 0.000 0.0000
6.925697 0.000 0.0000
6.975884 0.000 0.0000
7.026434 0.000 0.0000
7.077350 0.000 0.0000
7.128635 0.000 -0.0000
7.180293 -0.000 -0.0000
7.232324 -0.000 -0.0000
7.284732 -0.000 -0.0000
7.337520 -0.000 -0.0000
7.390691 -0.000 -0.0000
7.444247 -0.000 -0.0000
7.498191 -0.000 -0.0000
7.552526 0.000 0.0000
7.607255 0.000 0.0000
7.662380 0.000 0.0000
7.717905 0.000 0.0000
7.773832 0.000 0.0000
7.830165 0.000 0.0000
7.886905 -0.000 0.0000
7.944057 -0.000 -0.0000
8.001623 -0.000 -0.0000
8.059606 -0.000 -0.0000
8.118009 -0.000 -0.0000
8.176836 -0.000 -0.0000
8.236088 0.000 -0.0000
8.295770 0.000 0.0000
8.355885 0.000 0.0000
8.416435 0.000 0.0000
8.477424 0.000 0.0000
8.538855 0.000 0.0000
8.600731 0.000 0.0000
8.663055 -0.000 0.0000
8.725832 -0.000 0.0000
8.789063 -0.000 0.0000
8.852752 -0.000 -0.0000
8.916902 -0.000 -0.0000
8.981518 0.000 -0.0001
9.046602 0.000 -0.0001
9.112157 0.000 -0.0001
9.178188 0.000 -0.0001
9.244696 0.000 -0.0000
9.311687 0.000 0.0001
9.379164 -0.000 0.0002
9.447129 -0.000 0.0003
9.515587 -0.000 0.0003
9.584541 -0.000 0.0002
9.653994 -0.000 -0.0000
9.723951 0.000 -0.0002
9.794415 0.000 -0.0004
9.865389 0.000 -0.0005
9.936878 0.000 -0.0004
10.008884 0.000 -0.0001
10.081413 0.000 0.0003
10.154467 -0.000 0.0006
10.228051 -0.000 0.0008
10.302167 -0.000 0.0007
10.376821 -0.000 0.0002
10.452016 0.000 -0.0003
10.527755 0.000 -0.0008
10.604044 0.000 -0.0010
10.680885 0.000 -0.0009
10.758283 0.000 -0.0003
10.836242 -0.000 0.0003
10.914766 -0.000 0.0009
10.993859 -0.000 0.0011
11.073525 -0.000 0.0010
11.153768 -0.000 0.0005
11.234593 0.000 0.0000
11.316003 0.000 -0.0004
11.398004 0.000 -0.0008
11.480599 0.000 -0.0012
11.563792 -0.000 -0.0015
11.647588 -0.000 -0.0016
11.731991 -0.000 -0.0011
11.817006 -0.000 0.0006
11.902637 0.000 0.0031
11.988888 0.000 0.0052
12.075764 0.000 0.0055
12.163270 0.000 0.0023
12.251411 0.000 -0.0039
12.340189 -0.000 -0.0099
12.429611 -0.000 -0.0126
12.519681 -0.000 -0.0084
12.610404 -0.000 0.0018
12.701784 0.000 0.0130
12.793827 0.000 0.0196
12.886536 0.000 0.0174
12.979917 0.000 0.0088
13.073975 -0.000 -0.0027
13.168715 -0.000 -0.0137
13.264140 -0.000 -0.0296
13.360258 0.000 -0.0538
13.457072 0.000 -0.0662
13.554587 0.000 -0.0452
13.652809 0.000 0.0406
13.751743 0.000 0.1658
13.851394 -0.000 0.2720
13.951767 -0.000 0.3051
14.052867 -0.000 0.2957
14.154700 -0.000 0.2345
14.257271 -0.000 0.0891
14.360585 -0.000 -0.2111
14.464648 -0.001 -0.6746
14.569465 -0.002 -1.1159
14.675041 -0.004 -1.3504
14.781382 -0.011 -1.4616
14.888494 -0.023 -1.4151
14.996382 -0.047 -1.0651
15.105052 -0.131 -0.2834
15.214510 -0.270 0.8903
15.324760 -0.428 2.3496
15.435810 -0.579 4.0126
15.547664 -0.727 6.0043
15.660329 -0.864 8.2115
15.773810 -0.975 10.4476
15.888114 -1.055 12.7299
16.003246 -1.115 15.0547
16.119212 -1.163 17.3493
16.236018 -1.204 19.5707
16.353671 -1.237 21.7525
16.472176 -1.270 23.9542
16.591541 -1.307 26.2159
16.711770 -1.346 28.5103
16.832870 -1.384 30.8133
16.954848 -1.422 33.1105
17.077710 -1.459 35.4196
17.201462 -1.491 37.7605
17.326111 -1.516 40.1295
17.451663 -1.537 42.5364
17.578125 -1.566 45.0333
17.705503 -1.609 47.7149
17.833805 -1.657 50.4730
17.963036 -1.689 53.0708
18.093203 -1.698 55.3641
18.224314 -1.696 57.6576
18.356375 -1.702 60.3110
18.489393 -1.718 63.3069
18.623375 -1.741 66.3374
18.758327 -1.767 69.4634
18.894258 -1.797 72.8109
19.031174 -1.834 75.0530
19.169081 -1.882 75.7783
19.307988 -1.936 75.0670
19.447902 -1.987 70.2925
19.588829 -2.032 12.5773
19.730778 -2.069 -74.7824
19.873756 -2.098 -82.6818
20.017769 -2.120 -85.1463
20.162826 -2.141 -86.3057
20.308934 -2.165 -86.8795
20.456101 -2.188 -87.2745
20.604334 -2.202 -87.8060
20.753642 -2.212 -88.3984
20.904031 -2.238 -89.0058
21.055511 -2.289 -89.6018
21.208087 -2.345 -90.1544
21.361770 -2.385 -90.6596
21.516566 -2.420 -91.1298
21.672484 -2.475 -91.5516
21.829532 -2.553 -91.9248
21.987718 -2.632 -92.2315
22.147050 -2.697 -92.4596
22.307536 -2.762 -92.6126
22.469186 -2.843 -92.6929
22.632007 -2.931 -92.6939
22.796008 -3.008 -92.6020
22.961197 -3.075 -92.4137
23.127583 -3.145 -92.1373
23.295175 -3.223 -91.7621
23.463982 -3.281 -91.3305
23.634011 -3.305 -90.8492
23.805273 -3.323 -90.3432
23.977776 -3.354 -89.8342
24.151529 -3.380 -89.3263
24.326541 -3.376 -88.8341
24.502821 -3.360 -88.3583
24.680379 -3.360 -87.9084
24.859223 -3.365 -87.4821
25.039363 -3.355 -87.0763
25.220808 -3.340 -86.6938
25.403569 -3.340 -86.3409
25.587654 -3.349 -86.0156
25.773072 -3.349 -85.7206
25.959835 -3.355 -85.4419
26.147950 -3.396 -85.1431
26.337429 -3.459 -84.8076
26.528281 -3.512 -84.3829
26.720516 -3.572 -83.8551
26.914144 -3.664 -83.1809
27.109175 -3.763 -82.3606
27.305619 -3.840 -81.3838
27.503487 -3.914 -80.2524
27.702788 -3.995 -78.9797
27.903534 -4.056 -77.4941
28.105735 -4.088 -75.7822
28.309400 -4.105 -73.7665
28.514542 -4.101 -71.4626
28.721170 -4.045 -68.9422
28.929296 -3.953 -66.2794
29.138929 -3.854 -63.5918
29.350082 -3.722 -60.9436
29.562765 -3.544 -58.3873
29.776989 -3.351 -55.9599
29.992765 -3.149 -53.6731
30.210105 -2.925 -51.5298
30.429020 -2.690 -49.5276
30.649521 -2.457 -47.6611
30.871620 -2.214 -45.9291
31.095328 -1.962 -44.3263
31.320658 -1.725 -42.8462
31.547620 -1.490 -41.4735
31.776228 -1.248 -40.1970
32.006491 -1.022 -38.9735
32.238423 -0.808 -37.7840
32.472036 -0.594 -36.5940
32.707342 -0.391 -35.4174
32.944353 -0.216 -34.2571
33.183081 -0.094 -33.1378
33.423540 -0.030 -32.0665
33.665740 -0.012 -31.0402
33.909696 -0.002 -30.0568
34.155420 0.001 -29.0907
34.402924 -0.002 -28.1307
34.652222 0.000 -27.1624
