* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 11, 2026, 4:03:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = RFilter B = X801 
* Measurement: FRX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 0.024 -0.5329
2.563477 -0.045 -0.5045
2.929687 0.025 -0.7193
3.295898 -0.047 -0.6604
3.662109 0.027 -0.9134
4.028320 -0.049 -0.8256
4.394531 0.029 -1.1178
4.760742 -0.051 -1.0026
5.126953 0.032 -1.3349
5.493164 -0.054 -1.1944
5.859375 0.036 -1.5679
6.225586 -0.058 -1.4043
6.591797 0.040 -1.8202
6.958007 -0.062 -1.6365
7.324218 0.044 -2.0963
7.690429 -0.067 -1.8960
8.056640 0.050 -2.4013
8.422851 -0.073 -2.1889
8.789062 0.056 -2.7420
9.155273 -0.080 -2.5234
9.521484 0.063 -3.1271
9.887695 -0.088 -2.9101
10.253906 0.072 -3.5682
10.620117 -0.098 -3.3637
10.986327 0.083 -4.0817
11.352538 -0.109 -3.9055
11.718749 0.095 -4.6912
12.084960 -0.123 -4.5685
12.451171 0.110 -5.4346
12.817382 -0.140 -5.4081
13.183593 0.129 -6.3768
13.549804 -0.162 -6.5321
13.916015 0.153 -7.6508
14.282226 -0.190 -8.2244
14.648436 0.183 -9.6247
15.014647 -0.234 -11.8941
15.380858 -0.262 -14.5304
15.747069 -1.309 -13.4703
16.113280 -0.835 -12.2918
16.479491 -1.679 -11.9090
16.845702 -0.969 -11.2039
17.211913 -2.020 -11.5985
17.578124 -1.018 -10.3015
17.944335 -2.402 -12.2804
18.310546 -0.964 -9.2141
18.676756 -2.770 -15.4445
19.042967 -0.697 -10.2973
19.409178 -4.278 -40.2184
19.775389 -4.287 24.8662
20.141600 -1.081 -4.9116
20.507811 -3.172 1.7688
20.874022 -1.539 -5.5258
21.240233 -3.028 -1.9058
21.606444 -1.917 -5.5706
21.972655 -3.156 -3.1222
22.338866 -2.343 -5.0753
22.705076 -3.422 -2.6030
23.071287 -2.745 -3.5834
23.437498 -3.699 -0.5504
23.803709 -2.982 -0.8144
24.169920 -3.757 1.8658
24.536131 -3.051 1.7111
24.902342 -3.689 3.7375
25.268553 -3.060 3.3703
25.634764 -3.642 4.9687
26.000975 -3.083 4.3004
26.367186 -3.742 5.4216
26.733396 -3.319 5.3217
27.099607 -4.036 6.8986
27.465818 -3.672 7.8944
27.832029 -4.318 10.5111
28.198240 -3.892 12.2363
28.564451 -4.390 15.9033
28.930662 -3.755 17.9117
29.296873 -4.037 21.2446
29.663084 -3.283 22.9932
30.029295 -3.340 25.3493
30.395506 -2.577 26.1350
30.761716 -2.534 27.5161
31.127927 -1.787 27.5008
31.494138 -1.717 27.7481
31.860349 -1.036 27.2315
32.226560 -0.959 26.3827
32.592771 -0.389 25.5360
32.958982 -0.260 23.6511
33.325193 0.093 21.2621
33.691404 -0.111 19.3288
34.057615 0.085 18.4375
34.423826 -0.102 17.1528
34.790036 0.077 16.7223
35.156247 -0.095 15.6286
35.522458 0.070 15.4492
35.888669 -0.087 14.4510
36.254880 0.062 14.4289
36.621091 -0.080 13.4916
36.987302 0.056 13.5724
37.353513 -0.074 12.6828
37.719724 0.050 12.8272
38.085935 -0.068 11.9807
38.452145 0.045 12.1643
38.818356 -0.064 11.3511
39.184567 0.042 11.5671
39.550778 -0.060 10.7745
39.916989 0.038 11.0189
40.283200 -0.057 10.2380
40.649411 0.034 10.5057
41.015622 -0.053 9.7343
41.381833 0.030 10.0110
41.748044 -0.049 9.2589
42.114255 0.027 9.5284
42.480465 -0.047 8.8014
42.846676 0.026 9.0595
43.212887 -0.047 8.3444
43.579098 0.025 8.6095
43.945309 -0.045 7.8804
44.311520 0.024 8.1653
44.677731 -0.043 7.4138
45.043942 0.021 7.7163
45.410153 -0.040 6.9453
45.776364 0.018 7.2567
46.142575 -0.037 6.4691
46.508785 0.016 6.7843
46.874996 -0.035 5.9806
47.241207 0.013 6.2942
47.607418 -0.032 5.4758
47.973629 0.010 5.7829
48.339840 -0.029 4.9496
48.706051 0.007 5.2459
49.072262 -0.026 4.3978
49.438473 0.004 4.6782
49.804684 -0.023 3.8141
50.170895 0.001 4.0748
50.537105 -0.020 3.1935
50.903316 -0.002 3.4281
51.269527 -0.017 2.5301
51.635738 -0.004 2.7311
52.001949 -0.015 1.8153
52.368160 -0.007 1.9744
52.734371 -0.012 1.0396
53.100582 -0.010 1.1489
53.466793 -0.010 0.1901
53.833004 -0.012 0.2420
54.199215 -0.007 -0.7476
54.565425 -0.014 -0.7639
54.931636 -0.005 -1.7927
55.297847 -0.017 -1.8905
55.664058 -0.003 -2.9700
56.030269 -0.019 -3.1677
56.396480 -0.001 -4.3148
56.762691 -0.020 -4.6362
57.128902 0.001 -5.8786
57.495113 -0.022 -6.3579
57.861324 0.003 -7.7394
58.227535 -0.024 -8.4320
58.593745 0.005 -10.0260
58.959956 -0.026 -11.0391
59.326167 0.007 -12.9853
59.692378 -0.029 -14.5705
60.058589 0.009 -17.2310
60.424800 -0.032 -20.5055
60.791011 -0.318 -25.9506
61.157222 -1.165 -29.2008
61.523433 -1.868 -30.3400
61.889644 -2.611 -30.3611
62.255854 -3.183 -30.0203
62.622065 -3.831 -28.7556
62.988276 -4.279 -27.4857
63.354487 -4.817 -25.4563
63.720698 -5.147 -23.6315
64.086909 -5.561 -21.1350
64.453120 -5.785 -19.1560
64.819331 -6.102 -16.3439
65.185542 -6.219 -14.2885
65.551753 -6.439 -11.3687
65.917964 -6.455 -9.3535
66.284174 -6.578 -6.5521
66.650385 -6.521 -4.7342
67.016596 -6.559 -2.0538
67.382807 -6.422 -0.5265
67.749018 -6.387 1.8534
68.115229 -6.180 2.9991
68.481440 -6.089 4.8803
68.847651 -5.840 5.6348
69.213862 -5.694 6.9937
69.580073 -5.411 7.1886
69.946284 -5.235 7.8876
70.312494 -4.937 7.3865
70.678705 -4.774 7.2903
71.044916 -4.497 6.1347
71.411127 -4.373 5.1492
71.777338 -4.170 3.2575
72.143549 -4.145 1.4477
72.509760 -4.085 -1.0535
72.875971 -4.231 -3.2688
73.242182 -4.342 -5.8464
73.608393 -4.678 -7.9788
73.974604 -4.956 -10.0610
74.340814 -5.452 -11.6009
74.707025 -5.858 -12.7294
75.073236 -6.444 -13.2317
75.439447 -6.893 -13.2943
75.805658 -7.503 -12.7395
76.171869 -7.929 -11.8506
76.538080 -8.526 -10.4008
76.904291 -8.897 -8.6562
77.270502 -9.436 -6.4353
77.636713 -9.726 -4.1019
78.002924 -10.193 -1.2795
78.369134 -10.393 1.4282
78.735345 -10.786 4.7226
79.101556 -10.886 7.7178
79.467767 -11.191 11.3167
79.833978 -11.196 14.4331
80.200189 -11.410 18.2087
80.566400 -11.328 21.3236
80.932611 -11.452 25.2028
81.298822 -11.282 28.2483
81.665033 -11.316 32.0673
82.031244 -11.068 34.9662
82.397454 -11.015 38.6194
82.763665 -10.704 41.3275
83.129876 -10.565 44.7765
83.496087 -10.191 47.2071
83.862298 -9.977 50.3326
84.228509 -9.551 52.4769
84.594720 -9.269 55.2327
84.960931 -8.796 57.0908
85.327142 -8.442 59.4267
85.693353 -7.928 60.8872
86.059563 -7.515 62.7648
86.425774 -6.959 63.8259
86.791985 -6.488 65.2086
87.158196 -5.881 65.8153
87.524407 -5.345 66.5026
87.890618 -4.700 66.4682
88.256829 -4.107 66.3623
88.623040 -3.426 65.4712
88.989251 -2.790 64.3318
89.355462 -2.082 62.2181
89.721673 -1.457 59.5131
90.087883 -0.815 55.8024
90.454094 -0.307 51.0581
90.820305 0.001 45.2244
91.186516 -0.021 40.2211
91.552727 0.000 36.2609
91.918938 -0.021 32.2500
92.285149 -0.000 27.9832
92.651360 -0.197 22.8261
93.017571 -0.595 18.6912
93.383782 -1.069 15.5670
93.749993 -1.514 13.3447
94.116203 -1.983 11.5094
94.482414 -2.406 10.3978
94.848625 -2.829 9.5072
95.214836 -3.180 9.1233
95.581047 -3.538 8.6961
95.947258 -3.822 8.7088
96.313469 -4.121 8.4800
96.679680 -4.361 8.7039
97.045891 -4.604 8.6265
97.412102 -4.794 8.8760
97.778313 -4.999 8.7652
98.144523 -5.156 8.9340
98.510734 -5.346 8.6969
98.876945 -5.493 8.8285
99.243156 -5.668 8.4847
99.609367 -5.816 8.4973
99.975578 -5.993 8.0446
100.341789 -6.155 7.9439
100.708000 -6.354 7.4329
101.074211 -6.535 7.3346
101.440422 -6.754 6.7920
101.806633 -6.963 6.7307
102.172843 -7.205 6.2176
102.539054 -7.448 6.2542
102.905265 -7.716 5.9081
103.271476 -7.978 6.1227
103.637687 -8.262 5.9351
104.003898 -8.539 6.3421
104.370109 -8.838 6.3199
104.736320 -9.130 6.9835
105.102531 -9.431 7.1939
105.468742 -9.726 8.0849
105.834953 -10.025 8.5086
106.201163 -10.315 9.6173
106.567374 -10.611 10.2321
106.933585 -10.893 11.5861
107.299796 -11.175 12.3787
107.666007 -11.446 13.9281
108.032218 -11.714 14.8796
108.398429 -11.973 16.6011
108.764640 -12.229 17.7245
109.130851 -12.466 19.6381
109.497062 -12.702 20.8867
109.863272 -12.919 22.9458
110.229483 -13.135 24.2943
110.595694 -13.334 26.4837
110.961905 -13.530 27.9568
111.328116 -13.705 30.2585
111.694327 -13.880 31.8130
112.060538 -14.031 34.2181
112.426749 -14.185 35.8517
112.792960 -14.312 38.3523
113.159171 -14.440 40.0544
113.525382 -14.541 42.6012
113.891592 -14.646 44.3536
114.257803 -14.721 46.9398
114.624014 -14.804 48.7322
114.990225 -14.853 51.3618
115.356436 -14.910 53.1843
115.722647 -14.933 55.8167
116.088858 -14.964 57.6574
116.455069 -14.960 60.2658
116.821280 -14.968 62.1090
117.187491 -14.937 64.6909
117.553702 -14.919 66.5090
117.919912 -14.865 69.0320
118.286123 -14.824 70.8237
118.652334 -14.747 73.2826
119.018545 -14.683 75.0491
119.384756 -14.581 77.4188
119.750967 -14.495 79.1154
120.117178 -14.373 81.3794
120.483389 -14.268 83.0070
120.849600 -14.128 85.1655
121.215811 -14.002 86.7148
121.582022 -13.845 88.7282
121.948232 -13.706 90.1828
122.314443 -13.535 92.0749
122.680654 -13.380 93.4377
123.046865 -13.196 95.1927
123.413076 -13.028 96.4329
123.779287 -12.837 98.0273
124.145498 -12.661 99.1568
124.511709 -12.465 100.6114
124.877920 -12.283 101.6382
125.244131 -12.081 102.9510
125.610342 -11.897 103.8541
125.976552 -11.697 105.0465
126.342763 -11.510 105.8655
126.708974 -11.311 106.9400
127.075185 -11.123 107.6727
127.441396 -10.924 108.6310
127.807607 -10.738 109.2765
128.173818 -10.543 110.1527
128.540029 -10.358 110.7392
128.906240 -10.165 111.5483
129.272451 -9.977 112.0810
129.638662 -9.784 112.8038
130.004872 -9.596 113.2875
130.371083 -9.401 113.9499
130.737294 -9.209 114.3791
131.103505 -9.009 114.9681
131.469716 -8.811 115.3109
131.835927 -8.610 115.8001
132.202138 -8.407 116.0727
132.568349 -8.200 116.4599
132.934560 -7.991 116.6340
133.300771 -7.777 116.8835
133.666981 -7.564 116.9043
134.033192 -7.351 117.0027
134.399403 -7.136 116.8720
134.765614 -6.924 116.7870
135.131825 -6.711 116.4736
135.498036 -6.506 116.1585
135.864247 -6.308 115.6347
136.230458 -6.121 115.1228
136.596669 -5.941 114.4054
136.962880 -5.779 113.7042
137.329091 -5.625 112.8002
137.695301 -5.499 111.9109
138.061512 -5.386 110.8877
138.427723 -5.301 109.9009
138.793934 -5.231 108.8270
139.160145 -5.188 107.8179
139.526356 -5.163 106.7390
139.892567 -5.169 105.7805
140.258778 -5.186 104.8177
140.624989 -5.231 103.9983
140.991200 -5.281 103.2194
141.357411 -5.353 102.5704
141.723621 -5.430 101.9786
142.089832 -5.524 101.5492
142.456043 -5.616 101.1834
142.822254 -5.722 100.9830
143.188465 -5.817 100.8369
143.554676 -5.925 100.8154
143.920887 -6.023 100.8657
