* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 4:14:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Copy of L 120.Rscreen.orig
* Measurement: L120 [FDW8]
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.576 -159.8014
15.123451 69.661 -161.3081
15.233042 69.769 -162.7707
15.343426 69.886 -164.1783
15.454611 70.009 -165.5184
15.566602 70.138 -166.7945
15.679404 70.270 -168.0202
15.793023 70.402 -169.2033
15.907466 70.537 -170.3304
16.022738 70.670 -171.4288
16.138845 70.802 -172.5299
16.255794 70.933 -173.6171
16.373590 71.061 -174.7107
16.492240 71.187 -175.8510
16.611750 71.311 -177.0300
16.732125 71.434 -178.2543
16.853373 71.556 -179.5567
16.975500 71.680 179.0653
17.098511 71.805 177.6132
17.222414 71.933 176.0687
17.347215 72.067 174.4366
17.472920 72.206 172.7197
17.599536 72.351 170.9111
17.727069 72.505 169.0173
17.855527 72.667 167.0451
17.984915 72.839 164.9948
18.115241 73.022 162.8727
18.246512 73.216 160.6951
18.378734 73.419 158.4722
18.511914 73.634 156.2054
18.646058 73.858 153.9332
18.781175 74.090 151.6671
18.917272 74.328 149.4084
19.054354 74.568 147.2200
19.192430 74.808 145.0869
19.331506 75.044 143.0310
19.471590 75.270 141.1040
19.612689 75.483 139.2673
19.754811 75.680 137.5573
19.897962 75.856 135.9830
20.042151 76.011 134.5160
20.187385 76.140 133.1727
20.333671 76.244 131.9368
20.481017 76.324 130.7856
20.629431 76.381 129.7098
20.778920 76.415 128.6924
20.929493 76.433 127.6901
21.081157 76.436 126.7058
21.233919 76.428 125.6939
21.387789 76.415 124.6316
21.542774 76.398 123.5107
21.698882 76.384 122.2876
21.856121 76.374 120.9690
22.014499 76.369 119.5336
22.174025 76.372 117.9753
22.334708 76.383 116.3055
22.496554 76.400 114.5166
22.659573 76.423 112.6270
22.823774 76.449 110.6519
22.989164 76.477 108.5923
23.155753 76.502 106.4849
23.323549 76.523 104.3163
23.492562 76.537 102.1308
23.662798 76.541 99.9117
23.834269 76.534 97.6969
24.006982 76.513 95.4765
24.180946 76.478 93.2748
24.356171 76.428 91.0921
24.532666 76.363 88.9396
24.710440 76.283 86.8268
24.889502 76.189 84.7559
25.069862 76.082 82.7411
25.251528 75.963 80.7814
25.434511 75.835 78.8901
25.618820 75.699 77.0673
25.804465 75.557 75.3227
25.991454 75.410 73.6581
26.179799 75.261 72.0784
26.369509 75.110 70.5859
26.560593 74.959 69.1818
