* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 3:22:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FL Cal file effects not included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: LFilter
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -83.285 178.1508
0.732422 -82.525 -4.8496
1.098633 -88.954 -173.9450
1.464844 -74.892 -15.2216
1.831055 -73.791 -27.7983
2.197266 -63.943 -24.6823
2.563477 -60.195 -31.2371
2.929688 -54.618 -32.8366
3.295899 -51.082 -37.9290
3.662110 -47.059 -40.7274
4.028321 -43.990 -45.3413
4.394532 -40.798 -48.6537
4.760743 -38.138 -53.0791
5.126954 -35.475 -56.6769
5.493164 -33.144 -61.0392
5.859375 -30.852 -64.8331
6.225586 -28.784 -69.1938
6.591797 -26.769 -73.1454
6.958008 -24.914 -77.5438
7.324219 -23.114 -81.6410
7.690430 -21.433 -86.1070
8.056641 -19.806 -90.3508
8.422852 -18.270 -94.9134
8.789063 -16.786 -99.3159
9.155274 -15.372 -104.0057
9.521485 -14.007 -108.5887
9.887696 -12.697 -113.4427
10.253907 -11.434 -118.2404
10.620118 -10.214 -123.3074
10.986329 -9.038 -128.3716
11.352540 -7.896 -133.7223
11.718751 -6.797 -139.1359
12.084962 -5.724 -144.8848
12.451173 -4.691 -150.7957
12.817384 -3.679 -157.1711
13.183595 -2.707 -163.9208
13.549806 -1.753 -171.7466
13.916017 -1.042 179.2496
14.282228 -0.608 170.5522
14.648439 -0.329 162.6010
15.014650 -0.152 155.2829
15.380861 -0.051 148.6060
15.747072 0.000 142.4697
16.113283 0.007 136.9328
16.479493 0.015 131.8614
16.845704 0.005 127.1486
17.211915 0.018 122.6957
17.578126 -0.004 118.3041
17.944337 0.003 114.2587
18.310548 -0.004 109.6769
18.676759 -0.134 105.2021
19.042970 -0.341 101.0825
19.409181 -0.627 97.7042
19.775392 -0.909 95.1192
20.141603 -1.151 93.2751
20.507814 -1.296 91.6824
20.874025 -1.394 90.0825
21.240236 -1.447 88.2185
21.606447 -1.537 86.1190
21.972658 -1.663 83.9690
22.338869 -1.864 82.0139
22.705080 -2.096 80.5006
23.071291 -2.355 79.5881
23.437502 -2.564 79.2653
23.803713 -2.730 79.3218
24.169924 -2.806 79.6157
24.536135 -2.832 79.8670
24.902346 -2.790 80.0550
25.268557 -2.723 80.0096
25.634768 -2.619 79.7389
26.000979 -2.536 79.1409
26.367190 -2.468 78.4467
26.733401 -2.453 77.7111
27.099612 -2.457 77.2801
27.465823 -2.474 77.1225
27.832033 -2.459 77.3811
28.198244 -2.404 77.9004
28.564455 -2.256 78.6339
28.930666 -2.037 79.1607
29.296877 -1.738 79.4938
29.663088 -1.384 79.2839
30.029299 -0.991 78.5365
30.395510 -0.595 76.9917
30.761721 -0.250 74.6312
31.127932 -0.053 71.6790
31.494143 0.002 69.0834
31.860354 0.009 66.9786
32.226565 0.010 65.2423
32.592776 0.010 63.6526
32.958987 0.010 62.2373
33.325198 0.011 60.8753
33.691409 0.010 59.6347
34.057620 0.011 58.4133
34.423831 0.010 57.2895
34.790042 0.011 56.1679
35.156253 0.010 55.1300
35.522464 0.011 54.0851
35.888675 0.010 53.1139
36.254886 0.011 52.1315
36.621097 0.009 51.2140
36.987308 0.011 50.2836
37.353519 0.009 49.4098
37.719730 0.011 48.5242
38.085941 0.009 47.6869
38.452152 0.011 46.8403
38.818363 0.009 46.0351
39.184573 0.011 45.2229
39.550784 0.009 44.4453
39.916995 0.011 43.6628
40.283206 0.009 42.9093
40.649417 0.011 42.1537
41.015628 0.009 41.4218
41.381839 0.011 40.6896
41.748050 0.009 39.9765
42.114261 0.011 39.2657
42.480472 0.009 38.5697
42.846683 0.011 37.8765
43.212894 0.010 37.1967
43.579105 0.011 36.5191
43.945316 0.010 35.8534
44.311527 0.011 35.1894
44.677738 0.010 34.5365
45.043949 0.011 33.8840
45.410160 0.010 33.2422
45.776371 0.011 32.6003
46.142582 0.010 31.9673
46.508793 0.011 31.3348
46.875004 0.010 30.7091
47.241215 0.011 30.0845
47.607426 0.010 29.4644
47.973637 0.011 28.8463
48.339848 0.010 28.2303
48.706059 0.011 27.6171
49.072270 0.010 27.0038
49.438481 0.011 26.3938
49.804692 0.010 25.7816
50.170902 0.011 25.1731
50.537113 0.010 24.5603
50.903324 0.011 23.9512
51.269535 0.010 23.3362
51.635746 0.011 22.7240
52.001957 0.010 22.1049
52.368168 0.011 21.4866
52.734379 0.010 20.8613
53.100590 0.011 20.2331
53.466801 0.010 19.5982
53.833012 0.011 18.9560
54.199223 0.010 18.3058
54.565434 0.011 17.6435
54.931645 0.010 16.9670
55.297856 0.011 16.2723
55.664067 0.008 15.5464
56.030278 0.005 14.7920
56.396489 -0.008 13.9959
56.762700 -0.029 13.2076
57.128911 -0.060 12.4454
57.495122 -0.093 11.7484
57.861333 -0.127 11.0941
58.227544 -0.156 10.4794
58.593755 -0.181 9.8809
58.959966 -0.198 9.2966
59.326177 -0.209 8.6966
59.692388 -0.211 8.0860
60.058599 -0.205 7.4199
60.424810 -0.189 6.6891
60.791021 -0.164 5.8397
61.157232 -0.130 4.8276
61.523442 -0.097 3.5676
61.889653 -0.078 1.9990
62.255864 -0.100 0.0596
62.622075 -0.202 -2.1558
62.988286 -0.417 -4.3768
63.354497 -0.738 -6.1618
63.720708 -1.121 -7.2336
64.086919 -1.505 -7.5511
64.453130 -1.856 -7.2922
64.819341 -2.156 -6.6088
65.185552 -2.404 -5.6691
65.551763 -2.601 -4.5380
65.917974 -2.750 -3.2974
66.284185 -2.850 -1.9604
66.650396 -2.901 -0.6017
67.016607 -2.900 0.7459
67.382818 -2.851 1.9924
67.749029 -2.757 3.1033
68.115240 -2.627 4.0052
68.481451 -2.467 4.6977
68.847662 -2.285 5.1608
69.213873 -2.083 5.4238
69.580084 -1.863 5.4509
69.946295 -1.623 5.2347
70.312506 -1.370 4.7127
70.678717 -1.106 3.8617
71.044928 -0.843 2.6135
71.411139 -0.593 0.9588
71.777350 -0.375 -1.1176
72.143561 -0.208 -3.5222
72.509771 -0.100 -6.1315
72.875982 -0.042 -8.8132
73.242193 -0.024 -11.5519
73.608404 -0.039 -14.3805
73.974615 -0.093 -17.3748
74.340826 -0.204 -20.5110
74.707037 -0.384 -23.7140
75.073248 -0.636 -26.8197
75.439459 -0.947 -29.7583
75.805670 -1.306 -32.5047
76.171881 -1.714 -35.1142
76.538092 -2.184 -37.5377
76.904303 -2.722 -39.6662
77.270514 -3.324 -41.2829
77.636725 -3.959 -42.2743
78.002936 -4.601 -42.6136
78.369147 -5.221 -42.3806
78.735358 -5.810 -41.6744
79.101569 -6.355 -40.5990
79.467780 -6.860 -39.2341
79.833991 -7.321 -37.6486
80.200202 -7.744 -35.8868
80.566413 -8.127 -33.9916
80.932624 -8.475 -31.9855
81.298835 -8.787 -29.9001
81.665046 -9.069 -27.7464
82.031257 -9.316 -25.5517
82.397468 -9.537 -23.3193
82.763679 -9.726 -21.0746
83.129890 -9.891 -18.8151
83.496101 -10.027 -16.5653
83.862311 -10.141 -14.3182
84.228522 -10.230 -12.0980
84.594733 -10.297 -9.8949
84.960944 -10.342 -7.7331
85.327155 -10.367 -5.6002
85.693366 -10.372 -3.5196
86.059577 -10.359 -1.4770
86.425788 -10.326 0.5043
86.791999 -10.278 2.4393
87.158210 -10.212 4.3048
87.524421 -10.132 6.1163
87.890632 -10.035 7.8510
88.256843 -9.924 9.5246
88.623054 -9.799 11.1148
88.989265 -9.661 12.6360
89.355476 -9.508 14.0650
89.721687 -9.344 15.4151
90.087898 -9.167 16.6629
90.454109 -8.980 17.8208
90.820320 -8.781 18.8657
91.186531 -8.573 19.8083
91.552742 -8.355 20.6263
91.918953 -8.131 21.3284
92.285164 -7.898 21.8929
92.651375 -7.662 22.3280
93.017586 -7.421 22.6140
93.383797 -7.179 22.7600
93.750008 -6.936 22.7484
94.116219 -6.696 22.5897
94.482430 -6.461 22.2696
94.848641 -6.233 21.8008
95.214851 -6.014 21.1741
95.581062 -5.809 20.4066
95.947273 -5.619 19.4965
96.313484 -5.447 18.4658
96.679695 -5.294 17.3200
97.045906 -5.164 16.0851
97.412117 -5.057 14.7735
97.778328 -4.976 13.4126
98.144539 -4.919 12.0197
98.510750 -4.887 10.6210
98.876961 -4.879 9.2365
99.243172 -4.894 7.8858
99.609383 -4.929 6.5885
99.975594 -4.984 5.3542
100.341805 -5.054 4.1989
100.708016 -5.139 3.1219
101.074227 -5.234 2.1345
101.440438 -5.339 1.2280
101.806649 -5.450 0.4092
102.172860 -5.566 -0.3359
102.539071 -5.686 -1.0045
102.905282 -5.808 -1.6129
103.271493 -5.932 -2.1620
103.637704 -6.058 -2.6654
104.003915 -6.185 -3.1269
104.370126 -6.313 -3.5537
104.736337 -6.445 -3.9497
105.102548 -6.579 -4.3153
105.468759 -6.717 -4.6519
105.834970 -6.861 -4.9557
106.201180 -7.009 -5.2233
106.567391 -7.163 -5.4501
106.933602 -7.323 -5.6260
107.299813 -7.488 -5.7490
107.666024 -7.659 -5.8025
108.032235 -7.835 -5.7883
108.398446 -8.014 -5.6889
108.764657 -8.195 -5.5075
109.130868 -8.378 -5.2334
109.497079 -8.559 -4.8674
109.863290 -8.738 -4.4103
110.229501 -8.913 -3.8594
110.595712 -9.082 -3.2256
110.961923 -9.244 -2.5048
111.328134 -9.397 -1.7131
111.694345 -9.541 -0.8507
112.060556 -9.673 0.0692
112.426767 -9.795 1.0385
112.792978 -9.906 2.0499
113.159189 -10.005 3.0931
113.525400 -10.092 4.1634
113.891611 -10.168 5.2515
114.257822 -10.232 6.3537
114.624033 -10.284 7.4594
114.990244 -10.324 8.5627
115.356455 -10.354 9.6560
115.722666 -10.372 10.7291
116.088877 -10.381 11.7786
116.455088 -10.380 12.7961
116.821299 -10.371 13.7761
117.187510 -10.354 14.7196
117.553720 -10.332 15.6157
117.919931 -10.304 16.4733
118.286142 -10.272 17.2811
118.652353 -10.236 18.0482
119.018564 -10.198 18.7696
119.384775 -10.159 19.4486
119.750986 -10.118 20.0895
120.117197 -10.077 20.6906
120.483408 -10.037 21.2601
120.849619 -9.998 21.7989
121.215830 -9.960 22.3113
121.582041 -9.923 22.8035
121.948252 -9.888 23.2765
122.314463 -9.854 23.7363
122.680674 -9.822 24.1855
123.046885 -9.791 24.6264
123.413096 -9.761 25.0623
123.779307 -9.732 25.4954
124.145518 -9.703 25.9254
124.511729 -9.675 26.3571
124.877940 -9.646 26.7861
125.244151 -9.616 27.2169
125.610362 -9.586 27.6461
125.976573 -9.554 28.0728
126.342784 -9.521 28.4964
126.708995 -9.486 28.9139
127.075206 -9.449 29.3226
127.441417 -9.411 29.7220
127.807628 -9.371 30.1079
128.173839 -9.330 30.4789
128.540049 -9.287 30.8343
128.906260 -9.243 31.1697
129.272471 -9.199 31.4856
129.638682 -9.154 31.7812
130.004893 -9.109 32.0522
130.371104 -9.065 32.3038
130.737315 -9.022 32.5309
131.103526 -8.981 32.7363
131.469737 -8.941 32.9234
131.835948 -8.904 33.0895
132.202159 -8.869 33.2408
132.568370 -8.838 33.3790
132.934581 -8.810 33.5051
133.300792 -8.786 33.6252
133.667003 -8.765 33.7409
134.033214 -8.749 33.8555
134.399425 -8.736 33.9735
134.765636 -8.726 34.0980
135.131847 -8.721 34.2308
135.498058 -8.718 34.3778
135.864269 -8.719 34.5409
136.230480 -8.722 34.7205
136.596691 -8.728 34.9240
136.962902 -8.735 35.1489
137.329113 -8.745 35.3974
137.695324 -8.755 35.6746
138.061535 -8.765 35.9755
138.427746 -8.776 36.3039
138.793957 -8.786 36.6615
139.160168 -8.795 37.0422
139.526379 -8.803 37.4517
139.892589 -8.809 37.8864
140.258800 -8.812 38.3429
140.625011 -8.813 38.8247
140.991222 -8.811 39.3265
141.357433 -8.806 39.8454
141.723644 -8.796 40.3836
142.089855 -8.783 40.9338
142.456066 -8.765 41.4953
