* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 4:28:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L 120.Rscreen.orig B = FLX8 
* Measurement: LFiltered8
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.196 42.8142
15.380859 68.074 1.2018
15.747070 69.950 -29.7329
16.113281 70.113 -36.2996
16.479492 71.239 -31.2940
16.845703 72.467 -37.8346
17.211914 72.004 -52.4693
17.578125 72.092 -60.2406
17.944336 73.667 -71.1718
18.310547 73.517 -77.7256
18.676758 73.986 -75.5571
19.042969 74.383 -93.0041
19.409180 73.117 -111.3945
19.775391 75.455 -110.0222
20.141602 79.179 -125.4671
20.507812 78.704 -146.1171
20.874023 73.862 -145.3540
21.240234 73.033 -119.6718
21.606445 73.549 -129.2360
21.972656 73.052 -139.3684
22.338867 74.276 -144.5602
22.705078 75.057 -152.2297
23.071289 75.210 -155.1615
23.437500 75.933 -161.9152
23.803711 76.067 -174.1223
24.169922 75.564 178.7699
24.536133 75.335 175.8088
24.902344 74.918 169.5188
25.268555 73.779 161.5037
25.634766 72.495 158.0150
26.000977 72.390 159.8638
26.367188 72.807 155.8044
26.733398 71.648 149.7009
27.099609 70.372 154.1841
27.465820 71.216 154.7460
27.832031 71.635 150.1622
28.198242 72.208 153.3315
28.564453 73.352 149.6057
28.930664 72.623 136.1750
29.296875 69.127 124.9717
29.663086 64.297 157.3184
30.029297 71.697 -178.6067
30.395508 75.838 154.0071
30.761719 74.922 115.9998
31.127930 65.578 79.4112
31.494141 67.274 -164.6689
31.860352 72.666 162.3374
32.226562 72.000 148.9128
32.592773 72.856 156.6865
32.958984 74.142 150.3153
33.325195 74.078 146.2504
33.691406 75.114 142.0930
34.057617 75.636 130.9479
34.423828 75.398 126.5438
34.790039 76.238 124.1140
35.156250 76.892 114.9104
35.522461 76.983 107.4650
35.888672 77.367 100.3242
36.254883 77.160 89.9209
36.621094 76.081 82.6080
36.987305 75.312 79.4506
37.353516 74.920 76.1380
37.719727 74.590 75.1801
38.085938 74.296 74.4839
38.452148 73.196 73.8725
38.818359 71.879 77.9620
39.184570 71.384 79.4083
39.550781 70.817 76.1272
39.916992 70.301 74.9698
40.283203 70.076 73.5198
40.649414 69.406 71.8237
41.015625 68.788 73.5596
41.381836 68.705 74.8076
41.748047 68.397 76.2553
42.114258 68.063 82.0136
42.480469 68.175 87.6219
42.846680 68.454 89.6339
