* Measurement data measured by REW V5.40 beta 132
* Source: Vector average
* Format: Vector average
* Dated: Aug 11, 2026, 4:06:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of L-filtered, R-filtered
* Measurement: LR.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 37.177 148.2854
2.563477 36.873 -20.4580
2.929687 38.643 155.8372
3.295898 37.879 -35.2707
3.662109 36.547 153.9086
4.028320 38.606 -23.4850
4.394531 38.634 142.9104
4.760742 36.550 -33.3600
5.126953 38.407 156.6247
5.493164 39.349 -37.4876
5.859375 37.002 138.9108
6.225586 38.055 -24.4075
6.591797 39.972 143.1369
6.958007 37.877 -47.8477
7.324218 37.587 152.6764
7.690429 40.475 -35.5803
8.056640 39.038 127.2090
8.422851 37.095 -33.0457
8.789062 40.841 146.0665
9.155273 40.342 -55.8495
9.521484 36.773 137.4603
9.887695 41.048 -32.0980
10.253906 41.473 119.2889
10.620117 36.309 -61.0309
10.986327 40.034 144.5300
11.352538 41.810 -63.6761
11.718749 36.380 100.2977
12.084960 38.686 -32.2791
12.451171 42.590 117.1581
12.817382 38.068 -100.2178
13.183593 36.009 160.9912
13.549804 44.022 -58.4519
13.916015 42.892 55.2979
14.282226 39.281 95.3385
14.648436 47.542 162.7920
15.014647 65.492 -154.7451
15.380858 70.088 172.1809
15.747069 69.202 174.8384
16.113280 70.247 175.9697
16.479491 69.953 -174.8315
16.845702 71.233 172.5221
17.211913 69.871 167.9783
17.578124 71.458 158.2039
17.944335 70.680 155.7360
18.310546 72.435 148.4285
18.676756 70.442 143.6528
19.042967 72.635 135.1014
19.409178 69.067 114.9457
19.775389 72.855 138.7842
20.141600 73.067 111.7760
20.507811 72.534 137.5715
20.874022 73.774 118.7592
21.240233 70.253 134.6968
21.606444 72.860 128.5599
21.972655 71.960 123.3481
22.338866 73.449 117.5426
22.705076 73.124 115.4139
23.071287 74.143 112.0571
23.437498 73.878 107.6432
23.803709 74.606 99.4706
24.169920 73.768 91.9819
24.536131 73.933 90.3376
24.902342 73.339 86.9958
25.268553 73.337 83.6605
25.634764 72.154 80.0347
26.000975 72.548 82.4354
26.367186 72.676 78.5220
26.733396 72.772 75.2083
27.099607 71.888 74.8964
27.465818 72.771 76.8666
27.832029 72.964 71.3004
28.198240 73.475 70.7183
28.564451 73.860 66.9131
28.930662 74.105 59.2528
29.296873 72.355 48.1892
29.663084 70.067 56.5345
30.029295 71.590 72.6261
30.395506 74.744 61.8524
30.761716 74.033 36.2922
31.127927 69.027 28.6904
