* Measurement data measured by REW V5.40 beta 121
* Source: Vector average
* Format: Vector average
* Dated: Aug 12, 2026, 4:29:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of LFiltered8, RFiltered8
* Measurement: LRFiltered8
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.098 40.4268
15.380859 68.428 0.2430
15.747070 69.494 -26.6434
16.113281 69.943 -27.8704
16.479492 71.631 -31.9079
16.845703 72.273 -41.7443
17.211914 72.347 -53.2474
17.578125 72.589 -62.4067
17.944336 73.453 -71.5575
18.310547 73.660 -80.6170
18.676758 73.509 -87.4230
19.042969 73.264 -98.2110
19.409180 73.152 -107.2172
19.775391 74.827 -112.0561
20.141602 76.773 -124.1306
20.507812 76.352 -138.3800
20.874023 73.658 -140.5656
21.240234 72.517 -130.3392
21.606445 73.140 -134.0505
21.972656 73.492 -142.9748
22.338867 74.074 -148.1961
22.705078 74.626 -152.4819
23.071289 74.952 -156.4823
23.437500 75.381 -163.3460
23.803711 75.545 -173.5453
24.169922 75.210 178.1432
24.536133 74.756 174.1638
24.902344 74.402 170.3659
25.268555 73.735 164.6703
25.634766 72.836 161.3196
26.000977 72.684 161.7669
26.367188 73.088 158.7745
26.733398 72.744 154.1729
27.099609 72.309 154.5828
27.465820 72.910 153.7589
27.832031 73.503 148.3315
28.198242 73.795 144.7910
28.564453 74.309 140.8481
28.930664 74.363 131.7183
29.296875 73.169 121.3619
29.663086 70.911 122.5959
30.029297 71.635 139.3611
30.395508 74.448 132.5824
30.761719 74.417 110.0726
31.127930 70.360 94.9179
31.494141 67.870 125.0510
31.860352 71.407 125.9571
32.226562 71.627 115.0995
32.592773 71.307 117.1712
32.958984 71.755 115.7960
33.325195 71.260 114.6017
33.691406 71.800 116.7273
34.057617 72.588 109.5068
34.423828 72.412 103.8583
34.790039 72.903 102.9707
35.156250 73.579 97.2677
35.522461 73.536 92.3143
35.888672 73.714 88.0414
36.254883 73.604 78.6195
36.621094 72.739 70.1829
36.987305 72.049 66.6545
37.353516 71.507 65.1836
37.719727 70.889 67.8715
38.085938 70.535 69.3130
38.452148 69.339 68.0914
38.818359 68.288 73.1220
39.184570 68.723 74.2113
39.550781 68.618 70.9499
39.916992 68.421 72.9685
40.283203 68.844 69.3217
40.649414 68.284 58.3406
41.015625 67.063 53.0098
41.381836 66.708 54.3086
41.748047 65.912 53.9911
42.114258 63.283 62.1315
42.480469 62.171 80.7975
42.846680 62.232 78.9433
43.212891 60.973 75.9529
43.579102 62.609 94.6732
43.945312 66.478 98.8228
