* Measurement data measured by REW V5.40 beta 132
* Source: RMS + phase average
* Format: RMS + phase average
* Dated: Aug 11, 2026, 3:06:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.2 dB
* Note: ; RMS + phase average of LX, RX
* Measurement: LRrms+phavg
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 27.033 27.8311
2.563477 27.172 84.7970
2.929687 26.914 152.1522
3.295898 28.131 -143.6031
3.662109 27.243 -70.4932
4.028320 28.031 -13.6958
4.394531 27.989 64.1781
4.760742 27.595 119.4918
5.126953 28.752 -162.8763
5.493164 27.054 -103.9898
5.859375 29.695 -34.5294
6.225586 27.755 35.6777
6.591797 30.433 94.5245
6.958007 28.762 175.2595
7.324218 30.134 -139.1902
7.690429 29.992 -54.0062
8.056640 29.905 -10.8917
8.422851 31.781 77.9105
8.789062 29.011 132.7166
9.155273 32.823 -150.7314
9.521484 29.134 -82.1014
9.887695 34.230 -27.8049
10.253906 31.896 52.9926
10.620117 34.772 95.6678
10.986327 33.391 -170.3506
11.352538 33.464 -143.0688
11.718749 35.006 -44.4834
12.084960 32.503 -12.2104
12.451171 38.104 86.5737
12.817382 32.458 159.5366
13.183593 40.357 -144.4653
13.549804 36.921 -48.7410
13.916015 43.456 -27.1919
14.282226 45.387 79.5054
14.648436 46.785 108.9106
15.014647 60.329 -143.2087
15.380858 68.425 -153.7437
15.747069 70.701 -164.1223
16.113280 70.979 -164.2012
16.479491 71.425 -163.6541
16.845702 71.642 -169.5938
17.211913 71.828 -174.8940
17.578124 72.393 179.9971
17.944335 72.790 174.0024
18.310546 73.046 169.2695
18.676756 73.513 163.3101
19.042967 74.059 156.5054
19.409178 74.716 151.2349
19.775389 75.404 146.4504
20.141600 75.781 142.4734
20.507811 75.910 139.7834
20.874022 75.907 137.2788
21.240233 75.779 135.3611
21.606444 75.759 133.6929
21.972655 75.863 130.9404
22.338866 76.018 127.5164
22.705076 76.304 123.3086
23.071287 76.578 118.3252
23.437498 76.748 113.4248
23.803709 76.858 108.3669
24.169920 76.822 103.1113
24.536131 76.688 98.3013
24.902342 76.542 93.8137
25.268553 76.312 89.7717
25.634764 76.074 86.4541
26.000975 75.889 83.2490
26.367186 75.717 80.1953
26.733396 75.646 77.4854
27.099607 75.634 74.6072
27.465818 75.592 71.7456
27.832029 75.572 68.8159
28.198240 75.506 65.4670
28.564451 75.371 62.2869
28.930662 75.213 59.3281
29.296873 74.955 56.4456
29.663084 74.629 54.0830
30.029295 74.302 51.9155
30.395506 73.933 50.0066
30.761716 73.598 48.9172
31.127927 73.320 48.2041
31.494138 73.067 48.0071
31.860349 72.941 48.3264
32.226560 72.912 48.4431
32.592771 72.943 48.6816
32.958982 73.064 48.7256
33.325193 73.174 48.0959
